Date	Company Code	Company Name	Stock Price
1959-01-31	USDF3KE	1stdibs	110.12
1959-02-28	USDF3KE	1stdibs	105.95
1959-03-31	USDF3KE	1stdibs	106.29
1959-04-30	USDF3KE	1stdibs	105.74
1959-05-31	USDF3KE	1stdibs	105.48
1959-06-30	USDF3KE	1stdibs	98.55
1959-07-31	USDF3KE	1stdibs	98.67
1959-08-31	USDF3KE	1stdibs	99.93
1959-09-30	USDF3KE	1stdibs	101.42
1959-10-31	USDF3KE	1stdibs	101.71
1959-11-30	USDF3KE	1stdibs	100.57
1959-12-31	USDF3KE	1stdibs	95.07
1960-01-31	USDF3KE	1stdibs	92.03
1960-02-29	USDF3KE	1stdibs	96.55
1960-03-31	USDF3KE	1stdibs	93.12
1960-04-30	USDF3KE	1stdibs	98.64
1960-05-31	USDF3KE	1stdibs	98.19
1960-06-30	USDF3KE	1stdibs	103.0
1960-07-31	USDF3KE	1stdibs	102.24
1960-08-31	USDF3KE	1stdibs	100.33
1960-09-30	USDF3KE	1stdibs	108.03
1960-10-31	USDF3KE	1stdibs	111.16
1960-11-30	USDF3KE	1stdibs	103.76
1960-12-31	USDF3KE	1stdibs	105.02
1961-01-31	USDF3KE	1stdibs	99.99
1961-02-28	USDF3KE	1stdibs	101.65
1961-03-31	USDF3KE	1stdibs	107.41
1961-04-30	USDF3KE	1stdibs	106.79
1961-05-31	USDF3KE	1stdibs	110.8
1961-06-30	USDF3KE	1stdibs	113.79
1961-07-31	USDF3KE	1stdibs	106.05
1961-08-31	USDF3KE	1stdibs	107.83
1961-09-30	USDF3KE	1stdibs	110.88
1961-10-31	USDF3KE	1stdibs	117.95
1961-11-30	USDF3KE	1stdibs	124.65
1961-12-31	USDF3KE	1stdibs	124.59
1962-01-31	USDF3KE	1stdibs	120.78
1962-02-28	USDF3KE	1stdibs	115.62
1962-03-31	USDF3KE	1stdibs	121.39
1962-04-30	USDF3KE	1stdibs	128.38
1962-05-31	USDF3KE	1stdibs	129.35
1962-06-30	USDF3KE	1stdibs	127.56
1962-07-31	USDF3KE	1stdibs	120.51
1962-08-31	USDF3KE	1stdibs	123.2
1962-09-30	USDF3KE	1stdibs	128.59
1962-10-31	USDF3KE	1stdibs	127.27
1962-11-30	USDF3KE	1stdibs	131.15
1962-12-31	USDF3KE	1stdibs	123.84
1963-01-31	USDF3KE	1stdibs	122.35
1963-02-28	USDF3KE	1stdibs	127.19
1963-03-31	USDF3KE	1stdibs	129.77
1963-04-30	USDF3KE	1stdibs	132.03
1963-05-31	USDF3KE	1stdibs	135.33
1963-06-30	USDF3KE	1stdibs	131.02
1963-07-31	USDF3KE	1stdibs	128.84
1963-08-31	USDF3KE	1stdibs	123.27
1963-09-30	USDF3KE	1stdibs	118.55
1963-10-31	USDF3KE	1stdibs	114.19
1963-11-30	USDF3KE	1stdibs	114.45
1963-12-31	USDF3KE	1stdibs	116.9
