Date	Company Code	Company Name	Stock Price
1959-01-31	USDRO0P	3M Co.	110.02
1959-02-28	USDRO0P	3M Co.	101.68
1959-03-31	USDRO0P	3M Co.	103.58
1959-04-30	USDRO0P	3M Co.	96.1
1959-05-31	USDRO0P	3M Co.	101.59
1959-06-30	USDRO0P	3M Co.	102.35
1959-07-31	USDRO0P	3M Co.	101.72
1959-08-31	USDRO0P	3M Co.	107.13
1959-09-30	USDRO0P	3M Co.	107.78
1959-10-31	USDRO0P	3M Co.	107.0
1959-11-30	USDRO0P	3M Co.	101.16
1959-12-31	USDRO0P	3M Co.	98.01
1960-01-31	USDRO0P	3M Co.	100.79
1960-02-29	USDRO0P	3M Co.	103.23
1960-03-31	USDRO0P	3M Co.	99.91
1960-04-30	USDRO0P	3M Co.	94.84
1960-05-31	USDRO0P	3M Co.	95.05
1960-06-30	USDRO0P	3M Co.	91.58
1960-07-31	USDRO0P	3M Co.	93.67
1960-08-31	USDRO0P	3M Co.	89.6
1960-09-30	USDRO0P	3M Co.	87.8
1960-10-31	USDRO0P	3M Co.	86.97
1960-11-30	USDRO0P	3M Co.	82.59
1960-12-31	USDRO0P	3M Co.	89.04
1961-01-31	USDRO0P	3M Co.	94.33
1961-02-28	USDRO0P	3M Co.	95.57
1961-03-31	USDRO0P	3M Co.	94.64
1961-04-30	USDRO0P	3M Co.	92.86
1961-05-31	USDRO0P	3M Co.	93.36
1961-06-30	USDRO0P	3M Co.	85.24
1961-07-31	USDRO0P	3M Co.	75.74
1961-08-31	USDRO0P	3M Co.	75.81
1961-09-30	USDRO0P	3M Co.	73.2
1961-10-31	USDRO0P	3M Co.	71.31
1961-11-30	USDRO0P	3M Co.	65.6
1961-12-31	USDRO0P	3M Co.	67.2
1962-01-31	USDRO0P	3M Co.	64.55
1962-02-28	USDRO0P	3M Co.	61.39
1962-03-31	USDRO0P	3M Co.	66.97
1962-04-30	USDRO0P	3M Co.	69.27
1962-05-31	USDRO0P	3M Co.	67.57
1962-06-30	USDRO0P	3M Co.	73.19
1962-07-31	USDRO0P	3M Co.	76.86
1962-08-31	USDRO0P	3M Co.	75.63
1962-09-30	USDRO0P	3M Co.	72.31
1962-10-31	USDRO0P	3M Co.	70.07
1962-11-30	USDRO0P	3M Co.	62.3
1962-12-31	USDRO0P	3M Co.	61.26872912655966
1963-01-31	USDRO0P	3M Co.	69.97
1963-02-28	USDRO0P	3M Co.	65.3
1963-03-31	USDRO0P	3M Co.	65.63
1963-04-30	USDRO0P	3M Co.	69.13
1963-05-31	USDRO0P	3M Co.	74.72
1963-06-30	USDRO0P	3M Co.	75.35
1963-07-31	USDRO0P	3M Co.	77.93
1963-08-31	USDRO0P	3M Co.	75.82
1963-09-30	USDRO0P	3M Co.	81.37
1963-10-31	USDRO0P	3M Co.	79.54
1963-11-30	USDRO0P	3M Co.	76.73
1963-12-31	USDRO0P	3M Co.	73.34
1964-01-31	USDRO0P	3M Co.	73.53
1964-02-29	USDRO0P	3M Co.	68.6
1964-03-31	USDRO0P	3M Co.	73.14
1964-04-30	USDRO0P	3M Co.	74.41
1964-05-31	USDRO0P	3M Co.	77.11
1964-06-30	USDRO0P	3M Co.	78.4
1964-07-31	USDRO0P	3M Co.	81.68
1964-08-31	USDRO0P	3M Co.	85.13
1964-09-30	USDRO0P	3M Co.	83.63
1964-10-31	USDRO0P	3M Co.	83.17
1964-11-30	USDRO0P	3M Co.	88.34
1964-12-31	USDRO0P	3M Co.	81.85
1965-01-31	USDRO0P	3M Co.	81.24
1965-02-28	USDRO0P	3M Co.	84.54
1965-03-31	USDRO0P	3M Co.	84.61
1965-04-30	USDRO0P	3M Co.	85.4
1965-05-31	USDRO0P	3M Co.	84.14
1965-06-30	USDRO0P	3M Co.	81.09
1965-07-31	USDRO0P	3M Co.	82.21
1965-08-31	USDRO0P	3M Co.	77.62
1965-09-30	USDRO0P	3M Co.	76.79
1965-10-31	USDRO0P	3M Co.	79.03
1965-11-30	USDRO0P	3M Co.	77.73
1965-12-31	USDRO0P	3M Co.	75.29
1966-01-31	USDRO0P	3M Co.	80.91
1966-02-28	USDRO0P	3M Co.	78.55
1966-03-31	USDRO0P	3M Co.	76.83
1966-04-30	USDRO0P	3M Co.	74.03
1966-05-31	USDRO0P	3M Co.	74.11
1966-06-30	USDRO0P	3M Co.	72.42
1966-07-31	USDRO0P	3M Co.	80.98
1966-08-31	USDRO0P	3M Co.	72.56
1966-09-30	USDRO0P	3M Co.	75.4
1966-10-31	USDRO0P	3M Co.	81.78
1966-11-30	USDRO0P	3M Co.	76.78
1966-12-31	USDRO0P	3M Co.	74.58
1967-01-31	USDRO0P	3M Co.	78.04
1967-02-28	USDRO0P	3M Co.	72.63
1967-03-31	USDRO0P	3M Co.	75.68
1967-04-30	USDRO0P	3M Co.	73.99
1967-05-31	USDRO0P	3M Co.	76.58
1967-06-30	USDRO0P	3M Co.	71.38
1967-07-31	USDRO0P	3M Co.	67.65
1967-08-31	USDRO0P	3M Co.	72.71
1967-09-30	USDRO0P	3M Co.	72.14
1967-10-31	USDRO0P	3M Co.	71.16
1967-11-30	USDRO0P	3M Co.	72.9
1967-12-31	USDRO0P	3M Co.	68.09
1968-01-31	USDRO0P	3M Co.	71.76
1968-02-29	USDRO0P	3M Co.	75.71
1968-03-31	USDRO0P	3M Co.	75.23
1968-04-30	USDRO0P	3M Co.	72.87
1968-05-31	USDRO0P	3M Co.	79.87
1968-06-30	USDRO0P	3M Co.	80.65
1968-07-31	USDRO0P	3M Co.	81.16
1968-08-31	USDRO0P	3M Co.	81.39
1968-09-30	USDRO0P	3M Co.	85.34
1968-10-31	USDRO0P	3M Co.	86.2
1968-11-30	USDRO0P	3M Co.	88.49
1968-12-31	USDRO0P	3M Co.	82.15
1969-01-31	USDRO0P	3M Co.	89.68
1969-02-28	USDRO0P	3M Co.	89.22
1969-03-31	USDRO0P	3M Co.	93.17
1969-04-30	USDRO0P	3M Co.	89.25
1969-05-31	USDRO0P	3M Co.	83.54
1969-06-30	USDRO0P	3M Co.	80.11
1969-07-31	USDRO0P	3M Co.	82.83
1969-08-31	USDRO0P	3M Co.	81.82
1969-09-30	USDRO0P	3M Co.	81.12
1969-10-31	USDRO0P	3M Co.	78.2
1969-11-30	USDRO0P	3M Co.	76.58
1969-12-31	USDRO0P	3M Co.	77.16
1970-01-31	USDRO0P	3M Co.	81.04
1970-02-28	USDRO0P	3M Co.	84.46
1970-03-31	USDRO0P	3M Co.	76.71
1970-04-30	USDRO0P	3M Co.	82.2
1970-05-31	USDRO0P	3M Co.	83.29
1970-06-30	USDRO0P	3M Co.	85.45
1970-07-31	USDRO0P	3M Co.	84.66
1970-08-31	USDRO0P	3M Co.	81.68
1970-09-30	USDRO0P	3M Co.	86.04
