Date	Company Code	Company Name	Stock Price
1959-01-31	US3RCZ8	3M Company	117.24
1959-02-28	US3RCZ8	3M Company	115.75
1959-03-31	US3RCZ8	3M Company	116.09
1959-04-30	US3RCZ8	3M Company	112.41
1959-05-31	US3RCZ8	3M Company	110.74
1959-06-30	US3RCZ8	3M Company	109.78
1959-07-31	US3RCZ8	3M Company	113.22
1959-08-31	US3RCZ8	3M Company	117.15
1959-09-30	US3RCZ8	3M Company	114.44
1959-10-31	US3RCZ8	3M Company	116.15
1959-11-30	US3RCZ8	3M Company	119.07
1959-12-31	US3RCZ8	3M Company	123.63
1960-01-31	US3RCZ8	3M Company	131.33
1960-02-29	US3RCZ8	3M Company	128.75
1960-03-31	US3RCZ8	3M Company	126.36
1960-04-30	US3RCZ8	3M Company	124.74
1960-05-31	US3RCZ8	3M Company	132.41
1960-06-30	US3RCZ8	3M Company	129.7
1960-07-31	US3RCZ8	3M Company	130.78
1960-08-31	US3RCZ8	3M Company	125.98
1960-09-30	US3RCZ8	3M Company	125.95
1960-10-31	US3RCZ8	3M Company	118.59
1960-11-30	US3RCZ8	3M Company	120.42
1960-12-31	US3RCZ8	3M Company	115.73
1961-01-31	US3RCZ8	3M Company	113.63
1961-02-28	US3RCZ8	3M Company	106.34
1961-03-31	US3RCZ8	3M Company	105.11
1961-04-30	US3RCZ8	3M Company	100.89
1961-05-31	US3RCZ8	3M Company	102.21
1961-06-30	US3RCZ8	3M Company	101.91
1961-07-31	US3RCZ8	3M Company	99.27
1961-08-31	US3RCZ8	3M Company	94.83
1961-09-30	US3RCZ8	3M Company	94.33
1961-10-31	US3RCZ8	3M Company	97.39
1961-11-30	US3RCZ8	3M Company	103.72
1961-12-31	US3RCZ8	3M Company	110.59
1962-01-31	US3RCZ8	3M Company	111.75
1962-02-28	US3RCZ8	3M Company	113.98
1962-03-31	US3RCZ8	3M Company	113.63
1962-04-30	US3RCZ8	3M Company	116.78
1962-05-31	US3RCZ8	3M Company	111.55
1962-06-30	US3RCZ8	3M Company	110.45
1962-07-31	US3RCZ8	3M Company	102.73
1962-08-31	US3RCZ8	3M Company	99.64
1962-09-30	US3RCZ8	3M Company	97.21
1962-10-31	US3RCZ8	3M Company	94.53
1962-11-30	US3RCZ8	3M Company	98.97
1962-12-31	US3RCZ8	3M Company	97.73
1963-01-31	US3RCZ8	3M Company	89.05
1963-02-28	US3RCZ8	3M Company	90.59
1963-03-31	US3RCZ8	3M Company	89.71
1963-04-30	US3RCZ8	3M Company	90.36
1963-05-31	US3RCZ8	3M Company	85.18
1963-06-30	US3RCZ8	3M Company	83.76
1963-07-31	US3RCZ8	3M Company	84.05
1963-08-31	US3RCZ8	3M Company	88.73
1963-09-30	US3RCZ8	3M Company	91.91
1963-10-31	US3RCZ8	3M Company	93.23
1963-11-30	US3RCZ8	3M Company	91.61
1963-12-31	US3RCZ8	3M Company	93.68
1964-01-31	US3RCZ8	3M Company	93.34
1964-02-29	US3RCZ8	3M Company	92.38
1964-03-31	US3RCZ8	3M Company	89.63
1964-04-30	US3RCZ8	3M Company	81.2
1964-05-31	US3RCZ8	3M Company	84.98
1964-06-30	US3RCZ8	3M Company	83.45
1964-07-31	US3RCZ8	3M Company	85.86
1964-08-31	US3RCZ8	3M Company	83.56
1964-09-30	US3RCZ8	3M Company	78.89
1964-10-31	US3RCZ8	3M Company	72.06
1964-11-30	US3RCZ8	3M Company	74.47
1964-12-31	US3RCZ8	3M Company	74.63
1965-01-31	US3RCZ8	3M Company	79.45
1965-02-28	US3RCZ8	3M Company	76.62
1965-03-31	US3RCZ8	3M Company	77.18
1965-04-30	US3RCZ8	3M Company	71.94
1965-05-31	US3RCZ8	3M Company	70.04
1965-06-30	US3RCZ8	3M Company	71.71
1965-07-31	US3RCZ8	3M Company	73.64
1965-08-31	US3RCZ8	3M Company	72.39
1965-09-30	US3RCZ8	3M Company	71.29
1965-10-31	US3RCZ8	3M Company	75.68
1965-11-30	US3RCZ8	3M Company	74.44
1965-12-31	US3RCZ8	3M Company	74.09
1966-01-31	US3RCZ8	3M Company	79.3
1966-02-28	US3RCZ8	3M Company	79.31
1966-03-31	US3RCZ8	3M Company	78.92
1966-04-30	US3RCZ8	3M Company	71.84
1966-05-31	US3RCZ8	3M Company	67.7
1966-06-30	US3RCZ8	3M Company	75.66
1966-07-31	US3RCZ8	3M Company	81.23
1966-08-31	US3RCZ8	3M Company	83.81
1966-09-30	US3RCZ8	3M Company	79.84
1966-10-31	US3RCZ8	3M Company	77.33
1966-11-30	US3RCZ8	3M Company	77.71
1966-12-31	US3RCZ8	3M Company	78.72
1967-01-31	US3RCZ8	3M Company	83.79
1967-02-28	US3RCZ8	3M Company	80.1
1967-03-31	US3RCZ8	3M Company	74.8
1967-04-30	US3RCZ8	3M Company	80.05
1967-05-31	US3RCZ8	3M Company	82.67
1967-06-30	US3RCZ8	3M Company	88.65
1967-07-31	US3RCZ8	3M Company	86.52
1967-08-31	US3RCZ8	3M Company	87.15
1967-09-30	US3RCZ8	3M Company	87.86
1967-10-31	US3RCZ8	3M Company	87.51
1967-11-30	US3RCZ8	3M Company	82.07
1967-12-31	US3RCZ8	3M Company	82.47
1968-01-31	US3RCZ8	3M Company	77.84
1968-02-29	US3RCZ8	3M Company	79.32
1968-03-31	US3RCZ8	3M Company	78.29
1968-04-30	US3RCZ8	3M Company	85.05
1968-05-31	US3RCZ8	3M Company	80.71
1968-06-30	US3RCZ8	3M Company	81.58
1968-07-31	US3RCZ8	3M Company	80.88
1968-08-31	US3RCZ8	3M Company	82.51
1968-09-30	US3RCZ8	3M Company	86.78
1968-10-31	US3RCZ8	3M Company	86.13
1968-11-30	US3RCZ8	3M Company	86.78
1968-12-31	US3RCZ8	3M Company	93.82
1969-01-31	US3RCZ8	3M Company	90.64
1969-02-28	US3RCZ8	3M Company	88.33
1969-03-31	US3RCZ8	3M Company	85.33
1969-04-30	US3RCZ8	3M Company	88.14
1969-05-31	US3RCZ8	3M Company	84.8
1969-06-30	US3RCZ8	3M Company	83.38
1969-07-31	US3RCZ8	3M Company	81.93
1969-08-31	US3RCZ8	3M Company	79.69
1969-09-30	US3RCZ8	3M Company	83.13
1969-10-31	US3RCZ8	3M Company	77.45
1969-11-30	US3RCZ8	3M Company	78.78
1969-12-31	US3RCZ8	3M Company	70.95
1970-01-31	US3RCZ8	3M Company	77.18
1970-02-28	US3RCZ8	3M Company	75.66
1970-03-31	US3RCZ8	3M Company	70.11
1970-04-30	US3RCZ8	3M Company	71.2
1970-05-31	US3RCZ8	3M Company	64.56
1970-06-30	US3RCZ8	3M Company	64.67
1970-07-31	US3RCZ8	3M Company	71.72
1970-08-31	US3RCZ8	3M Company	71.0
1970-09-30	US3RCZ8	3M Company	72.46
1970-10-31	US3RCZ8	3M Company	74.7
1970-11-30	US3RCZ8	3M Company	70.63
1970-12-31	US3RCZ8	3M Company	71.6
1971-01-31	US3RCZ8	3M Company	74.4
1971-02-28	US3RCZ8	3M Company	74.62
1971-03-31	US3RCZ8	3M Company	70.74
1971-04-30	US3RCZ8	3M Company	64.17
1971-05-31	US3RCZ8	3M Company	68.5
1971-06-30	US3RCZ8	3M Company	64.01
1971-07-31	US3RCZ8	3M Company	69.73
1971-08-31	US3RCZ8	3M Company	67.37
1971-09-30	US3RCZ8	3M Company	65.5
1971-10-31	US3RCZ8	3M Company	61.50103387017539
1971-11-30	US3RCZ8	3M Company	62.14599160120497
1971-12-31	US3RCZ8	3M Company	61.16
1972-01-31	US3RCZ8	3M Company	62.39994224089309
1972-02-29	US3RCZ8	3M Company	66.84
1972-03-31	US3RCZ8	3M Company	66.49
1972-04-30	US3RCZ8	3M Company	62.31
1972-05-31	US3RCZ8	3M Company	65.25
1972-06-30	US3RCZ8	3M Company	60.28
1972-07-31	US3RCZ8	3M Company	62.14927683978563
1972-08-31	US3RCZ8	3M Company	63.91
1972-09-30	US3RCZ8	3M Company	61.24409411840192
1972-10-31	US3RCZ8	3M Company	68.12
1972-11-30	US3RCZ8	3M Company	73.11
1972-12-31	US3RCZ8	3M Company	73.65
1973-01-31	US3RCZ8	3M Company	78.43
1973-02-28	US3RCZ8	3M Company	85.01
1973-03-31	US3RCZ8	3M Company	84.96
1973-04-30	US3RCZ8	3M Company	91.87
1973-05-31	US3RCZ8	3M Company	94.17
1973-06-30	US3RCZ8	3M Company	93.49
1973-07-31	US3RCZ8	3M Company	93.74
1973-08-31	US3RCZ8	3M Company	88.87
1973-09-30	US3RCZ8	3M Company	87.47
1973-10-31	US3RCZ8	3M Company	90.94
1973-11-30	US3RCZ8	3M Company	90.77
1973-12-31	US3RCZ8	3M Company	86.97
1974-01-31	US3RCZ8	3M Company	92.6
1974-02-28	US3RCZ8	3M Company	93.98
1974-03-31	US3RCZ8	3M Company	94.35
1974-04-30	US3RCZ8	3M Company	98.31
1974-05-31	US3RCZ8	3M Company	101.67
1974-06-30	US3RCZ8	3M Company	98.74
1974-07-31	US3RCZ8	3M Company	93.5
1974-08-31	US3RCZ8	3M Company	91.75
1974-09-30	US3RCZ8	3M Company	92.71
1974-10-31	US3RCZ8	3M Company	90.1
1974-11-30	US3RCZ8	3M Company	90.77
