Date	Company Code	Company Name	Stock Price
1959-01-31	US5WBKQ	ABB Ltd.	109.49
1959-02-28	US5WBKQ	ABB Ltd.	106.81
1959-03-31	US5WBKQ	ABB Ltd.	107.32
1959-04-30	US5WBKQ	ABB Ltd.	105.88
1959-05-31	US5WBKQ	ABB Ltd.	112.04
1959-06-30	US5WBKQ	ABB Ltd.	114.24
1959-07-31	US5WBKQ	ABB Ltd.	109.66
1959-08-31	US5WBKQ	ABB Ltd.	105.97
1959-09-30	US5WBKQ	ABB Ltd.	105.72
1959-10-31	US5WBKQ	ABB Ltd.	99.69
1959-11-30	US5WBKQ	ABB Ltd.	92.49
1959-12-31	US5WBKQ	ABB Ltd.	87.99
1960-01-31	US5WBKQ	ABB Ltd.	88.17
1960-02-29	US5WBKQ	ABB Ltd.	85.13
1960-03-31	US5WBKQ	ABB Ltd.	83.31
1960-04-30	US5WBKQ	ABB Ltd.	74.9
1960-05-31	US5WBKQ	ABB Ltd.	71.06
1960-06-30	US5WBKQ	ABB Ltd.	71.04
1960-07-31	US5WBKQ	ABB Ltd.	77.8
1960-08-31	US5WBKQ	ABB Ltd.	85.9
1960-09-30	US5WBKQ	ABB Ltd.	85.42
1960-10-31	US5WBKQ	ABB Ltd.	78.41
1960-11-30	US5WBKQ	ABB Ltd.	84.58
1960-12-31	US5WBKQ	ABB Ltd.	82.41
1961-01-31	US5WBKQ	ABB Ltd.	78.39
1961-02-28	US5WBKQ	ABB Ltd.	85.16
1961-03-31	US5WBKQ	ABB Ltd.	82.61
1961-04-30	US5WBKQ	ABB Ltd.	87.96
1961-05-31	US5WBKQ	ABB Ltd.	88.22
1961-06-30	US5WBKQ	ABB Ltd.	87.43
1961-07-31	US5WBKQ	ABB Ltd.	83.39
1961-08-31	US5WBKQ	ABB Ltd.	79.1
1961-09-30	US5WBKQ	ABB Ltd.	84.27
1961-10-31	US5WBKQ	ABB Ltd.	82.2
1961-11-30	US5WBKQ	ABB Ltd.	87.6
1961-12-31	US5WBKQ	ABB Ltd.	94.96
1962-01-31	US5WBKQ	ABB Ltd.	98.12
1962-02-28	US5WBKQ	ABB Ltd.	90.81
1962-03-31	US5WBKQ	ABB Ltd.	92.68
1962-04-30	US5WBKQ	ABB Ltd.	87.12
1962-05-31	US5WBKQ	ABB Ltd.	83.26
1962-06-30	US5WBKQ	ABB Ltd.	85.41
1962-07-31	US5WBKQ	ABB Ltd.	89.01
1962-08-31	US5WBKQ	ABB Ltd.	94.12
1962-09-30	US5WBKQ	ABB Ltd.	94.36
1962-10-31	US5WBKQ	ABB Ltd.	90.44
1962-11-30	US5WBKQ	ABB Ltd.	85.78
1962-12-31	US5WBKQ	ABB Ltd.	81.53
1963-01-31	US5WBKQ	ABB Ltd.	81.44
1963-02-28	US5WBKQ	ABB Ltd.	78.13
1963-03-31	US5WBKQ	ABB Ltd.	82.42
1963-04-30	US5WBKQ	ABB Ltd.	85.02
1963-05-31	US5WBKQ	ABB Ltd.	87.96
1963-06-30	US5WBKQ	ABB Ltd.	91.26
1963-07-31	US5WBKQ	ABB Ltd.	86.4
1963-08-31	US5WBKQ	ABB Ltd.	91.46
1963-09-30	US5WBKQ	ABB Ltd.	96.59
1963-10-31	US5WBKQ	ABB Ltd.	91.45
1963-11-30	US5WBKQ	ABB Ltd.	93.49
1963-12-31	US5WBKQ	ABB Ltd.	99.15
1964-01-31	US5WBKQ	ABB Ltd.	98.73
1964-02-29	US5WBKQ	ABB Ltd.	100.5
1964-03-31	US5WBKQ	ABB Ltd.	103.66
1964-04-30	US5WBKQ	ABB Ltd.	105.41
1964-05-31	US5WBKQ	ABB Ltd.	106.99
1964-06-30	US5WBKQ	ABB Ltd.	107.02
1964-07-31	US5WBKQ	ABB Ltd.	105.87
1964-08-31	US5WBKQ	ABB Ltd.	103.84
1964-09-30	US5WBKQ	ABB Ltd.	102.82
1964-10-31	US5WBKQ	ABB Ltd.	106.36
1964-11-30	US5WBKQ	ABB Ltd.	108.6
1964-12-31	US5WBKQ	ABB Ltd.	115.69
1965-01-31	US5WBKQ	ABB Ltd.	115.01
1965-02-28	US5WBKQ	ABB Ltd.	115.99
1965-03-31	US5WBKQ	ABB Ltd.	109.28
1965-04-30	US5WBKQ	ABB Ltd.	115.49
1965-05-31	US5WBKQ	ABB Ltd.	114.42
1965-06-30	US5WBKQ	ABB Ltd.	116.25
1965-07-31	US5WBKQ	ABB Ltd.	116.73
1965-08-31	US5WBKQ	ABB Ltd.	112.22
1965-09-30	US5WBKQ	ABB Ltd.	113.41
