Date	Company Code	Company Name	Stock Price
1959-01-31	US18T34	AT&T Inc.	112.94
1959-02-28	US18T34	AT&T Inc.	109.54
1959-03-31	US18T34	AT&T Inc.	108.82
1959-04-30	US18T34	AT&T Inc.	101.93
1959-05-31	US18T34	AT&T Inc.	98.94
1959-06-30	US18T34	AT&T Inc.	97.7
1959-07-31	US18T34	AT&T Inc.	95.94
1959-08-31	US18T34	AT&T Inc.	93.24
1959-09-30	US18T34	AT&T Inc.	86.9
1959-10-31	US18T34	AT&T Inc.	85.38
1959-11-30	US18T34	AT&T Inc.	87.62
1959-12-31	US18T34	AT&T Inc.	81.23
1960-01-31	US18T34	AT&T Inc.	79.19
1960-02-29	US18T34	AT&T Inc.	71.79
1960-03-31	US18T34	AT&T Inc.	72.92
1960-04-30	US18T34	AT&T Inc.	70.81
1960-05-31	US18T34	AT&T Inc.	74.3
1960-06-30	US18T34	AT&T Inc.	71.3
1960-07-31	US18T34	AT&T Inc.	74.71
1960-08-31	US18T34	AT&T Inc.	75.86
1960-09-30	US18T34	AT&T Inc.	73.86
1960-10-31	US18T34	AT&T Inc.	73.86
1960-11-30	US18T34	AT&T Inc.	74.74
1960-12-31	US18T34	AT&T Inc.	71.32
1961-01-31	US18T34	AT&T Inc.	66.68
1961-02-28	US18T34	AT&T Inc.	63.02
1961-03-31	US18T34	AT&T Inc.	63.08
1961-04-30	US18T34	AT&T Inc.	62.86028901355468
1961-05-31	US18T34	AT&T Inc.	62.86
1961-06-30	US18T34	AT&T Inc.	63.33
1961-07-31	US18T34	AT&T Inc.	63.5
1961-08-31	US18T34	AT&T Inc.	63.73
1961-09-30	US18T34	AT&T Inc.	63.75
1961-10-31	US18T34	AT&T Inc.	69.15
1961-11-30	US18T34	AT&T Inc.	70.51
1961-12-31	US18T34	AT&T Inc.	74.21
1962-01-31	US18T34	AT&T Inc.	67.5
1962-02-28	US18T34	AT&T Inc.	74.2
1962-03-31	US18T34	AT&T Inc.	74.26
1962-04-30	US18T34	AT&T Inc.	78.45
1962-05-31	US18T34	AT&T Inc.	74.46
1962-06-30	US18T34	AT&T Inc.	75.79
1962-07-31	US18T34	AT&T Inc.	73.67
1962-08-31	US18T34	AT&T Inc.	77.96
1962-09-30	US18T34	AT&T Inc.	81.04
1962-10-31	US18T34	AT&T Inc.	85.35
1962-11-30	US18T34	AT&T Inc.	82.1
1962-12-31	US18T34	AT&T Inc.	74.43
1963-01-31	US18T34	AT&T Inc.	77.17
1963-02-28	US18T34	AT&T Inc.	82.3
1963-03-31	US18T34	AT&T Inc.	86.0
1963-04-30	US18T34	AT&T Inc.	81.12
