Date	Company Code	Company Name	Stock Price
1959-01-31	USTUTXT	AbbVie Inc.	105.84
1959-02-28	USTUTXT	AbbVie Inc.	107.87
1959-03-31	USTUTXT	AbbVie Inc.	105.21
1959-04-30	USTUTXT	AbbVie Inc.	104.93
1959-05-31	USTUTXT	AbbVie Inc.	104.03
1959-06-30	USTUTXT	AbbVie Inc.	102.15
1959-07-31	USTUTXT	AbbVie Inc.	102.31
1959-08-31	USTUTXT	AbbVie Inc.	106.21
1959-09-30	USTUTXT	AbbVie Inc.	109.39
1959-10-31	USTUTXT	AbbVie Inc.	107.64
1959-11-30	USTUTXT	AbbVie Inc.	104.65
1959-12-31	USTUTXT	AbbVie Inc.	96.4
1960-01-31	USTUTXT	AbbVie Inc.	93.21
1960-02-29	USTUTXT	AbbVie Inc.	88.14
1960-03-31	USTUTXT	AbbVie Inc.	92.08
1960-04-30	USTUTXT	AbbVie Inc.	88.54
1960-05-31	USTUTXT	AbbVie Inc.	83.83
1960-06-30	USTUTXT	AbbVie Inc.	82.31
1960-07-31	USTUTXT	AbbVie Inc.	85.22
1960-08-31	USTUTXT	AbbVie Inc.	85.8
1960-09-30	USTUTXT	AbbVie Inc.	89.45
1960-10-31	USTUTXT	AbbVie Inc.	83.18
1960-11-30	USTUTXT	AbbVie Inc.	86.56
1960-12-31	USTUTXT	AbbVie Inc.	80.22
1961-01-31	USTUTXT	AbbVie Inc.	80.09
1961-02-28	USTUTXT	AbbVie Inc.	72.63
1961-03-31	USTUTXT	AbbVie Inc.	69.72
1961-04-30	USTUTXT	AbbVie Inc.	69.83
1961-05-31	USTUTXT	AbbVie Inc.	76.38
1961-06-30	USTUTXT	AbbVie Inc.	76.85
1961-07-31	USTUTXT	AbbVie Inc.	81.22
1961-08-31	USTUTXT	AbbVie Inc.	78.22
1961-09-30	USTUTXT	AbbVie Inc.	78.18
1961-10-31	USTUTXT	AbbVie Inc.	79.41
1961-11-30	USTUTXT	AbbVie Inc.	78.25
1961-12-31	USTUTXT	AbbVie Inc.	80.43
1962-01-31	USTUTXT	AbbVie Inc.	81.21
1962-02-28	USTUTXT	AbbVie Inc.	78.3
1962-03-31	USTUTXT	AbbVie Inc.	79.85
1962-04-30	USTUTXT	AbbVie Inc.	72.89
1962-05-31	USTUTXT	AbbVie Inc.	74.22
1962-06-30	USTUTXT	AbbVie Inc.	75.42
1962-07-31	USTUTXT	AbbVie Inc.	72.93
1962-08-31	USTUTXT	AbbVie Inc.	71.03
1962-09-30	USTUTXT	AbbVie Inc.	70.39
1962-10-31	USTUTXT	AbbVie Inc.	71.78
1962-11-30	USTUTXT	AbbVie Inc.	70.74
1962-12-31	USTUTXT	AbbVie Inc.	68.75
1963-01-31	USTUTXT	AbbVie Inc.	71.39
1963-02-28	USTUTXT	AbbVie Inc.	76.01
1963-03-31	USTUTXT	AbbVie Inc.	71.68
1963-04-30	USTUTXT	AbbVie Inc.	69.96
1963-05-31	USTUTXT	AbbVie Inc.	65.93
1963-06-30	USTUTXT	AbbVie Inc.	63.59
1963-07-31	USTUTXT	AbbVie Inc.	61.03676719219286
1963-08-31	USTUTXT	AbbVie Inc.	62.62
1963-09-30	USTUTXT	AbbVie Inc.	66.04
1963-10-31	USTUTXT	AbbVie Inc.	65.26
1963-11-30	USTUTXT	AbbVie Inc.	70.11
1963-12-31	USTUTXT	AbbVie Inc.	69.39
1964-01-31	USTUTXT	AbbVie Inc.	71.99
1964-02-29	USTUTXT	AbbVie Inc.	66.16
1964-03-31	USTUTXT	AbbVie Inc.	60.48
1964-04-30	USTUTXT	AbbVie Inc.	61.588044492737325
1964-05-31	USTUTXT	AbbVie Inc.	61.12
1964-06-30	USTUTXT	AbbVie Inc.	64.51
1964-07-31	USTUTXT	AbbVie Inc.	68.75
1964-08-31	USTUTXT	AbbVie Inc.	69.08
1964-09-30	USTUTXT	AbbVie Inc.	74.44
1964-10-31	USTUTXT	AbbVie Inc.	72.67
1964-11-30	USTUTXT	AbbVie Inc.	70.56
1964-12-31	USTUTXT	AbbVie Inc.	74.98
1965-01-31	USTUTXT	AbbVie Inc.	70.0
1965-02-28	USTUTXT	AbbVie Inc.	68.92
1965-03-31	USTUTXT	AbbVie Inc.	71.28
1965-04-30	USTUTXT	AbbVie Inc.	71.99
1965-05-31	USTUTXT	AbbVie Inc.	72.96
1965-06-30	USTUTXT	AbbVie Inc.	74.67
1965-07-31	USTUTXT	AbbVie Inc.	69.88
1965-08-31	USTUTXT	AbbVie Inc.	66.86
1965-09-30	USTUTXT	AbbVie Inc.	74.34
1965-10-31	USTUTXT	AbbVie Inc.	76.25
1965-11-30	USTUTXT	AbbVie Inc.	84.53
1965-12-31	USTUTXT	AbbVie Inc.	85.06
1966-01-31	USTUTXT	AbbVie Inc.	79.29
1966-02-28	USTUTXT	AbbVie Inc.	84.3
1966-03-31	USTUTXT	AbbVie Inc.	82.9
1966-04-30	USTUTXT	AbbVie Inc.	85.67
1966-05-31	USTUTXT	AbbVie Inc.	85.55
1966-06-30	USTUTXT	AbbVie Inc.	89.18
1966-07-31	USTUTXT	AbbVie Inc.	89.57
1966-08-31	USTUTXT	AbbVie Inc.	91.66
1966-09-30	USTUTXT	AbbVie Inc.	85.64
1966-10-31	USTUTXT	AbbVie Inc.	81.48
1966-11-30	USTUTXT	AbbVie Inc.	82.34
1966-12-31	USTUTXT	AbbVie Inc.	85.31
1967-01-31	USTUTXT	AbbVie Inc.	89.83
1967-02-28	USTUTXT	AbbVie Inc.	97.86
1967-03-31	USTUTXT	AbbVie Inc.	95.46
1967-04-30	USTUTXT	AbbVie Inc.	87.48
1967-05-31	USTUTXT	AbbVie Inc.	88.68
1967-06-30	USTUTXT	AbbVie Inc.	82.87
1967-07-31	USTUTXT	AbbVie Inc.	86.41
1967-08-31	USTUTXT	AbbVie Inc.	92.02
1967-09-30	USTUTXT	AbbVie Inc.	87.17
1967-10-31	USTUTXT	AbbVie Inc.	88.54
1967-11-30	USTUTXT	AbbVie Inc.	87.43
1967-12-31	USTUTXT	AbbVie Inc.	90.0
1968-01-31	USTUTXT	AbbVie Inc.	95.97
1968-02-29	USTUTXT	AbbVie Inc.	98.95
1968-03-31	USTUTXT	AbbVie Inc.	97.66
1968-04-30	USTUTXT	AbbVie Inc.	96.19
1968-05-31	USTUTXT	AbbVie Inc.	93.46
1968-06-30	USTUTXT	AbbVie Inc.	93.7
1968-07-31	USTUTXT	AbbVie Inc.	96.13
1968-08-31	USTUTXT	AbbVie Inc.	94.56
1968-09-30	USTUTXT	AbbVie Inc.	98.13
1968-10-31	USTUTXT	AbbVie Inc.	97.58
1968-11-30	USTUTXT	AbbVie Inc.	98.95
1968-12-31	USTUTXT	AbbVie Inc.	100.78
1969-01-31	USTUTXT	AbbVie Inc.	94.41
1969-02-28	USTUTXT	AbbVie Inc.	94.15
1969-03-31	USTUTXT	AbbVie Inc.	92.82
1969-04-30	USTUTXT	AbbVie Inc.	88.85
1969-05-31	USTUTXT	AbbVie Inc.	86.92
1969-06-30	USTUTXT	AbbVie Inc.	87.43
1969-07-31	USTUTXT	AbbVie Inc.	85.67
1969-08-31	USTUTXT	AbbVie Inc.	81.54
1969-09-30	USTUTXT	AbbVie Inc.	77.58
1969-10-31	USTUTXT	AbbVie Inc.	75.85
1969-11-30	USTUTXT	AbbVie Inc.	79.98
1969-12-31	USTUTXT	AbbVie Inc.	79.27
1970-01-31	USTUTXT	AbbVie Inc.	74.77
1970-02-28	USTUTXT	AbbVie Inc.	72.08
1970-03-31	USTUTXT	AbbVie Inc.	69.87
1970-04-30	USTUTXT	AbbVie Inc.	62.3
1970-05-31	USTUTXT	AbbVie Inc.	62.96134940333491
1970-06-30	USTUTXT	AbbVie Inc.	62.2
1970-07-31	USTUTXT	AbbVie Inc.	66.96
1970-08-31	USTUTXT	AbbVie Inc.	70.48
1970-09-30	USTUTXT	AbbVie Inc.	78.28
1970-10-31	USTUTXT	AbbVie Inc.	76.74
1970-11-30	USTUTXT	AbbVie Inc.	75.69
1970-12-31	USTUTXT	AbbVie Inc.	84.01
1971-01-31	USTUTXT	AbbVie Inc.	83.22
1971-02-28	USTUTXT	AbbVie Inc.	82.93
1971-03-31	USTUTXT	AbbVie Inc.	80.41
1971-04-30	USTUTXT	AbbVie Inc.	83.47
1971-05-31	USTUTXT	AbbVie Inc.	85.64
1971-06-30	USTUTXT	AbbVie Inc.	86.9
1971-07-31	USTUTXT	AbbVie Inc.	81.79
1971-08-31	USTUTXT	AbbVie Inc.	81.83
1971-09-30	USTUTXT	AbbVie Inc.	74.29
1971-10-31	USTUTXT	AbbVie Inc.	80.53
1971-11-30	USTUTXT	AbbVie Inc.	79.41
1971-12-31	USTUTXT	AbbVie Inc.	81.7
1972-01-31	USTUTXT	AbbVie Inc.	78.85
1972-02-29	USTUTXT	AbbVie Inc.	80.6
1972-03-31	USTUTXT	AbbVie Inc.	82.85
1972-04-30	USTUTXT	AbbVie Inc.	83.61
1972-05-31	USTUTXT	AbbVie Inc.	75.17
1972-06-30	USTUTXT	AbbVie Inc.	80.47
1972-07-31	USTUTXT	AbbVie Inc.	81.03
1972-08-31	USTUTXT	AbbVie Inc.	82.34
1972-09-30	USTUTXT	AbbVie Inc.	84.92
1972-10-31	USTUTXT	AbbVie Inc.	81.26
1972-11-30	USTUTXT	AbbVie Inc.	85.62
1972-12-31	USTUTXT	AbbVie Inc.	80.11
1973-01-31	USTUTXT	AbbVie Inc.	81.14
1973-02-28	USTUTXT	AbbVie Inc.	75.47
1973-03-31	USTUTXT	AbbVie Inc.	72.66
1973-04-30	USTUTXT	AbbVie Inc.	76.51
1973-05-31	USTUTXT	AbbVie Inc.	78.96
1973-06-30	USTUTXT	AbbVie Inc.	87.35
1973-07-31	USTUTXT	AbbVie Inc.	85.0
1973-08-31	USTUTXT	AbbVie Inc.	87.59
1973-09-30	USTUTXT	AbbVie Inc.	95.71
1973-10-31	USTUTXT	AbbVie Inc.	97.01
1973-11-30	USTUTXT	AbbVie Inc.	97.85
1973-12-31	USTUTXT	AbbVie Inc.	91.2
1974-01-31	USTUTXT	AbbVie Inc.	85.39
1974-02-28	USTUTXT	AbbVie Inc.	90.74
1974-03-31	USTUTXT	AbbVie Inc.	93.78
1974-04-30	USTUTXT	AbbVie Inc.	103.52
1974-05-31	USTUTXT	AbbVie Inc.	107.68
1974-06-30	USTUTXT	AbbVie Inc.	101.92
1974-07-31	USTUTXT	AbbVie Inc.	95.55
1974-08-31	USTUTXT	AbbVie Inc.	93.82
1974-09-30	USTUTXT	AbbVie Inc.	89.56
1974-10-31	USTUTXT	AbbVie Inc.	92.64
1974-11-30	USTUTXT	AbbVie Inc.	92.63
1974-12-31	USTUTXT	AbbVie Inc.	90.92
1975-01-31	USTUTXT	AbbVie Inc.	93.67
