Date	Company Code	Company Name	Stock Price
1959-01-31	US8VAKM	Abercrombie & Fitch Co.	118.01
1959-02-28	US8VAKM	Abercrombie & Fitch Co.	117.09
1959-03-31	US8VAKM	Abercrombie & Fitch Co.	123.18
1959-04-30	US8VAKM	Abercrombie & Fitch Co.	119.0
1959-05-31	US8VAKM	Abercrombie & Fitch Co.	121.67
1959-06-30	US8VAKM	Abercrombie & Fitch Co.	123.96
1959-07-31	US8VAKM	Abercrombie & Fitch Co.	127.36
1959-08-31	US8VAKM	Abercrombie & Fitch Co.	128.38
1959-09-30	US8VAKM	Abercrombie & Fitch Co.	126.22
1959-10-31	US8VAKM	Abercrombie & Fitch Co.	126.21
1959-11-30	US8VAKM	Abercrombie & Fitch Co.	124.04
1959-12-31	US8VAKM	Abercrombie & Fitch Co.	127.51
1960-01-31	US8VAKM	Abercrombie & Fitch Co.	123.77
1960-02-29	US8VAKM	Abercrombie & Fitch Co.	120.48
1960-03-31	US8VAKM	Abercrombie & Fitch Co.	118.77
1960-04-30	US8VAKM	Abercrombie & Fitch Co.	111.62
1960-05-31	US8VAKM	Abercrombie & Fitch Co.	110.39
1960-06-30	US8VAKM	Abercrombie & Fitch Co.	113.01
1960-07-31	US8VAKM	Abercrombie & Fitch Co.	104.9
1960-08-31	US8VAKM	Abercrombie & Fitch Co.	106.74
1960-09-30	US8VAKM	Abercrombie & Fitch Co.	112.44
1960-10-31	US8VAKM	Abercrombie & Fitch Co.	109.66
1960-11-30	US8VAKM	Abercrombie & Fitch Co.	111.35
1960-12-31	US8VAKM	Abercrombie & Fitch Co.	107.65
1961-01-31	US8VAKM	Abercrombie & Fitch Co.	109.47
1961-02-28	US8VAKM	Abercrombie & Fitch Co.	108.19
1961-03-31	US8VAKM	Abercrombie & Fitch Co.	108.39
1961-04-30	US8VAKM	Abercrombie & Fitch Co.	103.87
1961-05-31	US8VAKM	Abercrombie & Fitch Co.	102.52
1961-06-30	US8VAKM	Abercrombie & Fitch Co.	99.8
1961-07-31	US8VAKM	Abercrombie & Fitch Co.	99.41
1961-08-31	US8VAKM	Abercrombie & Fitch Co.	98.64
1961-09-30	US8VAKM	Abercrombie & Fitch Co.	105.67
1961-10-31	US8VAKM	Abercrombie & Fitch Co.	100.12
1961-11-30	US8VAKM	Abercrombie & Fitch Co.	97.89
1961-12-31	US8VAKM	Abercrombie & Fitch Co.	102.97
1962-01-31	US8VAKM	Abercrombie & Fitch Co.	104.48
1962-02-28	US8VAKM	Abercrombie & Fitch Co.	105.47
1962-03-31	US8VAKM	Abercrombie & Fitch Co.	103.25
1962-04-30	US8VAKM	Abercrombie & Fitch Co.	102.0
1962-05-31	US8VAKM	Abercrombie & Fitch Co.	109.43
1962-06-30	US8VAKM	Abercrombie & Fitch Co.	112.23
1962-07-31	US8VAKM	Abercrombie & Fitch Co.	115.93
1962-08-31	US8VAKM	Abercrombie & Fitch Co.	106.89
1962-09-30	US8VAKM	Abercrombie & Fitch Co.	109.39
1962-10-31	US8VAKM	Abercrombie & Fitch Co.	111.04
1962-11-30	US8VAKM	Abercrombie & Fitch Co.	108.49
1962-12-31	US8VAKM	Abercrombie & Fitch Co.	114.3
1963-01-31	US8VAKM	Abercrombie & Fitch Co.	115.64
1963-02-28	US8VAKM	Abercrombie & Fitch Co.	113.61
