Date	Company Code	Company Name	Stock Price
1959-01-31	USIUJ4N	Adidas AG	103.27
1959-02-28	USIUJ4N	Adidas AG	103.57
1959-03-31	USIUJ4N	Adidas AG	104.0
1959-04-30	USIUJ4N	Adidas AG	107.11
1959-05-31	USIUJ4N	Adidas AG	107.94
1959-06-30	USIUJ4N	Adidas AG	106.53
1959-07-31	USIUJ4N	Adidas AG	106.93
1959-08-31	USIUJ4N	Adidas AG	101.56
1959-09-30	USIUJ4N	Adidas AG	101.4
1959-10-31	USIUJ4N	Adidas AG	100.47
1959-11-30	USIUJ4N	Adidas AG	106.06
1959-12-31	USIUJ4N	Adidas AG	112.28
1960-01-31	USIUJ4N	Adidas AG	112.84
1960-02-29	USIUJ4N	Adidas AG	111.42
1960-03-31	USIUJ4N	Adidas AG	107.51
1960-04-30	USIUJ4N	Adidas AG	109.76
1960-05-31	USIUJ4N	Adidas AG	113.73
1960-06-30	USIUJ4N	Adidas AG	112.79
1960-07-31	USIUJ4N	Adidas AG	113.24
1960-08-31	USIUJ4N	Adidas AG	117.08
1960-09-30	USIUJ4N	Adidas AG	118.03
1960-10-31	USIUJ4N	Adidas AG	120.86
1960-11-30	USIUJ4N	Adidas AG	121.88
1960-12-31	USIUJ4N	Adidas AG	119.21
1961-01-31	USIUJ4N	Adidas AG	119.67
1961-02-28	USIUJ4N	Adidas AG	120.49
1961-03-31	USIUJ4N	Adidas AG	112.55
1961-04-30	USIUJ4N	Adidas AG	117.67
1961-05-31	USIUJ4N	Adidas AG	117.07
1961-06-30	USIUJ4N	Adidas AG	114.88
1961-07-31	USIUJ4N	Adidas AG	118.27
1961-08-31	USIUJ4N	Adidas AG	123.85
1961-09-30	USIUJ4N	Adidas AG	120.09
1961-10-31	USIUJ4N	Adidas AG	116.67
1961-11-30	USIUJ4N	Adidas AG	109.84
1961-12-31	USIUJ4N	Adidas AG	112.1
1962-01-31	USIUJ4N	Adidas AG	108.66
1962-02-28	USIUJ4N	Adidas AG	103.88
1962-03-31	USIUJ4N	Adidas AG	99.7
1962-04-30	USIUJ4N	Adidas AG	103.22
1962-05-31	USIUJ4N	Adidas AG	100.8
1962-06-30	USIUJ4N	Adidas AG	99.77
1962-07-31	USIUJ4N	Adidas AG	96.66
1962-08-31	USIUJ4N	Adidas AG	101.22
1962-09-30	USIUJ4N	Adidas AG	98.43
1962-10-31	USIUJ4N	Adidas AG	95.9
1962-11-30	USIUJ4N	Adidas AG	98.14
1962-12-31	USIUJ4N	Adidas AG	95.23
1963-01-31	USIUJ4N	Adidas AG	101.14
1963-02-28	USIUJ4N	Adidas AG	99.78
1963-03-31	USIUJ4N	Adidas AG	96.83
1963-04-30	USIUJ4N	Adidas AG	97.09
1963-05-31	USIUJ4N	Adidas AG	89.95
1963-06-30	USIUJ4N	Adidas AG	92.41
1963-07-31	USIUJ4N	Adidas AG	84.07
1963-08-31	USIUJ4N	Adidas AG	85.58
1963-09-30	USIUJ4N	Adidas AG	88.23
1963-10-31	USIUJ4N	Adidas AG	89.68
1963-11-30	USIUJ4N	Adidas AG	89.45
1963-12-31	USIUJ4N	Adidas AG	85.23
1964-01-31	USIUJ4N	Adidas AG	78.43
1964-02-29	USIUJ4N	Adidas AG	82.33
1964-03-31	USIUJ4N	Adidas AG	78.94
1964-04-30	USIUJ4N	Adidas AG	86.54
1964-05-31	USIUJ4N	Adidas AG	91.06
1964-06-30	USIUJ4N	Adidas AG	87.33
1964-07-31	USIUJ4N	Adidas AG	93.51
1964-08-31	USIUJ4N	Adidas AG	99.16
1964-09-30	USIUJ4N	Adidas AG	103.23
1964-10-31	USIUJ4N	Adidas AG	103.31
1964-11-30	USIUJ4N	Adidas AG	101.37
1964-12-31	USIUJ4N	Adidas AG	100.79
1965-01-31	USIUJ4N	Adidas AG	101.91
1965-02-28	USIUJ4N	Adidas AG	102.55
1965-03-31	USIUJ4N	Adidas AG	96.86
1965-04-30	USIUJ4N	Adidas AG	94.07
1965-05-31	USIUJ4N	Adidas AG	99.23
1965-06-30	USIUJ4N	Adidas AG	104.9
1965-07-31	USIUJ4N	Adidas AG	104.84
1965-08-31	USIUJ4N	Adidas AG	102.25
1965-09-30	USIUJ4N	Adidas AG	100.79
1965-10-31	USIUJ4N	Adidas AG	97.57
1965-11-30	USIUJ4N	Adidas AG	94.94
1965-12-31	USIUJ4N	Adidas AG	91.36
1966-01-31	USIUJ4N	Adidas AG	87.28
1966-02-28	USIUJ4N	Adidas AG	83.38
1966-03-31	USIUJ4N	Adidas AG	79.45
1966-04-30	USIUJ4N	Adidas AG	79.97
1966-05-31	USIUJ4N	Adidas AG	86.09
1966-06-30	USIUJ4N	Adidas AG	80.55
1966-07-31	USIUJ4N	Adidas AG	79.87
1966-08-31	USIUJ4N	Adidas AG	73.55
1966-09-30	USIUJ4N	Adidas AG	70.73
1966-10-31	USIUJ4N	Adidas AG	71.65
1966-11-30	USIUJ4N	Adidas AG	69.35
1966-12-31	USIUJ4N	Adidas AG	62.08
1967-01-31	USIUJ4N	Adidas AG	61.25
1967-02-28	USIUJ4N	Adidas AG	62.66
1967-03-31	USIUJ4N	Adidas AG	62.578531899866384
1967-04-30	USIUJ4N	Adidas AG	61.150066999774616
1967-05-31	USIUJ4N	Adidas AG	64.04
1967-06-30	USIUJ4N	Adidas AG	61.21912971891015
1967-07-31	USIUJ4N	Adidas AG	60.15
1967-08-31	USIUJ4N	Adidas AG	60.32
1967-09-30	USIUJ4N	Adidas AG	66.88
1967-10-31	USIUJ4N	Adidas AG	70.58
1967-11-30	USIUJ4N	Adidas AG	66.76
1967-12-31	USIUJ4N	Adidas AG	66.04
1968-01-31	USIUJ4N	Adidas AG	65.61
1968-02-29	USIUJ4N	Adidas AG	63.74
1968-03-31	USIUJ4N	Adidas AG	62.19
1968-04-30	USIUJ4N	Adidas AG	67.94
1968-05-31	USIUJ4N	Adidas AG	70.63
1968-06-30	USIUJ4N	Adidas AG	65.77
1968-07-31	USIUJ4N	Adidas AG	63.46
1968-08-31	USIUJ4N	Adidas AG	63.71
1968-09-30	USIUJ4N	Adidas AG	65.86
