Date	Company Code	Company Name	Stock Price
1959-01-31	USC3J4K	Adobe Inc.	96.33
1959-02-28	USC3J4K	Adobe Inc.	93.61
1959-03-31	USC3J4K	Adobe Inc.	101.54
1959-04-30	USC3J4K	Adobe Inc.	97.41
1959-05-31	USC3J4K	Adobe Inc.	97.04
1959-06-30	USC3J4K	Adobe Inc.	99.98
1959-07-31	USC3J4K	Adobe Inc.	97.98
1959-08-31	USC3J4K	Adobe Inc.	95.16
1959-09-30	USC3J4K	Adobe Inc.	95.78
1959-10-31	USC3J4K	Adobe Inc.	94.74
1959-11-30	USC3J4K	Adobe Inc.	96.7
1959-12-31	USC3J4K	Adobe Inc.	97.32
1960-01-31	USC3J4K	Adobe Inc.	98.45
1960-02-29	USC3J4K	Adobe Inc.	97.99
1960-03-31	USC3J4K	Adobe Inc.	99.5
1960-04-30	USC3J4K	Adobe Inc.	98.47
1960-05-31	USC3J4K	Adobe Inc.	100.6
1960-06-30	USC3J4K	Adobe Inc.	92.82
1960-07-31	USC3J4K	Adobe Inc.	92.72
1960-08-31	USC3J4K	Adobe Inc.	88.49
1960-09-30	USC3J4K	Adobe Inc.	79.68
1960-10-31	USC3J4K	Adobe Inc.	74.08
1960-11-30	USC3J4K	Adobe Inc.	75.2
1960-12-31	USC3J4K	Adobe Inc.	81.42
1961-01-31	USC3J4K	Adobe Inc.	82.04
1961-02-28	USC3J4K	Adobe Inc.	80.77
1961-03-31	USC3J4K	Adobe Inc.	79.38
1961-04-30	USC3J4K	Adobe Inc.	79.36
1961-05-31	USC3J4K	Adobe Inc.	82.39
1961-06-30	USC3J4K	Adobe Inc.	83.92
1961-07-31	USC3J4K	Adobe Inc.	82.23
1961-08-31	USC3J4K	Adobe Inc.	73.55
1961-09-30	USC3J4K	Adobe Inc.	75.7
1961-10-31	USC3J4K	Adobe Inc.	70.74
1961-11-30	USC3J4K	Adobe Inc.	73.77
1961-12-31	USC3J4K	Adobe Inc.	77.64
1962-01-31	USC3J4K	Adobe Inc.	77.62
1962-02-28	USC3J4K	Adobe Inc.	76.25
1962-03-31	USC3J4K	Adobe Inc.	79.78
1962-04-30	USC3J4K	Adobe Inc.	82.78
1962-05-31	USC3J4K	Adobe Inc.	81.12
1962-06-30	USC3J4K	Adobe Inc.	85.03
1962-07-31	USC3J4K	Adobe Inc.	86.94
1962-08-31	USC3J4K	Adobe Inc.	91.41
1962-09-30	USC3J4K	Adobe Inc.	91.36
1962-10-31	USC3J4K	Adobe Inc.	88.4
1962-11-30	USC3J4K	Adobe Inc.	81.91
1962-12-31	USC3J4K	Adobe Inc.	74.7
1963-01-31	USC3J4K	Adobe Inc.	68.26
1963-02-28	USC3J4K	Adobe Inc.	72.34
1963-03-31	USC3J4K	Adobe Inc.	69.67
1963-04-30	USC3J4K	Adobe Inc.	61.64
1963-05-31	USC3J4K	Adobe Inc.	61.493992967260304
1963-06-30	USC3J4K	Adobe Inc.	65.52
1963-07-31	USC3J4K	Adobe Inc.	69.65
1963-08-31	USC3J4K	Adobe Inc.	63.57
1963-09-30	USC3J4K	Adobe Inc.	68.86
1963-10-31	USC3J4K	Adobe Inc.	60.96
1963-11-30	USC3J4K	Adobe Inc.	62.6
1963-12-31	USC3J4K	Adobe Inc.	64.0
1964-01-31	USC3J4K	Adobe Inc.	61.453375427899594
1964-02-29	USC3J4K	Adobe Inc.	65.06
1964-03-31	USC3J4K	Adobe Inc.	70.06
1964-04-30	USC3J4K	Adobe Inc.	62.52
1964-05-31	USC3J4K	Adobe Inc.	63.03
1964-06-30	USC3J4K	Adobe Inc.	63.85
1964-07-31	USC3J4K	Adobe Inc.	61.69
1964-08-31	USC3J4K	Adobe Inc.	68.98
1964-09-30	USC3J4K	Adobe Inc.	72.72
1964-10-31	USC3J4K	Adobe Inc.	70.45
1964-11-30	USC3J4K	Adobe Inc.	65.56
1964-12-31	USC3J4K	Adobe Inc.	67.59
1965-01-31	USC3J4K	Adobe Inc.	65.59
1965-02-28	USC3J4K	Adobe Inc.	61.771535280236094
1965-03-31	USC3J4K	Adobe Inc.	62.68670611779382
1965-04-30	USC3J4K	Adobe Inc.	61.24929883798226
1965-05-31	USC3J4K	Adobe Inc.	65.86
1965-06-30	USC3J4K	Adobe Inc.	61.27
1965-07-31	USC3J4K	Adobe Inc.	62.71383098685041
1965-08-31	USC3J4K	Adobe Inc.	67.51
1965-09-30	USC3J4K	Adobe Inc.	66.46
1965-10-31	USC3J4K	Adobe Inc.	64.05
1965-11-30	USC3J4K	Adobe Inc.	62.233716449915214
1965-12-31	USC3J4K	Adobe Inc.	61.01
1966-01-31	USC3J4K	Adobe Inc.	64.33
1966-02-28	USC3J4K	Adobe Inc.	63.49
1966-03-31	USC3J4K	Adobe Inc.	61.41505082282468
1966-04-30	USC3J4K	Adobe Inc.	63.16
1966-05-31	USC3J4K	Adobe Inc.	64.9
1966-06-30	USC3J4K	Adobe Inc.	64.39
1966-07-31	USC3J4K	Adobe Inc.	70.1
1966-08-31	USC3J4K	Adobe Inc.	65.7
1966-09-30	USC3J4K	Adobe Inc.	65.51
1966-10-31	USC3J4K	Adobe Inc.	63.31
1966-11-30	USC3J4K	Adobe Inc.	64.48
1966-12-31	USC3J4K	Adobe Inc.	62.4
1967-01-31	USC3J4K	Adobe Inc.	61.340770092095404
1967-02-28	USC3J4K	Adobe Inc.	61.67965691465453
1967-03-31	USC3J4K	Adobe Inc.	62.04425440977602
1967-04-30	USC3J4K	Adobe Inc.	61.31
1967-05-31	USC3J4K	Adobe Inc.	66.47
1967-06-30	USC3J4K	Adobe Inc.	69.66
1967-07-31	USC3J4K	Adobe Inc.	67.99
1967-08-31	USC3J4K	Adobe Inc.	68.45
1967-09-30	USC3J4K	Adobe Inc.	71.95
1967-10-31	USC3J4K	Adobe Inc.	78.12
1967-11-30	USC3J4K	Adobe Inc.	81.64
1967-12-31	USC3J4K	Adobe Inc.	88.03
1968-01-31	USC3J4K	Adobe Inc.	85.43
1968-02-29	USC3J4K	Adobe Inc.	78.24
1968-03-31	USC3J4K	Adobe Inc.	73.7
1968-04-30	USC3J4K	Adobe Inc.	68.64
1968-05-31	USC3J4K	Adobe Inc.	68.88
1968-06-30	USC3J4K	Adobe Inc.	77.45
1968-07-31	USC3J4K	Adobe Inc.	76.45
1968-08-31	USC3J4K	Adobe Inc.	76.26
1968-09-30	USC3J4K	Adobe Inc.	68.65
1968-10-31	USC3J4K	Adobe Inc.	65.52
1968-11-30	USC3J4K	Adobe Inc.	68.69
1968-12-31	USC3J4K	Adobe Inc.	63.76
1969-01-31	USC3J4K	Adobe Inc.	61.74
1969-02-28	USC3J4K	Adobe Inc.	62.26376194062609
1969-03-31	USC3J4K	Adobe Inc.	62.1960193187501
1969-04-30	USC3J4K	Adobe Inc.	61.9563693839612
1969-05-31	USC3J4K	Adobe Inc.	61.524063893378425
1969-06-30	USC3J4K	Adobe Inc.	61.64972608531192
1969-07-31	USC3J4K	Adobe Inc.	60.42
1969-08-31	USC3J4K	Adobe Inc.	63.71
1969-09-30	USC3J4K	Adobe Inc.	65.78
1969-10-31	USC3J4K	Adobe Inc.	70.48
1969-11-30	USC3J4K	Adobe Inc.	70.75
1969-12-31	USC3J4K	Adobe Inc.	70.65
1970-01-31	USC3J4K	Adobe Inc.	70.42
1970-02-28	USC3J4K	Adobe Inc.	67.57
1970-03-31	USC3J4K	Adobe Inc.	63.32
1970-04-30	USC3J4K	Adobe Inc.	61.24
1970-05-31	USC3J4K	Adobe Inc.	62.72666863584347
1970-06-30	USC3J4K	Adobe Inc.	67.93
1970-07-31	USC3J4K	Adobe Inc.	69.4
1970-08-31	USC3J4K	Adobe Inc.	63.99
1970-09-30	USC3J4K	Adobe Inc.	61.83508278687339
1970-10-31	USC3J4K	Adobe Inc.	65.37
1970-11-30	USC3J4K	Adobe Inc.	62.17
1970-12-31	USC3J4K	Adobe Inc.	60.62
1971-01-31	USC3J4K	Adobe Inc.	61.4499210834568
1971-02-28	USC3J4K	Adobe Inc.	62.58079627567046
1971-03-31	USC3J4K	Adobe Inc.	61.62032954354236
1971-04-30	USC3J4K	Adobe Inc.	62.771912500316745
1971-05-31	USC3J4K	Adobe Inc.	67.5
1971-06-30	USC3J4K	Adobe Inc.	63.24
1971-07-31	USC3J4K	Adobe Inc.	63.7
1971-08-31	USC3J4K	Adobe Inc.	62.31771157315013
1971-09-30	USC3J4K	Adobe Inc.	61.33
1971-10-31	USC3J4K	Adobe Inc.	61.572146659545574
1971-11-30	USC3J4K	Adobe Inc.	61.53
1971-12-31	USC3J4K	Adobe Inc.	65.92
1972-01-31	USC3J4K	Adobe Inc.	61.0436068463854
1972-02-29	USC3J4K	Adobe Inc.	62.556058497558176
1972-03-31	USC3J4K	Adobe Inc.	62.23005081153733
1972-04-30	USC3J4K	Adobe Inc.	69.16
1972-05-31	USC3J4K	Adobe Inc.	62.18
1972-06-30	USC3J4K	Adobe Inc.	63.88
1972-07-31	USC3J4K	Adobe Inc.	65.15
1972-08-31	USC3J4K	Adobe Inc.	67.37
1972-09-30	USC3J4K	Adobe Inc.	66.04
1972-10-31	USC3J4K	Adobe Inc.	63.03
1972-11-30	USC3J4K	Adobe Inc.	71.34
1972-12-31	USC3J4K	Adobe Inc.	71.05
1973-01-31	USC3J4K	Adobe Inc.	77.07
1973-02-28	USC3J4K	Adobe Inc.	71.63
1973-03-31	USC3J4K	Adobe Inc.	70.12
1973-04-30	USC3J4K	Adobe Inc.	68.07
1973-05-31	USC3J4K	Adobe Inc.	66.25
1973-06-30	USC3J4K	Adobe Inc.	65.9
1973-07-31	USC3J4K	Adobe Inc.	62.7513232597509
1973-08-31	USC3J4K	Adobe Inc.	60.01
1973-09-30	USC3J4K	Adobe Inc.	64.12
1973-10-31	USC3J4K	Adobe Inc.	62.03
1973-11-30	USC3J4K	Adobe Inc.	63.42
1973-12-31	USC3J4K	Adobe Inc.	68.24
1974-01-31	USC3J4K	Adobe Inc.	67.07
1974-02-28	USC3J4K	Adobe Inc.	63.84
1974-03-31	USC3J4K	Adobe Inc.	69.82
1974-04-30	USC3J4K	Adobe Inc.	69.2
1974-05-31	USC3J4K	Adobe Inc.	66.99
1974-06-30	USC3J4K	Adobe Inc.	67.57
1974-07-31	USC3J4K	Adobe Inc.	72.19
1974-08-31	USC3J4K	Adobe Inc.	71.86
1974-09-30	USC3J4K	Adobe Inc.	67.82
1974-10-31	USC3J4K	Adobe Inc.	72.49
1974-11-30	USC3J4K	Adobe Inc.	78.61
1974-12-31	USC3J4K	Adobe Inc.	82.96
1975-01-31	USC3J4K	Adobe Inc.	77.45
1975-02-28	USC3J4K	Adobe Inc.	78.09
1975-03-31	USC3J4K	Adobe Inc.	72.46
1975-04-30	USC3J4K	Adobe Inc.	73.77
1975-05-31	USC3J4K	Adobe Inc.	69.68
1975-06-30	USC3J4K	Adobe Inc.	64.66
1975-07-31	USC3J4K	Adobe Inc.	61.21
1975-08-31	USC3J4K	Adobe Inc.	60.52
1975-09-30	USC3J4K	Adobe Inc.	62.89404494147006
1975-10-31	USC3J4K	Adobe Inc.	68.88
1975-11-30	USC3J4K	Adobe Inc.	69.9
1975-12-31	USC3J4K	Adobe Inc.	62.11
1976-01-31	USC3J4K	Adobe Inc.	62.6270873949907
1976-02-29	USC3J4K	Adobe Inc.	61.15
1976-03-31	USC3J4K	Adobe Inc.	61.47
1976-04-30	USC3J4K	Adobe Inc.	61.55
1976-05-31	USC3J4K	Adobe Inc.	62.75
1976-06-30	USC3J4K	Adobe Inc.	67.28
1976-07-31	USC3J4K	Adobe Inc.	62.89
1976-08-31	USC3J4K	Adobe Inc.	62.16
1976-09-30	USC3J4K	Adobe Inc.	66.63
1976-10-31	USC3J4K	Adobe Inc.	66.05
1976-11-30	USC3J4K	Adobe Inc.	62.72228893758956
1976-12-31	USC3J4K	Adobe Inc.	62.81
1977-01-31	USC3J4K	Adobe Inc.	65.05
1977-02-28	USC3J4K	Adobe Inc.	70.0
1977-03-31	USC3J4K	Adobe Inc.	71.39
1977-04-30	USC3J4K	Adobe Inc.	76.73
1977-05-31	USC3J4K	Adobe Inc.	83.98
1977-06-30	USC3J4K	Adobe Inc.	84.47
1977-07-31	USC3J4K	Adobe Inc.	84.86
1977-08-31	USC3J4K	Adobe Inc.	89.64
1977-09-30	USC3J4K	Adobe Inc.	97.53
1977-10-31	USC3J4K	Adobe Inc.	98.19
1977-11-30	USC3J4K	Adobe Inc.	98.03
1977-12-31	USC3J4K	Adobe Inc.	106.47
1978-01-31	USC3J4K	Adobe Inc.	106.32
1978-02-28	USC3J4K	Adobe Inc.	104.86
1978-03-31	USC3J4K	Adobe Inc.	105.05
1978-04-30	USC3J4K	Adobe Inc.	105.15
1978-05-31	USC3J4K	Adobe Inc.	109.84
1978-06-30	USC3J4K	Adobe Inc.	115.64
1978-07-31	USC3J4K	Adobe Inc.	117.81
1978-08-31	USC3J4K	Adobe Inc.	115.08
1978-09-30	USC3J4K	Adobe Inc.	109.8
1978-10-31	USC3J4K	Adobe Inc.	109.43
1978-11-30	USC3J4K	Adobe Inc.	116.18
1978-12-31	USC3J4K	Adobe Inc.	117.09
1979-01-31	USC3J4K	Adobe Inc.	116.7
1979-02-28	USC3J4K	Adobe Inc.	125.59
1979-03-31	USC3J4K	Adobe Inc.	119.95
1979-04-30	USC3J4K	Adobe Inc.	128.67
1979-05-31	USC3J4K	Adobe Inc.	128.88
1979-06-30	USC3J4K	Adobe Inc.	125.23
1979-07-31	USC3J4K	Adobe Inc.	124.83
1979-08-31	USC3J4K	Adobe Inc.	131.52
1979-09-30	USC3J4K	Adobe Inc.	129.57
1979-10-31	USC3J4K	Adobe Inc.	129.61
1979-11-30	USC3J4K	Adobe Inc.	129.39
1979-12-31	USC3J4K	Adobe Inc.	127.99
1980-01-31	USC3J4K	Adobe Inc.	123.71
1980-02-29	USC3J4K	Adobe Inc.	122.84
1980-03-31	USC3J4K	Adobe Inc.	123.43
1980-04-30	USC3J4K	Adobe Inc.	116.26
1980-05-31	USC3J4K	Adobe Inc.	121.04
1980-06-30	USC3J4K	Adobe Inc.	120.09
1980-07-31	USC3J4K	Adobe Inc.	118.94
1980-08-31	USC3J4K	Adobe Inc.	113.73
1980-09-30	USC3J4K	Adobe Inc.	110.75
1980-10-31	USC3J4K	Adobe Inc.	112.25
1980-11-30	USC3J4K	Adobe Inc.	110.69
1980-12-31	USC3J4K	Adobe Inc.	109.79
1981-01-31	USC3J4K	Adobe Inc.	103.46
1981-02-28	USC3J4K	Adobe Inc.	104.12
1981-03-31	USC3J4K	Adobe Inc.	106.93
1981-04-30	USC3J4K	Adobe Inc.	101.44
1981-05-31	USC3J4K	Adobe Inc.	99.34
1981-06-30	USC3J4K	Adobe Inc.	98.16
1981-07-31	USC3J4K	Adobe Inc.	101.82
1981-08-31	USC3J4K	Adobe Inc.	101.22
1981-09-30	USC3J4K	Adobe Inc.	101.72
1981-10-31	USC3J4K	Adobe Inc.	102.81
1981-11-30	USC3J4K	Adobe Inc.	105.6
1981-12-31	USC3J4K	Adobe Inc.	101.17
1982-01-31	USC3J4K	Adobe Inc.	102.15
1982-02-28	USC3J4K	Adobe Inc.	99.3
1982-03-31	USC3J4K	Adobe Inc.	92.95
1982-04-30	USC3J4K	Adobe Inc.	86.25
1982-05-31	USC3J4K	Adobe Inc.	90.39
1982-06-30	USC3J4K	Adobe Inc.	89.84
1982-07-31	USC3J4K	Adobe Inc.	92.44
1982-08-31	USC3J4K	Adobe Inc.	99.66
1982-09-30	USC3J4K	Adobe Inc.	103.48
1982-10-31	USC3J4K	Adobe Inc.	106.88
1982-11-30	USC3J4K	Adobe Inc.	107.86
1982-12-31	USC3J4K	Adobe Inc.	99.57
1983-01-31	USC3J4K	Adobe Inc.	98.44
1983-02-28	USC3J4K	Adobe Inc.	96.83
1983-03-31	USC3J4K	Adobe Inc.	99.05
1983-04-30	USC3J4K	Adobe Inc.	96.61
1983-05-31	USC3J4K	Adobe Inc.	98.78
1983-06-30	USC3J4K	Adobe Inc.	96.63
1983-07-31	USC3J4K	Adobe Inc.	96.01
1983-08-31	USC3J4K	Adobe Inc.	97.2
1983-09-30	USC3J4K	Adobe Inc.	99.6
1983-10-31	USC3J4K	Adobe Inc.	100.71
1983-11-30	USC3J4K	Adobe Inc.	105.41
1983-12-31	USC3J4K	Adobe Inc.	105.63
1984-01-31	USC3J4K	Adobe Inc.	110.27
1984-02-29	USC3J4K	Adobe Inc.	110.75
1984-03-31	USC3J4K	Adobe Inc.	106.29
1984-04-30	USC3J4K	Adobe Inc.	109.79
1984-05-31	USC3J4K	Adobe Inc.	109.52
1984-06-30	USC3J4K	Adobe Inc.	101.48
1984-07-31	USC3J4K	Adobe Inc.	101.48
1984-08-31	USC3J4K	Adobe Inc.	103.02
1984-09-30	USC3J4K	Adobe Inc.	103.56
1984-10-31	USC3J4K	Adobe Inc.	101.69
1984-11-30	USC3J4K	Adobe Inc.	94.51
1984-12-31	USC3J4K	Adobe Inc.	94.64
1985-01-31	USC3J4K	Adobe Inc.	91.22
1985-02-28	USC3J4K	Adobe Inc.	92.78
1985-03-31	USC3J4K	Adobe Inc.	95.19
1985-04-30	USC3J4K	Adobe Inc.	96.97
1985-05-31	USC3J4K	Adobe Inc.	96.41
1985-06-30	USC3J4K	Adobe Inc.	95.02
1985-07-31	USC3J4K	Adobe Inc.	90.33
1985-08-31	USC3J4K	Adobe Inc.	91.59
1985-09-30	USC3J4K	Adobe Inc.	92.74
1985-10-31	USC3J4K	Adobe Inc.	90.13
1985-11-30	USC3J4K	Adobe Inc.	85.1
1985-12-31	USC3J4K	Adobe Inc.	90.53
1986-01-31	USC3J4K	Adobe Inc.	88.15
1986-02-28	USC3J4K	Adobe Inc.	88.54
1986-03-31	USC3J4K	Adobe Inc.	91.7
1986-04-30	USC3J4K	Adobe Inc.	98.72
1986-05-31	USC3J4K	Adobe Inc.	101.52
1986-06-30	USC3J4K	Adobe Inc.	100.41
1986-07-31	USC3J4K	Adobe Inc.	105.88
1986-08-31	USC3J4K	Adobe Inc.	101.65
1986-09-30	USC3J4K	Adobe Inc.	94.56
1986-10-31	USC3J4K	Adobe Inc.	91.59
1986-11-30	USC3J4K	Adobe Inc.	92.48
1986-12-31	USC3J4K	Adobe Inc.	91.84
1987-01-31	USC3J4K	Adobe Inc.	90.4
1987-02-28	USC3J4K	Adobe Inc.	94.77
1987-03-31	USC3J4K	Adobe Inc.	98.63
1987-04-30	USC3J4K	Adobe Inc.	101.16
1987-05-31	USC3J4K	Adobe Inc.	106.81
1987-06-30	USC3J4K	Adobe Inc.	102.78
1987-07-31	USC3J4K	Adobe Inc.	99.35
1987-08-31	USC3J4K	Adobe Inc.	95.34
1987-09-30	USC3J4K	Adobe Inc.	97.24
1987-10-31	USC3J4K	Adobe Inc.	97.83
1987-11-30	USC3J4K	Adobe Inc.	101.19
1987-12-31	USC3J4K	Adobe Inc.	107.07
1988-01-31	USC3J4K	Adobe Inc.	106.41
1988-02-29	USC3J4K	Adobe Inc.	110.85
