Date	Company Code	Company Name	Stock Price
1959-01-31	USRITYY	Aerie	119.0
1959-02-28	USRITYY	Aerie	117.53
1959-03-31	USRITYY	Aerie	118.71
1959-04-30	USRITYY	Aerie	125.51
1959-05-31	USRITYY	Aerie	125.51
1959-06-30	USRITYY	Aerie	125.36
1959-07-31	USRITYY	Aerie	123.13
1959-08-31	USRITYY	Aerie	122.12
1959-09-30	USRITYY	Aerie	115.1
1959-10-31	USRITYY	Aerie	117.08
1959-11-30	USRITYY	Aerie	116.25
1959-12-31	USRITYY	Aerie	117.62
1960-01-31	USRITYY	Aerie	119.12
1960-02-29	USRITYY	Aerie	121.16
1960-03-31	USRITYY	Aerie	119.64
1960-04-30	USRITYY	Aerie	119.7
1960-05-31	USRITYY	Aerie	119.44
1960-06-30	USRITYY	Aerie	119.5
1960-07-31	USRITYY	Aerie	122.36
1960-08-31	USRITYY	Aerie	120.82
1960-09-30	USRITYY	Aerie	113.6
1960-10-31	USRITYY	Aerie	113.98
1960-11-30	USRITYY	Aerie	109.0
1960-12-31	USRITYY	Aerie	109.33
1961-01-31	USRITYY	Aerie	110.12
1961-02-28	USRITYY	Aerie	102.81
1961-03-31	USRITYY	Aerie	102.51
1961-04-30	USRITYY	Aerie	101.84
1961-05-31	USRITYY	Aerie	102.23
1961-06-30	USRITYY	Aerie	95.31
1961-07-31	USRITYY	Aerie	100.01
1961-08-31	USRITYY	Aerie	100.12
1961-09-30	USRITYY	Aerie	109.17
1961-10-31	USRITYY	Aerie	110.7
1961-11-30	USRITYY	Aerie	113.53
1961-12-31	USRITYY	Aerie	106.45
1962-01-31	USRITYY	Aerie	105.59
1962-02-28	USRITYY	Aerie	104.12
1962-03-31	USRITYY	Aerie	99.61
1962-04-30	USRITYY	Aerie	97.89
1962-05-31	USRITYY	Aerie	98.5
1962-06-30	USRITYY	Aerie	93.27
1962-07-31	USRITYY	Aerie	86.62
1962-08-31	USRITYY	Aerie	90.82
1962-09-30	USRITYY	Aerie	92.04
1962-10-31	USRITYY	Aerie	85.66
1962-11-30	USRITYY	Aerie	89.69
1962-12-31	USRITYY	Aerie	88.91
1963-01-31	USRITYY	Aerie	84.18
1963-02-28	USRITYY	Aerie	90.59
1963-03-31	USRITYY	Aerie	89.41
1963-04-30	USRITYY	Aerie	88.29
1963-05-31	USRITYY	Aerie	84.37
1963-06-30	USRITYY	Aerie	86.29
1963-07-31	USRITYY	Aerie	88.73
1963-08-31	USRITYY	Aerie	89.66
1963-09-30	USRITYY	Aerie	92.29
1963-10-31	USRITYY	Aerie	90.54
1963-11-30	USRITYY	Aerie	91.33
1963-12-31	USRITYY	Aerie	85.29
1964-01-31	USRITYY	Aerie	92.84
1964-02-29	USRITYY	Aerie	93.8
1964-03-31	USRITYY	Aerie	94.31
1964-04-30	USRITYY	Aerie	88.54
1964-05-31	USRITYY	Aerie	90.42
1964-06-30	USRITYY	Aerie	92.6
1964-07-31	USRITYY	Aerie	94.67
1964-08-31	USRITYY	Aerie	98.58
1964-09-30	USRITYY	Aerie	103.09
1964-10-31	USRITYY	Aerie	99.89
1964-11-30	USRITYY	Aerie	102.28
1964-12-31	USRITYY	Aerie	109.22
1965-01-31	USRITYY	Aerie	108.1
1965-02-28	USRITYY	Aerie	102.64
1965-03-31	USRITYY	Aerie	100.06
1965-04-30	USRITYY	Aerie	99.57
1965-05-31	USRITYY	Aerie	99.44
1965-06-30	USRITYY	Aerie	101.16
1965-07-31	USRITYY	Aerie	105.7
1965-08-31	USRITYY	Aerie	104.7
1965-09-30	USRITYY	Aerie	100.42
1965-10-31	USRITYY	Aerie	98.83
1965-11-30	USRITYY	Aerie	95.36
1965-12-31	USRITYY	Aerie	96.32
1966-01-31	USRITYY	Aerie	94.74
1966-02-28	USRITYY	Aerie	89.72
1966-03-31	USRITYY	Aerie	90.31
1966-04-30	USRITYY	Aerie	93.82
1966-05-31	USRITYY	Aerie	101.48
1966-06-30	USRITYY	Aerie	101.48
1966-07-31	USRITYY	Aerie	98.41
1966-08-31	USRITYY	Aerie	101.41
1966-09-30	USRITYY	Aerie	109.79
