Date	Company Code	Company Name	Stock Price
1959-01-31	USON6F7	Ahold Delhaize	96.9
1959-02-28	USON6F7	Ahold Delhaize	92.84
1959-03-31	USON6F7	Ahold Delhaize	88.42
1959-04-30	USON6F7	Ahold Delhaize	88.65
1959-05-31	USON6F7	Ahold Delhaize	88.0
1959-06-30	USON6F7	Ahold Delhaize	83.01
1959-07-31	USON6F7	Ahold Delhaize	82.08
1959-08-31	USON6F7	Ahold Delhaize	78.3
1959-09-30	USON6F7	Ahold Delhaize	77.67
1959-10-31	USON6F7	Ahold Delhaize	68.84
1959-11-30	USON6F7	Ahold Delhaize	75.77
1959-12-31	USON6F7	Ahold Delhaize	83.27
1960-01-31	USON6F7	Ahold Delhaize	86.81
1960-02-29	USON6F7	Ahold Delhaize	84.96
1960-03-31	USON6F7	Ahold Delhaize	87.21
1960-04-30	USON6F7	Ahold Delhaize	84.94
1960-05-31	USON6F7	Ahold Delhaize	84.59
1960-06-30	USON6F7	Ahold Delhaize	88.04
1960-07-31	USON6F7	Ahold Delhaize	83.71
1960-08-31	USON6F7	Ahold Delhaize	82.19
1960-09-30	USON6F7	Ahold Delhaize	80.05
1960-10-31	USON6F7	Ahold Delhaize	82.8
1960-11-30	USON6F7	Ahold Delhaize	87.85
1960-12-31	USON6F7	Ahold Delhaize	87.73
1961-01-31	USON6F7	Ahold Delhaize	89.27
1961-02-28	USON6F7	Ahold Delhaize	95.45
1961-03-31	USON6F7	Ahold Delhaize	97.44
1961-04-30	USON6F7	Ahold Delhaize	102.2
1961-05-31	USON6F7	Ahold Delhaize	100.29
1961-06-30	USON6F7	Ahold Delhaize	101.64
1961-07-31	USON6F7	Ahold Delhaize	101.6
1961-08-31	USON6F7	Ahold Delhaize	94.37
1961-09-30	USON6F7	Ahold Delhaize	88.69
1961-10-31	USON6F7	Ahold Delhaize	89.6
1961-11-30	USON6F7	Ahold Delhaize	85.65
1961-12-31	USON6F7	Ahold Delhaize	88.59
1962-01-31	USON6F7	Ahold Delhaize	87.54
1962-02-28	USON6F7	Ahold Delhaize	86.6
1962-03-31	USON6F7	Ahold Delhaize	90.95
1962-04-30	USON6F7	Ahold Delhaize	91.01
1962-05-31	USON6F7	Ahold Delhaize	94.26
1962-06-30	USON6F7	Ahold Delhaize	91.58
1962-07-31	USON6F7	Ahold Delhaize	90.49
1962-08-31	USON6F7	Ahold Delhaize	97.78
1962-09-30	USON6F7	Ahold Delhaize	98.08
1962-10-31	USON6F7	Ahold Delhaize	100.83
1962-11-30	USON6F7	Ahold Delhaize	101.15
1962-12-31	USON6F7	Ahold Delhaize	102.91
1963-01-31	USON6F7	Ahold Delhaize	110.36
1963-02-28	USON6F7	Ahold Delhaize	106.2
1963-03-31	USON6F7	Ahold Delhaize	107.61
1963-04-30	USON6F7	Ahold Delhaize	112.32
1963-05-31	USON6F7	Ahold Delhaize	119.11
1963-06-30	USON6F7	Ahold Delhaize	118.5
1963-07-31	USON6F7	Ahold Delhaize	117.73
1963-08-31	USON6F7	Ahold Delhaize	113.06
1963-09-30	USON6F7	Ahold Delhaize	119.26
1963-10-31	USON6F7	Ahold Delhaize	121.05
1963-11-30	USON6F7	Ahold Delhaize	124.33
1963-12-31	USON6F7	Ahold Delhaize	122.39
1964-01-31	USON6F7	Ahold Delhaize	122.87
1964-02-29	USON6F7	Ahold Delhaize	129.95
1964-03-31	USON6F7	Ahold Delhaize	136.51
1964-04-30	USON6F7	Ahold Delhaize	133.51
1964-05-31	USON6F7	Ahold Delhaize	132.82
1964-06-30	USON6F7	Ahold Delhaize	132.49
1964-07-31	USON6F7	Ahold Delhaize	127.23
1964-08-31	USON6F7	Ahold Delhaize	131.81
1964-09-30	USON6F7	Ahold Delhaize	127.12
1964-10-31	USON6F7	Ahold Delhaize	128.37
1964-11-30	USON6F7	Ahold Delhaize	130.69
1964-12-31	USON6F7	Ahold Delhaize	125.08
1965-01-31	USON6F7	Ahold Delhaize	121.84
1965-02-28	USON6F7	Ahold Delhaize	124.86
1965-03-31	USON6F7	Ahold Delhaize	123.19
1965-04-30	USON6F7	Ahold Delhaize	119.81
1965-05-31	USON6F7	Ahold Delhaize	113.24
1965-06-30	USON6F7	Ahold Delhaize	111.45
1965-07-31	USON6F7	Ahold Delhaize	110.95
1965-08-31	USON6F7	Ahold Delhaize	115.29
1965-09-30	USON6F7	Ahold Delhaize	119.67
1965-10-31	USON6F7	Ahold Delhaize	121.12
1965-11-30	USON6F7	Ahold Delhaize	121.37
1965-12-31	USON6F7	Ahold Delhaize	116.84
1966-01-31	USON6F7	Ahold Delhaize	117.34
1966-02-28	USON6F7	Ahold Delhaize	121.23
1966-03-31	USON6F7	Ahold Delhaize	122.02
