Date	Company Code	Company Name	Stock Price
1959-01-31	USWX66K	Ahold Delhaize USA	98.13
1959-02-28	USWX66K	Ahold Delhaize USA	95.92
1959-03-31	USWX66K	Ahold Delhaize USA	96.34
1959-04-30	USWX66K	Ahold Delhaize USA	93.23
1959-05-31	USWX66K	Ahold Delhaize USA	89.64
1959-06-30	USWX66K	Ahold Delhaize USA	95.43
1959-07-31	USWX66K	Ahold Delhaize USA	94.68
1959-08-31	USWX66K	Ahold Delhaize USA	91.81
1959-09-30	USWX66K	Ahold Delhaize USA	86.12
1959-10-31	USWX66K	Ahold Delhaize USA	90.62
1959-11-30	USWX66K	Ahold Delhaize USA	83.49
1959-12-31	USWX66K	Ahold Delhaize USA	83.92
1960-01-31	USWX66K	Ahold Delhaize USA	86.79
1960-02-29	USWX66K	Ahold Delhaize USA	82.51
1960-03-31	USWX66K	Ahold Delhaize USA	80.29
1960-04-30	USWX66K	Ahold Delhaize USA	78.37
1960-05-31	USWX66K	Ahold Delhaize USA	73.69
1960-06-30	USWX66K	Ahold Delhaize USA	74.99
1960-07-31	USWX66K	Ahold Delhaize USA	75.38
1960-08-31	USWX66K	Ahold Delhaize USA	70.02
1960-09-30	USWX66K	Ahold Delhaize USA	72.54
1960-10-31	USWX66K	Ahold Delhaize USA	73.35
1960-11-30	USWX66K	Ahold Delhaize USA	68.25
1960-12-31	USWX66K	Ahold Delhaize USA	68.84
1961-01-31	USWX66K	Ahold Delhaize USA	73.82
1961-02-28	USWX66K	Ahold Delhaize USA	79.16
1961-03-31	USWX66K	Ahold Delhaize USA	77.35
1961-04-30	USWX66K	Ahold Delhaize USA	75.36
1961-05-31	USWX66K	Ahold Delhaize USA	73.73
1961-06-30	USWX66K	Ahold Delhaize USA	75.74
1961-07-31	USWX66K	Ahold Delhaize USA	80.43
1961-08-31	USWX66K	Ahold Delhaize USA	86.92
1961-09-30	USWX66K	Ahold Delhaize USA	95.48
1961-10-31	USWX66K	Ahold Delhaize USA	95.41
1961-11-30	USWX66K	Ahold Delhaize USA	96.34
1961-12-31	USWX66K	Ahold Delhaize USA	89.9
1962-01-31	USWX66K	Ahold Delhaize USA	91.92
1962-02-28	USWX66K	Ahold Delhaize USA	96.85
1962-03-31	USWX66K	Ahold Delhaize USA	97.05
1962-04-30	USWX66K	Ahold Delhaize USA	97.76
1962-05-31	USWX66K	Ahold Delhaize USA	93.38
1962-06-30	USWX66K	Ahold Delhaize USA	89.93
1962-07-31	USWX66K	Ahold Delhaize USA	89.51
1962-08-31	USWX66K	Ahold Delhaize USA	95.13
1962-09-30	USWX66K	Ahold Delhaize USA	97.31
1962-10-31	USWX66K	Ahold Delhaize USA	94.79
1962-11-30	USWX66K	Ahold Delhaize USA	92.64
1962-12-31	USWX66K	Ahold Delhaize USA	89.69
1963-01-31	USWX66K	Ahold Delhaize USA	89.2
1963-02-28	USWX66K	Ahold Delhaize USA	90.47
1963-03-31	USWX66K	Ahold Delhaize USA	98.1
1963-04-30	USWX66K	Ahold Delhaize USA	101.34
1963-05-31	USWX66K	Ahold Delhaize USA	100.67
1963-06-30	USWX66K	Ahold Delhaize USA	96.59
1963-07-31	USWX66K	Ahold Delhaize USA	96.61
1963-08-31	USWX66K	Ahold Delhaize USA	91.9
1963-09-30	USWX66K	Ahold Delhaize USA	92.69
1963-10-31	USWX66K	Ahold Delhaize USA	97.46
1963-11-30	USWX66K	Ahold Delhaize USA	101.32
1963-12-31	USWX66K	Ahold Delhaize USA	100.41
1964-01-31	USWX66K	Ahold Delhaize USA	106.98
1964-02-29	USWX66K	Ahold Delhaize USA	99.7
1964-03-31	USWX66K	Ahold Delhaize USA	97.9
1964-04-30	USWX66K	Ahold Delhaize USA	98.08
1964-05-31	USWX66K	Ahold Delhaize USA	96.26
1964-06-30	USWX66K	Ahold Delhaize USA	102.81
1964-07-31	USWX66K	Ahold Delhaize USA	102.53
1964-08-31	USWX66K	Ahold Delhaize USA	111.01
1964-09-30	USWX66K	Ahold Delhaize USA	108.95
1964-10-31	USWX66K	Ahold Delhaize USA	101.09
1964-11-30	USWX66K	Ahold Delhaize USA	102.42
1964-12-31	USWX66K	Ahold Delhaize USA	106.82
1965-01-31	USWX66K	Ahold Delhaize USA	104.17
