Date	Company Code	Company Name	Stock Price
1959-01-31	USCD4Y6	Albertsons Companies Inc.	97.48
1959-02-28	USCD4Y6	Albertsons Companies Inc.	95.08
1959-03-31	USCD4Y6	Albertsons Companies Inc.	96.64
1959-04-30	USCD4Y6	Albertsons Companies Inc.	99.76
1959-05-31	USCD4Y6	Albertsons Companies Inc.	106.44
1959-06-30	USCD4Y6	Albertsons Companies Inc.	111.57
1959-07-31	USCD4Y6	Albertsons Companies Inc.	113.49
1959-08-31	USCD4Y6	Albertsons Companies Inc.	108.11
1959-09-30	USCD4Y6	Albertsons Companies Inc.	107.28
1959-10-31	USCD4Y6	Albertsons Companies Inc.	106.19
1959-11-30	USCD4Y6	Albertsons Companies Inc.	111.76
1959-12-31	USCD4Y6	Albertsons Companies Inc.	115.2
1960-01-31	USCD4Y6	Albertsons Companies Inc.	114.38
1960-02-29	USCD4Y6	Albertsons Companies Inc.	106.61
1960-03-31	USCD4Y6	Albertsons Companies Inc.	111.34
1960-04-30	USCD4Y6	Albertsons Companies Inc.	107.36
1960-05-31	USCD4Y6	Albertsons Companies Inc.	109.03
1960-06-30	USCD4Y6	Albertsons Companies Inc.	113.57
1960-07-31	USCD4Y6	Albertsons Companies Inc.	111.32
1960-08-31	USCD4Y6	Albertsons Companies Inc.	115.32
1960-09-30	USCD4Y6	Albertsons Companies Inc.	112.22
1960-10-31	USCD4Y6	Albertsons Companies Inc.	117.14
1960-11-30	USCD4Y6	Albertsons Companies Inc.	122.91
1960-12-31	USCD4Y6	Albertsons Companies Inc.	124.24
1961-01-31	USCD4Y6	Albertsons Companies Inc.	117.87
1961-02-28	USCD4Y6	Albertsons Companies Inc.	119.75
1961-03-31	USCD4Y6	Albertsons Companies Inc.	124.5
1961-04-30	USCD4Y6	Albertsons Companies Inc.	122.46
1961-05-31	USCD4Y6	Albertsons Companies Inc.	131.79
1961-06-30	USCD4Y6	Albertsons Companies Inc.	129.82
1961-07-31	USCD4Y6	Albertsons Companies Inc.	126.67
1961-08-31	USCD4Y6	Albertsons Companies Inc.	132.55
1961-09-30	USCD4Y6	Albertsons Companies Inc.	132.98
1961-10-31	USCD4Y6	Albertsons Companies Inc.	125.6
1961-11-30	USCD4Y6	Albertsons Companies Inc.	126.62
1961-12-31	USCD4Y6	Albertsons Companies Inc.	126.36
1962-01-31	USCD4Y6	Albertsons Companies Inc.	122.8
