Date	Company Code	Company Name	Stock Price
1959-01-31	USNIB4I	Alibaba Group Holding Ltd.	110.65
1959-02-28	USNIB4I	Alibaba Group Holding Ltd.	110.09
1959-03-31	USNIB4I	Alibaba Group Holding Ltd.	109.14
1959-04-30	USNIB4I	Alibaba Group Holding Ltd.	110.84
1959-05-31	USNIB4I	Alibaba Group Holding Ltd.	114.5
1959-06-30	USNIB4I	Alibaba Group Holding Ltd.	120.35
1959-07-31	USNIB4I	Alibaba Group Holding Ltd.	116.96
1959-08-31	USNIB4I	Alibaba Group Holding Ltd.	112.39
1959-09-30	USNIB4I	Alibaba Group Holding Ltd.	110.98
1959-10-31	USNIB4I	Alibaba Group Holding Ltd.	111.55
1959-11-30	USNIB4I	Alibaba Group Holding Ltd.	113.62
1959-12-31	USNIB4I	Alibaba Group Holding Ltd.	108.21
1960-01-31	USNIB4I	Alibaba Group Holding Ltd.	112.88
1960-02-29	USNIB4I	Alibaba Group Holding Ltd.	113.49
1960-03-31	USNIB4I	Alibaba Group Holding Ltd.	108.21
1960-04-30	USNIB4I	Alibaba Group Holding Ltd.	108.09
1960-05-31	USNIB4I	Alibaba Group Holding Ltd.	106.17
1960-06-30	USNIB4I	Alibaba Group Holding Ltd.	103.67
1960-07-31	USNIB4I	Alibaba Group Holding Ltd.	103.52
1960-08-31	USNIB4I	Alibaba Group Holding Ltd.	104.0
1960-09-30	USNIB4I	Alibaba Group Holding Ltd.	102.75
1960-10-31	USNIB4I	Alibaba Group Holding Ltd.	102.04
1960-11-30	USNIB4I	Alibaba Group Holding Ltd.	105.0
1960-12-31	USNIB4I	Alibaba Group Holding Ltd.	107.59
1961-01-31	USNIB4I	Alibaba Group Holding Ltd.	102.24
1961-02-28	USNIB4I	Alibaba Group Holding Ltd.	100.76
1961-03-31	USNIB4I	Alibaba Group Holding Ltd.	99.49
1961-04-30	USNIB4I	Alibaba Group Holding Ltd.	99.15
1961-05-31	USNIB4I	Alibaba Group Holding Ltd.	103.46
1961-06-30	USNIB4I	Alibaba Group Holding Ltd.	103.96
1961-07-31	USNIB4I	Alibaba Group Holding Ltd.	106.79
1961-08-31	USNIB4I	Alibaba Group Holding Ltd.	107.87
