Date	Company Code	Company Name	Stock Price
1959-01-31	USPHVTR	Alphabet Inc.	90.12
1959-02-28	USPHVTR	Alphabet Inc.	87.43
1959-03-31	USPHVTR	Alphabet Inc.	94.98
1959-04-30	USPHVTR	Alphabet Inc.	93.04
1959-05-31	USPHVTR	Alphabet Inc.	97.65
1959-06-30	USPHVTR	Alphabet Inc.	94.99
1959-07-31	USPHVTR	Alphabet Inc.	87.45
1959-08-31	USPHVTR	Alphabet Inc.	85.46
1959-09-30	USPHVTR	Alphabet Inc.	85.92
1959-10-31	USPHVTR	Alphabet Inc.	89.03
1959-11-30	USPHVTR	Alphabet Inc.	88.18
1959-12-31	USPHVTR	Alphabet Inc.	90.57
1960-01-31	USPHVTR	Alphabet Inc.	99.71
1960-02-29	USPHVTR	Alphabet Inc.	93.38
1960-03-31	USPHVTR	Alphabet Inc.	88.45
1960-04-30	USPHVTR	Alphabet Inc.	86.3
1960-05-31	USPHVTR	Alphabet Inc.	82.7
1960-06-30	USPHVTR	Alphabet Inc.	81.49
1960-07-31	USPHVTR	Alphabet Inc.	84.8
1960-08-31	USPHVTR	Alphabet Inc.	80.74
1960-09-30	USPHVTR	Alphabet Inc.	84.34
1960-10-31	USPHVTR	Alphabet Inc.	87.08
1960-11-30	USPHVTR	Alphabet Inc.	90.85
1960-12-31	USPHVTR	Alphabet Inc.	91.84
1961-01-31	USPHVTR	Alphabet Inc.	87.91
1961-02-28	USPHVTR	Alphabet Inc.	90.88
1961-03-31	USPHVTR	Alphabet Inc.	89.06
1961-04-30	USPHVTR	Alphabet Inc.	83.12
1961-05-31	USPHVTR	Alphabet Inc.	80.37
1961-06-30	USPHVTR	Alphabet Inc.	79.21
1961-07-31	USPHVTR	Alphabet Inc.	82.56
1961-08-31	USPHVTR	Alphabet Inc.	81.21
1961-09-30	USPHVTR	Alphabet Inc.	74.67
1961-10-31	USPHVTR	Alphabet Inc.	78.97
1961-11-30	USPHVTR	Alphabet Inc.	77.94
1961-12-31	USPHVTR	Alphabet Inc.	77.83
1962-01-31	USPHVTR	Alphabet Inc.	81.01
1962-02-28	USPHVTR	Alphabet Inc.	81.3
1962-03-31	USPHVTR	Alphabet Inc.	75.99
1962-04-30	USPHVTR	Alphabet Inc.	71.88
1962-05-31	USPHVTR	Alphabet Inc.	78.16
1962-06-30	USPHVTR	Alphabet Inc.	78.27
1962-07-31	USPHVTR	Alphabet Inc.	80.46
1962-08-31	USPHVTR	Alphabet Inc.	81.13
1962-09-30	USPHVTR	Alphabet Inc.	85.2
1962-10-31	USPHVTR	Alphabet Inc.	86.04
