Date	Company Code	Company Name	Stock Price
1959-01-31	USVICHK	Amazon.com Inc.	96.0
1959-02-28	USVICHK	Amazon.com Inc.	98.44
1959-03-31	USVICHK	Amazon.com Inc.	100.34
1959-04-30	USVICHK	Amazon.com Inc.	96.58
1959-05-31	USVICHK	Amazon.com Inc.	99.64
1959-06-30	USVICHK	Amazon.com Inc.	97.98
1959-07-31	USVICHK	Amazon.com Inc.	97.64
1959-08-31	USVICHK	Amazon.com Inc.	100.1
1959-09-30	USVICHK	Amazon.com Inc.	100.72
1959-10-31	USVICHK	Amazon.com Inc.	101.94
1959-11-30	USVICHK	Amazon.com Inc.	98.72
1959-12-31	USVICHK	Amazon.com Inc.	95.42
1960-01-31	USVICHK	Amazon.com Inc.	96.48
1960-02-29	USVICHK	Amazon.com Inc.	98.56
1960-03-31	USVICHK	Amazon.com Inc.	98.07
1960-04-30	USVICHK	Amazon.com Inc.	100.02
1960-05-31	USVICHK	Amazon.com Inc.	104.14
1960-06-30	USVICHK	Amazon.com Inc.	101.44
1960-07-31	USVICHK	Amazon.com Inc.	102.98
1960-08-31	USVICHK	Amazon.com Inc.	107.61
1960-09-30	USVICHK	Amazon.com Inc.	99.56
1960-10-31	USVICHK	Amazon.com Inc.	98.4
1960-11-30	USVICHK	Amazon.com Inc.	93.95
1960-12-31	USVICHK	Amazon.com Inc.	87.86
1961-01-31	USVICHK	Amazon.com Inc.	87.36
1961-02-28	USVICHK	Amazon.com Inc.	88.6
1961-03-31	USVICHK	Amazon.com Inc.	81.94
1961-04-30	USVICHK	Amazon.com Inc.	81.23
1961-05-31	USVICHK	Amazon.com Inc.	80.66
1961-06-30	USVICHK	Amazon.com Inc.	80.57
1961-07-31	USVICHK	Amazon.com Inc.	78.94
1961-08-31	USVICHK	Amazon.com Inc.	84.12
1961-09-30	USVICHK	Amazon.com Inc.	88.38
1961-10-31	USVICHK	Amazon.com Inc.	93.01
1961-11-30	USVICHK	Amazon.com Inc.	92.61
1961-12-31	USVICHK	Amazon.com Inc.	90.88
1962-01-31	USVICHK	Amazon.com Inc.	92.72
1962-02-28	USVICHK	Amazon.com Inc.	92.08
1962-03-31	USVICHK	Amazon.com Inc.	91.4
1962-04-30	USVICHK	Amazon.com Inc.	93.33
1962-05-31	USVICHK	Amazon.com Inc.	97.19
1962-06-30	USVICHK	Amazon.com Inc.	101.73
1962-07-31	USVICHK	Amazon.com Inc.	104.39
1962-08-31	USVICHK	Amazon.com Inc.	102.77
1962-09-30	USVICHK	Amazon.com Inc.	102.76
1962-10-31	USVICHK	Amazon.com Inc.	110.42
1962-11-30	USVICHK	Amazon.com Inc.	117.88
1962-12-31	USVICHK	Amazon.com Inc.	119.86
1963-01-31	USVICHK	Amazon.com Inc.	124.82
1963-02-28	USVICHK	Amazon.com Inc.	128.16
1963-03-31	USVICHK	Amazon.com Inc.	126.66
1963-04-30	USVICHK	Amazon.com Inc.	130.6
1963-05-31	USVICHK	Amazon.com Inc.	127.78
1963-06-30	USVICHK	Amazon.com Inc.	130.27
1963-07-31	USVICHK	Amazon.com Inc.	126.96
1963-08-31	USVICHK	Amazon.com Inc.	125.41
1963-09-30	USVICHK	Amazon.com Inc.	123.84
1963-10-31	USVICHK	Amazon.com Inc.	128.37
1963-11-30	USVICHK	Amazon.com Inc.	127.69
1963-12-31	USVICHK	Amazon.com Inc.	132.75
1964-01-31	USVICHK	Amazon.com Inc.	128.21
1964-02-29	USVICHK	Amazon.com Inc.	135.08
1964-03-31	USVICHK	Amazon.com Inc.	135.82
