Date	Company Code	Company Name	Stock Price
1959-01-31	US8GTIF	American Apparel	89.91
1959-02-28	US8GTIF	American Apparel	89.25
1959-03-31	US8GTIF	American Apparel	87.15
1959-04-30	US8GTIF	American Apparel	93.97
1959-05-31	US8GTIF	American Apparel	95.16
1959-06-30	US8GTIF	American Apparel	87.75
1959-07-31	US8GTIF	American Apparel	84.25
1959-08-31	US8GTIF	American Apparel	80.51
1959-09-30	US8GTIF	American Apparel	76.67
1959-10-31	US8GTIF	American Apparel	77.39
1959-11-30	US8GTIF	American Apparel	78.18
1959-12-31	US8GTIF	American Apparel	82.43
1960-01-31	US8GTIF	American Apparel	82.85
1960-02-29	US8GTIF	American Apparel	84.3
1960-03-31	US8GTIF	American Apparel	83.0
1960-04-30	US8GTIF	American Apparel	78.63
1960-05-31	US8GTIF	American Apparel	76.42
1960-06-30	US8GTIF	American Apparel	78.72
1960-07-31	US8GTIF	American Apparel	78.77
1960-08-31	US8GTIF	American Apparel	82.83
1960-09-30	US8GTIF	American Apparel	81.32
1960-10-31	US8GTIF	American Apparel	87.09
1960-11-30	US8GTIF	American Apparel	88.73
1960-12-31	US8GTIF	American Apparel	82.76
1961-01-31	US8GTIF	American Apparel	76.09
1961-02-28	US8GTIF	American Apparel	69.38
1961-03-31	US8GTIF	American Apparel	65.58
1961-04-30	US8GTIF	American Apparel	67.41
1961-05-31	US8GTIF	American Apparel	72.68
1961-06-30	US8GTIF	American Apparel	77.06
1961-07-31	US8GTIF	American Apparel	76.31
1961-08-31	US8GTIF	American Apparel	79.46
1961-09-30	US8GTIF	American Apparel	77.68
1961-10-31	US8GTIF	American Apparel	77.68
1961-11-30	US8GTIF	American Apparel	74.81
1961-12-31	US8GTIF	American Apparel	75.15
1962-01-31	US8GTIF	American Apparel	76.72
1962-02-28	US8GTIF	American Apparel	75.51
1962-03-31	US8GTIF	American Apparel	79.29
1962-04-30	US8GTIF	American Apparel	84.81
1962-05-31	US8GTIF	American Apparel	92.22
1962-06-30	US8GTIF	American Apparel	95.11
1962-07-31	US8GTIF	American Apparel	90.35
1962-08-31	US8GTIF	American Apparel	91.81
1962-09-30	US8GTIF	American Apparel	88.67
1962-10-31	US8GTIF	American Apparel	87.85
1962-11-30	US8GTIF	American Apparel	85.52
