Date	Company Code	Company Name	Stock Price
1959-01-31	USMV77J	American Eagle Outfitters Inc.	92.56
1959-02-28	USMV77J	American Eagle Outfitters Inc.	97.72
1959-03-31	USMV77J	American Eagle Outfitters Inc.	95.23
1959-04-30	USMV77J	American Eagle Outfitters Inc.	94.58
1959-05-31	USMV77J	American Eagle Outfitters Inc.	93.8
1959-06-30	USMV77J	American Eagle Outfitters Inc.	101.17
1959-07-31	USMV77J	American Eagle Outfitters Inc.	101.97
1959-08-31	USMV77J	American Eagle Outfitters Inc.	103.2
1959-09-30	USMV77J	American Eagle Outfitters Inc.	96.84
1959-10-31	USMV77J	American Eagle Outfitters Inc.	92.85
1959-11-30	USMV77J	American Eagle Outfitters Inc.	99.64
1959-12-31	USMV77J	American Eagle Outfitters Inc.	98.43
1960-01-31	USMV77J	American Eagle Outfitters Inc.	102.05
1960-02-29	USMV77J	American Eagle Outfitters Inc.	99.24
1960-03-31	USMV77J	American Eagle Outfitters Inc.	103.31
1960-04-30	USMV77J	American Eagle Outfitters Inc.	112.09
1960-05-31	USMV77J	American Eagle Outfitters Inc.	111.24
1960-06-30	USMV77J	American Eagle Outfitters Inc.	108.95
1960-07-31	USMV77J	American Eagle Outfitters Inc.	101.94
1960-08-31	USMV77J	American Eagle Outfitters Inc.	98.67
1960-09-30	USMV77J	American Eagle Outfitters Inc.	100.69
1960-10-31	USMV77J	American Eagle Outfitters Inc.	97.87
1960-11-30	USMV77J	American Eagle Outfitters Inc.	101.16
1960-12-31	USMV77J	American Eagle Outfitters Inc.	100.35
1961-01-31	USMV77J	American Eagle Outfitters Inc.	101.8
1961-02-28	USMV77J	American Eagle Outfitters Inc.	98.12
1961-03-31	USMV77J	American Eagle Outfitters Inc.	102.49
1961-04-30	USMV77J	American Eagle Outfitters Inc.	106.76
1961-05-31	USMV77J	American Eagle Outfitters Inc.	103.68
1961-06-30	USMV77J	American Eagle Outfitters Inc.	104.92
1961-07-31	USMV77J	American Eagle Outfitters Inc.	106.19
1961-08-31	USMV77J	American Eagle Outfitters Inc.	108.05
1961-09-30	USMV77J	American Eagle Outfitters Inc.	106.87
1961-10-31	USMV77J	American Eagle Outfitters Inc.	114.27
