Date	Company Code	Company Name	Stock Price
1959-01-31	US2M3YP	American Express Co.	115.41
1959-02-28	US2M3YP	American Express Co.	115.26
1959-03-31	US2M3YP	American Express Co.	116.72
1959-04-30	US2M3YP	American Express Co.	111.51
1959-05-31	US2M3YP	American Express Co.	109.19
1959-06-30	US2M3YP	American Express Co.	112.88
1959-07-31	US2M3YP	American Express Co.	110.51
1959-08-31	US2M3YP	American Express Co.	111.2
1959-09-30	US2M3YP	American Express Co.	115.99
1959-10-31	US2M3YP	American Express Co.	117.41
1959-11-30	US2M3YP	American Express Co.	116.97
1959-12-31	US2M3YP	American Express Co.	114.28
1960-01-31	US2M3YP	American Express Co.	119.51
1960-02-29	US2M3YP	American Express Co.	121.39
1960-03-31	US2M3YP	American Express Co.	122.45
1960-04-30	US2M3YP	American Express Co.	128.22
1960-05-31	US2M3YP	American Express Co.	131.22
1960-06-30	US2M3YP	American Express Co.	126.42
1960-07-31	US2M3YP	American Express Co.	119.55
1960-08-31	US2M3YP	American Express Co.	118.41
1960-09-30	US2M3YP	American Express Co.	120.06
1960-10-31	US2M3YP	American Express Co.	122.94
1960-11-30	US2M3YP	American Express Co.	126.27
1960-12-31	US2M3YP	American Express Co.	129.52
1961-01-31	US2M3YP	American Express Co.	132.01
1961-02-28	US2M3YP	American Express Co.	138.22
1961-03-31	US2M3YP	American Express Co.	143.99
1961-04-30	US2M3YP	American Express Co.	149.32
1961-05-31	US2M3YP	American Express Co.	152.4
1961-06-30	US2M3YP	American Express Co.	150.25
1961-07-31	US2M3YP	American Express Co.	141.68
1961-08-31	US2M3YP	American Express Co.	145.82
1961-09-30	US2M3YP	American Express Co.	146.01
1961-10-31	US2M3YP	American Express Co.	143.91
1961-11-30	US2M3YP	American Express Co.	145.96
1961-12-31	US2M3YP	American Express Co.	145.79
1962-01-31	US2M3YP	American Express Co.	149.7
1962-02-28	US2M3YP	American Express Co.	152.96
1962-03-31	US2M3YP	American Express Co.	151.5
1962-04-30	US2M3YP	American Express Co.	153.31
1962-05-31	US2M3YP	American Express Co.	150.75
1962-06-30	US2M3YP	American Express Co.	157.87
1962-07-31	US2M3YP	American Express Co.	156.97
1962-08-31	US2M3YP	American Express Co.	163.87
1962-09-30	US2M3YP	American Express Co.	166.01
1962-10-31	US2M3YP	American Express Co.	161.77
1962-11-30	US2M3YP	American Express Co.	161.25
1962-12-31	US2M3YP	American Express Co.	160.2
1963-01-31	US2M3YP	American Express Co.	153.25
1963-02-28	US2M3YP	American Express Co.	158.1
1963-03-31	US2M3YP	American Express Co.	161.91
1963-04-30	US2M3YP	American Express Co.	156.0
1963-05-31	US2M3YP	American Express Co.	156.23
1963-06-30	US2M3YP	American Express Co.	148.48
1963-07-31	US2M3YP	American Express Co.	155.35
1963-08-31	US2M3YP	American Express Co.	161.9
1963-09-30	US2M3YP	American Express Co.	170.1
1963-10-31	US2M3YP	American Express Co.	173.68
1963-11-30	US2M3YP	American Express Co.	171.66
1963-12-31	US2M3YP	American Express Co.	175.92
1964-01-31	US2M3YP	American Express Co.	172.32
1964-02-29	US2M3YP	American Express Co.	167.18
1964-03-31	US2M3YP	American Express Co.	173.74
1964-04-30	US2M3YP	American Express Co.	174.36
1964-05-31	US2M3YP	American Express Co.	181.4
1964-06-30	US2M3YP	American Express Co.	181.36
1964-07-31	US2M3YP	American Express Co.	187.79
1964-08-31	US2M3YP	American Express Co.	187.95
1964-09-30	US2M3YP	American Express Co.	192.87
1964-10-31	US2M3YP	American Express Co.	190.61
1964-11-30	US2M3YP	American Express Co.	190.47
1964-12-31	US2M3YP	American Express Co.	197.29
1965-01-31	US2M3YP	American Express Co.	204.69
1965-02-28	US2M3YP	American Express Co.	203.59
1965-03-31	US2M3YP	American Express Co.	211.56
1965-04-30	US2M3YP	American Express Co.	210.32
1965-05-31	US2M3YP	American Express Co.	204.34
1965-06-30	US2M3YP	American Express Co.	197.21
1965-07-31	US2M3YP	American Express Co.	202.16
1965-08-31	US2M3YP	American Express Co.	211.91
1965-09-30	US2M3YP	American Express Co.	203.56
1965-10-31	US2M3YP	American Express Co.	197.73
1965-11-30	US2M3YP	American Express Co.	201.67
1965-12-31	US2M3YP	American Express Co.	194.61
1966-01-31	US2M3YP	American Express Co.	199.46
1966-02-28	US2M3YP	American Express Co.	191.32
1966-03-31	US2M3YP	American Express Co.	187.14
1966-04-30	US2M3YP	American Express Co.	195.05
1966-05-31	US2M3YP	American Express Co.	191.38
1966-06-30	US2M3YP	American Express Co.	186.36
1966-07-31	US2M3YP	American Express Co.	188.63
1966-08-31	US2M3YP	American Express Co.	194.38
1966-09-30	US2M3YP	American Express Co.	190.44
1966-10-31	US2M3YP	American Express Co.	186.78
1966-11-30	US2M3YP	American Express Co.	184.93
1966-12-31	US2M3YP	American Express Co.	180.71
1967-01-31	US2M3YP	American Express Co.	177.99
1967-02-28	US2M3YP	American Express Co.	173.14
1967-03-31	US2M3YP	American Express Co.	173.81
1967-04-30	US2M3YP	American Express Co.	172.1
1967-05-31	US2M3YP	American Express Co.	175.89
