Date	Company Code	Company Name	Stock Price
1959-01-31	US7WT4Y	Anthropologie	120.29
1959-02-28	US7WT4Y	Anthropologie	115.14
1959-03-31	US7WT4Y	Anthropologie	113.1
1959-04-30	US7WT4Y	Anthropologie	118.23
1959-05-31	US7WT4Y	Anthropologie	109.24
1959-06-30	US7WT4Y	Anthropologie	101.39
1959-07-31	US7WT4Y	Anthropologie	96.71
1959-08-31	US7WT4Y	Anthropologie	96.58
1959-09-30	US7WT4Y	Anthropologie	97.01
1959-10-31	US7WT4Y	Anthropologie	90.41
1959-11-30	US7WT4Y	Anthropologie	84.15
1959-12-31	US7WT4Y	Anthropologie	87.79
1960-01-31	US7WT4Y	Anthropologie	81.57
1960-02-29	US7WT4Y	Anthropologie	80.59
1960-03-31	US7WT4Y	Anthropologie	76.28
1960-04-30	US7WT4Y	Anthropologie	70.99
1960-05-31	US7WT4Y	Anthropologie	66.98
1960-06-30	US7WT4Y	Anthropologie	67.31
1960-07-31	US7WT4Y	Anthropologie	63.76
1960-08-31	US7WT4Y	Anthropologie	60.53
1960-09-30	US7WT4Y	Anthropologie	61.03732513789267
1960-10-31	US7WT4Y	Anthropologie	61.46
1960-11-30	US7WT4Y	Anthropologie	64.47
1960-12-31	US7WT4Y	Anthropologie	61.91
1961-01-31	US7WT4Y	Anthropologie	60.43
1961-02-28	US7WT4Y	Anthropologie	60.05
1961-03-31	US7WT4Y	Anthropologie	66.07
1961-04-30	US7WT4Y	Anthropologie	66.76
1961-05-31	US7WT4Y	Anthropologie	67.09
1961-06-30	US7WT4Y	Anthropologie	68.21
1961-07-31	US7WT4Y	Anthropologie	65.99
1961-08-31	US7WT4Y	Anthropologie	64.76
1961-09-30	US7WT4Y	Anthropologie	61.024699516464295
1961-10-31	US7WT4Y	Anthropologie	60.87
1961-11-30	US7WT4Y	Anthropologie	68.94
1961-12-31	US7WT4Y	Anthropologie	69.85
1962-01-31	US7WT4Y	Anthropologie	72.41
1962-02-28	US7WT4Y	Anthropologie	73.18
1962-03-31	US7WT4Y	Anthropologie	76.58
1962-04-30	US7WT4Y	Anthropologie	70.69
1962-05-31	US7WT4Y	Anthropologie	68.06
1962-06-30	US7WT4Y	Anthropologie	62.45
1962-07-31	US7WT4Y	Anthropologie	64.35
1962-08-31	US7WT4Y	Anthropologie	63.63
1962-09-30	US7WT4Y	Anthropologie	61.266619217970344
1962-10-31	US7WT4Y	Anthropologie	63.02
1962-11-30	US7WT4Y	Anthropologie	60.56
1962-12-31	US7WT4Y	Anthropologie	60.16
1963-01-31	US7WT4Y	Anthropologie	61.03340161733286
1963-02-28	US7WT4Y	Anthropologie	62.46164386437613
1963-03-31	US7WT4Y	Anthropologie	60.69
1963-04-30	US7WT4Y	Anthropologie	64.54
1963-05-31	US7WT4Y	Anthropologie	61.02
1963-06-30	US7WT4Y	Anthropologie	61.860714748938975
1963-07-31	US7WT4Y	Anthropologie	62.00716080162431
1963-08-31	US7WT4Y	Anthropologie	61.67
1963-09-30	US7WT4Y	Anthropologie	63.67
1963-10-31	US7WT4Y	Anthropologie	64.87
1963-11-30	US7WT4Y	Anthropologie	66.52
1963-12-31	US7WT4Y	Anthropologie	70.53
1964-01-31	US7WT4Y	Anthropologie	77.23
1964-02-29	US7WT4Y	Anthropologie	84.02
1964-03-31	US7WT4Y	Anthropologie	84.64
1964-04-30	US7WT4Y	Anthropologie	81.5
1964-05-31	US7WT4Y	Anthropologie	76.57
1964-06-30	US7WT4Y	Anthropologie	75.06
1964-07-31	US7WT4Y	Anthropologie	77.94
