Date	Company Code	Company Name	Stock Price
1959-01-31	USHKV8S	Apple Inc.	118.23
1959-02-28	USHKV8S	Apple Inc.	114.56
1959-03-31	USHKV8S	Apple Inc.	118.34
1959-04-30	USHKV8S	Apple Inc.	117.59
1959-05-31	USHKV8S	Apple Inc.	116.57
1959-06-30	USHKV8S	Apple Inc.	117.71
1959-07-31	USHKV8S	Apple Inc.	116.53
1959-08-31	USHKV8S	Apple Inc.	121.87
1959-09-30	USHKV8S	Apple Inc.	121.19
1959-10-31	USHKV8S	Apple Inc.	114.54
1959-11-30	USHKV8S	Apple Inc.	115.47
1959-12-31	USHKV8S	Apple Inc.	121.81
1960-01-31	USHKV8S	Apple Inc.	121.42
1960-02-29	USHKV8S	Apple Inc.	121.62
1960-03-31	USHKV8S	Apple Inc.	120.1
1960-04-30	USHKV8S	Apple Inc.	118.16
1960-05-31	USHKV8S	Apple Inc.	114.47
1960-06-30	USHKV8S	Apple Inc.	115.43
1960-07-31	USHKV8S	Apple Inc.	115.06
1960-08-31	USHKV8S	Apple Inc.	122.01
1960-09-30	USHKV8S	Apple Inc.	121.8
1960-10-31	USHKV8S	Apple Inc.	128.75
1960-11-30	USHKV8S	Apple Inc.	126.81
1960-12-31	USHKV8S	Apple Inc.	131.98
1961-01-31	USHKV8S	Apple Inc.	137.61
1961-02-28	USHKV8S	Apple Inc.	135.97
1961-03-31	USHKV8S	Apple Inc.	136.2
1961-04-30	USHKV8S	Apple Inc.	137.5
1961-05-31	USHKV8S	Apple Inc.	136.36
1961-06-30	USHKV8S	Apple Inc.	133.71
1961-07-31	USHKV8S	Apple Inc.	132.89
1961-08-31	USHKV8S	Apple Inc.	137.31
1961-09-30	USHKV8S	Apple Inc.	133.87
1961-10-31	USHKV8S	Apple Inc.	136.27
1961-11-30	USHKV8S	Apple Inc.	136.54
1961-12-31	USHKV8S	Apple Inc.	133.71
1962-01-31	USHKV8S	Apple Inc.	135.32
1962-02-28	USHKV8S	Apple Inc.	130.17
1962-03-31	USHKV8S	Apple Inc.	130.0
1962-04-30	USHKV8S	Apple Inc.	126.93
1962-05-31	USHKV8S	Apple Inc.	124.75
1962-06-30	USHKV8S	Apple Inc.	123.57
1962-07-31	USHKV8S	Apple Inc.	122.33
1962-08-31	USHKV8S	Apple Inc.	130.93
1962-09-30	USHKV8S	Apple Inc.	126.47
1962-10-31	USHKV8S	Apple Inc.	132.33
1962-11-30	USHKV8S	Apple Inc.	124.52
1962-12-31	USHKV8S	Apple Inc.	123.05
1963-01-31	USHKV8S	Apple Inc.	124.6
1963-02-28	USHKV8S	Apple Inc.	122.33
1963-03-31	USHKV8S	Apple Inc.	123.8
1963-04-30	USHKV8S	Apple Inc.	131.13
1963-05-31	USHKV8S	Apple Inc.	134.68
1963-06-30	USHKV8S	Apple Inc.	136.07
1963-07-31	USHKV8S	Apple Inc.	131.35
1963-08-31	USHKV8S	Apple Inc.	128.37
1963-09-30	USHKV8S	Apple Inc.	132.42
1963-10-31	USHKV8S	Apple Inc.	133.45
1963-11-30	USHKV8S	Apple Inc.	130.96
1963-12-31	USHKV8S	Apple Inc.	128.2
1964-01-31	USHKV8S	Apple Inc.	122.92
1964-02-29	USHKV8S	Apple Inc.	121.98
1964-03-31	USHKV8S	Apple Inc.	121.27
1964-04-30	USHKV8S	Apple Inc.	125.04
1964-05-31	USHKV8S	Apple Inc.	133.73
1964-06-30	USHKV8S	Apple Inc.	135.32
1964-07-31	USHKV8S	Apple Inc.	131.94
1964-08-31	USHKV8S	Apple Inc.	127.69
1964-09-30	USHKV8S	Apple Inc.	127.39
1964-10-31	USHKV8S	Apple Inc.	127.42
1964-11-30	USHKV8S	Apple Inc.	129.99
1964-12-31	USHKV8S	Apple Inc.	134.16
1965-01-31	USHKV8S	Apple Inc.	137.83
1965-02-28	USHKV8S	Apple Inc.	136.74
1965-03-31	USHKV8S	Apple Inc.	137.13
1965-04-30	USHKV8S	Apple Inc.	137.69
