Date	Company Code	Company Name	Stock Price
1959-01-31	US3I6CN	ArtSpace	108.18
1959-02-28	US3I6CN	ArtSpace	102.31
1959-03-31	US3I6CN	ArtSpace	102.66
1959-04-30	US3I6CN	ArtSpace	101.27
1959-05-31	US3I6CN	ArtSpace	96.66
1959-06-30	US3I6CN	ArtSpace	97.34
1959-07-31	US3I6CN	ArtSpace	100.19
1959-08-31	US3I6CN	ArtSpace	97.95
1959-09-30	US3I6CN	ArtSpace	100.31
1959-10-31	US3I6CN	ArtSpace	97.53
1959-11-30	US3I6CN	ArtSpace	99.28
1959-12-31	US3I6CN	ArtSpace	93.62
1960-01-31	US3I6CN	ArtSpace	92.38
1960-02-29	US3I6CN	ArtSpace	88.43
1960-03-31	US3I6CN	ArtSpace	92.78
1960-04-30	US3I6CN	ArtSpace	90.26
1960-05-31	US3I6CN	ArtSpace	92.39
1960-06-30	US3I6CN	ArtSpace	83.83
1960-07-31	US3I6CN	ArtSpace	80.94
1960-08-31	US3I6CN	ArtSpace	82.9
1960-09-30	US3I6CN	ArtSpace	79.31
1960-10-31	US3I6CN	ArtSpace	76.9
1960-11-30	US3I6CN	ArtSpace	72.3
1960-12-31	US3I6CN	ArtSpace	62.88
1961-01-31	US3I6CN	ArtSpace	63.22
1961-02-28	US3I6CN	ArtSpace	63.27
1961-03-31	US3I6CN	ArtSpace	63.18
1961-04-30	US3I6CN	ArtSpace	61.11
1961-05-31	US3I6CN	ArtSpace	62.947207268539586
1961-06-30	US3I6CN	ArtSpace	67.15
1961-07-31	US3I6CN	ArtSpace	65.91
1961-08-31	US3I6CN	ArtSpace	61.17389967740296
1961-09-30	US3I6CN	ArtSpace	62.92652197101749
1961-10-31	US3I6CN	ArtSpace	66.71
1961-11-30	US3I6CN	ArtSpace	61.04
1961-12-31	US3I6CN	ArtSpace	61.1
1962-01-31	US3I6CN	ArtSpace	61.795555202550354
1962-02-28	US3I6CN	ArtSpace	61.413388180581485
1962-03-31	US3I6CN	ArtSpace	62.95
1962-04-30	US3I6CN	ArtSpace	67.67
1962-05-31	US3I6CN	ArtSpace	69.12
1962-06-30	US3I6CN	ArtSpace	63.13
1962-07-31	US3I6CN	ArtSpace	68.56
1962-08-31	US3I6CN	ArtSpace	68.77
1962-09-30	US3I6CN	ArtSpace	70.52
1962-10-31	US3I6CN	ArtSpace	66.72
1962-11-30	US3I6CN	ArtSpace	63.79
1962-12-31	US3I6CN	ArtSpace	60.2
1963-01-31	US3I6CN	ArtSpace	60.3
1963-02-28	US3I6CN	ArtSpace	69.28
1963-03-31	US3I6CN	ArtSpace	73.73
1963-04-30	US3I6CN	ArtSpace	72.68
1963-05-31	US3I6CN	ArtSpace	71.67
1963-06-30	US3I6CN	ArtSpace	73.35
1963-07-31	US3I6CN	ArtSpace	68.76
1963-08-31	US3I6CN	ArtSpace	65.97
1963-09-30	US3I6CN	ArtSpace	66.66
1963-10-31	US3I6CN	ArtSpace	62.62
1963-11-30	US3I6CN	ArtSpace	62.4
1963-12-31	US3I6CN	ArtSpace	63.7
1964-01-31	US3I6CN	ArtSpace	62.035354428561064
1964-02-29	US3I6CN	ArtSpace	62.41345939809338
1964-03-31	US3I6CN	ArtSpace	62.91625186380209
1964-04-30	US3I6CN	ArtSpace	67.78
1964-05-31	US3I6CN	ArtSpace	67.84
1964-06-30	US3I6CN	ArtSpace	73.97
1964-07-31	US3I6CN	ArtSpace	79.47
1964-08-31	US3I6CN	ArtSpace	80.98
1964-09-30	US3I6CN	ArtSpace	88.28
1964-10-31	US3I6CN	ArtSpace	86.83
1964-11-30	US3I6CN	ArtSpace	82.42
1964-12-31	US3I6CN	ArtSpace	85.06
1965-01-31	US3I6CN	ArtSpace	84.91
1965-02-28	US3I6CN	ArtSpace	88.09
1965-03-31	US3I6CN	ArtSpace	87.51
1965-04-30	US3I6CN	ArtSpace	85.07
1965-05-31	US3I6CN	ArtSpace	85.85
1965-06-30	US3I6CN	ArtSpace	89.51
1965-07-31	US3I6CN	ArtSpace	90.42
1965-08-31	US3I6CN	ArtSpace	90.3
1965-09-30	US3I6CN	ArtSpace	85.83
1965-10-31	US3I6CN	ArtSpace	92.4
1965-11-30	US3I6CN	ArtSpace	92.86
1965-12-31	US3I6CN	ArtSpace	90.72
1966-01-31	US3I6CN	ArtSpace	91.0
1966-02-28	US3I6CN	ArtSpace	88.31
1966-03-31	US3I6CN	ArtSpace	91.4
1966-04-30	US3I6CN	ArtSpace	94.23
1966-05-31	US3I6CN	ArtSpace	90.26
1966-06-30	US3I6CN	ArtSpace	87.38
1966-07-31	US3I6CN	ArtSpace	82.42
1966-08-31	US3I6CN	ArtSpace	82.91
1966-09-30	US3I6CN	ArtSpace	83.22
1966-10-31	US3I6CN	ArtSpace	87.1
1966-11-30	US3I6CN	ArtSpace	87.92
1966-12-31	US3I6CN	ArtSpace	93.4
1967-01-31	US3I6CN	ArtSpace	90.65
1967-02-28	US3I6CN	ArtSpace	87.08
1967-03-31	US3I6CN	ArtSpace	89.92
1967-04-30	US3I6CN	ArtSpace	84.43
1967-05-31	US3I6CN	ArtSpace	81.16
1967-06-30	US3I6CN	ArtSpace	83.68
