Date	Company Code	Company Name	Stock Price
1959-01-31	USWB42N	Art Basel	111.48
1959-02-28	USWB42N	Art Basel	113.98
1959-03-31	USWB42N	Art Basel	114.19
1959-04-30	USWB42N	Art Basel	108.99
1959-05-31	USWB42N	Art Basel	106.27
1959-06-30	USWB42N	Art Basel	111.78
1959-07-31	USWB42N	Art Basel	111.3
1959-08-31	USWB42N	Art Basel	102.4
1959-09-30	USWB42N	Art Basel	102.52
1959-10-31	USWB42N	Art Basel	100.79
1959-11-30	USWB42N	Art Basel	104.52
1959-12-31	USWB42N	Art Basel	104.93
1960-01-31	USWB42N	Art Basel	107.23
1960-02-29	USWB42N	Art Basel	105.8
1960-03-31	USWB42N	Art Basel	105.53
1960-04-30	USWB42N	Art Basel	107.47
1960-05-31	USWB42N	Art Basel	100.32
1960-06-30	USWB42N	Art Basel	96.58
1960-07-31	USWB42N	Art Basel	97.61
1960-08-31	USWB42N	Art Basel	100.98
1960-09-30	USWB42N	Art Basel	97.61
1960-10-31	USWB42N	Art Basel	95.03
1960-11-30	USWB42N	Art Basel	91.24
1960-12-31	USWB42N	Art Basel	99.02
1961-01-31	USWB42N	Art Basel	99.89
1961-02-28	USWB42N	Art Basel	94.72
1961-03-31	USWB42N	Art Basel	94.73
1961-04-30	USWB42N	Art Basel	95.06
1961-05-31	USWB42N	Art Basel	93.39
1961-06-30	USWB42N	Art Basel	90.83
1961-07-31	USWB42N	Art Basel	97.59
1961-08-31	USWB42N	Art Basel	97.34
1961-09-30	USWB42N	Art Basel	94.54
1961-10-31	USWB42N	Art Basel	99.24
1961-11-30	USWB42N	Art Basel	99.96
1961-12-31	USWB42N	Art Basel	100.0
1962-01-31	USWB42N	Art Basel	98.15
1962-02-28	USWB42N	Art Basel	100.73
1962-03-31	USWB42N	Art Basel	103.92
1962-04-30	USWB42N	Art Basel	106.89
1962-05-31	USWB42N	Art Basel	111.82
1962-06-30	USWB42N	Art Basel	121.24
1962-07-31	USWB42N	Art Basel	119.04
1962-08-31	USWB42N	Art Basel	124.31
1962-09-30	USWB42N	Art Basel	131.22
1962-10-31	USWB42N	Art Basel	136.77
1962-11-30	USWB42N	Art Basel	139.34
1962-12-31	USWB42N	Art Basel	137.75
1963-01-31	USWB42N	Art Basel	132.36
1963-02-28	USWB42N	Art Basel	135.5
1963-03-31	USWB42N	Art Basel	130.53
1963-04-30	USWB42N	Art Basel	134.65
1963-05-31	USWB42N	Art Basel	142.32
1963-06-30	USWB42N	Art Basel	143.48
1963-07-31	USWB42N	Art Basel	140.21
1963-08-31	USWB42N	Art Basel	138.11
1963-09-30	USWB42N	Art Basel	135.59
1963-10-31	USWB42N	Art Basel	136.61
1963-11-30	USWB42N	Art Basel	135.52
1963-12-31	USWB42N	Art Basel	138.56
1964-01-31	USWB42N	Art Basel	137.25
1964-02-29	USWB42N	Art Basel	137.3
1964-03-31	USWB42N	Art Basel	135.36
1964-04-30	USWB42N	Art Basel	136.69
1964-05-31	USWB42N	Art Basel	138.48
1964-06-30	USWB42N	Art Basel	134.59
1964-07-31	USWB42N	Art Basel	135.86
1964-08-31	USWB42N	Art Basel	136.56
1964-09-30	USWB42N	Art Basel	143.38
1964-10-31	USWB42N	Art Basel	143.71
1964-11-30	USWB42N	Art Basel	142.81
1964-12-31	USWB42N	Art Basel	149.49
1965-01-31	USWB42N	Art Basel	154.16
1965-02-28	USWB42N	Art Basel	154.31
1965-03-31	USWB42N	Art Basel	159.95
1965-04-30	USWB42N	Art Basel	162.77
1965-05-31	USWB42N	Art Basel	165.71
1965-06-30	USWB42N	Art Basel	165.31
1965-07-31	USWB42N	Art Basel	159.19
1965-08-31	USWB42N	Art Basel	160.7
1965-09-30	USWB42N	Art Basel	161.97
1965-10-31	USWB42N	Art Basel	157.71
1965-11-30	USWB42N	Art Basel	151.48
1965-12-31	USWB42N	Art Basel	150.72
1966-01-31	USWB42N	Art Basel	151.1
1966-02-28	USWB42N	Art Basel	156.86
1966-03-31	USWB42N	Art Basel	152.54
1966-04-30	USWB42N	Art Basel	145.3
1966-05-31	USWB42N	Art Basel	154.89
1966-06-30	USWB42N	Art Basel	158.78
1966-07-31	USWB42N	Art Basel	158.43
1966-08-31	USWB42N	Art Basel	158.07
1966-09-30	USWB42N	Art Basel	156.37
1966-10-31	USWB42N	Art Basel	156.59
1966-11-30	USWB42N	Art Basel	150.66
1966-12-31	USWB42N	Art Basel	152.29
1967-01-31	USWB42N	Art Basel	147.4
1967-02-28	USWB42N	Art Basel	149.15
1967-03-31	USWB42N	Art Basel	147.58
1967-04-30	USWB42N	Art Basel	147.86
1967-05-31	USWB42N	Art Basel	146.88
1967-06-30	USWB42N	Art Basel	146.55
1967-07-31	USWB42N	Art Basel	150.01
1967-08-31	USWB42N	Art Basel	155.29
1967-09-30	USWB42N	Art Basel	156.17
1967-10-31	USWB42N	Art Basel	158.63
1967-11-30	USWB42N	Art Basel	159.96
1967-12-31	USWB42N	Art Basel	155.95
1968-01-31	USWB42N	Art Basel	156.74
1968-02-29	USWB42N	Art Basel	151.66
1968-03-31	USWB42N	Art Basel	151.34
1968-04-30	USWB42N	Art Basel	152.33
1968-05-31	USWB42N	Art Basel	145.36
1968-06-30	USWB42N	Art Basel	147.55
1968-07-31	USWB42N	Art Basel	149.3
1968-08-31	USWB42N	Art Basel	142.75
1968-09-30	USWB42N	Art Basel	135.15
1968-10-31	USWB42N	Art Basel	137.92
1968-11-30	USWB42N	Art Basel	136.09
1968-12-31	USWB42N	Art Basel	135.19
1969-01-31	USWB42N	Art Basel	129.05
1969-02-28	USWB42N	Art Basel	126.85
1969-03-31	USWB42N	Art Basel	130.48
1969-04-30	USWB42N	Art Basel	128.68
1969-05-31	USWB42N	Art Basel	134.33
1969-06-30	USWB42N	Art Basel	136.9
1969-07-31	USWB42N	Art Basel	139.66
1969-08-31	USWB42N	Art Basel	138.65
1969-09-30	USWB42N	Art Basel	142.66
1969-10-31	USWB42N	Art Basel	139.27
1969-11-30	USWB42N	Art Basel	145.11
1969-12-31	USWB42N	Art Basel	139.56
1970-01-31	USWB42N	Art Basel	134.26
1970-02-28	USWB42N	Art Basel	129.29
1970-03-31	USWB42N	Art Basel	129.45
1970-04-30	USWB42N	Art Basel	134.61
1970-05-31	USWB42N	Art Basel	134.25
1970-06-30	USWB42N	Art Basel	136.84
1970-07-31	USWB42N	Art Basel	133.74
1970-08-31	USWB42N	Art Basel	135.79
1970-09-30	USWB42N	Art Basel	134.51
1970-10-31	USWB42N	Art Basel	135.97
1970-11-30	USWB42N	Art Basel	135.12
1970-12-31	USWB42N	Art Basel	136.63
1971-01-31	USWB42N	Art Basel	137.07
1971-02-28	USWB42N	Art Basel	130.46
1971-03-31	USWB42N	Art Basel	132.63
1971-04-30	USWB42N	Art Basel	132.6
1971-05-31	USWB42N	Art Basel	123.25
1971-06-30	USWB42N	Art Basel	121.16
1971-07-31	USWB42N	Art Basel	122.32
1971-08-31	USWB42N	Art Basel	120.51
1971-09-30	USWB42N	Art Basel	120.8
1971-10-31	USWB42N	Art Basel	120.76
1971-11-30	USWB42N	Art Basel	123.6
1971-12-31	USWB42N	Art Basel	132.32
1972-01-31	USWB42N	Art Basel	136.38
1972-02-29	USWB42N	Art Basel	130.26
1972-03-31	USWB42N	Art Basel	125.8
1972-04-30	USWB42N	Art Basel	134.95
1972-05-31	USWB42N	Art Basel	136.73
1972-06-30	USWB42N	Art Basel	134.79
1972-07-31	USWB42N	Art Basel	128.48
1972-08-31	USWB42N	Art Basel	127.67
1972-09-30	USWB42N	Art Basel	126.87
1972-10-31	USWB42N	Art Basel	119.95
1972-11-30	USWB42N	Art Basel	119.19
1972-12-31	USWB42N	Art Basel	120.29
1973-01-31	USWB42N	Art Basel	114.51
1973-02-28	USWB42N	Art Basel	116.66
1973-03-31	USWB42N	Art Basel	118.78
1973-04-30	USWB42N	Art Basel	115.84
1973-05-31	USWB42N	Art Basel	106.73
1973-06-30	USWB42N	Art Basel	110.49
1973-07-31	USWB42N	Art Basel	110.9
1973-08-31	USWB42N	Art Basel	104.97
1973-09-30	USWB42N	Art Basel	105.82
1973-10-31	USWB42N	Art Basel	109.99
1973-11-30	USWB42N	Art Basel	110.24
1973-12-31	USWB42N	Art Basel	104.81
1974-01-31	USWB42N	Art Basel	102.03
1974-02-28	USWB42N	Art Basel	98.46
1974-03-31	USWB42N	Art Basel	102.32
1974-04-30	USWB42N	Art Basel	92.62
1974-05-31	USWB42N	Art Basel	93.16
1974-06-30	USWB42N	Art Basel	95.9
1974-07-31	USWB42N	Art Basel	96.71
1974-08-31	USWB42N	Art Basel	102.96
1974-09-30	USWB42N	Art Basel	99.23
1974-10-31	USWB42N	Art Basel	97.7
1974-11-30	USWB42N	Art Basel	101.02
1974-12-31	USWB42N	Art Basel	98.26
1975-01-31	USWB42N	Art Basel	94.15
1975-02-28	USWB42N	Art Basel	88.25
1975-03-31	USWB42N	Art Basel	90.23
1975-04-30	USWB42N	Art Basel	87.57
1975-05-31	USWB42N	Art Basel	93.93
1975-06-30	USWB42N	Art Basel	98.55
1975-07-31	USWB42N	Art Basel	96.37
1975-08-31	USWB42N	Art Basel	100.41
1975-09-30	USWB42N	Art Basel	102.33
1975-10-31	USWB42N	Art Basel	93.37
1975-11-30	USWB42N	Art Basel	102.11
1975-12-31	USWB42N	Art Basel	106.21
1976-01-31	USWB42N	Art Basel	104.43
1976-02-29	USWB42N	Art Basel	106.64
1976-03-31	USWB42N	Art Basel	101.37
1976-04-30	USWB42N	Art Basel	95.77
1976-05-31	USWB42N	Art Basel	98.95
1976-06-30	USWB42N	Art Basel	95.21
1976-07-31	USWB42N	Art Basel	99.11
1976-08-31	USWB42N	Art Basel	95.29
1976-09-30	USWB42N	Art Basel	92.85
1976-10-31	USWB42N	Art Basel	96.39
1976-11-30	USWB42N	Art Basel	97.5
1976-12-31	USWB42N	Art Basel	105.66
1977-01-31	USWB42N	Art Basel	111.36
1977-02-28	USWB42N	Art Basel	115.03
1977-03-31	USWB42N	Art Basel	118.82
1977-04-30	USWB42N	Art Basel	124.28
1977-05-31	USWB42N	Art Basel	126.89
1977-06-30	USWB42N	Art Basel	130.02
1977-07-31	USWB42N	Art Basel	128.43
1977-08-31	USWB42N	Art Basel	129.19
1977-09-30	USWB42N	Art Basel	131.33
1977-10-31	USWB42N	Art Basel	132.46
1977-11-30	USWB42N	Art Basel	133.44
1977-12-31	USWB42N	Art Basel	132.01
1978-01-31	USWB42N	Art Basel	132.2
1978-02-28	USWB42N	Art Basel	122.86
1978-03-31	USWB42N	Art Basel	121.16
1978-04-30	USWB42N	Art Basel	119.78
1978-05-31	USWB42N	Art Basel	115.02
1978-06-30	USWB42N	Art Basel	112.32
1978-07-31	USWB42N	Art Basel	105.3
1978-08-31	USWB42N	Art Basel	99.93
1978-09-30	USWB42N	Art Basel	103.46
1978-10-31	USWB42N	Art Basel	102.81
1978-11-30	USWB42N	Art Basel	99.95
1978-12-31	USWB42N	Art Basel	96.2
1979-01-31	USWB42N	Art Basel	95.09
1979-02-28	USWB42N	Art Basel	89.08
1979-03-31	USWB42N	Art Basel	80.92
1979-04-30	USWB42N	Art Basel	81.21
1979-05-31	USWB42N	Art Basel	77.34
1979-06-30	USWB42N	Art Basel	79.97
1979-07-31	USWB42N	Art Basel	79.52
1979-08-31	USWB42N	Art Basel	79.93
1979-09-30	USWB42N	Art Basel	82.05
1979-10-31	USWB42N	Art Basel	75.23
1979-11-30	USWB42N	Art Basel	75.65
1979-12-31	USWB42N	Art Basel	83.26
1980-01-31	USWB42N	Art Basel	77.59
1980-02-29	USWB42N	Art Basel	70.12
1980-03-31	USWB42N	Art Basel	73.47
1980-04-30	USWB42N	Art Basel	73.8
1980-05-31	USWB42N	Art Basel	76.42
1980-06-30	USWB42N	Art Basel	73.21
1980-07-31	USWB42N	Art Basel	80.81
1980-08-31	USWB42N	Art Basel	79.52
1980-09-30	USWB42N	Art Basel	77.29
1980-10-31	USWB42N	Art Basel	79.83
1980-11-30	USWB42N	Art Basel	72.21
1980-12-31	USWB42N	Art Basel	70.58
1981-01-31	USWB42N	Art Basel	71.65
1981-02-28	USWB42N	Art Basel	68.56
1981-03-31	USWB42N	Art Basel	65.87
1981-04-30	USWB42N	Art Basel	72.02
1981-05-31	USWB42N	Art Basel	67.15
1981-06-30	USWB42N	Art Basel	70.2
1981-07-31	USWB42N	Art Basel	72.25
1981-08-31	USWB42N	Art Basel	73.78
1981-09-30	USWB42N	Art Basel	72.03
1981-10-31	USWB42N	Art Basel	77.51
1981-11-30	USWB42N	Art Basel	80.53
1981-12-31	USWB42N	Art Basel	87.38
1982-01-31	USWB42N	Art Basel	88.37
1982-02-28	USWB42N	Art Basel	90.55
1982-03-31	USWB42N	Art Basel	87.06
1982-04-30	USWB42N	Art Basel	93.55
1982-05-31	USWB42N	Art Basel	94.91
1982-06-30	USWB42N	Art Basel	93.08
1982-07-31	USWB42N	Art Basel	97.54
1982-08-31	USWB42N	Art Basel	90.43
1982-09-30	USWB42N	Art Basel	85.84
1982-10-31	USWB42N	Art Basel	85.68
1982-11-30	USWB42N	Art Basel	87.28
1982-12-31	USWB42N	Art Basel	90.46
1983-01-31	USWB42N	Art Basel	92.4
1983-02-28	USWB42N	Art Basel	92.83
1983-03-31	USWB42N	Art Basel	94.47
1983-04-30	USWB42N	Art Basel	88.64
1983-05-31	USWB42N	Art Basel	94.43
1983-06-30	USWB42N	Art Basel	93.54
1983-07-31	USWB42N	Art Basel	92.86
1983-08-31	USWB42N	Art Basel	93.61
1983-09-30	USWB42N	Art Basel	92.82
1983-10-31	USWB42N	Art Basel	95.32
1983-11-30	USWB42N	Art Basel	91.49
1983-12-31	USWB42N	Art Basel	87.49
1984-01-31	USWB42N	Art Basel	93.29
1984-02-29	USWB42N	Art Basel	94.76
1984-03-31	USWB42N	Art Basel	93.8
1984-04-30	USWB42N	Art Basel	93.72
