Date	Company Code	Company Name	Stock Price
1959-01-31	USM9VSW	Artfinder	98.4
1959-02-28	USM9VSW	Artfinder	97.42
1959-03-31	USM9VSW	Artfinder	101.07
1959-04-30	USM9VSW	Artfinder	99.05
1959-05-31	USM9VSW	Artfinder	98.85
1959-06-30	USM9VSW	Artfinder	102.2
1959-07-31	USM9VSW	Artfinder	104.27
1959-08-31	USM9VSW	Artfinder	108.17
1959-09-30	USM9VSW	Artfinder	109.34
1959-10-31	USM9VSW	Artfinder	109.84
1959-11-30	USM9VSW	Artfinder	113.58
1959-12-31	USM9VSW	Artfinder	105.85
1960-01-31	USM9VSW	Artfinder	106.08
1960-02-29	USM9VSW	Artfinder	102.47
1960-03-31	USM9VSW	Artfinder	104.8
1960-04-30	USM9VSW	Artfinder	104.51
1960-05-31	USM9VSW	Artfinder	105.33
1960-06-30	USM9VSW	Artfinder	103.24
1960-07-31	USM9VSW	Artfinder	95.45
1960-08-31	USM9VSW	Artfinder	96.14
1960-09-30	USM9VSW	Artfinder	93.37
1960-10-31	USM9VSW	Artfinder	96.32
1960-11-30	USM9VSW	Artfinder	99.91
1960-12-31	USM9VSW	Artfinder	95.89
1961-01-31	USM9VSW	Artfinder	87.56
1961-02-28	USM9VSW	Artfinder	81.41
1961-03-31	USM9VSW	Artfinder	80.5
1961-04-30	USM9VSW	Artfinder	74.97
1961-05-31	USM9VSW	Artfinder	79.41
1961-06-30	USM9VSW	Artfinder	81.31
1961-07-31	USM9VSW	Artfinder	80.35
1961-08-31	USM9VSW	Artfinder	72.67
1961-09-30	USM9VSW	Artfinder	77.98
1961-10-31	USM9VSW	Artfinder	72.34
1961-11-30	USM9VSW	Artfinder	72.57
1961-12-31	USM9VSW	Artfinder	72.72
1962-01-31	USM9VSW	Artfinder	64.48
1962-02-28	USM9VSW	Artfinder	66.04
1962-03-31	USM9VSW	Artfinder	61.434495586719784
1962-04-30	USM9VSW	Artfinder	61.86
1962-05-31	USM9VSW	Artfinder	67.78
1962-06-30	USM9VSW	Artfinder	71.12
1962-07-31	USM9VSW	Artfinder	73.02
1962-08-31	USM9VSW	Artfinder	77.64
1962-09-30	USM9VSW	Artfinder	75.46
1962-10-31	USM9VSW	Artfinder	66.28
1962-11-30	USM9VSW	Artfinder	71.43
1962-12-31	USM9VSW	Artfinder	73.11
1963-01-31	USM9VSW	Artfinder	69.13
1963-02-28	USM9VSW	Artfinder	71.56
1963-03-31	USM9VSW	Artfinder	74.9
1963-04-30	USM9VSW	Artfinder	73.41
1963-05-31	USM9VSW	Artfinder	82.03
1963-06-30	USM9VSW	Artfinder	78.29
1963-07-31	USM9VSW	Artfinder	79.44
1963-08-31	USM9VSW	Artfinder	72.12
1963-09-30	USM9VSW	Artfinder	77.66
1963-10-31	USM9VSW	Artfinder	81.51
1963-11-30	USM9VSW	Artfinder	87.81
1963-12-31	USM9VSW	Artfinder	79.88
1964-01-31	USM9VSW	Artfinder	88.17
1964-02-29	USM9VSW	Artfinder	88.02
1964-03-31	USM9VSW	Artfinder	87.52
1964-04-30	USM9VSW	Artfinder	84.84
1964-05-31	USM9VSW	Artfinder	77.43
1964-06-30	USM9VSW	Artfinder	76.06
1964-07-31	USM9VSW	Artfinder	76.13
1964-08-31	USM9VSW	Artfinder	77.37
1964-09-30	USM9VSW	Artfinder	73.0
1964-10-31	USM9VSW	Artfinder	79.56
1964-11-30	USM9VSW	Artfinder	83.92
1964-12-31	USM9VSW	Artfinder	84.89
1965-01-31	USM9VSW	Artfinder	82.56
1965-02-28	USM9VSW	Artfinder	84.44
1965-03-31	USM9VSW	Artfinder	83.56
1965-04-30	USM9VSW	Artfinder	82.87
1965-05-31	USM9VSW	Artfinder	90.58
1965-06-30	USM9VSW	Artfinder	95.67
1965-07-31	USM9VSW	Artfinder	96.31
1965-08-31	USM9VSW	Artfinder	99.07
1965-09-30	USM9VSW	Artfinder	101.07
1965-10-31	USM9VSW	Artfinder	106.71
1965-11-30	USM9VSW	Artfinder	102.13
1965-12-31	USM9VSW	Artfinder	101.89
1966-01-31	USM9VSW	Artfinder	100.41
1966-02-28	USM9VSW	Artfinder	95.73
1966-03-31	USM9VSW	Artfinder	94.71
1966-04-30	USM9VSW	Artfinder	100.09
1966-05-31	USM9VSW	Artfinder	98.06
1966-06-30	USM9VSW	Artfinder	101.8
1966-07-31	USM9VSW	Artfinder	97.59
1966-08-31	USM9VSW	Artfinder	95.37
1966-09-30	USM9VSW	Artfinder	94.9
1966-10-31	USM9VSW	Artfinder	93.08
1966-11-30	USM9VSW	Artfinder	95.33
1966-12-31	USM9VSW	Artfinder	104.12
1967-01-31	USM9VSW	Artfinder	109.05
1967-02-28	USM9VSW	Artfinder	111.19
1967-03-31	USM9VSW	Artfinder	114.51
1967-04-30	USM9VSW	Artfinder	111.15
1967-05-31	USM9VSW	Artfinder	112.36
1967-06-30	USM9VSW	Artfinder	108.64
1967-07-31	USM9VSW	Artfinder	110.66
1967-08-31	USM9VSW	Artfinder	110.65
1967-09-30	USM9VSW	Artfinder	109.85
1967-10-31	USM9VSW	Artfinder	107.22
1967-11-30	USM9VSW	Artfinder	105.7
1967-12-31	USM9VSW	Artfinder	98.81
1968-01-31	USM9VSW	Artfinder	104.2
1968-02-29	USM9VSW	Artfinder	105.19
1968-03-31	USM9VSW	Artfinder	104.43
1968-04-30	USM9VSW	Artfinder	111.93
1968-05-31	USM9VSW	Artfinder	108.98
1968-06-30	USM9VSW	Artfinder	107.83
1968-07-31	USM9VSW	Artfinder	101.92
1968-08-31	USM9VSW	Artfinder	100.67
1968-09-30	USM9VSW	Artfinder	98.58
1968-10-31	USM9VSW	Artfinder	101.38
1968-11-30	USM9VSW	Artfinder	93.52
1968-12-31	USM9VSW	Artfinder	93.9
1969-01-31	USM9VSW	Artfinder	89.47
1969-02-28	USM9VSW	Artfinder	97.82
1969-03-31	USM9VSW	Artfinder	101.9
1969-04-30	USM9VSW	Artfinder	103.54
1969-05-31	USM9VSW	Artfinder	101.18
1969-06-30	USM9VSW	Artfinder	100.65
1969-07-31	USM9VSW	Artfinder	102.06
1969-08-31	USM9VSW	Artfinder	96.76
1969-09-30	USM9VSW	Artfinder	99.13
1969-10-31	USM9VSW	Artfinder	96.06
1969-11-30	USM9VSW	Artfinder	94.42
1969-12-31	USM9VSW	Artfinder	91.47
1970-01-31	USM9VSW	Artfinder	96.1
1970-02-28	USM9VSW	Artfinder	95.58
1970-03-31	USM9VSW	Artfinder	93.39
1970-04-30	USM9VSW	Artfinder	96.78
1970-05-31	USM9VSW	Artfinder	95.64
1970-06-30	USM9VSW	Artfinder	96.75
1970-07-31	USM9VSW	Artfinder	96.56
1970-08-31	USM9VSW	Artfinder	89.77
1970-09-30	USM9VSW	Artfinder	88.56
1970-10-31	USM9VSW	Artfinder	86.33
1970-11-30	USM9VSW	Artfinder	89.96
1970-12-31	USM9VSW	Artfinder	95.8
1971-01-31	USM9VSW	Artfinder	96.1
1971-02-28	USM9VSW	Artfinder	89.94
1971-03-31	USM9VSW	Artfinder	92.19
1971-04-30	USM9VSW	Artfinder	97.64
1971-05-31	USM9VSW	Artfinder	97.87
1971-06-30	USM9VSW	Artfinder	88.1
1971-07-31	USM9VSW	Artfinder	85.6
1971-08-31	USM9VSW	Artfinder	82.09
1971-09-30	USM9VSW	Artfinder	78.14
1971-10-31	USM9VSW	Artfinder	79.11
1971-11-30	USM9VSW	Artfinder	79.21
1971-12-31	USM9VSW	Artfinder	85.24
1972-01-31	USM9VSW	Artfinder	84.8
1972-02-29	USM9VSW	Artfinder	88.19
1972-03-31	USM9VSW	Artfinder	87.13
1972-04-30	USM9VSW	Artfinder	85.0
1972-05-31	USM9VSW	Artfinder	92.71
1972-06-30	USM9VSW	Artfinder	91.7
1972-07-31	USM9VSW	Artfinder	99.17
1972-08-31	USM9VSW	Artfinder	100.41
1972-09-30	USM9VSW	Artfinder	101.84
1972-10-31	USM9VSW	Artfinder	97.07
1972-11-30	USM9VSW	Artfinder	99.3
1972-12-31	USM9VSW	Artfinder	107.35
1973-01-31	USM9VSW	Artfinder	105.44
1973-02-28	USM9VSW	Artfinder	97.51
1973-03-31	USM9VSW	Artfinder	105.05
1973-04-30	USM9VSW	Artfinder	105.49
1973-05-31	USM9VSW	Artfinder	102.02
1973-06-30	USM9VSW	Artfinder	93.31
1973-07-31	USM9VSW	Artfinder	100.68
1973-08-31	USM9VSW	Artfinder	99.44
1973-09-30	USM9VSW	Artfinder	102.82
1973-10-31	USM9VSW	Artfinder	101.29
1973-11-30	USM9VSW	Artfinder	95.86
1973-12-31	USM9VSW	Artfinder	98.77
1974-01-31	USM9VSW	Artfinder	95.59
1974-02-28	USM9VSW	Artfinder	90.74
1974-03-31	USM9VSW	Artfinder	94.86
1974-04-30	USM9VSW	Artfinder	96.23
1974-05-31	USM9VSW	Artfinder	97.32
1974-06-30	USM9VSW	Artfinder	96.11
1974-07-31	USM9VSW	Artfinder	94.47
1974-08-31	USM9VSW	Artfinder	90.7
1974-09-30	USM9VSW	Artfinder	92.15
1974-10-31	USM9VSW	Artfinder	91.93
