Date	Company Code	Company Name	Stock Price
1959-01-31	USBXNWB	Artnet	116.27
1959-02-28	USBXNWB	Artnet	118.12
1959-03-31	USBXNWB	Artnet	123.96
1959-04-30	USBXNWB	Artnet	124.9
1959-05-31	USBXNWB	Artnet	123.67
1959-06-30	USBXNWB	Artnet	127.12
1959-07-31	USBXNWB	Artnet	125.44
1959-08-31	USBXNWB	Artnet	127.07
1959-09-30	USBXNWB	Artnet	130.11
1959-10-31	USBXNWB	Artnet	121.76
1959-11-30	USBXNWB	Artnet	119.21
1959-12-31	USBXNWB	Artnet	115.52
1960-01-31	USBXNWB	Artnet	107.05
1960-02-29	USBXNWB	Artnet	107.36
1960-03-31	USBXNWB	Artnet	111.87
1960-04-30	USBXNWB	Artnet	109.31
1960-05-31	USBXNWB	Artnet	109.84
1960-06-30	USBXNWB	Artnet	105.11
1960-07-31	USBXNWB	Artnet	105.0
1960-08-31	USBXNWB	Artnet	103.3
1960-09-30	USBXNWB	Artnet	104.08
1960-10-31	USBXNWB	Artnet	104.0
1960-11-30	USBXNWB	Artnet	111.37
1960-12-31	USBXNWB	Artnet	102.06
1961-01-31	USBXNWB	Artnet	107.29
1961-02-28	USBXNWB	Artnet	106.78
1961-03-31	USBXNWB	Artnet	111.41
1961-04-30	USBXNWB	Artnet	112.91
1961-05-31	USBXNWB	Artnet	114.73
1961-06-30	USBXNWB	Artnet	120.99
1961-07-31	USBXNWB	Artnet	119.46
1961-08-31	USBXNWB	Artnet	120.65
1961-09-30	USBXNWB	Artnet	114.45
1961-10-31	USBXNWB	Artnet	118.79
1961-11-30	USBXNWB	Artnet	116.74
1961-12-31	USBXNWB	Artnet	115.35
1962-01-31	USBXNWB	Artnet	111.77
1962-02-28	USBXNWB	Artnet	112.9
1962-03-31	USBXNWB	Artnet	116.39
1962-04-30	USBXNWB	Artnet	121.2
1962-05-31	USBXNWB	Artnet	116.75
1962-06-30	USBXNWB	Artnet	109.08
1962-07-31	USBXNWB	Artnet	107.92
1962-08-31	USBXNWB	Artnet	116.3
1962-09-30	USBXNWB	Artnet	112.1
1962-10-31	USBXNWB	Artnet	107.16
1962-11-30	USBXNWB	Artnet	108.09
1962-12-31	USBXNWB	Artnet	108.78
1963-01-31	USBXNWB	Artnet	104.28
1963-02-28	USBXNWB	Artnet	102.39
1963-03-31	USBXNWB	Artnet	104.07
1963-04-30	USBXNWB	Artnet	99.23
1963-05-31	USBXNWB	Artnet	103.29
1963-06-30	USBXNWB	Artnet	107.71
1963-07-31	USBXNWB	Artnet	105.03
1963-08-31	USBXNWB	Artnet	110.09
1963-09-30	USBXNWB	Artnet	112.57
1963-10-31	USBXNWB	Artnet	107.84
1963-11-30	USBXNWB	Artnet	112.57
1963-12-31	USBXNWB	Artnet	114.16
1964-01-31	USBXNWB	Artnet	109.2
1964-02-29	USBXNWB	Artnet	110.27
1964-03-31	USBXNWB	Artnet	112.36
1964-04-30	USBXNWB	Artnet	111.95
1964-05-31	USBXNWB	Artnet	107.63
1964-06-30	USBXNWB	Artnet	108.02
1964-07-31	USBXNWB	Artnet	108.06
1964-08-31	USBXNWB	Artnet	110.14
1964-09-30	USBXNWB	Artnet	118.79
1964-10-31	USBXNWB	Artnet	117.0
1964-11-30	USBXNWB	Artnet	109.3
1964-12-31	USBXNWB	Artnet	104.45
1965-01-31	USBXNWB	Artnet	105.77
1965-02-28	USBXNWB	Artnet	99.49
1965-03-31	USBXNWB	Artnet	94.58
1965-04-30	USBXNWB	Artnet	88.93
1965-05-31	USBXNWB	Artnet	96.57
1965-06-30	USBXNWB	Artnet	89.32
1965-07-31	USBXNWB	Artnet	88.94
1965-08-31	USBXNWB	Artnet	85.98
1965-09-30	USBXNWB	Artnet	84.88
1965-10-31	USBXNWB	Artnet	86.65
1965-11-30	USBXNWB	Artnet	84.49
1965-12-31	USBXNWB	Artnet	85.76
1966-01-31	USBXNWB	Artnet	85.76
1966-02-28	USBXNWB	Artnet	94.36
1966-03-31	USBXNWB	Artnet	95.93
1966-04-30	USBXNWB	Artnet	102.18
1966-05-31	USBXNWB	Artnet	105.86
1966-06-30	USBXNWB	Artnet	103.15
1966-07-31	USBXNWB	Artnet	104.32
1966-08-31	USBXNWB	Artnet	111.37
1966-09-30	USBXNWB	Artnet	110.48
1966-10-31	USBXNWB	Artnet	109.49
1966-11-30	USBXNWB	Artnet	110.85
1966-12-31	USBXNWB	Artnet	109.55
1967-01-31	USBXNWB	Artnet	114.52
1967-02-28	USBXNWB	Artnet	116.0
1967-03-31	USBXNWB	Artnet	112.33
1967-04-30	USBXNWB	Artnet	110.69
1967-05-31	USBXNWB	Artnet	111.71
1967-06-30	USBXNWB	Artnet	112.05
1967-07-31	USBXNWB	Artnet	112.02
1967-08-31	USBXNWB	Artnet	110.54
1967-09-30	USBXNWB	Artnet	112.14
1967-10-31	USBXNWB	Artnet	117.11
1967-11-30	USBXNWB	Artnet	115.71
1967-12-31	USBXNWB	Artnet	113.68
1968-01-31	USBXNWB	Artnet	113.02
1968-02-29	USBXNWB	Artnet	114.34
1968-03-31	USBXNWB	Artnet	110.61
1968-04-30	USBXNWB	Artnet	116.67
1968-05-31	USBXNWB	Artnet	111.82
1968-06-30	USBXNWB	Artnet	112.54
1968-07-31	USBXNWB	Artnet	114.49
1968-08-31	USBXNWB	Artnet	116.92
1968-09-30	USBXNWB	Artnet	117.97
1968-10-31	USBXNWB	Artnet	122.22
1968-11-30	USBXNWB	Artnet	118.02
1968-12-31	USBXNWB	Artnet	115.07
1969-01-31	USBXNWB	Artnet	118.59
1969-02-28	USBXNWB	Artnet	120.6
1969-03-31	USBXNWB	Artnet	114.38
1969-04-30	USBXNWB	Artnet	115.47
1969-05-31	USBXNWB	Artnet	119.0
1969-06-30	USBXNWB	Artnet	116.11
1969-07-31	USBXNWB	Artnet	115.45
1969-08-31	USBXNWB	Artnet	112.29
1969-09-30	USBXNWB	Artnet	116.63
1969-10-31	USBXNWB	Artnet	121.05
1969-11-30	USBXNWB	Artnet	126.37
1969-12-31	USBXNWB	Artnet	122.08
1970-01-31	USBXNWB	Artnet	119.12
1970-02-28	USBXNWB	Artnet	116.59
1970-03-31	USBXNWB	Artnet	116.44
1970-04-30	USBXNWB	Artnet	117.73
1970-05-31	USBXNWB	Artnet	109.82
1970-06-30	USBXNWB	Artnet	114.47
1970-07-31	USBXNWB	Artnet	110.92
1970-08-31	USBXNWB	Artnet	111.85
1970-09-30	USBXNWB	Artnet	106.01
1970-10-31	USBXNWB	Artnet	102.35
1970-11-30	USBXNWB	Artnet	102.59
1970-12-31	USBXNWB	Artnet	99.38
1971-01-31	USBXNWB	Artnet	94.52
1971-02-28	USBXNWB	Artnet	98.78
1971-03-31	USBXNWB	Artnet	95.68
1971-04-30	USBXNWB	Artnet	87.66
1971-05-31	USBXNWB	Artnet	92.0
1971-06-30	USBXNWB	Artnet	88.01
1971-07-31	USBXNWB	Artnet	89.47
1971-08-31	USBXNWB	Artnet	83.95
1971-09-30	USBXNWB	Artnet	80.61
1971-10-31	USBXNWB	Artnet	76.23
1971-11-30	USBXNWB	Artnet	83.13
1971-12-31	USBXNWB	Artnet	81.72
1972-01-31	USBXNWB	Artnet	84.16
1972-02-29	USBXNWB	Artnet	83.1
1972-03-31	USBXNWB	Artnet	83.33
1972-04-30	USBXNWB	Artnet	81.25
1972-05-31	USBXNWB	Artnet	80.87
1972-06-30	USBXNWB	Artnet	81.2
1972-07-31	USBXNWB	Artnet	79.63
1972-08-31	USBXNWB	Artnet	76.1
1972-09-30	USBXNWB	Artnet	83.06
1972-10-31	USBXNWB	Artnet	87.06
1972-11-30	USBXNWB	Artnet	83.87
1972-12-31	USBXNWB	Artnet	86.2
1973-01-31	USBXNWB	Artnet	87.83
1973-02-28	USBXNWB	Artnet	89.66
1973-03-31	USBXNWB	Artnet	93.49
1973-04-30	USBXNWB	Artnet	94.68
1973-05-31	USBXNWB	Artnet	95.98
1973-06-30	USBXNWB	Artnet	102.31
1973-07-31	USBXNWB	Artnet	108.75
1973-08-31	USBXNWB	Artnet	105.66
1973-09-30	USBXNWB	Artnet	100.45
1973-10-31	USBXNWB	Artnet	102.09
1973-11-30	USBXNWB	Artnet	100.91
1973-12-31	USBXNWB	Artnet	97.43
1974-01-31	USBXNWB	Artnet	94.18
1974-02-28	USBXNWB	Artnet	92.3
1974-03-31	USBXNWB	Artnet	93.91
1974-04-30	USBXNWB	Artnet	95.6
1974-05-31	USBXNWB	Artnet	91.89
1974-06-30	USBXNWB	Artnet	89.14
1974-07-31	USBXNWB	Artnet	89.23
1974-08-31	USBXNWB	Artnet	87.3
1974-09-30	USBXNWB	Artnet	83.57
1974-10-31	USBXNWB	Artnet	83.97
1974-11-30	USBXNWB	Artnet	86.25
1974-12-31	USBXNWB	Artnet	91.98
1975-01-31	USBXNWB	Artnet	90.54
1975-02-28	USBXNWB	Artnet	84.56
1975-03-31	USBXNWB	Artnet	86.13
1975-04-30	USBXNWB	Artnet	89.84
1975-05-31	USBXNWB	Artnet	95.38
1975-06-30	USBXNWB	Artnet	90.56
1975-07-31	USBXNWB	Artnet	85.36
1975-08-31	USBXNWB	Artnet	77.69
1975-09-30	USBXNWB	Artnet	78.23
1975-10-31	USBXNWB	Artnet	78.9
1975-11-30	USBXNWB	Artnet	78.73
1975-12-31	USBXNWB	Artnet	77.3
1976-01-31	USBXNWB	Artnet	77.49
1976-02-29	USBXNWB	Artnet	82.64
1976-03-31	USBXNWB	Artnet	78.94
1976-04-30	USBXNWB	Artnet	78.13
1976-05-31	USBXNWB	Artnet	76.64
1976-06-30	USBXNWB	Artnet	77.07
1976-07-31	USBXNWB	Artnet	69.8
1976-08-31	USBXNWB	Artnet	69.23
1976-09-30	USBXNWB	Artnet	71.64
1976-10-31	USBXNWB	Artnet	63.13
1976-11-30	USBXNWB	Artnet	69.61
1976-12-31	USBXNWB	Artnet	66.92
1977-01-31	USBXNWB	Artnet	63.95
1977-02-28	USBXNWB	Artnet	62.22
1977-03-31	USBXNWB	Artnet	60.96
1977-04-30	USBXNWB	Artnet	61.103022176511956
1977-05-31	USBXNWB	Artnet	62.02857364483773
1977-06-30	USBXNWB	Artnet	64.16
1977-07-31	USBXNWB	Artnet	62.82431178421586
1977-08-31	USBXNWB	Artnet	61.89
1977-09-30	USBXNWB	Artnet	63.01
1977-10-31	USBXNWB	Artnet	66.06
1977-11-30	USBXNWB	Artnet	66.27
1977-12-31	USBXNWB	Artnet	65.68
1978-01-31	USBXNWB	Artnet	65.97
1978-02-28	USBXNWB	Artnet	64.25
1978-03-31	USBXNWB	Artnet	63.74
1978-04-30	USBXNWB	Artnet	61.52
1978-05-31	USBXNWB	Artnet	64.86
1978-06-30	USBXNWB	Artnet	71.77
1978-07-31	USBXNWB	Artnet	74.71
1978-08-31	USBXNWB	Artnet	79.45
1978-09-30	USBXNWB	Artnet	79.04
1978-10-31	USBXNWB	Artnet	77.98
1978-11-30	USBXNWB	Artnet	72.93
1978-12-31	USBXNWB	Artnet	69.42
1979-01-31	USBXNWB	Artnet	73.88
1979-02-28	USBXNWB	Artnet	78.8
1979-03-31	USBXNWB	Artnet	77.23
1979-04-30	USBXNWB	Artnet	79.54
1979-05-31	USBXNWB	Artnet	84.63
1979-06-30	USBXNWB	Artnet	80.55
1979-07-31	USBXNWB	Artnet	78.97
1979-08-31	USBXNWB	Artnet	79.47
1979-09-30	USBXNWB	Artnet	77.78
1979-10-31	USBXNWB	Artnet	82.45
1979-11-30	USBXNWB	Artnet	81.67
1979-12-31	USBXNWB	Artnet	80.65
1980-01-31	USBXNWB	Artnet	79.63
1980-02-29	USBXNWB	Artnet	82.47
1980-03-31	USBXNWB	Artnet	84.05
1980-04-30	USBXNWB	Artnet	90.78
1980-05-31	USBXNWB	Artnet	91.87
1980-06-30	USBXNWB	Artnet	89.23
1980-07-31	USBXNWB	Artnet	93.07
1980-08-31	USBXNWB	Artnet	92.8
1980-09-30	USBXNWB	Artnet	92.6
1980-10-31	USBXNWB	Artnet	95.05
1980-11-30	USBXNWB	Artnet	94.28
1980-12-31	USBXNWB	Artnet	90.96
1981-01-31	USBXNWB	Artnet	93.35
1981-02-28	USBXNWB	Artnet	94.62
1981-03-31	USBXNWB	Artnet	98.12
1981-04-30	USBXNWB	Artnet	99.74
1981-05-31	USBXNWB	Artnet	94.73
1981-06-30	USBXNWB	Artnet	96.58
1981-07-31	USBXNWB	Artnet	96.64
1981-08-31	USBXNWB	Artnet	94.49
1981-09-30	USBXNWB	Artnet	94.16
1981-10-31	USBXNWB	Artnet	93.75
1981-11-30	USBXNWB	Artnet	91.21
1981-12-31	USBXNWB	Artnet	87.59
1982-01-31	USBXNWB	Artnet	88.45
1982-02-28	USBXNWB	Artnet	89.76
1982-03-31	USBXNWB	Artnet	95.78
1982-04-30	USBXNWB	Artnet	95.11
1982-05-31	USBXNWB	Artnet	91.42
1982-06-30	USBXNWB	Artnet	91.07
1982-07-31	USBXNWB	Artnet	89.38
1982-08-31	USBXNWB	Artnet	90.08
1982-09-30	USBXNWB	Artnet	90.29
1982-10-31	USBXNWB	Artnet	87.85
1982-11-30	USBXNWB	Artnet	83.32
1982-12-31	USBXNWB	Artnet	81.89
1983-01-31	USBXNWB	Artnet	81.89
1983-02-28	USBXNWB	Artnet	74.03
1983-03-31	USBXNWB	Artnet	71.88
1983-04-30	USBXNWB	Artnet	66.31
1983-05-31	USBXNWB	Artnet	63.52
1983-06-30	USBXNWB	Artnet	62.03
1983-07-31	USBXNWB	Artnet	62.70711896774178
1983-08-31	USBXNWB	Artnet	60.06
1983-09-30	USBXNWB	Artnet	68.87
1983-10-31	USBXNWB	Artnet	66.99
1983-11-30	USBXNWB	Artnet	69.74
1983-12-31	USBXNWB	Artnet	69.49
1984-01-31	USBXNWB	Artnet	62.44
1984-02-29	USBXNWB	Artnet	60.67
1984-03-31	USBXNWB	Artnet	62.51
1984-04-30	USBXNWB	Artnet	63.36
1984-05-31	USBXNWB	Artnet	62.57594293754518
1984-06-30	USBXNWB	Artnet	61.793698714984025
1984-07-31	USBXNWB	Artnet	61.87
1984-08-31	USBXNWB	Artnet	62.21
1984-09-30	USBXNWB	Artnet	61.426275611592395
1984-10-31	USBXNWB	Artnet	61.32927047011006
1984-11-30	USBXNWB	Artnet	61.271813894560594
1984-12-31	USBXNWB	Artnet	62.38764071438212
1985-01-31	USBXNWB	Artnet	65.85
1985-02-28	USBXNWB	Artnet	64.0
1985-03-31	USBXNWB	Artnet	67.08
1985-04-30	USBXNWB	Artnet	63.56
1985-05-31	USBXNWB	Artnet	68.35
1985-06-30	USBXNWB	Artnet	63.52
1985-07-31	USBXNWB	Artnet	62.72
1985-08-31	USBXNWB	Artnet	66.71
1985-09-30	USBXNWB	Artnet	66.57
1985-10-31	USBXNWB	Artnet	65.5
1985-11-30	USBXNWB	Artnet	64.04
1985-12-31	USBXNWB	Artnet	64.6
1986-01-31	USBXNWB	Artnet	69.77
1986-02-28	USBXNWB	Artnet	73.22
1986-03-31	USBXNWB	Artnet	69.12
1986-04-30	USBXNWB	Artnet	77.82
1986-05-31	USBXNWB	Artnet	75.32
1986-06-30	USBXNWB	Artnet	74.76
1986-07-31	USBXNWB	Artnet	71.54
1986-08-31	USBXNWB	Artnet	70.86
1986-09-30	USBXNWB	Artnet	75.67
1986-10-31	USBXNWB	Artnet	77.64
1986-11-30	USBXNWB	Artnet	72.02
1986-12-31	USBXNWB	Artnet	68.46
1987-01-31	USBXNWB	Artnet	75.63
1987-02-28	USBXNWB	Artnet	78.82
1987-03-31	USBXNWB	Artnet	79.87
1987-04-30	USBXNWB	Artnet	79.6
1987-05-31	USBXNWB	Artnet	78.97
1987-06-30	USBXNWB	Artnet	77.06
1987-07-31	USBXNWB	Artnet	80.28
1987-08-31	USBXNWB	Artnet	81.9
1987-09-30	USBXNWB	Artnet	78.46
1987-10-31	USBXNWB	Artnet	73.81
1987-11-30	USBXNWB	Artnet	72.15
1987-12-31	USBXNWB	Artnet	75.38
1988-01-31	USBXNWB	Artnet	75.44
1988-02-29	USBXNWB	Artnet	73.07
1988-03-31	USBXNWB	Artnet	69.39
1988-04-30	USBXNWB	Artnet	60.67
1988-05-31	USBXNWB	Artnet	62.39
1988-06-30	USBXNWB	Artnet	61.03
1988-07-31	USBXNWB	Artnet	61.48425511620598
1988-08-31	USBXNWB	Artnet	62.8
1988-09-30	USBXNWB	Artnet	71.36
1988-10-31	USBXNWB	Artnet	69.55
1988-11-30	USBXNWB	Artnet	63.27
1988-12-31	USBXNWB	Artnet	66.79
1989-01-31	USBXNWB	Artnet	64.11
1989-02-28	USBXNWB	Artnet	71.15
1989-03-31	USBXNWB	Artnet	75.65
1989-04-30	USBXNWB	Artnet	78.65
1989-05-31	USBXNWB	Artnet	83.69
1989-06-30	USBXNWB	Artnet	80.95
1989-07-31	USBXNWB	Artnet	80.55
1989-08-31	USBXNWB	Artnet	86.4
1989-09-30	USBXNWB	Artnet	87.44
1989-10-31	USBXNWB	Artnet	88.8
1989-11-30	USBXNWB	Artnet	89.12
1989-12-31	USBXNWB	Artnet	84.93
1990-01-31	USBXNWB	Artnet	79.61
1990-02-28	USBXNWB	Artnet	76.2
1990-03-31	USBXNWB	Artnet	74.95
1990-04-30	USBXNWB	Artnet	72.26
1990-05-31	USBXNWB	Artnet	69.98
