Date	Company Code	Company Name	Stock Price
1959-01-31	USU8TY8	Artprice	97.36
1959-02-28	USU8TY8	Artprice	93.9
1959-03-31	USU8TY8	Artprice	86.42
1959-04-30	USU8TY8	Artprice	84.86
1959-05-31	USU8TY8	Artprice	84.71
1959-06-30	USU8TY8	Artprice	92.25
1959-07-31	USU8TY8	Artprice	93.57
1959-08-31	USU8TY8	Artprice	88.91
1959-09-30	USU8TY8	Artprice	82.78
1959-10-31	USU8TY8	Artprice	86.77
1959-11-30	USU8TY8	Artprice	86.56
1959-12-31	USU8TY8	Artprice	86.21
1960-01-31	USU8TY8	Artprice	81.86
1960-02-29	USU8TY8	Artprice	88.32
1960-03-31	USU8TY8	Artprice	90.52
1960-04-30	USU8TY8	Artprice	84.76
1960-05-31	USU8TY8	Artprice	83.33
1960-06-30	USU8TY8	Artprice	90.43
1960-07-31	USU8TY8	Artprice	90.98
1960-08-31	USU8TY8	Artprice	89.35
1960-09-30	USU8TY8	Artprice	91.51
1960-10-31	USU8TY8	Artprice	87.31
1960-11-30	USU8TY8	Artprice	87.48
1960-12-31	USU8TY8	Artprice	88.53
1961-01-31	USU8TY8	Artprice	88.36
1961-02-28	USU8TY8	Artprice	89.48
1961-03-31	USU8TY8	Artprice	92.86
1961-04-30	USU8TY8	Artprice	94.64
1961-05-31	USU8TY8	Artprice	92.14
1961-06-30	USU8TY8	Artprice	93.5
1961-07-31	USU8TY8	Artprice	102.15
1961-08-31	USU8TY8	Artprice	103.17
1961-09-30	USU8TY8	Artprice	102.16
1961-10-31	USU8TY8	Artprice	100.93
1961-11-30	USU8TY8	Artprice	97.62
1961-12-31	USU8TY8	Artprice	100.22
1962-01-31	USU8TY8	Artprice	92.83
1962-02-28	USU8TY8	Artprice	93.77
1962-03-31	USU8TY8	Artprice	89.05
1962-04-30	USU8TY8	Artprice	85.58
1962-05-31	USU8TY8	Artprice	80.47
1962-06-30	USU8TY8	Artprice	81.87
1962-07-31	USU8TY8	Artprice	83.19
1962-08-31	USU8TY8	Artprice	81.57
1962-09-30	USU8TY8	Artprice	73.93
1962-10-31	USU8TY8	Artprice	81.5
1962-11-30	USU8TY8	Artprice	79.97
1962-12-31	USU8TY8	Artprice	75.2
1963-01-31	USU8TY8	Artprice	70.95
1963-02-28	USU8TY8	Artprice	70.91
1963-03-31	USU8TY8	Artprice	76.75
1963-04-30	USU8TY8	Artprice	77.99
1963-05-31	USU8TY8	Artprice	80.59
1963-06-30	USU8TY8	Artprice	80.63
1963-07-31	USU8TY8	Artprice	81.62
1963-08-31	USU8TY8	Artprice	82.24
1963-09-30	USU8TY8	Artprice	83.21
1963-10-31	USU8TY8	Artprice	79.88
1963-11-30	USU8TY8	Artprice	86.44
1963-12-31	USU8TY8	Artprice	82.98
1964-01-31	USU8TY8	Artprice	77.56
1964-02-29	USU8TY8	Artprice	78.85
1964-03-31	USU8TY8	Artprice	80.71
1964-04-30	USU8TY8	Artprice	80.19
1964-05-31	USU8TY8	Artprice	77.75
1964-06-30	USU8TY8	Artprice	80.43
1964-07-31	USU8TY8	Artprice	83.13
1964-08-31	USU8TY8	Artprice	84.5
1964-09-30	USU8TY8	Artprice	88.07
1964-10-31	USU8TY8	Artprice	94.26
1964-11-30	USU8TY8	Artprice	95.25
1964-12-31	USU8TY8	Artprice	89.65
1965-01-31	USU8TY8	Artprice	88.69
1965-02-28	USU8TY8	Artprice	88.22
1965-03-31	USU8TY8	Artprice	87.83
1965-04-30	USU8TY8	Artprice	95.61
1965-05-31	USU8TY8	Artprice	96.18
1965-06-30	USU8TY8	Artprice	94.89
1965-07-31	USU8TY8	Artprice	96.04
1965-08-31	USU8TY8	Artprice	95.75
1965-09-30	USU8TY8	Artprice	95.74
1965-10-31	USU8TY8	Artprice	90.46
1965-11-30	USU8TY8	Artprice	93.17
1965-12-31	USU8TY8	Artprice	95.86
1966-01-31	USU8TY8	Artprice	90.91
1966-02-28	USU8TY8	Artprice	89.33
1966-03-31	USU8TY8	Artprice	92.25
1966-04-30	USU8TY8	Artprice	93.84
1966-05-31	USU8TY8	Artprice	84.34
1966-06-30	USU8TY8	Artprice	83.17
1966-07-31	USU8TY8	Artprice	77.59
1966-08-31	USU8TY8	Artprice	73.85
1966-09-30	USU8TY8	Artprice	71.64
1966-10-31	USU8TY8	Artprice	67.28
1966-11-30	USU8TY8	Artprice	67.9
1966-12-31	USU8TY8	Artprice	69.13
1967-01-31	USU8TY8	Artprice	64.1
1967-02-28	USU8TY8	Artprice	67.62
1967-03-31	USU8TY8	Artprice	65.28
