Date	Company Code	Company Name	Stock Price
1959-01-31	USIUMMG	Asana Inc.	112.28
1959-02-28	USIUMMG	Asana Inc.	111.43
1959-03-31	USIUMMG	Asana Inc.	109.2
1959-04-30	USIUMMG	Asana Inc.	107.15
1959-05-31	USIUMMG	Asana Inc.	108.35
1959-06-30	USIUMMG	Asana Inc.	110.1
1959-07-31	USIUMMG	Asana Inc.	105.68
1959-08-31	USIUMMG	Asana Inc.	105.96
1959-09-30	USIUMMG	Asana Inc.	108.81
1959-10-31	USIUMMG	Asana Inc.	105.73
1959-11-30	USIUMMG	Asana Inc.	108.76
1959-12-31	USIUMMG	Asana Inc.	116.86
1960-01-31	USIUMMG	Asana Inc.	118.36
1960-02-29	USIUMMG	Asana Inc.	125.59
1960-03-31	USIUMMG	Asana Inc.	123.67
1960-04-30	USIUMMG	Asana Inc.	118.31
1960-05-31	USIUMMG	Asana Inc.	113.44
1960-06-30	USIUMMG	Asana Inc.	115.33
1960-07-31	USIUMMG	Asana Inc.	112.94
1960-08-31	USIUMMG	Asana Inc.	110.76
1960-09-30	USIUMMG	Asana Inc.	109.8
1960-10-31	USIUMMG	Asana Inc.	105.04
1960-11-30	USIUMMG	Asana Inc.	108.87
1960-12-31	USIUMMG	Asana Inc.	103.52
1961-01-31	USIUMMG	Asana Inc.	103.94
1961-02-28	USIUMMG	Asana Inc.	106.38
1961-03-31	USIUMMG	Asana Inc.	106.89
1961-04-30	USIUMMG	Asana Inc.	102.44
1961-05-31	USIUMMG	Asana Inc.	106.36
1961-06-30	USIUMMG	Asana Inc.	108.18
1961-07-31	USIUMMG	Asana Inc.	110.22
1961-08-31	USIUMMG	Asana Inc.	113.74
1961-09-30	USIUMMG	Asana Inc.	109.16
1961-10-31	USIUMMG	Asana Inc.	109.05
1961-11-30	USIUMMG	Asana Inc.	111.01
1961-12-31	USIUMMG	Asana Inc.	114.31
1962-01-31	USIUMMG	Asana Inc.	116.87
1962-02-28	USIUMMG	Asana Inc.	115.39
1962-03-31	USIUMMG	Asana Inc.	109.75
1962-04-30	USIUMMG	Asana Inc.	106.78
1962-05-31	USIUMMG	Asana Inc.	104.18
1962-06-30	USIUMMG	Asana Inc.	100.65
1962-07-31	USIUMMG	Asana Inc.	103.03
1962-08-31	USIUMMG	Asana Inc.	106.51
1962-09-30	USIUMMG	Asana Inc.	109.62
1962-10-31	USIUMMG	Asana Inc.	110.25
1962-11-30	USIUMMG	Asana Inc.	110.68
1962-12-31	USIUMMG	Asana Inc.	106.99
1963-01-31	USIUMMG	Asana Inc.	105.7
1963-02-28	USIUMMG	Asana Inc.	106.85
1963-03-31	USIUMMG	Asana Inc.	109.42
1963-04-30	USIUMMG	Asana Inc.	111.05
1963-05-31	USIUMMG	Asana Inc.	111.09
1963-06-30	USIUMMG	Asana Inc.	112.92
1963-07-31	USIUMMG	Asana Inc.	114.01
1963-08-31	USIUMMG	Asana Inc.	115.75
1963-09-30	USIUMMG	Asana Inc.	116.52
1963-10-31	USIUMMG	Asana Inc.	121.03
1963-11-30	USIUMMG	Asana Inc.	124.72
1963-12-31	USIUMMG	Asana Inc.	128.72
1964-01-31	USIUMMG	Asana Inc.	128.54
1964-02-29	USIUMMG	Asana Inc.	131.37
1964-03-31	USIUMMG	Asana Inc.	124.92
1964-04-30	USIUMMG	Asana Inc.	124.85
1964-05-31	USIUMMG	Asana Inc.	127.1
1964-06-30	USIUMMG	Asana Inc.	121.29
1964-07-31	USIUMMG	Asana Inc.	121.05
1964-08-31	USIUMMG	Asana Inc.	121.49
1964-09-30	USIUMMG	Asana Inc.	121.93
1964-10-31	USIUMMG	Asana Inc.	118.12
1964-11-30	USIUMMG	Asana Inc.	117.87
1964-12-31	USIUMMG	Asana Inc.	112.9
1965-01-31	USIUMMG	Asana Inc.	114.62
1965-02-28	USIUMMG	Asana Inc.	116.27
1965-03-31	USIUMMG	Asana Inc.	115.38
1965-04-30	USIUMMG	Asana Inc.	114.89
1965-05-31	USIUMMG	Asana Inc.	121.32
1965-06-30	USIUMMG	Asana Inc.	115.61
1965-07-31	USIUMMG	Asana Inc.	115.6
1965-08-31	USIUMMG	Asana Inc.	111.55
1965-09-30	USIUMMG	Asana Inc.	110.19
1965-10-31	USIUMMG	Asana Inc.	114.29
1965-11-30	USIUMMG	Asana Inc.	105.71
1965-12-31	USIUMMG	Asana Inc.	109.35
1966-01-31	USIUMMG	Asana Inc.	112.05
1966-02-28	USIUMMG	Asana Inc.	111.95
1966-03-31	USIUMMG	Asana Inc.	112.16
1966-04-30	USIUMMG	Asana Inc.	111.78
1966-05-31	USIUMMG	Asana Inc.	110.81
1966-06-30	USIUMMG	Asana Inc.	114.55
1966-07-31	USIUMMG	Asana Inc.	116.49
1966-08-31	USIUMMG	Asana Inc.	117.89
1966-09-30	USIUMMG	Asana Inc.	118.84
1966-10-31	USIUMMG	Asana Inc.	123.66
1966-11-30	USIUMMG	Asana Inc.	122.69
1966-12-31	USIUMMG	Asana Inc.	120.89
1967-01-31	USIUMMG	Asana Inc.	116.19
1967-02-28	USIUMMG	Asana Inc.	120.12
1967-03-31	USIUMMG	Asana Inc.	120.1
1967-04-30	USIUMMG	Asana Inc.	117.16
1967-05-31	USIUMMG	Asana Inc.	123.45
1967-06-30	USIUMMG	Asana Inc.	122.18
1967-07-31	USIUMMG	Asana Inc.	128.37
1967-08-31	USIUMMG	Asana Inc.	127.9
1967-09-30	USIUMMG	Asana Inc.	130.98
1967-10-31	USIUMMG	Asana Inc.	125.47
1967-11-30	USIUMMG	Asana Inc.	123.25
1967-12-31	USIUMMG	Asana Inc.	119.11
1968-01-31	USIUMMG	Asana Inc.	120.4
1968-02-29	USIUMMG	Asana Inc.	119.75
1968-03-31	USIUMMG	Asana Inc.	124.83
1968-04-30	USIUMMG	Asana Inc.	125.51
1968-05-31	USIUMMG	Asana Inc.	122.21
1968-06-30	USIUMMG	Asana Inc.	123.5
1968-07-31	USIUMMG	Asana Inc.	124.11
1968-08-31	USIUMMG	Asana Inc.	124.25
1968-09-30	USIUMMG	Asana Inc.	123.59
1968-10-31	USIUMMG	Asana Inc.	122.06
1968-11-30	USIUMMG	Asana Inc.	116.44
1968-12-31	USIUMMG	Asana Inc.	115.03
1969-01-31	USIUMMG	Asana Inc.	109.72
1969-02-28	USIUMMG	Asana Inc.	114.87
1969-03-31	USIUMMG	Asana Inc.	116.39
1969-04-30	USIUMMG	Asana Inc.	108.27
1969-05-31	USIUMMG	Asana Inc.	104.34
1969-06-30	USIUMMG	Asana Inc.	106.15
1969-07-31	USIUMMG	Asana Inc.	98.88
1969-08-31	USIUMMG	Asana Inc.	99.95
1969-09-30	USIUMMG	Asana Inc.	104.22
1969-10-31	USIUMMG	Asana Inc.	105.84
1969-11-30	USIUMMG	Asana Inc.	106.75
1969-12-31	USIUMMG	Asana Inc.	101.57
1970-01-31	USIUMMG	Asana Inc.	96.93
1970-02-28	USIUMMG	Asana Inc.	94.21
1970-03-31	USIUMMG	Asana Inc.	97.9
1970-04-30	USIUMMG	Asana Inc.	101.04
1970-05-31	USIUMMG	Asana Inc.	101.24
1970-06-30	USIUMMG	Asana Inc.	101.0
1970-07-31	USIUMMG	Asana Inc.	97.22
1970-08-31	USIUMMG	Asana Inc.	98.81
1970-09-30	USIUMMG	Asana Inc.	97.79
1970-10-31	USIUMMG	Asana Inc.	100.37
1970-11-30	USIUMMG	Asana Inc.	96.82
1970-12-31	USIUMMG	Asana Inc.	92.29
1971-01-31	USIUMMG	Asana Inc.	88.53
1971-02-28	USIUMMG	Asana Inc.	80.47
1971-03-31	USIUMMG	Asana Inc.	82.42
1971-04-30	USIUMMG	Asana Inc.	81.37
1971-05-31	USIUMMG	Asana Inc.	80.07
1971-06-30	USIUMMG	Asana Inc.	84.23
1971-07-31	USIUMMG	Asana Inc.	75.25
1971-08-31	USIUMMG	Asana Inc.	74.33
1971-09-30	USIUMMG	Asana Inc.	82.12
1971-10-31	USIUMMG	Asana Inc.	82.9
1971-11-30	USIUMMG	Asana Inc.	82.58
1971-12-31	USIUMMG	Asana Inc.	81.19
1972-01-31	USIUMMG	Asana Inc.	81.68
1972-02-29	USIUMMG	Asana Inc.	84.13
1972-03-31	USIUMMG	Asana Inc.	89.87
1972-04-30	USIUMMG	Asana Inc.	89.46
1972-05-31	USIUMMG	Asana Inc.	90.38
1972-06-30	USIUMMG	Asana Inc.	84.71
1972-07-31	USIUMMG	Asana Inc.	85.45
1972-08-31	USIUMMG	Asana Inc.	91.16
1972-09-30	USIUMMG	Asana Inc.	82.61
1972-10-31	USIUMMG	Asana Inc.	86.26
1972-11-30	USIUMMG	Asana Inc.	86.72
1972-12-31	USIUMMG	Asana Inc.	86.26
1973-01-31	USIUMMG	Asana Inc.	77.84
1973-02-28	USIUMMG	Asana Inc.	74.02
1973-03-31	USIUMMG	Asana Inc.	75.72
1973-04-30	USIUMMG	Asana Inc.	77.1
1973-05-31	USIUMMG	Asana Inc.	74.17
1973-06-30	USIUMMG	Asana Inc.	79.91
1973-07-31	USIUMMG	Asana Inc.	76.99
1973-08-31	USIUMMG	Asana Inc.	76.91
1973-09-30	USIUMMG	Asana Inc.	82.99
1973-10-31	USIUMMG	Asana Inc.	81.74
1973-11-30	USIUMMG	Asana Inc.	86.59
1973-12-31	USIUMMG	Asana Inc.	89.19
1974-01-31	USIUMMG	Asana Inc.	90.82
1974-02-28	USIUMMG	Asana Inc.	82.86
1974-03-31	USIUMMG	Asana Inc.	78.53
1974-04-30	USIUMMG	Asana Inc.	80.92
1974-05-31	USIUMMG	Asana Inc.	83.33
1974-06-30	USIUMMG	Asana Inc.	86.88
1974-07-31	USIUMMG	Asana Inc.	85.5
1974-08-31	USIUMMG	Asana Inc.	90.98
1974-09-30	USIUMMG	Asana Inc.	85.04
1974-10-31	USIUMMG	Asana Inc.	90.81
1974-11-30	USIUMMG	Asana Inc.	86.74
1974-12-31	USIUMMG	Asana Inc.	85.88
