Date	Company Code	Company Name	Stock Price
1959-01-31	US7NQQX	Baidu Inc.	111.19
1959-02-28	US7NQQX	Baidu Inc.	114.31
1959-03-31	US7NQQX	Baidu Inc.	117.28
1959-04-30	US7NQQX	Baidu Inc.	112.31
1959-05-31	US7NQQX	Baidu Inc.	113.12
1959-06-30	US7NQQX	Baidu Inc.	109.24
1959-07-31	US7NQQX	Baidu Inc.	106.97
1959-08-31	US7NQQX	Baidu Inc.	103.83
1959-09-30	US7NQQX	Baidu Inc.	102.02
1959-10-31	US7NQQX	Baidu Inc.	94.7
1959-11-30	US7NQQX	Baidu Inc.	90.46
1959-12-31	US7NQQX	Baidu Inc.	92.54
1960-01-31	US7NQQX	Baidu Inc.	84.51
1960-02-29	US7NQQX	Baidu Inc.	89.81
1960-03-31	US7NQQX	Baidu Inc.	83.02
1960-04-30	US7NQQX	Baidu Inc.	80.11
1960-05-31	US7NQQX	Baidu Inc.	80.12
1960-06-30	US7NQQX	Baidu Inc.	77.25
1960-07-31	US7NQQX	Baidu Inc.	83.56
1960-08-31	US7NQQX	Baidu Inc.	82.92
1960-09-30	US7NQQX	Baidu Inc.	81.99
1960-10-31	US7NQQX	Baidu Inc.	84.71
1960-11-30	US7NQQX	Baidu Inc.	78.93
1960-12-31	US7NQQX	Baidu Inc.	79.0
1961-01-31	US7NQQX	Baidu Inc.	84.57
1961-02-28	US7NQQX	Baidu Inc.	78.07
1961-03-31	US7NQQX	Baidu Inc.	82.2
1961-04-30	US7NQQX	Baidu Inc.	89.29
1961-05-31	US7NQQX	Baidu Inc.	88.13
1961-06-30	US7NQQX	Baidu Inc.	87.05
1961-07-31	US7NQQX	Baidu Inc.	83.04
1961-08-31	US7NQQX	Baidu Inc.	89.13
1961-09-30	US7NQQX	Baidu Inc.	81.84
1961-10-31	US7NQQX	Baidu Inc.	89.35
1961-11-30	US7NQQX	Baidu Inc.	96.66
1961-12-31	US7NQQX	Baidu Inc.	98.39
1962-01-31	US7NQQX	Baidu Inc.	102.32
1962-02-28	US7NQQX	Baidu Inc.	101.81
1962-03-31	US7NQQX	Baidu Inc.	101.72
1962-04-30	US7NQQX	Baidu Inc.	100.48
1962-05-31	US7NQQX	Baidu Inc.	90.87
1962-06-30	US7NQQX	Baidu Inc.	92.79
1962-07-31	US7NQQX	Baidu Inc.	100.84
1962-08-31	US7NQQX	Baidu Inc.	106.37
1962-09-30	US7NQQX	Baidu Inc.	112.89
1962-10-31	US7NQQX	Baidu Inc.	114.14
1962-11-30	US7NQQX	Baidu Inc.	109.48
1962-12-31	US7NQQX	Baidu Inc.	108.86
1963-01-31	US7NQQX	Baidu Inc.	113.2
1963-02-28	US7NQQX	Baidu Inc.	111.01
1963-03-31	US7NQQX	Baidu Inc.	109.85
1963-04-30	US7NQQX	Baidu Inc.	111.24
1963-05-31	US7NQQX	Baidu Inc.	112.95
1963-06-30	US7NQQX	Baidu Inc.	118.14
1963-07-31	US7NQQX	Baidu Inc.	113.54
1963-08-31	US7NQQX	Baidu Inc.	110.66
1963-09-30	US7NQQX	Baidu Inc.	110.93
1963-10-31	US7NQQX	Baidu Inc.	116.92
1963-11-30	US7NQQX	Baidu Inc.	116.66
1963-12-31	US7NQQX	Baidu Inc.	115.81
1964-01-31	US7NQQX	Baidu Inc.	110.92
1964-02-29	US7NQQX	Baidu Inc.	113.12
1964-03-31	US7NQQX	Baidu Inc.	119.2
1964-04-30	US7NQQX	Baidu Inc.	110.73
1964-05-31	US7NQQX	Baidu Inc.	108.56
1964-06-30	US7NQQX	Baidu Inc.	101.08
1964-07-31	US7NQQX	Baidu Inc.	101.2
1964-08-31	US7NQQX	Baidu Inc.	97.64
1964-09-30	US7NQQX	Baidu Inc.	94.81
1964-10-31	US7NQQX	Baidu Inc.	92.78
1964-11-30	US7NQQX	Baidu Inc.	94.2
1964-12-31	US7NQQX	Baidu Inc.	90.25
1965-01-31	US7NQQX	Baidu Inc.	97.36
1965-02-28	US7NQQX	Baidu Inc.	95.72
1965-03-31	US7NQQX	Baidu Inc.	93.07
1965-04-30	US7NQQX	Baidu Inc.	93.0
1965-05-31	US7NQQX	Baidu Inc.	89.01
1965-06-30	US7NQQX	Baidu Inc.	90.88
1965-07-31	US7NQQX	Baidu Inc.	89.78
1965-08-31	US7NQQX	Baidu Inc.	94.15
1965-09-30	US7NQQX	Baidu Inc.	96.77
1965-10-31	US7NQQX	Baidu Inc.	97.56
1965-11-30	US7NQQX	Baidu Inc.	103.0
1965-12-31	US7NQQX	Baidu Inc.	109.8
1966-01-31	US7NQQX	Baidu Inc.	109.48
1966-02-28	US7NQQX	Baidu Inc.	108.04
1966-03-31	US7NQQX	Baidu Inc.	107.82
1966-04-30	US7NQQX	Baidu Inc.	111.37
1966-05-31	US7NQQX	Baidu Inc.	111.96
1966-06-30	US7NQQX	Baidu Inc.	113.22
1966-07-31	US7NQQX	Baidu Inc.	113.99
1966-08-31	US7NQQX	Baidu Inc.	107.96
1966-09-30	US7NQQX	Baidu Inc.	112.85
1966-10-31	US7NQQX	Baidu Inc.	112.76
1966-11-30	US7NQQX	Baidu Inc.	115.79
1966-12-31	US7NQQX	Baidu Inc.	113.86
1967-01-31	US7NQQX	Baidu Inc.	111.45
1967-02-28	US7NQQX	Baidu Inc.	112.42
1967-03-31	US7NQQX	Baidu Inc.	110.41
1967-04-30	US7NQQX	Baidu Inc.	107.71
1967-05-31	US7NQQX	Baidu Inc.	101.19
1967-06-30	US7NQQX	Baidu Inc.	97.14
1967-07-31	US7NQQX	Baidu Inc.	97.48
1967-08-31	US7NQQX	Baidu Inc.	103.38
1967-09-30	US7NQQX	Baidu Inc.	99.15
1967-10-31	US7NQQX	Baidu Inc.	100.78
1967-11-30	US7NQQX	Baidu Inc.	103.25
1967-12-31	US7NQQX	Baidu Inc.	98.76
1968-01-31	US7NQQX	Baidu Inc.	101.38
1968-02-29	US7NQQX	Baidu Inc.	101.94
1968-03-31	US7NQQX	Baidu Inc.	105.0
1968-04-30	US7NQQX	Baidu Inc.	105.33
1968-05-31	US7NQQX	Baidu Inc.	104.7
1968-06-30	US7NQQX	Baidu Inc.	108.79
1968-07-31	US7NQQX	Baidu Inc.	108.27
1968-08-31	US7NQQX	Baidu Inc.	114.44
1968-09-30	US7NQQX	Baidu Inc.	110.75
1968-10-31	US7NQQX	Baidu Inc.	113.48
1968-11-30	US7NQQX	Baidu Inc.	111.55
