Date	Company Code	Company Name	Stock Price
1959-01-31	US0BGLW	Bank of America Corp.	108.89
1959-02-28	US0BGLW	Bank of America Corp.	110.01
1959-03-31	US0BGLW	Bank of America Corp.	113.23
1959-04-30	US0BGLW	Bank of America Corp.	115.49
1959-05-31	US0BGLW	Bank of America Corp.	114.63
1959-06-30	US0BGLW	Bank of America Corp.	113.56
1959-07-31	US0BGLW	Bank of America Corp.	120.03
1959-08-31	US0BGLW	Bank of America Corp.	120.37
1959-09-30	US0BGLW	Bank of America Corp.	119.58
1959-10-31	US0BGLW	Bank of America Corp.	121.25
1959-11-30	US0BGLW	Bank of America Corp.	121.18
1959-12-31	US0BGLW	Bank of America Corp.	122.26
1960-01-31	US0BGLW	Bank of America Corp.	125.18
1960-02-29	US0BGLW	Bank of America Corp.	129.21
1960-03-31	US0BGLW	Bank of America Corp.	133.17
1960-04-30	US0BGLW	Bank of America Corp.	128.23
1960-05-31	US0BGLW	Bank of America Corp.	135.3
1960-06-30	US0BGLW	Bank of America Corp.	136.9
1960-07-31	US0BGLW	Bank of America Corp.	136.76
1960-08-31	US0BGLW	Bank of America Corp.	139.05
1960-09-30	US0BGLW	Bank of America Corp.	136.08
1960-10-31	US0BGLW	Bank of America Corp.	131.89
1960-11-30	US0BGLW	Bank of America Corp.	131.77
1960-12-31	US0BGLW	Bank of America Corp.	128.99
1961-01-31	US0BGLW	Bank of America Corp.	124.03
1961-02-28	US0BGLW	Bank of America Corp.	127.43
1961-03-31	US0BGLW	Bank of America Corp.	123.75
1961-04-30	US0BGLW	Bank of America Corp.	125.14
1961-05-31	US0BGLW	Bank of America Corp.	126.41
1961-06-30	US0BGLW	Bank of America Corp.	123.04
1961-07-31	US0BGLW	Bank of America Corp.	119.97
1961-08-31	US0BGLW	Bank of America Corp.	113.5
1961-09-30	US0BGLW	Bank of America Corp.	112.65
1961-10-31	US0BGLW	Bank of America Corp.	107.95
1961-11-30	US0BGLW	Bank of America Corp.	109.45
1961-12-31	US0BGLW	Bank of America Corp.	110.05
1962-01-31	US0BGLW	Bank of America Corp.	108.04
1962-02-28	US0BGLW	Bank of America Corp.	107.63
1962-03-31	US0BGLW	Bank of America Corp.	112.29
1962-04-30	US0BGLW	Bank of America Corp.	112.65
1962-05-31	US0BGLW	Bank of America Corp.	112.15
1962-06-30	US0BGLW	Bank of America Corp.	109.4
1962-07-31	US0BGLW	Bank of America Corp.	111.37
1962-08-31	US0BGLW	Bank of America Corp.	110.2
1962-09-30	US0BGLW	Bank of America Corp.	111.57
1962-10-31	US0BGLW	Bank of America Corp.	111.02
1962-11-30	US0BGLW	Bank of America Corp.	108.91
1962-12-31	US0BGLW	Bank of America Corp.	115.54
1963-01-31	US0BGLW	Bank of America Corp.	121.63
1963-02-28	US0BGLW	Bank of America Corp.	123.37
1963-03-31	US0BGLW	Bank of America Corp.	126.45
1963-04-30	US0BGLW	Bank of America Corp.	122.07
1963-05-31	US0BGLW	Bank of America Corp.	125.87
1963-06-30	US0BGLW	Bank of America Corp.	129.14
1963-07-31	US0BGLW	Bank of America Corp.	122.99
1963-08-31	US0BGLW	Bank of America Corp.	120.99
1963-09-30	US0BGLW	Bank of America Corp.	121.14
1963-10-31	US0BGLW	Bank of America Corp.	120.74
1963-11-30	US0BGLW	Bank of America Corp.	121.65
1963-12-31	US0BGLW	Bank of America Corp.	122.0
1964-01-31	US0BGLW	Bank of America Corp.	123.12
1964-02-29	US0BGLW	Bank of America Corp.	127.47
