Date	Company Code	Company Name	Stock Price
1959-01-31	US6IRY6	Barnes & Noble Inc.	110.65
1959-02-28	US6IRY6	Barnes & Noble Inc.	113.2
1959-03-31	US6IRY6	Barnes & Noble Inc.	111.68
1959-04-30	US6IRY6	Barnes & Noble Inc.	109.29
1959-05-31	US6IRY6	Barnes & Noble Inc.	103.97
1959-06-30	US6IRY6	Barnes & Noble Inc.	102.53
1959-07-31	US6IRY6	Barnes & Noble Inc.	108.37
1959-08-31	US6IRY6	Barnes & Noble Inc.	107.25
1959-09-30	US6IRY6	Barnes & Noble Inc.	104.06
1959-10-31	US6IRY6	Barnes & Noble Inc.	108.45
1959-11-30	US6IRY6	Barnes & Noble Inc.	110.21
1959-12-31	US6IRY6	Barnes & Noble Inc.	107.61
1960-01-31	US6IRY6	Barnes & Noble Inc.	108.78
1960-02-29	US6IRY6	Barnes & Noble Inc.	101.75
1960-03-31	US6IRY6	Barnes & Noble Inc.	104.16
1960-04-30	US6IRY6	Barnes & Noble Inc.	100.48
1960-05-31	US6IRY6	Barnes & Noble Inc.	101.49
1960-06-30	US6IRY6	Barnes & Noble Inc.	100.36
1960-07-31	US6IRY6	Barnes & Noble Inc.	93.24
1960-08-31	US6IRY6	Barnes & Noble Inc.	91.14
1960-09-30	US6IRY6	Barnes & Noble Inc.	89.34
1960-10-31	US6IRY6	Barnes & Noble Inc.	85.9
1960-11-30	US6IRY6	Barnes & Noble Inc.	86.6
1960-12-31	US6IRY6	Barnes & Noble Inc.	88.3
1961-01-31	US6IRY6	Barnes & Noble Inc.	88.28
1961-02-28	US6IRY6	Barnes & Noble Inc.	85.32
1961-03-31	US6IRY6	Barnes & Noble Inc.	82.34
1961-04-30	US6IRY6	Barnes & Noble Inc.	83.48
1961-05-31	US6IRY6	Barnes & Noble Inc.	85.51
1961-06-30	US6IRY6	Barnes & Noble Inc.	80.97
1961-07-31	US6IRY6	Barnes & Noble Inc.	82.05
1961-08-31	US6IRY6	Barnes & Noble Inc.	87.6
1961-09-30	US6IRY6	Barnes & Noble Inc.	84.14
1961-10-31	US6IRY6	Barnes & Noble Inc.	86.01
1961-11-30	US6IRY6	Barnes & Noble Inc.	81.64
1961-12-31	US6IRY6	Barnes & Noble Inc.	76.74
1962-01-31	US6IRY6	Barnes & Noble Inc.	71.22
1962-02-28	US6IRY6	Barnes & Noble Inc.	70.07
1962-03-31	US6IRY6	Barnes & Noble Inc.	71.46
1962-04-30	US6IRY6	Barnes & Noble Inc.	73.66
1962-05-31	US6IRY6	Barnes & Noble Inc.	80.4
1962-06-30	US6IRY6	Barnes & Noble Inc.	81.93
1962-07-31	US6IRY6	Barnes & Noble Inc.	73.81
1962-08-31	US6IRY6	Barnes & Noble Inc.	73.47
1962-09-30	US6IRY6	Barnes & Noble Inc.	76.06
1962-10-31	US6IRY6	Barnes & Noble Inc.	68.22
1962-11-30	US6IRY6	Barnes & Noble Inc.	72.25
1962-12-31	US6IRY6	Barnes & Noble Inc.	72.73
1963-01-31	US6IRY6	Barnes & Noble Inc.	71.14
1963-02-28	US6IRY6	Barnes & Noble Inc.	72.62
1963-03-31	US6IRY6	Barnes & Noble Inc.	74.7
1963-04-30	US6IRY6	Barnes & Noble Inc.	77.76
1963-05-31	US6IRY6	Barnes & Noble Inc.	79.02
1963-06-30	US6IRY6	Barnes & Noble Inc.	79.48
1963-07-31	US6IRY6	Barnes & Noble Inc.	76.34
1963-08-31	US6IRY6	Barnes & Noble Inc.	79.4
1963-09-30	US6IRY6	Barnes & Noble Inc.	80.54
1963-10-31	US6IRY6	Barnes & Noble Inc.	81.3
1963-11-30	US6IRY6	Barnes & Noble Inc.	78.26
1963-12-31	US6IRY6	Barnes & Noble Inc.	81.58
1964-01-31	US6IRY6	Barnes & Noble Inc.	83.59
1964-02-29	US6IRY6	Barnes & Noble Inc.	83.15
1964-03-31	US6IRY6	Barnes & Noble Inc.	90.73
1964-04-30	US6IRY6	Barnes & Noble Inc.	84.51
1964-05-31	US6IRY6	Barnes & Noble Inc.	81.88
1964-06-30	US6IRY6	Barnes & Noble Inc.	76.03
1964-07-31	US6IRY6	Barnes & Noble Inc.	73.87
1964-08-31	US6IRY6	Barnes & Noble Inc.	75.47
