Date	Company Code	Company Name	Stock Price
1959-01-31	US7CFBG	Bed Bath & Beyond Inc.	104.77
1959-02-28	US7CFBG	Bed Bath & Beyond Inc.	98.91
1959-03-31	US7CFBG	Bed Bath & Beyond Inc.	102.29
1959-04-30	US7CFBG	Bed Bath & Beyond Inc.	104.54
1959-05-31	US7CFBG	Bed Bath & Beyond Inc.	97.86
1959-06-30	US7CFBG	Bed Bath & Beyond Inc.	89.48
1959-07-31	US7CFBG	Bed Bath & Beyond Inc.	88.55
1959-08-31	US7CFBG	Bed Bath & Beyond Inc.	89.08
1959-09-30	US7CFBG	Bed Bath & Beyond Inc.	91.05
1959-10-31	US7CFBG	Bed Bath & Beyond Inc.	88.0
1959-11-30	US7CFBG	Bed Bath & Beyond Inc.	86.92
1959-12-31	US7CFBG	Bed Bath & Beyond Inc.	85.86
1960-01-31	US7CFBG	Bed Bath & Beyond Inc.	83.01
1960-02-29	US7CFBG	Bed Bath & Beyond Inc.	80.85
1960-03-31	US7CFBG	Bed Bath & Beyond Inc.	86.72
1960-04-30	US7CFBG	Bed Bath & Beyond Inc.	92.57
1960-05-31	US7CFBG	Bed Bath & Beyond Inc.	93.54
1960-06-30	US7CFBG	Bed Bath & Beyond Inc.	87.01
1960-07-31	US7CFBG	Bed Bath & Beyond Inc.	88.29
1960-08-31	US7CFBG	Bed Bath & Beyond Inc.	90.52
1960-09-30	US7CFBG	Bed Bath & Beyond Inc.	88.3
1960-10-31	US7CFBG	Bed Bath & Beyond Inc.	81.47
1960-11-30	US7CFBG	Bed Bath & Beyond Inc.	80.75
1960-12-31	US7CFBG	Bed Bath & Beyond Inc.	81.6
1961-01-31	US7CFBG	Bed Bath & Beyond Inc.	72.72
1961-02-28	US7CFBG	Bed Bath & Beyond Inc.	71.96
1961-03-31	US7CFBG	Bed Bath & Beyond Inc.	70.83
1961-04-30	US7CFBG	Bed Bath & Beyond Inc.	65.87
1961-05-31	US7CFBG	Bed Bath & Beyond Inc.	67.38
1961-06-30	US7CFBG	Bed Bath & Beyond Inc.	66.79
1961-07-31	US7CFBG	Bed Bath & Beyond Inc.	61.34
1961-08-31	US7CFBG	Bed Bath & Beyond Inc.	65.55
1961-09-30	US7CFBG	Bed Bath & Beyond Inc.	64.0
1961-10-31	US7CFBG	Bed Bath & Beyond Inc.	61.56023557016774
1961-11-30	US7CFBG	Bed Bath & Beyond Inc.	61.51158023782235
1961-12-31	US7CFBG	Bed Bath & Beyond Inc.	62.6606627668623
1962-01-31	US7CFBG	Bed Bath & Beyond Inc.	71.8
1962-02-28	US7CFBG	Bed Bath & Beyond Inc.	80.75
1962-03-31	US7CFBG	Bed Bath & Beyond Inc.	82.24
1962-04-30	US7CFBG	Bed Bath & Beyond Inc.	82.62
1962-05-31	US7CFBG	Bed Bath & Beyond Inc.	78.83
1962-06-30	US7CFBG	Bed Bath & Beyond Inc.	79.27
1962-07-31	US7CFBG	Bed Bath & Beyond Inc.	83.67
1962-08-31	US7CFBG	Bed Bath & Beyond Inc.	82.34
1962-09-30	US7CFBG	Bed Bath & Beyond Inc.	80.75
1962-10-31	US7CFBG	Bed Bath & Beyond Inc.	83.61
1962-11-30	US7CFBG	Bed Bath & Beyond Inc.	84.63
1962-12-31	US7CFBG	Bed Bath & Beyond Inc.	85.75
1963-01-31	US7CFBG	Bed Bath & Beyond Inc.	90.87
1963-02-28	US7CFBG	Bed Bath & Beyond Inc.	86.87
1963-03-31	US7CFBG	Bed Bath & Beyond Inc.	85.23
1963-04-30	US7CFBG	Bed Bath & Beyond Inc.	84.65
1963-05-31	US7CFBG	Bed Bath & Beyond Inc.	91.92
1963-06-30	US7CFBG	Bed Bath & Beyond Inc.	91.57
1963-07-31	US7CFBG	Bed Bath & Beyond Inc.	87.47
1963-08-31	US7CFBG	Bed Bath & Beyond Inc.	86.31
1963-09-30	US7CFBG	Bed Bath & Beyond Inc.	82.74
1963-10-31	US7CFBG	Bed Bath & Beyond Inc.	79.9
1963-11-30	US7CFBG	Bed Bath & Beyond Inc.	79.51
1963-12-31	US7CFBG	Bed Bath & Beyond Inc.	78.67
1964-01-31	US7CFBG	Bed Bath & Beyond Inc.	83.18
1964-02-29	US7CFBG	Bed Bath & Beyond Inc.	91.48
1964-03-31	US7CFBG	Bed Bath & Beyond Inc.	96.45
1964-04-30	US7CFBG	Bed Bath & Beyond Inc.	95.75
1964-05-31	US7CFBG	Bed Bath & Beyond Inc.	90.65
1964-06-30	US7CFBG	Bed Bath & Beyond Inc.	89.39
1964-07-31	US7CFBG	Bed Bath & Beyond Inc.	96.44
1964-08-31	US7CFBG	Bed Bath & Beyond Inc.	96.79
1964-09-30	US7CFBG	Bed Bath & Beyond Inc.	96.06
1964-10-31	US7CFBG	Bed Bath & Beyond Inc.	103.25
1964-11-30	US7CFBG	Bed Bath & Beyond Inc.	108.73
1964-12-31	US7CFBG	Bed Bath & Beyond Inc.	106.82
1965-01-31	US7CFBG	Bed Bath & Beyond Inc.	110.86
1965-02-28	US7CFBG	Bed Bath & Beyond Inc.	113.0
1965-03-31	US7CFBG	Bed Bath & Beyond Inc.	107.63
1965-04-30	US7CFBG	Bed Bath & Beyond Inc.	102.27
1965-05-31	US7CFBG	Bed Bath & Beyond Inc.	102.35
1965-06-30	US7CFBG	Bed Bath & Beyond Inc.	98.41
1965-07-31	US7CFBG	Bed Bath & Beyond Inc.	101.27
1965-08-31	US7CFBG	Bed Bath & Beyond Inc.	100.79
1965-09-30	US7CFBG	Bed Bath & Beyond Inc.	99.16
1965-10-31	US7CFBG	Bed Bath & Beyond Inc.	103.83
1965-11-30	US7CFBG	Bed Bath & Beyond Inc.	109.26
1965-12-31	US7CFBG	Bed Bath & Beyond Inc.	109.71
1966-01-31	US7CFBG	Bed Bath & Beyond Inc.	113.85
1966-02-28	US7CFBG	Bed Bath & Beyond Inc.	114.89
1966-03-31	US7CFBG	Bed Bath & Beyond Inc.	116.15
1966-04-30	US7CFBG	Bed Bath & Beyond Inc.	116.91
1966-05-31	US7CFBG	Bed Bath & Beyond Inc.	113.49
1966-06-30	US7CFBG	Bed Bath & Beyond Inc.	120.33
1966-07-31	US7CFBG	Bed Bath & Beyond Inc.	124.35
1966-08-31	US7CFBG	Bed Bath & Beyond Inc.	120.83
1966-09-30	US7CFBG	Bed Bath & Beyond Inc.	116.57
1966-10-31	US7CFBG	Bed Bath & Beyond Inc.	118.14
1966-11-30	US7CFBG	Bed Bath & Beyond Inc.	116.74
1966-12-31	US7CFBG	Bed Bath & Beyond Inc.	117.25
1967-01-31	US7CFBG	Bed Bath & Beyond Inc.	124.07
1967-02-28	US7CFBG	Bed Bath & Beyond Inc.	125.64
1967-03-31	US7CFBG	Bed Bath & Beyond Inc.	127.79
1967-04-30	US7CFBG	Bed Bath & Beyond Inc.	127.04
1967-05-31	US7CFBG	Bed Bath & Beyond Inc.	125.57
1967-06-30	US7CFBG	Bed Bath & Beyond Inc.	124.22
1967-07-31	US7CFBG	Bed Bath & Beyond Inc.	121.48
1967-08-31	US7CFBG	Bed Bath & Beyond Inc.	124.13
1967-09-30	US7CFBG	Bed Bath & Beyond Inc.	122.8
1967-10-31	US7CFBG	Bed Bath & Beyond Inc.	124.61
1967-11-30	US7CFBG	Bed Bath & Beyond Inc.	126.32
1967-12-31	US7CFBG	Bed Bath & Beyond Inc.	131.44
1968-01-31	US7CFBG	Bed Bath & Beyond Inc.	132.59
1968-02-29	US7CFBG	Bed Bath & Beyond Inc.	125.96
1968-03-31	US7CFBG	Bed Bath & Beyond Inc.	117.5
1968-04-30	US7CFBG	Bed Bath & Beyond Inc.	111.48
1968-05-31	US7CFBG	Bed Bath & Beyond Inc.	114.8
1968-06-30	US7CFBG	Bed Bath & Beyond Inc.	117.06
1968-07-31	US7CFBG	Bed Bath & Beyond Inc.	117.07
1968-08-31	US7CFBG	Bed Bath & Beyond Inc.	113.39
1968-09-30	US7CFBG	Bed Bath & Beyond Inc.	114.17
1968-10-31	US7CFBG	Bed Bath & Beyond Inc.	105.96
1968-11-30	US7CFBG	Bed Bath & Beyond Inc.	106.77
1968-12-31	US7CFBG	Bed Bath & Beyond Inc.	113.16
1969-01-31	US7CFBG	Bed Bath & Beyond Inc.	112.17
1969-02-28	US7CFBG	Bed Bath & Beyond Inc.	111.86
1969-03-31	US7CFBG	Bed Bath & Beyond Inc.	107.8
1969-04-30	US7CFBG	Bed Bath & Beyond Inc.	107.08
1969-05-31	US7CFBG	Bed Bath & Beyond Inc.	111.05
1969-06-30	US7CFBG	Bed Bath & Beyond Inc.	116.06
1969-07-31	US7CFBG	Bed Bath & Beyond Inc.	118.53
1969-08-31	US7CFBG	Bed Bath & Beyond Inc.	122.32
1969-09-30	US7CFBG	Bed Bath & Beyond Inc.	123.4
1969-10-31	US7CFBG	Bed Bath & Beyond Inc.	132.89
1969-11-30	US7CFBG	Bed Bath & Beyond Inc.	132.36
1969-12-31	US7CFBG	Bed Bath & Beyond Inc.	133.57
1970-01-31	US7CFBG	Bed Bath & Beyond Inc.	132.3
1970-02-28	US7CFBG	Bed Bath & Beyond Inc.	131.55
1970-03-31	US7CFBG	Bed Bath & Beyond Inc.	135.86
1970-04-30	US7CFBG	Bed Bath & Beyond Inc.	141.12
1970-05-31	US7CFBG	Bed Bath & Beyond Inc.	144.27
1970-06-30	US7CFBG	Bed Bath & Beyond Inc.	148.18
1970-07-31	US7CFBG	Bed Bath & Beyond Inc.	146.5
1970-08-31	US7CFBG	Bed Bath & Beyond Inc.	145.85
1970-09-30	US7CFBG	Bed Bath & Beyond Inc.	147.12
1970-10-31	US7CFBG	Bed Bath & Beyond Inc.	153.31
1970-11-30	US7CFBG	Bed Bath & Beyond Inc.	153.73
1970-12-31	US7CFBG	Bed Bath & Beyond Inc.	153.21
1971-01-31	US7CFBG	Bed Bath & Beyond Inc.	160.12
1971-02-28	US7CFBG	Bed Bath & Beyond Inc.	163.35
1971-03-31	US7CFBG	Bed Bath & Beyond Inc.	163.88
1971-04-30	US7CFBG	Bed Bath & Beyond Inc.	163.99
1971-05-31	US7CFBG	Bed Bath & Beyond Inc.	164.82
1971-06-30	US7CFBG	Bed Bath & Beyond Inc.	158.3
1971-07-31	US7CFBG	Bed Bath & Beyond Inc.	165.96
1971-08-31	US7CFBG	Bed Bath & Beyond Inc.	171.57
1971-09-30	US7CFBG	Bed Bath & Beyond Inc.	174.32
1971-10-31	US7CFBG	Bed Bath & Beyond Inc.	172.36
1971-11-30	US7CFBG	Bed Bath & Beyond Inc.	180.36
1971-12-31	US7CFBG	Bed Bath & Beyond Inc.	185.42
1972-01-31	US7CFBG	Bed Bath & Beyond Inc.	190.71
1972-02-29	US7CFBG	Bed Bath & Beyond Inc.	182.74
1972-03-31	US7CFBG	Bed Bath & Beyond Inc.	184.21
1972-04-30	US7CFBG	Bed Bath & Beyond Inc.	182.1
1972-05-31	US7CFBG	Bed Bath & Beyond Inc.	180.4
1972-06-30	US7CFBG	Bed Bath & Beyond Inc.	178.4
1972-07-31	US7CFBG	Bed Bath & Beyond Inc.	176.77
1972-08-31	US7CFBG	Bed Bath & Beyond Inc.	176.61
1972-09-30	US7CFBG	Bed Bath & Beyond Inc.	177.54
1972-10-31	US7CFBG	Bed Bath & Beyond Inc.	184.44
1972-11-30	US7CFBG	Bed Bath & Beyond Inc.	183.97
1972-12-31	US7CFBG	Bed Bath & Beyond Inc.	178.71
1973-01-31	US7CFBG	Bed Bath & Beyond Inc.	176.81
1973-02-28	US7CFBG	Bed Bath & Beyond Inc.	174.32
1973-03-31	US7CFBG	Bed Bath & Beyond Inc.	171.91
1973-04-30	US7CFBG	Bed Bath & Beyond Inc.	179.08
1973-05-31	US7CFBG	Bed Bath & Beyond Inc.	184.87
1973-06-30	US7CFBG	Bed Bath & Beyond Inc.	189.8
