Date	Company Code	Company Name	Stock Price
1959-01-31	US2NJ6X	Berkshire Hathaway Inc.	103.23
1959-02-28	US2NJ6X	Berkshire Hathaway Inc.	104.73
1959-03-31	US2NJ6X	Berkshire Hathaway Inc.	113.25
1959-04-30	US2NJ6X	Berkshire Hathaway Inc.	110.61
1959-05-31	US2NJ6X	Berkshire Hathaway Inc.	115.29
1959-06-30	US2NJ6X	Berkshire Hathaway Inc.	118.34
1959-07-31	US2NJ6X	Berkshire Hathaway Inc.	125.76
1959-08-31	US2NJ6X	Berkshire Hathaway Inc.	126.28
1959-09-30	US2NJ6X	Berkshire Hathaway Inc.	128.12
1959-10-31	US2NJ6X	Berkshire Hathaway Inc.	119.47
1959-11-30	US2NJ6X	Berkshire Hathaway Inc.	115.5
1959-12-31	US2NJ6X	Berkshire Hathaway Inc.	122.74
1960-01-31	US2NJ6X	Berkshire Hathaway Inc.	120.29
1960-02-29	US2NJ6X	Berkshire Hathaway Inc.	121.32
1960-03-31	US2NJ6X	Berkshire Hathaway Inc.	125.07
1960-04-30	US2NJ6X	Berkshire Hathaway Inc.	128.06
1960-05-31	US2NJ6X	Berkshire Hathaway Inc.	131.1
1960-06-30	US2NJ6X	Berkshire Hathaway Inc.	131.57
1960-07-31	US2NJ6X	Berkshire Hathaway Inc.	135.96
1960-08-31	US2NJ6X	Berkshire Hathaway Inc.	135.67
1960-09-30	US2NJ6X	Berkshire Hathaway Inc.	137.15
1960-10-31	US2NJ6X	Berkshire Hathaway Inc.	138.16
1960-11-30	US2NJ6X	Berkshire Hathaway Inc.	138.99
1960-12-31	US2NJ6X	Berkshire Hathaway Inc.	134.69
1961-01-31	US2NJ6X	Berkshire Hathaway Inc.	137.03
1961-02-28	US2NJ6X	Berkshire Hathaway Inc.	135.01
1961-03-31	US2NJ6X	Berkshire Hathaway Inc.	135.19
1961-04-30	US2NJ6X	Berkshire Hathaway Inc.	139.36
1961-05-31	US2NJ6X	Berkshire Hathaway Inc.	139.14
1961-06-30	US2NJ6X	Berkshire Hathaway Inc.	140.73
1961-07-31	US2NJ6X	Berkshire Hathaway Inc.	137.83
1961-08-31	US2NJ6X	Berkshire Hathaway Inc.	137.81
1961-09-30	US2NJ6X	Berkshire Hathaway Inc.	138.96
1961-10-31	US2NJ6X	Berkshire Hathaway Inc.	144.51
1961-11-30	US2NJ6X	Berkshire Hathaway Inc.	144.03
1961-12-31	US2NJ6X	Berkshire Hathaway Inc.	140.99
1962-01-31	US2NJ6X	Berkshire Hathaway Inc.	137.96
1962-02-28	US2NJ6X	Berkshire Hathaway Inc.	138.77
1962-03-31	US2NJ6X	Berkshire Hathaway Inc.	140.52
1962-04-30	US2NJ6X	Berkshire Hathaway Inc.	146.94
1962-05-31	US2NJ6X	Berkshire Hathaway Inc.	151.41
1962-06-30	US2NJ6X	Berkshire Hathaway Inc.	150.62
1962-07-31	US2NJ6X	Berkshire Hathaway Inc.	152.26
1962-08-31	US2NJ6X	Berkshire Hathaway Inc.	147.08
1962-09-30	US2NJ6X	Berkshire Hathaway Inc.	145.51
1962-10-31	US2NJ6X	Berkshire Hathaway Inc.	143.29
1962-11-30	US2NJ6X	Berkshire Hathaway Inc.	144.83
1962-12-31	US2NJ6X	Berkshire Hathaway Inc.	142.84
1963-01-31	US2NJ6X	Berkshire Hathaway Inc.	140.56
1963-02-28	US2NJ6X	Berkshire Hathaway Inc.	146.37
1963-03-31	US2NJ6X	Berkshire Hathaway Inc.	144.21
1963-04-30	US2NJ6X	Berkshire Hathaway Inc.	139.41
1963-05-31	US2NJ6X	Berkshire Hathaway Inc.	141.48
1963-06-30	US2NJ6X	Berkshire Hathaway Inc.	140.22
1963-07-31	US2NJ6X	Berkshire Hathaway Inc.	144.06
1963-08-31	US2NJ6X	Berkshire Hathaway Inc.	147.5
1963-09-30	US2NJ6X	Berkshire Hathaway Inc.	149.99
1963-10-31	US2NJ6X	Berkshire Hathaway Inc.	148.69
1963-11-30	US2NJ6X	Berkshire Hathaway Inc.	146.04
1963-12-31	US2NJ6X	Berkshire Hathaway Inc.	146.2
1964-01-31	US2NJ6X	Berkshire Hathaway Inc.	145.57
1964-02-29	US2NJ6X	Berkshire Hathaway Inc.	144.08
1964-03-31	US2NJ6X	Berkshire Hathaway Inc.	151.66
1964-04-30	US2NJ6X	Berkshire Hathaway Inc.	152.89
1964-05-31	US2NJ6X	Berkshire Hathaway Inc.	144.6
1964-06-30	US2NJ6X	Berkshire Hathaway Inc.	140.15
1964-07-31	US2NJ6X	Berkshire Hathaway Inc.	146.4
1964-08-31	US2NJ6X	Berkshire Hathaway Inc.	146.47
1964-09-30	US2NJ6X	Berkshire Hathaway Inc.	145.71
1964-10-31	US2NJ6X	Berkshire Hathaway Inc.	145.65
1964-11-30	US2NJ6X	Berkshire Hathaway Inc.	141.82
1964-12-31	US2NJ6X	Berkshire Hathaway Inc.	149.0
1965-01-31	US2NJ6X	Berkshire Hathaway Inc.	149.93
1965-02-28	US2NJ6X	Berkshire Hathaway Inc.	151.64
1965-03-31	US2NJ6X	Berkshire Hathaway Inc.	149.22
1965-04-30	US2NJ6X	Berkshire Hathaway Inc.	142.48
1965-05-31	US2NJ6X	Berkshire Hathaway Inc.	140.7
1965-06-30	US2NJ6X	Berkshire Hathaway Inc.	139.66
1965-07-31	US2NJ6X	Berkshire Hathaway Inc.	132.47
1965-08-31	US2NJ6X	Berkshire Hathaway Inc.	131.01
1965-09-30	US2NJ6X	Berkshire Hathaway Inc.	131.32
1965-10-31	US2NJ6X	Berkshire Hathaway Inc.	128.2
1965-11-30	US2NJ6X	Berkshire Hathaway Inc.	131.72
1965-12-31	US2NJ6X	Berkshire Hathaway Inc.	127.74
1966-01-31	US2NJ6X	Berkshire Hathaway Inc.	129.01
1966-02-28	US2NJ6X	Berkshire Hathaway Inc.	125.39
1966-03-31	US2NJ6X	Berkshire Hathaway Inc.	128.57
1966-04-30	US2NJ6X	Berkshire Hathaway Inc.	131.85
1966-05-31	US2NJ6X	Berkshire Hathaway Inc.	136.18
1966-06-30	US2NJ6X	Berkshire Hathaway Inc.	133.54
1966-07-31	US2NJ6X	Berkshire Hathaway Inc.	129.66
1966-08-31	US2NJ6X	Berkshire Hathaway Inc.	125.06
1966-09-30	US2NJ6X	Berkshire Hathaway Inc.	121.56
1966-10-31	US2NJ6X	Berkshire Hathaway Inc.	128.27
1966-11-30	US2NJ6X	Berkshire Hathaway Inc.	128.87
1966-12-31	US2NJ6X	Berkshire Hathaway Inc.	126.47
1967-01-31	US2NJ6X	Berkshire Hathaway Inc.	122.05
1967-02-28	US2NJ6X	Berkshire Hathaway Inc.	123.81
1967-03-31	US2NJ6X	Berkshire Hathaway Inc.	118.33
1967-04-30	US2NJ6X	Berkshire Hathaway Inc.	113.2
1967-05-31	US2NJ6X	Berkshire Hathaway Inc.	116.39
1967-06-30	US2NJ6X	Berkshire Hathaway Inc.	117.59
1967-07-31	US2NJ6X	Berkshire Hathaway Inc.	114.33
1967-08-31	US2NJ6X	Berkshire Hathaway Inc.	121.61
1967-09-30	US2NJ6X	Berkshire Hathaway Inc.	118.71
1967-10-31	US2NJ6X	Berkshire Hathaway Inc.	116.26
1967-11-30	US2NJ6X	Berkshire Hathaway Inc.	112.9
1967-12-31	US2NJ6X	Berkshire Hathaway Inc.	110.47
1968-01-31	US2NJ6X	Berkshire Hathaway Inc.	110.32
1968-02-29	US2NJ6X	Berkshire Hathaway Inc.	108.5
1968-03-31	US2NJ6X	Berkshire Hathaway Inc.	115.65
1968-04-30	US2NJ6X	Berkshire Hathaway Inc.	122.61
1968-05-31	US2NJ6X	Berkshire Hathaway Inc.	119.08
1968-06-30	US2NJ6X	Berkshire Hathaway Inc.	117.45
1968-07-31	US2NJ6X	Berkshire Hathaway Inc.	113.3
1968-08-31	US2NJ6X	Berkshire Hathaway Inc.	109.98
1968-09-30	US2NJ6X	Berkshire Hathaway Inc.	104.38
1968-10-31	US2NJ6X	Berkshire Hathaway Inc.	104.1
1968-11-30	US2NJ6X	Berkshire Hathaway Inc.	103.7
1968-12-31	US2NJ6X	Berkshire Hathaway Inc.	101.32
1969-01-31	US2NJ6X	Berkshire Hathaway Inc.	109.94
1969-02-28	US2NJ6X	Berkshire Hathaway Inc.	107.47
1969-03-31	US2NJ6X	Berkshire Hathaway Inc.	105.66
1969-04-30	US2NJ6X	Berkshire Hathaway Inc.	101.33
1969-05-31	US2NJ6X	Berkshire Hathaway Inc.	99.25
1969-06-30	US2NJ6X	Berkshire Hathaway Inc.	105.5
1969-07-31	US2NJ6X	Berkshire Hathaway Inc.	110.37
1969-08-31	US2NJ6X	Berkshire Hathaway Inc.	112.4
1969-09-30	US2NJ6X	Berkshire Hathaway Inc.	108.87
1969-10-31	US2NJ6X	Berkshire Hathaway Inc.	110.61
1969-11-30	US2NJ6X	Berkshire Hathaway Inc.	112.12
1969-12-31	US2NJ6X	Berkshire Hathaway Inc.	108.58
1970-01-31	US2NJ6X	Berkshire Hathaway Inc.	104.63
1970-02-28	US2NJ6X	Berkshire Hathaway Inc.	101.14
1970-03-31	US2NJ6X	Berkshire Hathaway Inc.	101.47
1970-04-30	US2NJ6X	Berkshire Hathaway Inc.	97.78
1970-05-31	US2NJ6X	Berkshire Hathaway Inc.	97.1
1970-06-30	US2NJ6X	Berkshire Hathaway Inc.	97.52
1970-07-31	US2NJ6X	Berkshire Hathaway Inc.	104.4
1970-08-31	US2NJ6X	Berkshire Hathaway Inc.	110.1
1970-09-30	US2NJ6X	Berkshire Hathaway Inc.	105.01
1970-10-31	US2NJ6X	Berkshire Hathaway Inc.	102.35
1970-11-30	US2NJ6X	Berkshire Hathaway Inc.	103.04
1970-12-31	US2NJ6X	Berkshire Hathaway Inc.	102.03
1971-01-31	US2NJ6X	Berkshire Hathaway Inc.	101.69
1971-02-28	US2NJ6X	Berkshire Hathaway Inc.	95.73
1971-03-31	US2NJ6X	Berkshire Hathaway Inc.	88.99
1971-04-30	US2NJ6X	Berkshire Hathaway Inc.	93.9
1971-05-31	US2NJ6X	Berkshire Hathaway Inc.	96.55
1971-06-30	US2NJ6X	Berkshire Hathaway Inc.	105.23
1971-07-31	US2NJ6X	Berkshire Hathaway Inc.	111.9
1971-08-31	US2NJ6X	Berkshire Hathaway Inc.	112.22
1971-09-30	US2NJ6X	Berkshire Hathaway Inc.	114.95
1971-10-31	US2NJ6X	Berkshire Hathaway Inc.	115.04
1971-11-30	US2NJ6X	Berkshire Hathaway Inc.	119.1
1971-12-31	US2NJ6X	Berkshire Hathaway Inc.	119.49
1972-01-31	US2NJ6X	Berkshire Hathaway Inc.	127.4
1972-02-29	US2NJ6X	Berkshire Hathaway Inc.	126.31
1972-03-31	US2NJ6X	Berkshire Hathaway Inc.	128.45
1972-04-30	US2NJ6X	Berkshire Hathaway Inc.	131.26
1972-05-31	US2NJ6X	Berkshire Hathaway Inc.	137.13
1972-06-30	US2NJ6X	Berkshire Hathaway Inc.	144.52
1972-07-31	US2NJ6X	Berkshire Hathaway Inc.	145.02
1972-08-31	US2NJ6X	Berkshire Hathaway Inc.	141.18
1972-09-30	US2NJ6X	Berkshire Hathaway Inc.	145.99
1972-10-31	US2NJ6X	Berkshire Hathaway Inc.	147.15
1972-11-30	US2NJ6X	Berkshire Hathaway Inc.	143.7
1972-12-31	US2NJ6X	Berkshire Hathaway Inc.	139.83
1973-01-31	US2NJ6X	Berkshire Hathaway Inc.	140.84
1973-02-28	US2NJ6X	Berkshire Hathaway Inc.	142.6
1973-03-31	US2NJ6X	Berkshire Hathaway Inc.	144.6
1973-04-30	US2NJ6X	Berkshire Hathaway Inc.	137.97
1973-05-31	US2NJ6X	Berkshire Hathaway Inc.	143.33
1973-06-30	US2NJ6X	Berkshire Hathaway Inc.	147.81
1973-07-31	US2NJ6X	Berkshire Hathaway Inc.	149.77
1973-08-31	US2NJ6X	Berkshire Hathaway Inc.	150.92
1973-09-30	US2NJ6X	Berkshire Hathaway Inc.	151.46
1973-10-31	US2NJ6X	Berkshire Hathaway Inc.	147.5
1973-11-30	US2NJ6X	Berkshire Hathaway Inc.	146.53
1973-12-31	US2NJ6X	Berkshire Hathaway Inc.	137.29
1974-01-31	US2NJ6X	Berkshire Hathaway Inc.	137.59
1974-02-28	US2NJ6X	Berkshire Hathaway Inc.	141.36
1974-03-31	US2NJ6X	Berkshire Hathaway Inc.	139.95
1974-04-30	US2NJ6X	Berkshire Hathaway Inc.	140.27
1974-05-31	US2NJ6X	Berkshire Hathaway Inc.	139.57
1974-06-30	US2NJ6X	Berkshire Hathaway Inc.	140.88
1974-07-31	US2NJ6X	Berkshire Hathaway Inc.	143.18
1974-08-31	US2NJ6X	Berkshire Hathaway Inc.	137.86
1974-09-30	US2NJ6X	Berkshire Hathaway Inc.	137.77
1974-10-31	US2NJ6X	Berkshire Hathaway Inc.	136.25
1974-11-30	US2NJ6X	Berkshire Hathaway Inc.	139.62
1974-12-31	US2NJ6X	Berkshire Hathaway Inc.	134.9
1975-01-31	US2NJ6X	Berkshire Hathaway Inc.	140.58
1975-02-28	US2NJ6X	Berkshire Hathaway Inc.	141.31
1975-03-31	US2NJ6X	Berkshire Hathaway Inc.	143.18
1975-04-30	US2NJ6X	Berkshire Hathaway Inc.	144.23
1975-05-31	US2NJ6X	Berkshire Hathaway Inc.	145.7
1975-06-30	US2NJ6X	Berkshire Hathaway Inc.	141.64
1975-07-31	US2NJ6X	Berkshire Hathaway Inc.	137.96
1975-08-31	US2NJ6X	Berkshire Hathaway Inc.	144.65
1975-09-30	US2NJ6X	Berkshire Hathaway Inc.	142.25
1975-10-31	US2NJ6X	Berkshire Hathaway Inc.	141.35
1975-11-30	US2NJ6X	Berkshire Hathaway Inc.	134.04
1975-12-31	US2NJ6X	Berkshire Hathaway Inc.	132.68
1976-01-31	US2NJ6X	Berkshire Hathaway Inc.	131.15
1976-02-29	US2NJ6X	Berkshire Hathaway Inc.	129.37
1976-03-31	US2NJ6X	Berkshire Hathaway Inc.	124.63
1976-04-30	US2NJ6X	Berkshire Hathaway Inc.	125.27
1976-05-31	US2NJ6X	Berkshire Hathaway Inc.	123.17
1976-06-30	US2NJ6X	Berkshire Hathaway Inc.	125.05
1976-07-31	US2NJ6X	Berkshire Hathaway Inc.	128.06
1976-08-31	US2NJ6X	Berkshire Hathaway Inc.	125.91
1976-09-30	US2NJ6X	Berkshire Hathaway Inc.	125.75
1976-10-31	US2NJ6X	Berkshire Hathaway Inc.	132.17
1976-11-30	US2NJ6X	Berkshire Hathaway Inc.	131.59
1976-12-31	US2NJ6X	Berkshire Hathaway Inc.	131.07
1977-01-31	US2NJ6X	Berkshire Hathaway Inc.	136.05
1977-02-28	US2NJ6X	Berkshire Hathaway Inc.	136.13
1977-03-31	US2NJ6X	Berkshire Hathaway Inc.	136.04
1977-04-30	US2NJ6X	Berkshire Hathaway Inc.	138.51
1977-05-31	US2NJ6X	Berkshire Hathaway Inc.	142.63
1977-06-30	US2NJ6X	Berkshire Hathaway Inc.	141.14
1977-07-31	US2NJ6X	Berkshire Hathaway Inc.	140.81
1977-08-31	US2NJ6X	Berkshire Hathaway Inc.	137.36
1977-09-30	US2NJ6X	Berkshire Hathaway Inc.	143.88
1977-10-31	US2NJ6X	Berkshire Hathaway Inc.	144.39
1977-11-30	US2NJ6X	Berkshire Hathaway Inc.	141.73
1977-12-31	US2NJ6X	Berkshire Hathaway Inc.	143.48
1978-01-31	US2NJ6X	Berkshire Hathaway Inc.	138.86
1978-02-28	US2NJ6X	Berkshire Hathaway Inc.	134.74
1978-03-31	US2NJ6X	Berkshire Hathaway Inc.	133.47
1978-04-30	US2NJ6X	Berkshire Hathaway Inc.	137.99
1978-05-31	US2NJ6X	Berkshire Hathaway Inc.	139.62
1978-06-30	US2NJ6X	Berkshire Hathaway Inc.	135.0
1978-07-31	US2NJ6X	Berkshire Hathaway Inc.	141.75
1978-08-31	US2NJ6X	Berkshire Hathaway Inc.	147.74
1978-09-30	US2NJ6X	Berkshire Hathaway Inc.	148.51
1978-10-31	US2NJ6X	Berkshire Hathaway Inc.	142.64
1978-11-30	US2NJ6X	Berkshire Hathaway Inc.	146.8
1978-12-31	US2NJ6X	Berkshire Hathaway Inc.	147.68
1979-01-31	US2NJ6X	Berkshire Hathaway Inc.	148.47
1979-02-28	US2NJ6X	Berkshire Hathaway Inc.	144.43
1979-03-31	US2NJ6X	Berkshire Hathaway Inc.	140.2
1979-04-30	US2NJ6X	Berkshire Hathaway Inc.	133.91
1979-05-31	US2NJ6X	Berkshire Hathaway Inc.	128.45
1979-06-30	US2NJ6X	Berkshire Hathaway Inc.	133.45
1979-07-31	US2NJ6X	Berkshire Hathaway Inc.	132.07
1979-08-31	US2NJ6X	Berkshire Hathaway Inc.	132.96
1979-09-30	US2NJ6X	Berkshire Hathaway Inc.	131.61
1979-10-31	US2NJ6X	Berkshire Hathaway Inc.	125.94
1979-11-30	US2NJ6X	Berkshire Hathaway Inc.	127.36
1979-12-31	US2NJ6X	Berkshire Hathaway Inc.	123.43
1980-01-31	US2NJ6X	Berkshire Hathaway Inc.	121.98
1980-02-29	US2NJ6X	Berkshire Hathaway Inc.	119.1
1980-03-31	US2NJ6X	Berkshire Hathaway Inc.	117.3
1980-04-30	US2NJ6X	Berkshire Hathaway Inc.	116.14
1980-05-31	US2NJ6X	Berkshire Hathaway Inc.	119.76
1980-06-30	US2NJ6X	Berkshire Hathaway Inc.	115.74
1980-07-31	US2NJ6X	Berkshire Hathaway Inc.	114.24
1980-08-31	US2NJ6X	Berkshire Hathaway Inc.	117.53
1980-09-30	US2NJ6X	Berkshire Hathaway Inc.	115.62
1980-10-31	US2NJ6X	Berkshire Hathaway Inc.	115.87
1980-11-30	US2NJ6X	Berkshire Hathaway Inc.	111.51
1980-12-31	US2NJ6X	Berkshire Hathaway Inc.	110.32
1981-01-31	US2NJ6X	Berkshire Hathaway Inc.	111.73
1981-02-28	US2NJ6X	Berkshire Hathaway Inc.	113.59
1981-03-31	US2NJ6X	Berkshire Hathaway Inc.	116.89
1981-04-30	US2NJ6X	Berkshire Hathaway Inc.	118.47
1981-05-31	US2NJ6X	Berkshire Hathaway Inc.	123.69
1981-06-30	US2NJ6X	Berkshire Hathaway Inc.	122.5
1981-07-31	US2NJ6X	Berkshire Hathaway Inc.	126.9
1981-08-31	US2NJ6X	Berkshire Hathaway Inc.	127.44
1981-09-30	US2NJ6X	Berkshire Hathaway Inc.	125.37
1981-10-31	US2NJ6X	Berkshire Hathaway Inc.	124.14
1981-11-30	US2NJ6X	Berkshire Hathaway Inc.	124.98
1981-12-31	US2NJ6X	Berkshire Hathaway Inc.	128.55
1982-01-31	US2NJ6X	Berkshire Hathaway Inc.	132.56
1982-02-28	US2NJ6X	Berkshire Hathaway Inc.	137.95
1982-03-31	US2NJ6X	Berkshire Hathaway Inc.	136.32
1982-04-30	US2NJ6X	Berkshire Hathaway Inc.	132.65
1982-05-31	US2NJ6X	Berkshire Hathaway Inc.	127.05
1982-06-30	US2NJ6X	Berkshire Hathaway Inc.	122.86
1982-07-31	US2NJ6X	Berkshire Hathaway Inc.	125.43
1982-08-31	US2NJ6X	Berkshire Hathaway Inc.	128.16
1982-09-30	US2NJ6X	Berkshire Hathaway Inc.	127.04
1982-10-31	US2NJ6X	Berkshire Hathaway Inc.	128.49
1982-11-30	US2NJ6X	Berkshire Hathaway Inc.	129.67
1982-12-31	US2NJ6X	Berkshire Hathaway Inc.	129.01
1983-01-31	US2NJ6X	Berkshire Hathaway Inc.	130.63
1983-02-28	US2NJ6X	Berkshire Hathaway Inc.	135.89
1983-03-31	US2NJ6X	Berkshire Hathaway Inc.	141.2
1983-04-30	US2NJ6X	Berkshire Hathaway Inc.	144.78
1983-05-31	US2NJ6X	Berkshire Hathaway Inc.	148.78
1983-06-30	US2NJ6X	Berkshire Hathaway Inc.	144.59
1983-07-31	US2NJ6X	Berkshire Hathaway Inc.	141.06
1983-08-31	US2NJ6X	Berkshire Hathaway Inc.	141.16
1983-09-30	US2NJ6X	Berkshire Hathaway Inc.	142.92
1983-10-31	US2NJ6X	Berkshire Hathaway Inc.	146.01
1983-11-30	US2NJ6X	Berkshire Hathaway Inc.	151.88
1983-12-31	US2NJ6X	Berkshire Hathaway Inc.	153.83
1984-01-31	US2NJ6X	Berkshire Hathaway Inc.	157.88
1984-02-29	US2NJ6X	Berkshire Hathaway Inc.	163.24
1984-03-31	US2NJ6X	Berkshire Hathaway Inc.	161.91
1984-04-30	US2NJ6X	Berkshire Hathaway Inc.	163.41
1984-05-31	US2NJ6X	Berkshire Hathaway Inc.	163.11
1984-06-30	US2NJ6X	Berkshire Hathaway Inc.	156.91
1984-07-31	US2NJ6X	Berkshire Hathaway Inc.	159.99
1984-08-31	US2NJ6X	Berkshire Hathaway Inc.	157.1
1984-09-30	US2NJ6X	Berkshire Hathaway Inc.	161.63
1984-10-31	US2NJ6X	Berkshire Hathaway Inc.	159.42
1984-11-30	US2NJ6X	Berkshire Hathaway Inc.	151.22
1984-12-31	US2NJ6X	Berkshire Hathaway Inc.	150.58
1985-01-31	US2NJ6X	Berkshire Hathaway Inc.	153.61
1985-02-28	US2NJ6X	Berkshire Hathaway Inc.	151.15
1985-03-31	US2NJ6X	Berkshire Hathaway Inc.	147.42
