Date	Company Code	Company Name	Stock Price
1959-01-31	US5J0RQ	Best Buy Co. Inc.	109.35
1959-02-28	US5J0RQ	Best Buy Co. Inc.	117.5
1959-03-31	US5J0RQ	Best Buy Co. Inc.	111.61
1959-04-30	US5J0RQ	Best Buy Co. Inc.	108.49
1959-05-31	US5J0RQ	Best Buy Co. Inc.	111.61
1959-06-30	US5J0RQ	Best Buy Co. Inc.	111.39
1959-07-31	US5J0RQ	Best Buy Co. Inc.	109.07
1959-08-31	US5J0RQ	Best Buy Co. Inc.	112.15
1959-09-30	US5J0RQ	Best Buy Co. Inc.	108.18
1959-10-31	US5J0RQ	Best Buy Co. Inc.	109.36
1959-11-30	US5J0RQ	Best Buy Co. Inc.	109.23
1959-12-31	US5J0RQ	Best Buy Co. Inc.	110.83
1960-01-31	US5J0RQ	Best Buy Co. Inc.	113.65
1960-02-29	US5J0RQ	Best Buy Co. Inc.	110.69
1960-03-31	US5J0RQ	Best Buy Co. Inc.	115.31
1960-04-30	US5J0RQ	Best Buy Co. Inc.	113.53
1960-05-31	US5J0RQ	Best Buy Co. Inc.	114.96
1960-06-30	US5J0RQ	Best Buy Co. Inc.	108.63
1960-07-31	US5J0RQ	Best Buy Co. Inc.	99.03
1960-08-31	US5J0RQ	Best Buy Co. Inc.	95.06
1960-09-30	US5J0RQ	Best Buy Co. Inc.	96.7
1960-10-31	US5J0RQ	Best Buy Co. Inc.	98.93
1960-11-30	US5J0RQ	Best Buy Co. Inc.	97.13
1960-12-31	US5J0RQ	Best Buy Co. Inc.	94.37
1961-01-31	US5J0RQ	Best Buy Co. Inc.	86.68
1961-02-28	US5J0RQ	Best Buy Co. Inc.	86.19
1961-03-31	US5J0RQ	Best Buy Co. Inc.	88.97
1961-04-30	US5J0RQ	Best Buy Co. Inc.	82.8
1961-05-31	US5J0RQ	Best Buy Co. Inc.	88.24
1961-06-30	US5J0RQ	Best Buy Co. Inc.	93.89
1961-07-31	US5J0RQ	Best Buy Co. Inc.	98.51
1961-08-31	US5J0RQ	Best Buy Co. Inc.	93.3
1961-09-30	US5J0RQ	Best Buy Co. Inc.	96.87
1961-10-31	US5J0RQ	Best Buy Co. Inc.	98.09
1961-11-30	US5J0RQ	Best Buy Co. Inc.	101.37
1961-12-31	US5J0RQ	Best Buy Co. Inc.	93.79
1962-01-31	US5J0RQ	Best Buy Co. Inc.	94.62
1962-02-28	US5J0RQ	Best Buy Co. Inc.	95.96
1962-03-31	US5J0RQ	Best Buy Co. Inc.	95.0
1962-04-30	US5J0RQ	Best Buy Co. Inc.	97.57
1962-05-31	US5J0RQ	Best Buy Co. Inc.	97.8
1962-06-30	US5J0RQ	Best Buy Co. Inc.	102.36
1962-07-31	US5J0RQ	Best Buy Co. Inc.	102.84
1962-08-31	US5J0RQ	Best Buy Co. Inc.	99.37
1962-09-30	US5J0RQ	Best Buy Co. Inc.	100.42
1962-10-31	US5J0RQ	Best Buy Co. Inc.	102.95
1962-11-30	US5J0RQ	Best Buy Co. Inc.	107.93
1962-12-31	US5J0RQ	Best Buy Co. Inc.	112.26
1963-01-31	US5J0RQ	Best Buy Co. Inc.	105.44
1963-02-28	US5J0RQ	Best Buy Co. Inc.	104.16
1963-03-31	US5J0RQ	Best Buy Co. Inc.	102.78
