Date	Company Code	Company Name	Stock Price
1959-01-31	US5E1W2	Big Lots Inc.	110.34
1959-02-28	US5E1W2	Big Lots Inc.	114.47
1959-03-31	US5E1W2	Big Lots Inc.	110.02
1959-04-30	US5E1W2	Big Lots Inc.	110.38
1959-05-31	US5E1W2	Big Lots Inc.	112.11
1959-06-30	US5E1W2	Big Lots Inc.	115.03
1959-07-31	US5E1W2	Big Lots Inc.	109.26
1959-08-31	US5E1W2	Big Lots Inc.	105.78
1959-09-30	US5E1W2	Big Lots Inc.	100.93
1959-10-31	US5E1W2	Big Lots Inc.	93.19
1959-11-30	US5E1W2	Big Lots Inc.	95.47
1959-12-31	US5E1W2	Big Lots Inc.	98.18
1960-01-31	US5E1W2	Big Lots Inc.	103.81
1960-02-29	US5E1W2	Big Lots Inc.	102.82
1960-03-31	US5E1W2	Big Lots Inc.	93.9
1960-04-30	US5E1W2	Big Lots Inc.	100.51
1960-05-31	US5E1W2	Big Lots Inc.	97.37
1960-06-30	US5E1W2	Big Lots Inc.	94.2
1960-07-31	US5E1W2	Big Lots Inc.	94.33
1960-08-31	US5E1W2	Big Lots Inc.	90.69
1960-09-30	US5E1W2	Big Lots Inc.	89.92
1960-10-31	US5E1W2	Big Lots Inc.	82.51
1960-11-30	US5E1W2	Big Lots Inc.	86.23
1960-12-31	US5E1W2	Big Lots Inc.	80.15
1961-01-31	US5E1W2	Big Lots Inc.	79.47
1961-02-28	US5E1W2	Big Lots Inc.	85.28
1961-03-31	US5E1W2	Big Lots Inc.	90.32
1961-04-30	US5E1W2	Big Lots Inc.	91.36
1961-05-31	US5E1W2	Big Lots Inc.	86.92
1961-06-30	US5E1W2	Big Lots Inc.	90.13
1961-07-31	US5E1W2	Big Lots Inc.	84.15
1961-08-31	US5E1W2	Big Lots Inc.	82.63
1961-09-30	US5E1W2	Big Lots Inc.	90.39
1961-10-31	US5E1W2	Big Lots Inc.	89.73
1961-11-30	US5E1W2	Big Lots Inc.	92.13
1961-12-31	US5E1W2	Big Lots Inc.	91.01
1962-01-31	US5E1W2	Big Lots Inc.	96.65
1962-02-28	US5E1W2	Big Lots Inc.	100.83
1962-03-31	US5E1W2	Big Lots Inc.	101.31
1962-04-30	US5E1W2	Big Lots Inc.	107.99
1962-05-31	US5E1W2	Big Lots Inc.	107.37
1962-06-30	US5E1W2	Big Lots Inc.	102.99
1962-07-31	US5E1W2	Big Lots Inc.	107.73
1962-08-31	US5E1W2	Big Lots Inc.	104.31
1962-09-30	US5E1W2	Big Lots Inc.	106.61
1962-10-31	US5E1W2	Big Lots Inc.	110.93
1962-11-30	US5E1W2	Big Lots Inc.	110.1
1962-12-31	US5E1W2	Big Lots Inc.	110.11
1963-01-31	US5E1W2	Big Lots Inc.	110.28
1963-02-28	US5E1W2	Big Lots Inc.	113.39
1963-03-31	US5E1W2	Big Lots Inc.	111.98
1963-04-30	US5E1W2	Big Lots Inc.	102.62
1963-05-31	US5E1W2	Big Lots Inc.	100.0
1963-06-30	US5E1W2	Big Lots Inc.	92.22
1963-07-31	US5E1W2	Big Lots Inc.	96.27
1963-08-31	US5E1W2	Big Lots Inc.	101.29
1963-09-30	US5E1W2	Big Lots Inc.	106.49
1963-10-31	US5E1W2	Big Lots Inc.	105.0
1963-11-30	US5E1W2	Big Lots Inc.	110.15
1963-12-31	US5E1W2	Big Lots Inc.	108.86
1964-01-31	US5E1W2	Big Lots Inc.	108.76
1964-02-29	US5E1W2	Big Lots Inc.	109.29
1964-03-31	US5E1W2	Big Lots Inc.	109.2
1964-04-30	US5E1W2	Big Lots Inc.	104.61
1964-05-31	US5E1W2	Big Lots Inc.	105.67
1964-06-30	US5E1W2	Big Lots Inc.	100.57
1964-07-31	US5E1W2	Big Lots Inc.	95.26
1964-08-31	US5E1W2	Big Lots Inc.	91.73
1964-09-30	US5E1W2	Big Lots Inc.	87.31
1964-10-31	US5E1W2	Big Lots Inc.	81.23
1964-11-30	US5E1W2	Big Lots Inc.	85.48
1964-12-31	US5E1W2	Big Lots Inc.	79.56
1965-01-31	US5E1W2	Big Lots Inc.	73.8
1965-02-28	US5E1W2	Big Lots Inc.	69.87
1965-03-31	US5E1W2	Big Lots Inc.	71.94
1965-04-30	US5E1W2	Big Lots Inc.	71.0
1965-05-31	US5E1W2	Big Lots Inc.	69.56
1965-06-30	US5E1W2	Big Lots Inc.	66.56
1965-07-31	US5E1W2	Big Lots Inc.	66.33
1965-08-31	US5E1W2	Big Lots Inc.	61.820229077583235
1965-09-30	US5E1W2	Big Lots Inc.	61.27
1965-10-31	US5E1W2	Big Lots Inc.	63.55
1965-11-30	US5E1W2	Big Lots Inc.	60.09
1965-12-31	US5E1W2	Big Lots Inc.	60.91
1966-01-31	US5E1W2	Big Lots Inc.	65.85
1966-02-28	US5E1W2	Big Lots Inc.	70.78
1966-03-31	US5E1W2	Big Lots Inc.	69.54
1966-04-30	US5E1W2	Big Lots Inc.	72.98
1966-05-31	US5E1W2	Big Lots Inc.	72.27
1966-06-30	US5E1W2	Big Lots Inc.	73.52
1966-07-31	US5E1W2	Big Lots Inc.	65.7
1966-08-31	US5E1W2	Big Lots Inc.	66.93
1966-09-30	US5E1W2	Big Lots Inc.	65.7
1966-10-31	US5E1W2	Big Lots Inc.	66.07
1966-11-30	US5E1W2	Big Lots Inc.	62.81691303121721
1966-12-31	US5E1W2	Big Lots Inc.	62.92
1967-01-31	US5E1W2	Big Lots Inc.	64.91
1967-02-28	US5E1W2	Big Lots Inc.	62.62
1967-03-31	US5E1W2	Big Lots Inc.	61.034691092613286
1967-04-30	US5E1W2	Big Lots Inc.	60.43
1967-05-31	US5E1W2	Big Lots Inc.	63.95
1967-06-30	US5E1W2	Big Lots Inc.	61.335942652494076
1967-07-31	US5E1W2	Big Lots Inc.	66.48
1967-08-31	US5E1W2	Big Lots Inc.	70.26
1967-09-30	US5E1W2	Big Lots Inc.	68.24
1967-10-31	US5E1W2	Big Lots Inc.	65.86
1967-11-30	US5E1W2	Big Lots Inc.	70.55
1967-12-31	US5E1W2	Big Lots Inc.	76.58
1968-01-31	US5E1W2	Big Lots Inc.	77.38
1968-02-29	US5E1W2	Big Lots Inc.	76.53
1968-03-31	US5E1W2	Big Lots Inc.	83.37
1968-04-30	US5E1W2	Big Lots Inc.	81.15
1968-05-31	US5E1W2	Big Lots Inc.	78.05
1968-06-30	US5E1W2	Big Lots Inc.	78.27
1968-07-31	US5E1W2	Big Lots Inc.	86.49
1968-08-31	US5E1W2	Big Lots Inc.	82.03
1968-09-30	US5E1W2	Big Lots Inc.	82.27
1968-10-31	US5E1W2	Big Lots Inc.	77.0
1968-11-30	US5E1W2	Big Lots Inc.	74.7
1968-12-31	US5E1W2	Big Lots Inc.	76.82
1969-01-31	US5E1W2	Big Lots Inc.	77.5
1969-02-28	US5E1W2	Big Lots Inc.	79.09
1969-03-31	US5E1W2	Big Lots Inc.	82.21
1969-04-30	US5E1W2	Big Lots Inc.	79.0
1969-05-31	US5E1W2	Big Lots Inc.	85.26
