Date	Company Code	Company Name	Stock Price
1959-01-31	USGRC7Y	Boeing Co.	106.44
1959-02-28	USGRC7Y	Boeing Co.	105.47
1959-03-31	USGRC7Y	Boeing Co.	111.77
1959-04-30	USGRC7Y	Boeing Co.	111.44
1959-05-31	USGRC7Y	Boeing Co.	109.21
1959-06-30	USGRC7Y	Boeing Co.	110.66
1959-07-31	USGRC7Y	Boeing Co.	111.48
1959-08-31	USGRC7Y	Boeing Co.	112.12
1959-09-30	USGRC7Y	Boeing Co.	113.24
1959-10-31	USGRC7Y	Boeing Co.	104.91
1959-11-30	USGRC7Y	Boeing Co.	108.16
1959-12-31	USGRC7Y	Boeing Co.	103.99
1960-01-31	USGRC7Y	Boeing Co.	103.17
1960-02-29	USGRC7Y	Boeing Co.	106.13
1960-03-31	USGRC7Y	Boeing Co.	111.86
1960-04-30	USGRC7Y	Boeing Co.	106.81
1960-05-31	USGRC7Y	Boeing Co.	107.15
1960-06-30	USGRC7Y	Boeing Co.	102.3
1960-07-31	USGRC7Y	Boeing Co.	103.63
1960-08-31	USGRC7Y	Boeing Co.	110.88
1960-09-30	USGRC7Y	Boeing Co.	110.53
1960-10-31	USGRC7Y	Boeing Co.	116.62
1960-11-30	USGRC7Y	Boeing Co.	112.54
1960-12-31	USGRC7Y	Boeing Co.	113.48
1961-01-31	USGRC7Y	Boeing Co.	113.8
1961-02-28	USGRC7Y	Boeing Co.	119.85
1961-03-31	USGRC7Y	Boeing Co.	116.09
1961-04-30	USGRC7Y	Boeing Co.	120.01
1961-05-31	USGRC7Y	Boeing Co.	124.81
1961-06-30	USGRC7Y	Boeing Co.	122.79
1961-07-31	USGRC7Y	Boeing Co.	124.22
1961-08-31	USGRC7Y	Boeing Co.	127.61
1961-09-30	USGRC7Y	Boeing Co.	124.66
1961-10-31	USGRC7Y	Boeing Co.	125.34
1961-11-30	USGRC7Y	Boeing Co.	127.23
1961-12-31	USGRC7Y	Boeing Co.	128.83
1962-01-31	USGRC7Y	Boeing Co.	128.13
1962-02-28	USGRC7Y	Boeing Co.	133.7
1962-03-31	USGRC7Y	Boeing Co.	135.06
1962-04-30	USGRC7Y	Boeing Co.	138.98
1962-05-31	USGRC7Y	Boeing Co.	143.42
1962-06-30	USGRC7Y	Boeing Co.	142.89
1962-07-31	USGRC7Y	Boeing Co.	146.14
1962-08-31	USGRC7Y	Boeing Co.	147.51
1962-09-30	USGRC7Y	Boeing Co.	153.31
1962-10-31	USGRC7Y	Boeing Co.	159.84
1962-11-30	USGRC7Y	Boeing Co.	161.67
1962-12-31	USGRC7Y	Boeing Co.	162.06
1963-01-31	USGRC7Y	Boeing Co.	164.24
1963-02-28	USGRC7Y	Boeing Co.	161.26
1963-03-31	USGRC7Y	Boeing Co.	160.42
1963-04-30	USGRC7Y	Boeing Co.	156.64
1963-05-31	USGRC7Y	Boeing Co.	158.73
1963-06-30	USGRC7Y	Boeing Co.	156.71
1963-07-31	USGRC7Y	Boeing Co.	155.09
1963-08-31	USGRC7Y	Boeing Co.	155.43
1963-09-30	USGRC7Y	Boeing Co.	157.45
1963-10-31	USGRC7Y	Boeing Co.	156.57
1963-11-30	USGRC7Y	Boeing Co.	150.17
1963-12-31	USGRC7Y	Boeing Co.	147.68
1964-01-31	USGRC7Y	Boeing Co.	146.72
1964-02-29	USGRC7Y	Boeing Co.	148.49
1964-03-31	USGRC7Y	Boeing Co.	148.13
1964-04-30	USGRC7Y	Boeing Co.	152.63
1964-05-31	USGRC7Y	Boeing Co.	150.92
1964-06-30	USGRC7Y	Boeing Co.	154.41
1964-07-31	USGRC7Y	Boeing Co.	152.75
1964-08-31	USGRC7Y	Boeing Co.	152.8
1964-09-30	USGRC7Y	Boeing Co.	153.42
1964-10-31	USGRC7Y	Boeing Co.	155.25
1964-11-30	USGRC7Y	Boeing Co.	151.23
1964-12-31	USGRC7Y	Boeing Co.	151.57
1965-01-31	USGRC7Y	Boeing Co.	157.27
1965-02-28	USGRC7Y	Boeing Co.	155.42
1965-03-31	USGRC7Y	Boeing Co.	159.44
1965-04-30	USGRC7Y	Boeing Co.	165.03
1965-05-31	USGRC7Y	Boeing Co.	160.3
1965-06-30	USGRC7Y	Boeing Co.	153.68
1965-07-31	USGRC7Y	Boeing Co.	153.87
1965-08-31	USGRC7Y	Boeing Co.	150.55
1965-09-30	USGRC7Y	Boeing Co.	148.22
1965-10-31	USGRC7Y	Boeing Co.	156.97
1965-11-30	USGRC7Y	Boeing Co.	151.52
