Date	Company Code	Company Name	Stock Price
1959-01-31	USZRIR3	Bonhams	97.63
1959-02-28	USZRIR3	Bonhams	101.16
1959-03-31	USZRIR3	Bonhams	99.86
1959-04-30	USZRIR3	Bonhams	100.69
1959-05-31	USZRIR3	Bonhams	94.63
1959-06-30	USZRIR3	Bonhams	97.0
1959-07-31	USZRIR3	Bonhams	99.19
1959-08-31	USZRIR3	Bonhams	98.95
1959-09-30	USZRIR3	Bonhams	106.77
1959-10-31	USZRIR3	Bonhams	105.77
1959-11-30	USZRIR3	Bonhams	101.51
1959-12-31	USZRIR3	Bonhams	101.17
1960-01-31	USZRIR3	Bonhams	102.28
1960-02-29	USZRIR3	Bonhams	100.09
1960-03-31	USZRIR3	Bonhams	97.86
1960-04-30	USZRIR3	Bonhams	98.94
1960-05-31	USZRIR3	Bonhams	100.03
1960-06-30	USZRIR3	Bonhams	98.44
1960-07-31	USZRIR3	Bonhams	105.5
1960-08-31	USZRIR3	Bonhams	103.57
1960-09-30	USZRIR3	Bonhams	98.11
1960-10-31	USZRIR3	Bonhams	100.95
1960-11-30	USZRIR3	Bonhams	98.18
1960-12-31	USZRIR3	Bonhams	97.65
1961-01-31	USZRIR3	Bonhams	102.14
1961-02-28	USZRIR3	Bonhams	102.66
1961-03-31	USZRIR3	Bonhams	107.62
1961-04-30	USZRIR3	Bonhams	109.9
1961-05-31	USZRIR3	Bonhams	108.74
1961-06-30	USZRIR3	Bonhams	105.45
1961-07-31	USZRIR3	Bonhams	101.93
1961-08-31	USZRIR3	Bonhams	100.46
1961-09-30	USZRIR3	Bonhams	100.78
1961-10-31	USZRIR3	Bonhams	105.5
1961-11-30	USZRIR3	Bonhams	101.21
1961-12-31	USZRIR3	Bonhams	100.21
1962-01-31	USZRIR3	Bonhams	106.04
1962-02-28	USZRIR3	Bonhams	104.74
1962-03-31	USZRIR3	Bonhams	104.23
1962-04-30	USZRIR3	Bonhams	103.3
1962-05-31	USZRIR3	Bonhams	103.01
1962-06-30	USZRIR3	Bonhams	102.48
1962-07-31	USZRIR3	Bonhams	103.92
1962-08-31	USZRIR3	Bonhams	99.38
1962-09-30	USZRIR3	Bonhams	97.39
1962-10-31	USZRIR3	Bonhams	93.51
1962-11-30	USZRIR3	Bonhams	99.31
1962-12-31	USZRIR3	Bonhams	96.51
1963-01-31	USZRIR3	Bonhams	101.51
1963-02-28	USZRIR3	Bonhams	103.34
1963-03-31	USZRIR3	Bonhams	97.65
1963-04-30	USZRIR3	Bonhams	98.57
1963-05-31	USZRIR3	Bonhams	99.15
1963-06-30	USZRIR3	Bonhams	94.33
1963-07-31	USZRIR3	Bonhams	91.03
1963-08-31	USZRIR3	Bonhams	91.1
1963-09-30	USZRIR3	Bonhams	94.77
1963-10-31	USZRIR3	Bonhams	98.16
1963-11-30	USZRIR3	Bonhams	102.13
1963-12-31	USZRIR3	Bonhams	100.69
1964-01-31	USZRIR3	Bonhams	101.44
1964-02-29	USZRIR3	Bonhams	104.63
1964-03-31	USZRIR3	Bonhams	103.19
1964-04-30	USZRIR3	Bonhams	110.86
1964-05-31	USZRIR3	Bonhams	109.73
1964-06-30	USZRIR3	Bonhams	104.58
1964-07-31	USZRIR3	Bonhams	106.0
1964-08-31	USZRIR3	Bonhams	102.45
1964-09-30	USZRIR3	Bonhams	103.41
1964-10-31	USZRIR3	Bonhams	99.74
1964-11-30	USZRIR3	Bonhams	95.32
1964-12-31	USZRIR3	Bonhams	93.37
1965-01-31	USZRIR3	Bonhams	93.09
1965-02-28	USZRIR3	Bonhams	94.32
1965-03-31	USZRIR3	Bonhams	93.61
1965-04-30	USZRIR3	Bonhams	97.3
1965-05-31	USZRIR3	Bonhams	96.28
1965-06-30	USZRIR3	Bonhams	99.29
1965-07-31	USZRIR3	Bonhams	91.53
1965-08-31	USZRIR3	Bonhams	90.49
1965-09-30	USZRIR3	Bonhams	92.51
1965-10-31	USZRIR3	Bonhams	91.14
1965-11-30	USZRIR3	Bonhams	87.33
1965-12-31	USZRIR3	Bonhams	88.0
1966-01-31	USZRIR3	Bonhams	89.41
1966-02-28	USZRIR3	Bonhams	89.3
1966-03-31	USZRIR3	Bonhams	92.83
1966-04-30	USZRIR3	Bonhams	93.28
1966-05-31	USZRIR3	Bonhams	93.72
1966-06-30	USZRIR3	Bonhams	94.55
1966-07-31	USZRIR3	Bonhams	97.35
1966-08-31	USZRIR3	Bonhams	96.18
1966-09-30	USZRIR3	Bonhams	97.63
1966-10-31	USZRIR3	Bonhams	95.21
1966-11-30	USZRIR3	Bonhams	89.42
1966-12-31	USZRIR3	Bonhams	86.63
1967-01-31	USZRIR3	Bonhams	88.62
1967-02-28	USZRIR3	Bonhams	88.6
1967-03-31	USZRIR3	Bonhams	90.08
1967-04-30	USZRIR3	Bonhams	85.24
1967-05-31	USZRIR3	Bonhams	85.79
1967-06-30	USZRIR3	Bonhams	92.4
1967-07-31	USZRIR3	Bonhams	93.25
1967-08-31	USZRIR3	Bonhams	91.1
1967-09-30	USZRIR3	Bonhams	91.67
1967-10-31	USZRIR3	Bonhams	90.41
1967-11-30	USZRIR3	Bonhams	91.41
1967-12-31	USZRIR3	Bonhams	89.69
1968-01-31	USZRIR3	Bonhams	87.52
1968-02-29	USZRIR3	Bonhams	83.9
1968-03-31	USZRIR3	Bonhams	84.64
1968-04-30	USZRIR3	Bonhams	80.18
1968-05-31	USZRIR3	Bonhams	78.89
1968-06-30	USZRIR3	Bonhams	87.4
1968-07-31	USZRIR3	Bonhams	82.83
1968-08-31	USZRIR3	Bonhams	81.28
1968-09-30	USZRIR3	Bonhams	82.8
1968-10-31	USZRIR3	Bonhams	81.8
1968-11-30	USZRIR3	Bonhams	83.34
1968-12-31	USZRIR3	Bonhams	75.16
1969-01-31	USZRIR3	Bonhams	65.94
1969-02-28	USZRIR3	Bonhams	66.59
1969-03-31	USZRIR3	Bonhams	65.95
1969-04-30	USZRIR3	Bonhams	60.72
1969-05-31	USZRIR3	Bonhams	62.40790156824614
1969-06-30	USZRIR3	Bonhams	65.04
1969-07-31	USZRIR3	Bonhams	61.86
1969-08-31	USZRIR3	Bonhams	61.80712341091825
1969-09-30	USZRIR3	Bonhams	63.01
1969-10-31	USZRIR3	Bonhams	70.15
1969-11-30	USZRIR3	Bonhams	71.83
1969-12-31	USZRIR3	Bonhams	64.78
1970-01-31	USZRIR3	Bonhams	64.24
1970-02-28	USZRIR3	Bonhams	63.56
1970-03-31	USZRIR3	Bonhams	71.05
1970-04-30	USZRIR3	Bonhams	77.23
1970-05-31	USZRIR3	Bonhams	77.48
1970-06-30	USZRIR3	Bonhams	80.67
