Date	Company Code	Company Name	Stock Price
1959-01-31	US78O65	Burlington Stores Inc.	106.67
1959-02-28	US78O65	Burlington Stores Inc.	107.03
1959-03-31	US78O65	Burlington Stores Inc.	106.33
1959-04-30	US78O65	Burlington Stores Inc.	105.33
1959-05-31	US78O65	Burlington Stores Inc.	108.73
1959-06-30	US78O65	Burlington Stores Inc.	114.52
1959-07-31	US78O65	Burlington Stores Inc.	119.27
1959-08-31	US78O65	Burlington Stores Inc.	119.61
1959-09-30	US78O65	Burlington Stores Inc.	117.52
1959-10-31	US78O65	Burlington Stores Inc.	117.27
1959-11-30	US78O65	Burlington Stores Inc.	116.94
1959-12-31	US78O65	Burlington Stores Inc.	116.64
1960-01-31	US78O65	Burlington Stores Inc.	123.3
1960-02-29	US78O65	Burlington Stores Inc.	124.26
1960-03-31	US78O65	Burlington Stores Inc.	119.03
1960-04-30	US78O65	Burlington Stores Inc.	118.65
1960-05-31	US78O65	Burlington Stores Inc.	109.48
1960-06-30	US78O65	Burlington Stores Inc.	114.23
1960-07-31	US78O65	Burlington Stores Inc.	108.38
1960-08-31	US78O65	Burlington Stores Inc.	108.29
1960-09-30	US78O65	Burlington Stores Inc.	116.44
1960-10-31	US78O65	Burlington Stores Inc.	120.17
1960-11-30	US78O65	Burlington Stores Inc.	117.13
1960-12-31	US78O65	Burlington Stores Inc.	116.62
1961-01-31	US78O65	Burlington Stores Inc.	112.14
1961-02-28	US78O65	Burlington Stores Inc.	113.99
1961-03-31	US78O65	Burlington Stores Inc.	106.29
1961-04-30	US78O65	Burlington Stores Inc.	98.19
1961-05-31	US78O65	Burlington Stores Inc.	97.67
1961-06-30	US78O65	Burlington Stores Inc.	99.52
1961-07-31	US78O65	Burlington Stores Inc.	105.1
1961-08-31	US78O65	Burlington Stores Inc.	105.36
1961-09-30	US78O65	Burlington Stores Inc.	109.95
1961-10-31	US78O65	Burlington Stores Inc.	109.01
1961-11-30	US78O65	Burlington Stores Inc.	114.21
1961-12-31	US78O65	Burlington Stores Inc.	113.76
1962-01-31	US78O65	Burlington Stores Inc.	108.25
1962-02-28	US78O65	Burlington Stores Inc.	112.06
1962-03-31	US78O65	Burlington Stores Inc.	105.21
1962-04-30	US78O65	Burlington Stores Inc.	104.78
1962-05-31	US78O65	Burlington Stores Inc.	97.84
1962-06-30	US78O65	Burlington Stores Inc.	102.48
1962-07-31	US78O65	Burlington Stores Inc.	103.74
1962-08-31	US78O65	Burlington Stores Inc.	110.0
1962-09-30	US78O65	Burlington Stores Inc.	107.22
1962-10-31	US78O65	Burlington Stores Inc.	102.94
1962-11-30	US78O65	Burlington Stores Inc.	106.42
1962-12-31	US78O65	Burlington Stores Inc.	104.03
1963-01-31	US78O65	Burlington Stores Inc.	112.21
1963-02-28	US78O65	Burlington Stores Inc.	111.28
1963-03-31	US78O65	Burlington Stores Inc.	109.36
1963-04-30	US78O65	Burlington Stores Inc.	102.39
1963-05-31	US78O65	Burlington Stores Inc.	103.81
1963-06-30	US78O65	Burlington Stores Inc.	99.9
1963-07-31	US78O65	Burlington Stores Inc.	95.46
1963-08-31	US78O65	Burlington Stores Inc.	99.18
1963-09-30	US78O65	Burlington Stores Inc.	94.56
1963-10-31	US78O65	Burlington Stores Inc.	90.32
1963-11-30	US78O65	Burlington Stores Inc.	84.14
1963-12-31	US78O65	Burlington Stores Inc.	84.44
1964-01-31	US78O65	Burlington Stores Inc.	85.43
1964-02-29	US78O65	Burlington Stores Inc.	82.33
1964-03-31	US78O65	Burlington Stores Inc.	82.14
1964-04-30	US78O65	Burlington Stores Inc.	85.8
1964-05-31	US78O65	Burlington Stores Inc.	86.28
1964-06-30	US78O65	Burlington Stores Inc.	78.26
1964-07-31	US78O65	Burlington Stores Inc.	77.32
1964-08-31	US78O65	Burlington Stores Inc.	74.01
1964-09-30	US78O65	Burlington Stores Inc.	76.49
1964-10-31	US78O65	Burlington Stores Inc.	75.2
1964-11-30	US78O65	Burlington Stores Inc.	75.66
1964-12-31	US78O65	Burlington Stores Inc.	70.37
1965-01-31	US78O65	Burlington Stores Inc.	65.58
1965-02-28	US78O65	Burlington Stores Inc.	70.58
1965-03-31	US78O65	Burlington Stores Inc.	70.94
1965-04-30	US78O65	Burlington Stores Inc.	68.9
1965-05-31	US78O65	Burlington Stores Inc.	64.15
1965-06-30	US78O65	Burlington Stores Inc.	65.65
1965-07-31	US78O65	Burlington Stores Inc.	68.0
1965-08-31	US78O65	Burlington Stores Inc.	69.48
1965-09-30	US78O65	Burlington Stores Inc.	73.14
1965-10-31	US78O65	Burlington Stores Inc.	75.97
1965-11-30	US78O65	Burlington Stores Inc.	79.77
1965-12-31	US78O65	Burlington Stores Inc.	79.7
1966-01-31	US78O65	Burlington Stores Inc.	84.98
1966-02-28	US78O65	Burlington Stores Inc.	92.5
1966-03-31	US78O65	Burlington Stores Inc.	95.21
1966-04-30	US78O65	Burlington Stores Inc.	97.9
1966-05-31	US78O65	Burlington Stores Inc.	101.84
1966-06-30	US78O65	Burlington Stores Inc.	103.18
1966-07-31	US78O65	Burlington Stores Inc.	102.66
1966-08-31	US78O65	Burlington Stores Inc.	105.53
1966-09-30	US78O65	Burlington Stores Inc.	104.75
1966-10-31	US78O65	Burlington Stores Inc.	104.5
1966-11-30	US78O65	Burlington Stores Inc.	110.3
1966-12-31	US78O65	Burlington Stores Inc.	114.39
1967-01-31	US78O65	Burlington Stores Inc.	108.69
1967-02-28	US78O65	Burlington Stores Inc.	115.1
1967-03-31	US78O65	Burlington Stores Inc.	115.32
1967-04-30	US78O65	Burlington Stores Inc.	121.14
1967-05-31	US78O65	Burlington Stores Inc.	114.59
1967-06-30	US78O65	Burlington Stores Inc.	113.93
1967-07-31	US78O65	Burlington Stores Inc.	114.94
1967-08-31	US78O65	Burlington Stores Inc.	115.73
1967-09-30	US78O65	Burlington Stores Inc.	118.07
