Date	Company Code	Company Name	Stock Price
1959-01-31	USV90LI	CVS Health Corp.	112.13
1959-02-28	USV90LI	CVS Health Corp.	116.32
1959-03-31	USV90LI	CVS Health Corp.	117.24
1959-04-30	USV90LI	CVS Health Corp.	115.93
1959-05-31	USV90LI	CVS Health Corp.	113.02
1959-06-30	USV90LI	CVS Health Corp.	106.81
1959-07-31	USV90LI	CVS Health Corp.	101.17
1959-08-31	USV90LI	CVS Health Corp.	102.88
1959-09-30	USV90LI	CVS Health Corp.	112.16
1959-10-31	USV90LI	CVS Health Corp.	112.43
1959-11-30	USV90LI	CVS Health Corp.	105.77
1959-12-31	USV90LI	CVS Health Corp.	108.99
1960-01-31	USV90LI	CVS Health Corp.	109.42
1960-02-29	USV90LI	CVS Health Corp.	109.37
1960-03-31	USV90LI	CVS Health Corp.	106.09
1960-04-30	USV90LI	CVS Health Corp.	103.58
1960-05-31	USV90LI	CVS Health Corp.	104.71
1960-06-30	USV90LI	CVS Health Corp.	107.85
1960-07-31	USV90LI	CVS Health Corp.	114.87
1960-08-31	USV90LI	CVS Health Corp.	114.0
1960-09-30	USV90LI	CVS Health Corp.	119.43
1960-10-31	USV90LI	CVS Health Corp.	126.78
1960-11-30	USV90LI	CVS Health Corp.	127.46
1960-12-31	USV90LI	CVS Health Corp.	128.45
1961-01-31	USV90LI	CVS Health Corp.	128.43
1961-02-28	USV90LI	CVS Health Corp.	130.1
1961-03-31	USV90LI	CVS Health Corp.	133.73
1961-04-30	USV90LI	CVS Health Corp.	140.52
1961-05-31	USV90LI	CVS Health Corp.	147.78
1961-06-30	USV90LI	CVS Health Corp.	147.04
1961-07-31	USV90LI	CVS Health Corp.	147.6
1961-08-31	USV90LI	CVS Health Corp.	143.82
1961-09-30	USV90LI	CVS Health Corp.	146.3
1961-10-31	USV90LI	CVS Health Corp.	142.1
1961-11-30	USV90LI	CVS Health Corp.	146.33
1961-12-31	USV90LI	CVS Health Corp.	137.53
1962-01-31	USV90LI	CVS Health Corp.	140.82
1962-02-28	USV90LI	CVS Health Corp.	142.89
1962-03-31	USV90LI	CVS Health Corp.	141.82
1962-04-30	USV90LI	CVS Health Corp.	140.25
1962-05-31	USV90LI	CVS Health Corp.	143.32
1962-06-30	USV90LI	CVS Health Corp.	142.21
1962-07-31	USV90LI	CVS Health Corp.	140.32
1962-08-31	USV90LI	CVS Health Corp.	134.03
1962-09-30	USV90LI	CVS Health Corp.	131.43
1962-10-31	USV90LI	CVS Health Corp.	132.13
1962-11-30	USV90LI	CVS Health Corp.	132.38
1962-12-31	USV90LI	CVS Health Corp.	129.89
1963-01-31	USV90LI	CVS Health Corp.	129.1
1963-02-28	USV90LI	CVS Health Corp.	133.09
1963-03-31	USV90LI	CVS Health Corp.	129.1
1963-04-30	USV90LI	CVS Health Corp.	125.02
1963-05-31	USV90LI	CVS Health Corp.	126.9
1963-06-30	USV90LI	CVS Health Corp.	127.68
1963-07-31	USV90LI	CVS Health Corp.	129.28
1963-08-31	USV90LI	CVS Health Corp.	127.42
1963-09-30	USV90LI	CVS Health Corp.	125.52
