Date	Company Code	Company Name	Stock Price
1959-01-31	USKWO75	Carousell	106.06
1959-02-28	USKWO75	Carousell	104.66
1959-03-31	USKWO75	Carousell	106.83
1959-04-30	USKWO75	Carousell	108.54
1959-05-31	USKWO75	Carousell	106.53
1959-06-30	USKWO75	Carousell	109.61
1959-07-31	USKWO75	Carousell	112.01
1959-08-31	USKWO75	Carousell	113.42
1959-09-30	USKWO75	Carousell	111.92
1959-10-31	USKWO75	Carousell	106.6
1959-11-30	USKWO75	Carousell	108.25
1959-12-31	USKWO75	Carousell	103.37
1960-01-31	USKWO75	Carousell	106.63
1960-02-29	USKWO75	Carousell	106.79
1960-03-31	USKWO75	Carousell	100.8
1960-04-30	USKWO75	Carousell	96.02
1960-05-31	USKWO75	Carousell	90.8
1960-06-30	USKWO75	Carousell	93.42
1960-07-31	USKWO75	Carousell	95.46
1960-08-31	USKWO75	Carousell	95.85
1960-09-30	USKWO75	Carousell	92.48
1960-10-31	USKWO75	Carousell	95.56
1960-11-30	USKWO75	Carousell	93.06
1960-12-31	USKWO75	Carousell	90.04
1961-01-31	USKWO75	Carousell	93.91
1961-02-28	USKWO75	Carousell	94.66
1961-03-31	USKWO75	Carousell	90.46
1961-04-30	USKWO75	Carousell	89.24
1961-05-31	USKWO75	Carousell	91.49
1961-06-30	USKWO75	Carousell	92.03
1961-07-31	USKWO75	Carousell	92.45
1961-08-31	USKWO75	Carousell	92.04
1961-09-30	USKWO75	Carousell	87.97
1961-10-31	USKWO75	Carousell	89.07
1961-11-30	USKWO75	Carousell	93.86
1961-12-31	USKWO75	Carousell	99.07
1962-01-31	USKWO75	Carousell	96.19
1962-02-28	USKWO75	Carousell	95.42
1962-03-31	USKWO75	Carousell	95.51
1962-04-30	USKWO75	Carousell	97.78
1962-05-31	USKWO75	Carousell	88.71
1962-06-30	USKWO75	Carousell	96.78
1962-07-31	USKWO75	Carousell	94.95
1962-08-31	USKWO75	Carousell	96.33
1962-09-30	USKWO75	Carousell	92.81
1962-10-31	USKWO75	Carousell	95.62
1962-11-30	USKWO75	Carousell	103.16
1962-12-31	USKWO75	Carousell	110.55
1963-01-31	USKWO75	Carousell	108.8
1963-02-28	USKWO75	Carousell	106.14
1963-03-31	USKWO75	Carousell	111.55
1963-04-30	USKWO75	Carousell	111.87
1963-05-31	USKWO75	Carousell	104.05
1963-06-30	USKWO75	Carousell	103.06
1963-07-31	USKWO75	Carousell	106.56
1963-08-31	USKWO75	Carousell	103.97
1963-09-30	USKWO75	Carousell	103.62
1963-10-31	USKWO75	Carousell	106.89
1963-11-30	USKWO75	Carousell	107.94
1963-12-31	USKWO75	Carousell	107.78
1964-01-31	USKWO75	Carousell	107.68
1964-02-29	USKWO75	Carousell	107.09
1964-03-31	USKWO75	Carousell	110.79
1964-04-30	USKWO75	Carousell	108.75
1964-05-31	USKWO75	Carousell	107.57
1964-06-30	USKWO75	Carousell	107.13
1964-07-31	USKWO75	Carousell	101.84
1964-08-31	USKWO75	Carousell	96.67
1964-09-30	USKWO75	Carousell	101.21
1964-10-31	USKWO75	Carousell	99.74
1964-11-30	USKWO75	Carousell	100.81
1964-12-31	USKWO75	Carousell	107.97
1965-01-31	USKWO75	Carousell	102.85
1965-02-28	USKWO75	Carousell	106.3
1965-03-31	USKWO75	Carousell	103.3
1965-04-30	USKWO75	Carousell	102.7
1965-05-31	USKWO75	Carousell	96.74
1965-06-30	USKWO75	Carousell	97.59
1965-07-31	USKWO75	Carousell	97.4
1965-08-31	USKWO75	Carousell	95.74
1965-09-30	USKWO75	Carousell	90.18
1965-10-31	USKWO75	Carousell	86.14
1965-11-30	USKWO75	Carousell	82.55
1965-12-31	USKWO75	Carousell	76.24
1966-01-31	USKWO75	Carousell	73.84
1966-02-28	USKWO75	Carousell	65.89
1966-03-31	USKWO75	Carousell	61.43
1966-04-30	USKWO75	Carousell	63.48
1966-05-31	USKWO75	Carousell	64.1
1966-06-30	USKWO75	Carousell	66.73
1966-07-31	USKWO75	Carousell	68.48
1966-08-31	USKWO75	Carousell	69.64
1966-09-30	USKWO75	Carousell	67.61
1966-10-31	USKWO75	Carousell	67.11
1966-11-30	USKWO75	Carousell	72.03
1966-12-31	USKWO75	Carousell	77.27
1967-01-31	USKWO75	Carousell	76.64
1967-02-28	USKWO75	Carousell	78.1
1967-03-31	USKWO75	Carousell	81.66
1967-04-30	USKWO75	Carousell	78.5
1967-05-31	USKWO75	Carousell	79.22
1967-06-30	USKWO75	Carousell	75.49
1967-07-31	USKWO75	Carousell	74.59
1967-08-31	USKWO75	Carousell	77.63
1967-09-30	USKWO75	Carousell	72.49
1967-10-31	USKWO75	Carousell	70.38
1967-11-30	USKWO75	Carousell	71.56
1967-12-31	USKWO75	Carousell	69.67
1968-01-31	USKWO75	Carousell	73.13
1968-02-29	USKWO75	Carousell	70.08
1968-03-31	USKWO75	Carousell	68.61
1968-04-30	USKWO75	Carousell	65.18
1968-05-31	USKWO75	Carousell	64.08
1968-06-30	USKWO75	Carousell	60.9
1968-07-31	USKWO75	Carousell	60.49
1968-08-31	USKWO75	Carousell	62.61973512009291
1968-09-30	USKWO75	Carousell	70.3
1968-10-31	USKWO75	Carousell	70.7
1968-11-30	USKWO75	Carousell	71.34
1968-12-31	USKWO75	Carousell	72.19
1969-01-31	USKWO75	Carousell	70.36
1969-02-28	USKWO75	Carousell	64.05
1969-03-31	USKWO75	Carousell	63.08
1969-04-30	USKWO75	Carousell	62.7
1969-05-31	USKWO75	Carousell	64.03
1969-06-30	USKWO75	Carousell	65.97
1969-07-31	USKWO75	Carousell	61.87
1969-08-31	USKWO75	Carousell	62.26006741813995
1969-09-30	USKWO75	Carousell	61.377818907106246
1969-10-31	USKWO75	Carousell	62.04
1969-11-30	USKWO75	Carousell	63.56
1969-12-31	USKWO75	Carousell	64.11
1970-01-31	USKWO75	Carousell	63.68
1970-02-28	USKWO75	Carousell	65.95
1970-03-31	USKWO75	Carousell	66.06
1970-04-30	USKWO75	Carousell	62.17
1970-05-31	USKWO75	Carousell	65.67
1970-06-30	USKWO75	Carousell	74.51
1970-07-31	USKWO75	Carousell	73.3
1970-08-31	USKWO75	Carousell	76.19
1970-09-30	USKWO75	Carousell	78.46
