Date	Company Code	Company Name	Stock Price
1959-01-31	US108M7	Catawiki	89.94
1959-02-28	US108M7	Catawiki	94.38
1959-03-31	US108M7	Catawiki	97.71
1959-04-30	US108M7	Catawiki	91.46
1959-05-31	US108M7	Catawiki	93.82
1959-06-30	US108M7	Catawiki	95.41
1959-07-31	US108M7	Catawiki	93.2
1959-08-31	US108M7	Catawiki	92.81
1959-09-30	US108M7	Catawiki	90.4
1959-10-31	US108M7	Catawiki	91.97
1959-11-30	US108M7	Catawiki	86.57
1959-12-31	US108M7	Catawiki	81.1
1960-01-31	US108M7	Catawiki	85.7
1960-02-29	US108M7	Catawiki	82.9
1960-03-31	US108M7	Catawiki	76.6
1960-04-30	US108M7	Catawiki	69.42
1960-05-31	US108M7	Catawiki	70.62
1960-06-30	US108M7	Catawiki	70.08
1960-07-31	US108M7	Catawiki	70.41
1960-08-31	US108M7	Catawiki	65.94
1960-09-30	US108M7	Catawiki	70.79
1960-10-31	US108M7	Catawiki	72.31
1960-11-30	US108M7	Catawiki	76.09
1960-12-31	US108M7	Catawiki	75.87
1961-01-31	US108M7	Catawiki	75.23
1961-02-28	US108M7	Catawiki	67.74
1961-03-31	US108M7	Catawiki	62.53
1961-04-30	US108M7	Catawiki	62.67
1961-05-31	US108M7	Catawiki	71.32
1961-06-30	US108M7	Catawiki	68.08
1961-07-31	US108M7	Catawiki	71.43
1961-08-31	US108M7	Catawiki	71.21
1961-09-30	US108M7	Catawiki	62.73
1961-10-31	US108M7	Catawiki	62.32199034340053
1961-11-30	US108M7	Catawiki	62.0131448906687
1961-12-31	US108M7	Catawiki	66.26
1962-01-31	US108M7	Catawiki	68.37
1962-02-28	US108M7	Catawiki	69.77
1962-03-31	US108M7	Catawiki	69.92
1962-04-30	US108M7	Catawiki	64.14
1962-05-31	US108M7	Catawiki	67.14
1962-06-30	US108M7	Catawiki	68.04
1962-07-31	US108M7	Catawiki	72.63
1962-08-31	US108M7	Catawiki	75.3
1962-09-30	US108M7	Catawiki	80.51
1962-10-31	US108M7	Catawiki	84.26
1962-11-30	US108M7	Catawiki	91.17
1962-12-31	US108M7	Catawiki	93.08
1963-01-31	US108M7	Catawiki	92.46
1963-02-28	US108M7	Catawiki	91.55
1963-03-31	US108M7	Catawiki	84.42
1963-04-30	US108M7	Catawiki	91.14
1963-05-31	US108M7	Catawiki	92.32
1963-06-30	US108M7	Catawiki	92.15
1963-07-31	US108M7	Catawiki	86.46
1963-08-31	US108M7	Catawiki	87.95
1963-09-30	US108M7	Catawiki	89.65
1963-10-31	US108M7	Catawiki	88.28
1963-11-30	US108M7	Catawiki	84.51
1963-12-31	US108M7	Catawiki	80.65
1964-01-31	US108M7	Catawiki	79.28
1964-02-29	US108M7	Catawiki	76.98
1964-03-31	US108M7	Catawiki	85.01
