Date	Company Code	Company Name	Stock Price
1959-01-31	USJJPON	Caterpillar Inc.	121.64
1959-02-28	USJJPON	Caterpillar Inc.	128.93
1959-03-31	USJJPON	Caterpillar Inc.	132.05
1959-04-30	USJJPON	Caterpillar Inc.	133.43
1959-05-31	USJJPON	Caterpillar Inc.	131.71
1959-06-30	USJJPON	Caterpillar Inc.	132.52
1959-07-31	USJJPON	Caterpillar Inc.	134.08
1959-08-31	USJJPON	Caterpillar Inc.	142.61
1959-09-30	USJJPON	Caterpillar Inc.	151.38
1959-10-31	USJJPON	Caterpillar Inc.	148.45
1959-11-30	USJJPON	Caterpillar Inc.	145.05
1959-12-31	USJJPON	Caterpillar Inc.	147.0
1960-01-31	USJJPON	Caterpillar Inc.	137.92
1960-02-29	USJJPON	Caterpillar Inc.	142.2
1960-03-31	USJJPON	Caterpillar Inc.	146.08
1960-04-30	USJJPON	Caterpillar Inc.	142.64
1960-05-31	USJJPON	Caterpillar Inc.	143.14
1960-06-30	USJJPON	Caterpillar Inc.	146.34
1960-07-31	USJJPON	Caterpillar Inc.	144.91
1960-08-31	USJJPON	Caterpillar Inc.	145.69
1960-09-30	USJJPON	Caterpillar Inc.	143.85
1960-10-31	USJJPON	Caterpillar Inc.	140.86
1960-11-30	USJJPON	Caterpillar Inc.	145.59
1960-12-31	USJJPON	Caterpillar Inc.	144.41
1961-01-31	USJJPON	Caterpillar Inc.	146.12
1961-02-28	USJJPON	Caterpillar Inc.	142.61
1961-03-31	USJJPON	Caterpillar Inc.	137.3
1961-04-30	USJJPON	Caterpillar Inc.	141.12
1961-05-31	USJJPON	Caterpillar Inc.	142.9
1961-06-30	USJJPON	Caterpillar Inc.	140.68
1961-07-31	USJJPON	Caterpillar Inc.	144.59
1961-08-31	USJJPON	Caterpillar Inc.	144.8
1961-09-30	USJJPON	Caterpillar Inc.	142.8
1961-10-31	USJJPON	Caterpillar Inc.	136.45
1961-11-30	USJJPON	Caterpillar Inc.	137.35
1961-12-31	USJJPON	Caterpillar Inc.	135.51
1962-01-31	USJJPON	Caterpillar Inc.	135.13
1962-02-28	USJJPON	Caterpillar Inc.	134.07
1962-03-31	USJJPON	Caterpillar Inc.	135.51
1962-04-30	USJJPON	Caterpillar Inc.	136.05
1962-05-31	USJJPON	Caterpillar Inc.	140.21
1962-06-30	USJJPON	Caterpillar Inc.	134.46
1962-07-31	USJJPON	Caterpillar Inc.	127.95
1962-08-31	USJJPON	Caterpillar Inc.	127.02
1962-09-30	USJJPON	Caterpillar Inc.	124.72
1962-10-31	USJJPON	Caterpillar Inc.	123.64
1962-11-30	USJJPON	Caterpillar Inc.	120.07
1962-12-31	USJJPON	Caterpillar Inc.	116.44
1963-01-31	USJJPON	Caterpillar Inc.	110.75
1963-02-28	USJJPON	Caterpillar Inc.	106.27
1963-03-31	USJJPON	Caterpillar Inc.	100.89
1963-04-30	USJJPON	Caterpillar Inc.	108.91
1963-05-31	USJJPON	Caterpillar Inc.	105.22
1963-06-30	USJJPON	Caterpillar Inc.	102.24
1963-07-31	USJJPON	Caterpillar Inc.	99.9
1963-08-31	USJJPON	Caterpillar Inc.	98.87
1963-09-30	USJJPON	Caterpillar Inc.	97.18
1963-10-31	USJJPON	Caterpillar Inc.	94.05
1963-11-30	USJJPON	Caterpillar Inc.	89.65
1963-12-31	USJJPON	Caterpillar Inc.	96.13
1964-01-31	USJJPON	Caterpillar Inc.	99.75
1964-02-29	USJJPON	Caterpillar Inc.	98.26
1964-03-31	USJJPON	Caterpillar Inc.	106.73
1964-04-30	USJJPON	Caterpillar Inc.	107.25
1964-05-31	USJJPON	Caterpillar Inc.	102.77
1964-06-30	USJJPON	Caterpillar Inc.	98.29
1964-07-31	USJJPON	Caterpillar Inc.	99.87
