Date	Company Code	Company Name	Stock Price
1959-01-31	USPRKRU	Chairish	94.81
1959-02-28	USPRKRU	Chairish	99.94
1959-03-31	USPRKRU	Chairish	98.76
1959-04-30	USPRKRU	Chairish	97.3
1959-05-31	USPRKRU	Chairish	93.72
1959-06-30	USPRKRU	Chairish	88.93
1959-07-31	USPRKRU	Chairish	88.64
1959-08-31	USPRKRU	Chairish	87.53
1959-09-30	USPRKRU	Chairish	89.23
1959-10-31	USPRKRU	Chairish	87.87
1959-11-30	USPRKRU	Chairish	93.52
1959-12-31	USPRKRU	Chairish	89.68
1960-01-31	USPRKRU	Chairish	87.94
1960-02-29	USPRKRU	Chairish	90.28
1960-03-31	USPRKRU	Chairish	90.38
1960-04-30	USPRKRU	Chairish	87.77
1960-05-31	USPRKRU	Chairish	80.51
1960-06-30	USPRKRU	Chairish	74.91
1960-07-31	USPRKRU	Chairish	83.5
1960-08-31	USPRKRU	Chairish	87.33
1960-09-30	USPRKRU	Chairish	83.57
1960-10-31	USPRKRU	Chairish	85.44
1960-11-30	USPRKRU	Chairish	90.44
1960-12-31	USPRKRU	Chairish	90.02
1961-01-31	USPRKRU	Chairish	96.48
1961-02-28	USPRKRU	Chairish	94.18
1961-03-31	USPRKRU	Chairish	86.88
1961-04-30	USPRKRU	Chairish	79.48
1961-05-31	USPRKRU	Chairish	74.51
1961-06-30	USPRKRU	Chairish	74.81
1961-07-31	USPRKRU	Chairish	69.34
1961-08-31	USPRKRU	Chairish	69.61
1961-09-30	USPRKRU	Chairish	61.56
1961-10-31	USPRKRU	Chairish	62.33
1961-11-30	USPRKRU	Chairish	60.59
1961-12-31	USPRKRU	Chairish	61.81
1962-01-31	USPRKRU	Chairish	62.16971374605229
1962-02-28	USPRKRU	Chairish	68.67
1962-03-31	USPRKRU	Chairish	76.27
1962-04-30	USPRKRU	Chairish	81.57
1962-05-31	USPRKRU	Chairish	79.32
1962-06-30	USPRKRU	Chairish	80.65
1962-07-31	USPRKRU	Chairish	77.46
1962-08-31	USPRKRU	Chairish	80.95
1962-09-30	USPRKRU	Chairish	77.98
1962-10-31	USPRKRU	Chairish	78.33
1962-11-30	USPRKRU	Chairish	84.56
1962-12-31	USPRKRU	Chairish	87.16
1963-01-31	USPRKRU	Chairish	86.67
1963-02-28	USPRKRU	Chairish	83.9
1963-03-31	USPRKRU	Chairish	85.08
1963-04-30	USPRKRU	Chairish	85.51
1963-05-31	USPRKRU	Chairish	84.2
1963-06-30	USPRKRU	Chairish	81.61
1963-07-31	USPRKRU	Chairish	79.08
1963-08-31	USPRKRU	Chairish	80.61
1963-09-30	USPRKRU	Chairish	78.62
1963-10-31	USPRKRU	Chairish	76.99
1963-11-30	USPRKRU	Chairish	77.99
1963-12-31	USPRKRU	Chairish	70.86
1964-01-31	USPRKRU	Chairish	79.58
1964-02-29	USPRKRU	Chairish	71.1
1964-03-31	USPRKRU	Chairish	72.56
1964-04-30	USPRKRU	Chairish	74.29
1964-05-31	USPRKRU	Chairish	77.03
1964-06-30	USPRKRU	Chairish	77.03
1964-07-31	USPRKRU	Chairish	74.21
1964-08-31	USPRKRU	Chairish	75.9
1964-09-30	USPRKRU	Chairish	66.99
1964-10-31	USPRKRU	Chairish	63.16
1964-11-30	USPRKRU	Chairish	63.4
1964-12-31	USPRKRU	Chairish	68.04
1965-01-31	USPRKRU	Chairish	61.92
1965-02-28	USPRKRU	Chairish	62.781658304334734
1965-03-31	USPRKRU	Chairish	65.18
1965-04-30	USPRKRU	Chairish	64.22
1965-05-31	USPRKRU	Chairish	71.47
1965-06-30	USPRKRU	Chairish	71.17
1965-07-31	USPRKRU	Chairish	72.72
1965-08-31	USPRKRU	Chairish	78.38
1965-09-30	USPRKRU	Chairish	85.16
1965-10-31	USPRKRU	Chairish	77.53
1965-11-30	USPRKRU	Chairish	71.22
1965-12-31	USPRKRU	Chairish	77.73
1966-01-31	USPRKRU	Chairish	74.42
1966-02-28	USPRKRU	Chairish	74.58
1966-03-31	USPRKRU	Chairish	76.17
1966-04-30	USPRKRU	Chairish	74.45
1966-05-31	USPRKRU	Chairish	77.81
1966-06-30	USPRKRU	Chairish	82.82
1966-07-31	USPRKRU	Chairish	84.43
1966-08-31	USPRKRU	Chairish	80.81
1966-09-30	USPRKRU	Chairish	83.43
1966-10-31	USPRKRU	Chairish	81.17
1966-11-30	USPRKRU	Chairish	77.74
1966-12-31	USPRKRU	Chairish	73.62
1967-01-31	USPRKRU	Chairish	76.2
1967-02-28	USPRKRU	Chairish	70.39
1967-03-31	USPRKRU	Chairish	71.24
1967-04-30	USPRKRU	Chairish	73.62
1967-05-31	USPRKRU	Chairish	71.93
1967-06-30	USPRKRU	Chairish	68.87
1967-07-31	USPRKRU	Chairish	78.56
1967-08-31	USPRKRU	Chairish	82.86
1967-09-30	USPRKRU	Chairish	85.86
1967-10-31	USPRKRU	Chairish	81.42
1967-11-30	USPRKRU	Chairish	89.91
1967-12-31	USPRKRU	Chairish	89.09
1968-01-31	USPRKRU	Chairish	88.96
1968-02-29	USPRKRU	Chairish	90.11
1968-03-31	USPRKRU	Chairish	82.85
1968-04-30	USPRKRU	Chairish	88.05
1968-05-31	USPRKRU	Chairish	87.39
1968-06-30	USPRKRU	Chairish	87.34
1968-07-31	USPRKRU	Chairish	79.98
1968-08-31	USPRKRU	Chairish	81.22
1968-09-30	USPRKRU	Chairish	83.38
1968-10-31	USPRKRU	Chairish	81.94
1968-11-30	USPRKRU	Chairish	76.45
1968-12-31	USPRKRU	Chairish	75.57
1969-01-31	USPRKRU	Chairish	67.95
1969-02-28	USPRKRU	Chairish	68.27
1969-03-31	USPRKRU	Chairish	64.32
1969-04-30	USPRKRU	Chairish	60.74
1969-05-31	USPRKRU	Chairish	62.39904968140439
1969-06-30	USPRKRU	Chairish	62.66
1969-07-31	USPRKRU	Chairish	61.67124843946833
1969-08-31	USPRKRU	Chairish	62.29
1969-09-30	USPRKRU	Chairish	68.52
1969-10-31	USPRKRU	Chairish	67.77
1969-11-30	USPRKRU	Chairish	65.55
1969-12-31	USPRKRU	Chairish	61.95
1970-01-31	USPRKRU	Chairish	63.52
1970-02-28	USPRKRU	Chairish	65.86
1970-03-31	USPRKRU	Chairish	66.61
1970-04-30	USPRKRU	Chairish	67.57
1970-05-31	USPRKRU	Chairish	65.13
1970-06-30	USPRKRU	Chairish	68.3
1970-07-31	USPRKRU	Chairish	66.31
1970-08-31	USPRKRU	Chairish	62.0
1970-09-30	USPRKRU	Chairish	61.370727433225504
1970-10-31	USPRKRU	Chairish	62.82
1970-11-30	USPRKRU	Chairish	60.54
1970-12-31	USPRKRU	Chairish	62.57
1971-01-31	USPRKRU	Chairish	70.65
1971-02-28	USPRKRU	Chairish	73.94
1971-03-31	USPRKRU	Chairish	72.09
1971-04-30	USPRKRU	Chairish	67.15
1971-05-31	USPRKRU	Chairish	70.19
1971-06-30	USPRKRU	Chairish	65.1
1971-07-31	USPRKRU	Chairish	62.93
1971-08-31	USPRKRU	Chairish	60.45
1971-09-30	USPRKRU	Chairish	61.73452776385406
1971-10-31	USPRKRU	Chairish	62.48
1971-11-30	USPRKRU	Chairish	62.55097573556067
1971-12-31	USPRKRU	Chairish	61.16148799274983
1972-01-31	USPRKRU	Chairish	62.572938607958505
1972-02-29	USPRKRU	Chairish	61.094711383308834
1972-03-31	USPRKRU	Chairish	61.64
1972-04-30	USPRKRU	Chairish	64.68
1972-05-31	USPRKRU	Chairish	66.94
1972-06-30	USPRKRU	Chairish	65.11
1972-07-31	USPRKRU	Chairish	66.49
1972-08-31	USPRKRU	Chairish	69.46
1972-09-30	USPRKRU	Chairish	64.57
1972-10-31	USPRKRU	Chairish	65.74
1972-11-30	USPRKRU	Chairish	68.53
1972-12-31	USPRKRU	Chairish	67.83
1973-01-31	USPRKRU	Chairish	68.03
1973-02-28	USPRKRU	Chairish	66.43
1973-03-31	USPRKRU	Chairish	61.26679502619667
1973-04-30	USPRKRU	Chairish	62.38944262864021
1973-05-31	USPRKRU	Chairish	62.84
1973-06-30	USPRKRU	Chairish	65.18
1973-07-31	USPRKRU	Chairish	74.26
1973-08-31	USPRKRU	Chairish	74.31
1973-09-30	USPRKRU	Chairish	73.22
1973-10-31	USPRKRU	Chairish	69.79
1973-11-30	USPRKRU	Chairish	69.5
1973-12-31	USPRKRU	Chairish	65.25
1974-01-31	USPRKRU	Chairish	62.16325463400594
1974-02-28	USPRKRU	Chairish	61.52881188392156
1974-03-31	USPRKRU	Chairish	61.68460227133024
1974-04-30	USPRKRU	Chairish	62.86
1974-05-31	USPRKRU	Chairish	62.61
1974-06-30	USPRKRU	Chairish	64.43
1974-07-31	USPRKRU	Chairish	61.13624047128356
1974-08-31	USPRKRU	Chairish	61.58601465745571
1974-09-30	USPRKRU	Chairish	61.75753970509635
1974-10-31	USPRKRU	Chairish	60.37
1974-11-30	USPRKRU	Chairish	61.83910096305428
1974-12-31	USPRKRU	Chairish	62.35
1975-01-31	USPRKRU	Chairish	64.11
1975-02-28	USPRKRU	Chairish	61.26
1975-03-31	USPRKRU	Chairish	60.02
1975-04-30	USPRKRU	Chairish	61.72659483593644
1975-05-31	USPRKRU	Chairish	62.914568161181826
1975-06-30	USPRKRU	Chairish	60.79
1975-07-31	USPRKRU	Chairish	66.82
1975-08-31	USPRKRU	Chairish	70.79
1975-09-30	USPRKRU	Chairish	64.15
1975-10-31	USPRKRU	Chairish	65.06
1975-11-30	USPRKRU	Chairish	70.45
1975-12-31	USPRKRU	Chairish	72.12
1976-01-31	USPRKRU	Chairish	70.73
1976-02-29	USPRKRU	Chairish	70.05
1976-03-31	USPRKRU	Chairish	68.09
1976-04-30	USPRKRU	Chairish	68.28
1976-05-31	USPRKRU	Chairish	74.14
1976-06-30	USPRKRU	Chairish	69.07
1976-07-31	USPRKRU	Chairish	69.16
1976-08-31	USPRKRU	Chairish	65.69
1976-09-30	USPRKRU	Chairish	66.78
1976-10-31	USPRKRU	Chairish	64.56
1976-11-30	USPRKRU	Chairish	65.2
1976-12-31	USPRKRU	Chairish	61.31207126391609
1977-01-31	USPRKRU	Chairish	60.61
1977-02-28	USPRKRU	Chairish	66.99
1977-03-31	USPRKRU	Chairish	65.06
1977-04-30	USPRKRU	Chairish	62.25
1977-05-31	USPRKRU	Chairish	63.82
1977-06-30	USPRKRU	Chairish	60.16
1977-07-31	USPRKRU	Chairish	62.57
1977-08-31	USPRKRU	Chairish	61.946137589322014
1977-09-30	USPRKRU	Chairish	63.96
1977-10-31	USPRKRU	Chairish	61.754182937133486
1977-11-30	USPRKRU	Chairish	61.08
1977-12-31	USPRKRU	Chairish	63.61
1978-01-31	USPRKRU	Chairish	67.31
1978-02-28	USPRKRU	Chairish	67.75
1978-03-31	USPRKRU	Chairish	65.97
1978-04-30	USPRKRU	Chairish	66.03
1978-05-31	USPRKRU	Chairish	63.81
1978-06-30	USPRKRU	Chairish	61.3
1978-07-31	USPRKRU	Chairish	61.234467730525935
1978-08-31	USPRKRU	Chairish	60.41
1978-09-30	USPRKRU	Chairish	63.72
1978-10-31	USPRKRU	Chairish	61.17
1978-11-30	USPRKRU	Chairish	62.05034280828116
1978-12-31	USPRKRU	Chairish	62.502534382654545
1979-01-31	USPRKRU	Chairish	61.86
1979-02-28	USPRKRU	Chairish	62.164974599759894
1979-03-31	USPRKRU	Chairish	60.85
1979-04-30	USPRKRU	Chairish	63.25
1979-05-31	USPRKRU	Chairish	65.88
1979-06-30	USPRKRU	Chairish	61.50859688564822
1979-07-31	USPRKRU	Chairish	61.30132536611408
1979-08-31	USPRKRU	Chairish	60.66
1979-09-30	USPRKRU	Chairish	61.2
1979-10-31	USPRKRU	Chairish	61.07
1979-11-30	USPRKRU	Chairish	62.08
1979-12-31	USPRKRU	Chairish	61.35
1980-01-31	USPRKRU	Chairish	62.72913025996833
1980-02-29	USPRKRU	Chairish	62.07
1980-03-31	USPRKRU	Chairish	62.731605082249345
1980-04-30	USPRKRU	Chairish	63.87
1980-05-31	USPRKRU	Chairish	62.76172644278121
1980-06-30	USPRKRU	Chairish	62.616672529562955
1980-07-31	USPRKRU	Chairish	62.28
1980-08-31	USPRKRU	Chairish	64.61
1980-09-30	USPRKRU	Chairish	69.55
1980-10-31	USPRKRU	Chairish	72.39
1980-11-30	USPRKRU	Chairish	68.72
1980-12-31	USPRKRU	Chairish	76.8
1981-01-31	USPRKRU	Chairish	77.7
1981-02-28	USPRKRU	Chairish	77.14
1981-03-31	USPRKRU	Chairish	82.62
1981-04-30	USPRKRU	Chairish	78.09
1981-05-31	USPRKRU	Chairish	80.54
1981-06-30	USPRKRU	Chairish	80.58
1981-07-31	USPRKRU	Chairish	75.45
1981-08-31	USPRKRU	Chairish	72.07
1981-09-30	USPRKRU	Chairish	68.86
1981-10-31	USPRKRU	Chairish	70.08
1981-11-30	USPRKRU	Chairish	71.98
1981-12-31	USPRKRU	Chairish	66.33
1982-01-31	USPRKRU	Chairish	60.13
1982-02-28	USPRKRU	Chairish	63.03
1982-03-31	USPRKRU	Chairish	64.19
1982-04-30	USPRKRU	Chairish	62.28978442811761
1982-05-31	USPRKRU	Chairish	62.898331633032825
1982-06-30	USPRKRU	Chairish	61.87
1982-07-31	USPRKRU	Chairish	62.92200457040855
1982-08-31	USPRKRU	Chairish	66.3
1982-09-30	USPRKRU	Chairish	66.7
1982-10-31	USPRKRU	Chairish	61.87886762282172
1982-11-30	USPRKRU	Chairish	62.381902024399935
1982-12-31	USPRKRU	Chairish	62.82213240206252
1983-01-31	USPRKRU	Chairish	61.64
1983-02-28	USPRKRU	Chairish	64.41
1983-03-31	USPRKRU	Chairish	63.92
1983-04-30	USPRKRU	Chairish	61.97926324660415
1983-05-31	USPRKRU	Chairish	63.14
1983-06-30	USPRKRU	Chairish	60.27
1983-07-31	USPRKRU	Chairish	61.86202030211965
1983-08-31	USPRKRU	Chairish	61.93512659798446
1983-09-30	USPRKRU	Chairish	62.804153148641795
1983-10-31	USPRKRU	Chairish	64.16
1983-11-30	USPRKRU	Chairish	61.73
1983-12-31	USPRKRU	Chairish	63.42
1984-01-31	USPRKRU	Chairish	62.33
1984-02-29	USPRKRU	Chairish	62.04880724108295
1984-03-31	USPRKRU	Chairish	61.54597534232234
1984-04-30	USPRKRU	Chairish	61.54978676844092
1984-05-31	USPRKRU	Chairish	64.84
1984-06-30	USPRKRU	Chairish	61.97
1984-07-31	USPRKRU	Chairish	63.78
1984-08-31	USPRKRU	Chairish	60.94
1984-09-30	USPRKRU	Chairish	64.21
1984-10-31	USPRKRU	Chairish	63.93
1984-11-30	USPRKRU	Chairish	66.66
1984-12-31	USPRKRU	Chairish	64.28
1985-01-31	USPRKRU	Chairish	61.65
1985-02-28	USPRKRU	Chairish	62.13986416136531
1985-03-31	USPRKRU	Chairish	70.82
1985-04-30	USPRKRU	Chairish	66.64
1985-05-31	USPRKRU	Chairish	70.83
1985-06-30	USPRKRU	Chairish	66.11
1985-07-31	USPRKRU	Chairish	70.55
1985-08-31	USPRKRU	Chairish	66.96
1985-09-30	USPRKRU	Chairish	70.28
1985-10-31	USPRKRU	Chairish	73.65
1985-11-30	USPRKRU	Chairish	73.3
1985-12-31	USPRKRU	Chairish	74.5
1986-01-31	USPRKRU	Chairish	71.17
1986-02-28	USPRKRU	Chairish	74.86
1986-03-31	USPRKRU	Chairish	77.48
1986-04-30	USPRKRU	Chairish	76.13
1986-05-31	USPRKRU	Chairish	78.97
1986-06-30	USPRKRU	Chairish	84.41
1986-07-31	USPRKRU	Chairish	89.0
1986-08-31	USPRKRU	Chairish	84.67
1986-09-30	USPRKRU	Chairish	78.05
1986-10-31	USPRKRU	Chairish	75.96
1986-11-30	USPRKRU	Chairish	70.82
1986-12-31	USPRKRU	Chairish	69.68
1987-01-31	USPRKRU	Chairish	75.04
1987-02-28	USPRKRU	Chairish	73.56
1987-03-31	USPRKRU	Chairish	75.27
1987-04-30	USPRKRU	Chairish	73.29
1987-05-31	USPRKRU	Chairish	68.73
1987-06-30	USPRKRU	Chairish	60.21
1987-07-31	USPRKRU	Chairish	62.05303822330835
1987-08-31	USPRKRU	Chairish	64.53
1987-09-30	USPRKRU	Chairish	72.08
1987-10-31	USPRKRU	Chairish	72.2
1987-11-30	USPRKRU	Chairish	69.49
1987-12-31	USPRKRU	Chairish	68.1
1988-01-31	USPRKRU	Chairish	72.12
1988-02-29	USPRKRU	Chairish	75.24
1988-03-31	USPRKRU	Chairish	78.04
1988-04-30	USPRKRU	Chairish	80.0
1988-05-31	USPRKRU	Chairish	83.41
1988-06-30	USPRKRU	Chairish	81.65
1988-07-31	USPRKRU	Chairish	74.28
1988-08-31	USPRKRU	Chairish	77.25
1988-09-30	USPRKRU	Chairish	82.47
1988-10-31	USPRKRU	Chairish	82.78
1988-11-30	USPRKRU	Chairish	77.76
1988-12-31	USPRKRU	Chairish	83.17
1989-01-31	USPRKRU	Chairish	84.89
1989-02-28	USPRKRU	Chairish	89.47
1989-03-31	USPRKRU	Chairish	88.48
1989-04-30	USPRKRU	Chairish	93.7
1989-05-31	USPRKRU	Chairish	96.63
1989-06-30	USPRKRU	Chairish	100.51
1989-07-31	USPRKRU	Chairish	99.59
1989-08-31	USPRKRU	Chairish	97.87
1989-09-30	USPRKRU	Chairish	100.38
1989-10-31	USPRKRU	Chairish	100.82
1989-11-30	USPRKRU	Chairish	98.07
1989-12-31	USPRKRU	Chairish	102.9
1990-01-31	USPRKRU	Chairish	106.06
1990-02-28	USPRKRU	Chairish	105.81
1990-03-31	USPRKRU	Chairish	106.8
1990-04-30	USPRKRU	Chairish	105.95
1990-05-31	USPRKRU	Chairish	110.16
1990-06-30	USPRKRU	Chairish	107.98
1990-07-31	USPRKRU	Chairish	106.41
1990-08-31	USPRKRU	Chairish	111.12
1990-09-30	USPRKRU	Chairish	111.16
1990-10-31	USPRKRU	Chairish	113.03
1990-11-30	USPRKRU	Chairish	118.3
1990-12-31	USPRKRU	Chairish	112.64
1991-01-31	USPRKRU	Chairish	112.5
1991-02-28	USPRKRU	Chairish	105.54
