Date	Company Code	Company Name	Stock Price
1959-01-31	USLNYEA	Champion	111.97
1959-02-28	USLNYEA	Champion	112.73
1959-03-31	USLNYEA	Champion	115.86
1959-04-30	USLNYEA	Champion	115.97
1959-05-31	USLNYEA	Champion	114.23
1959-06-30	USLNYEA	Champion	110.72
1959-07-31	USLNYEA	Champion	109.08
1959-08-31	USLNYEA	Champion	114.53
1959-09-30	USLNYEA	Champion	108.85
1959-10-31	USLNYEA	Champion	108.16
1959-11-30	USLNYEA	Champion	103.91
1959-12-31	USLNYEA	Champion	105.56
1960-01-31	USLNYEA	Champion	107.52
1960-02-29	USLNYEA	Champion	107.34
1960-03-31	USLNYEA	Champion	101.02
1960-04-30	USLNYEA	Champion	106.79
1960-05-31	USLNYEA	Champion	105.48
1960-06-30	USLNYEA	Champion	110.0
1960-07-31	USLNYEA	Champion	114.49
1960-08-31	USLNYEA	Champion	105.26
1960-09-30	USLNYEA	Champion	111.3
1960-10-31	USLNYEA	Champion	119.78
1960-11-30	USLNYEA	Champion	119.59
1960-12-31	USLNYEA	Champion	118.28
1961-01-31	USLNYEA	Champion	125.34
1961-02-28	USLNYEA	Champion	127.57
1961-03-31	USLNYEA	Champion	130.29
1961-04-30	USLNYEA	Champion	126.65
1961-05-31	USLNYEA	Champion	126.79
1961-06-30	USLNYEA	Champion	128.62
1961-07-31	USLNYEA	Champion	128.04
1961-08-31	USLNYEA	Champion	122.36
1961-09-30	USLNYEA	Champion	119.34
1961-10-31	USLNYEA	Champion	111.63
1961-11-30	USLNYEA	Champion	113.84
1961-12-31	USLNYEA	Champion	113.29
1962-01-31	USLNYEA	Champion	108.1
1962-02-28	USLNYEA	Champion	106.57
1962-03-31	USLNYEA	Champion	115.03
1962-04-30	USLNYEA	Champion	117.68
1962-05-31	USLNYEA	Champion	113.2
1962-06-30	USLNYEA	Champion	110.41
1962-07-31	USLNYEA	Champion	114.52
1962-08-31	USLNYEA	Champion	108.69
1962-09-30	USLNYEA	Champion	110.72
1962-10-31	USLNYEA	Champion	111.99
1962-11-30	USLNYEA	Champion	116.07
1962-12-31	USLNYEA	Champion	111.25
1963-01-31	USLNYEA	Champion	109.96
1963-02-28	USLNYEA	Champion	108.39
1963-03-31	USLNYEA	Champion	114.83
1963-04-30	USLNYEA	Champion	115.86
1963-05-31	USLNYEA	Champion	121.06
1963-06-30	USLNYEA	Champion	118.48
1963-07-31	USLNYEA	Champion	119.34
1963-08-31	USLNYEA	Champion	116.0
1963-09-30	USLNYEA	Champion	119.6
1963-10-31	USLNYEA	Champion	124.24
1963-11-30	USLNYEA	Champion	120.29
1963-12-31	USLNYEA	Champion	122.7
1964-01-31	USLNYEA	Champion	124.69
1964-02-29	USLNYEA	Champion	124.44
1964-03-31	USLNYEA	Champion	127.26
1964-04-30	USLNYEA	Champion	120.36
1964-05-31	USLNYEA	Champion	115.45
1964-06-30	USLNYEA	Champion	118.58
1964-07-31	USLNYEA	Champion	123.01
1964-08-31	USLNYEA	Champion	122.59
1964-09-30	USLNYEA	Champion	129.11
1964-10-31	USLNYEA	Champion	134.83
1964-11-30	USLNYEA	Champion	133.17
