Date	Company Code	Company Name	Stock Price
1959-01-31	USYZQG7	Chevron Corp.	101.23
1959-02-28	USYZQG7	Chevron Corp.	99.44
1959-03-31	USYZQG7	Chevron Corp.	96.36
1959-04-30	USYZQG7	Chevron Corp.	92.3
1959-05-31	USYZQG7	Chevron Corp.	91.76
1959-06-30	USYZQG7	Chevron Corp.	88.6
1959-07-31	USYZQG7	Chevron Corp.	88.49
1959-08-31	USYZQG7	Chevron Corp.	85.3
1959-09-30	USYZQG7	Chevron Corp.	87.19
1959-10-31	USYZQG7	Chevron Corp.	86.26
1959-11-30	USYZQG7	Chevron Corp.	85.86
1959-12-31	USYZQG7	Chevron Corp.	89.53
1960-01-31	USYZQG7	Chevron Corp.	90.14
1960-02-29	USYZQG7	Chevron Corp.	86.44
1960-03-31	USYZQG7	Chevron Corp.	86.34
1960-04-30	USYZQG7	Chevron Corp.	88.67
1960-05-31	USYZQG7	Chevron Corp.	86.81
1960-06-30	USYZQG7	Chevron Corp.	79.88
1960-07-31	USYZQG7	Chevron Corp.	77.96
1960-08-31	USYZQG7	Chevron Corp.	75.46
1960-09-30	USYZQG7	Chevron Corp.	72.97
1960-10-31	USYZQG7	Chevron Corp.	71.08
1960-11-30	USYZQG7	Chevron Corp.	73.21
1960-12-31	USYZQG7	Chevron Corp.	66.45
1961-01-31	USYZQG7	Chevron Corp.	69.14
1961-02-28	USYZQG7	Chevron Corp.	64.39
1961-03-31	USYZQG7	Chevron Corp.	66.33
1961-04-30	USYZQG7	Chevron Corp.	65.95
1961-05-31	USYZQG7	Chevron Corp.	64.98
1961-06-30	USYZQG7	Chevron Corp.	63.86
1961-07-31	USYZQG7	Chevron Corp.	63.92
1961-08-31	USYZQG7	Chevron Corp.	64.17
1961-09-30	USYZQG7	Chevron Corp.	66.78
1961-10-31	USYZQG7	Chevron Corp.	64.58
1961-11-30	USYZQG7	Chevron Corp.	61.2
1961-12-31	USYZQG7	Chevron Corp.	62.09
1962-01-31	USYZQG7	Chevron Corp.	62.850941002942285
1962-02-28	USYZQG7	Chevron Corp.	62.04
1962-03-31	USYZQG7	Chevron Corp.	63.0
1962-04-30	USYZQG7	Chevron Corp.	62.175218107208735
1962-05-31	USYZQG7	Chevron Corp.	61.86529129272364
1962-06-30	USYZQG7	Chevron Corp.	60.71
1962-07-31	USYZQG7	Chevron Corp.	61.46
1962-08-31	USYZQG7	Chevron Corp.	62.434870714932536
1962-09-30	USYZQG7	Chevron Corp.	62.36
1962-10-31	USYZQG7	Chevron Corp.	61.11
1962-11-30	USYZQG7	Chevron Corp.	64.48
1962-12-31	USYZQG7	Chevron Corp.	63.38
1963-01-31	USYZQG7	Chevron Corp.	63.95
1963-02-28	USYZQG7	Chevron Corp.	65.68
1963-03-31	USYZQG7	Chevron Corp.	68.72
1963-04-30	USYZQG7	Chevron Corp.	67.97
1963-05-31	USYZQG7	Chevron Corp.	71.69
1963-06-30	USYZQG7	Chevron Corp.	70.33
1963-07-31	USYZQG7	Chevron Corp.	66.51
1963-08-31	USYZQG7	Chevron Corp.	61.73
1963-09-30	USYZQG7	Chevron Corp.	62.320870596014764
1963-10-31	USYZQG7	Chevron Corp.	67.76
1963-11-30	USYZQG7	Chevron Corp.	63.49
1963-12-31	USYZQG7	Chevron Corp.	61.235187967543986
1964-01-31	USYZQG7	Chevron Corp.	61.41887882032715
1964-02-29	USYZQG7	Chevron Corp.	67.87
1964-03-31	USYZQG7	Chevron Corp.	75.26
1964-04-30	USYZQG7	Chevron Corp.	71.49
1964-05-31	USYZQG7	Chevron Corp.	73.05
1964-06-30	USYZQG7	Chevron Corp.	73.79
1964-07-31	USYZQG7	Chevron Corp.	71.96
1964-08-31	USYZQG7	Chevron Corp.	78.45
1964-09-30	USYZQG7	Chevron Corp.	77.72
1964-10-31	USYZQG7	Chevron Corp.	76.4
1964-11-30	USYZQG7	Chevron Corp.	81.08
1964-12-31	USYZQG7	Chevron Corp.	81.63
1965-01-31	USYZQG7	Chevron Corp.	81.95
1965-02-28	USYZQG7	Chevron Corp.	78.49
1965-03-31	USYZQG7	Chevron Corp.	77.83
1965-04-30	USYZQG7	Chevron Corp.	78.34
1965-05-31	USYZQG7	Chevron Corp.	76.85
1965-06-30	USYZQG7	Chevron Corp.	77.1
1965-07-31	USYZQG7	Chevron Corp.	79.82
1965-08-31	USYZQG7	Chevron Corp.	77.68
1965-09-30	USYZQG7	Chevron Corp.	71.7
1965-10-31	USYZQG7	Chevron Corp.	71.1
1965-11-30	USYZQG7	Chevron Corp.	71.71
1965-12-31	USYZQG7	Chevron Corp.	79.07
1966-01-31	USYZQG7	Chevron Corp.	74.44
1966-02-28	USYZQG7	Chevron Corp.	77.85
1966-03-31	USYZQG7	Chevron Corp.	72.64
1966-04-30	USYZQG7	Chevron Corp.	74.8
1966-05-31	USYZQG7	Chevron Corp.	82.57
1966-06-30	USYZQG7	Chevron Corp.	83.29
1966-07-31	USYZQG7	Chevron Corp.	85.38
1966-08-31	USYZQG7	Chevron Corp.	91.11
1966-09-30	USYZQG7	Chevron Corp.	84.89
1966-10-31	USYZQG7	Chevron Corp.	86.73
1966-11-30	USYZQG7	Chevron Corp.	86.63
1966-12-31	USYZQG7	Chevron Corp.	84.15
1967-01-31	USYZQG7	Chevron Corp.	81.6
1967-02-28	USYZQG7	Chevron Corp.	84.37
1967-03-31	USYZQG7	Chevron Corp.	82.2
1967-04-30	USYZQG7	Chevron Corp.	83.64
1967-05-31	USYZQG7	Chevron Corp.	77.84
1967-06-30	USYZQG7	Chevron Corp.	78.88
1967-07-31	USYZQG7	Chevron Corp.	83.24
1967-08-31	USYZQG7	Chevron Corp.	79.09
1967-09-30	USYZQG7	Chevron Corp.	79.44
1967-10-31	USYZQG7	Chevron Corp.	74.82
1967-11-30	USYZQG7	Chevron Corp.	76.85
1967-12-31	USYZQG7	Chevron Corp.	78.79
1968-01-31	USYZQG7	Chevron Corp.	77.33
1968-02-29	USYZQG7	Chevron Corp.	72.39
1968-03-31	USYZQG7	Chevron Corp.	71.82
1968-04-30	USYZQG7	Chevron Corp.	73.79
1968-05-31	USYZQG7	Chevron Corp.	76.75
1968-06-30	USYZQG7	Chevron Corp.	84.29
1968-07-31	USYZQG7	Chevron Corp.	87.17
1968-08-31	USYZQG7	Chevron Corp.	85.98
1968-09-30	USYZQG7	Chevron Corp.	82.98
1968-10-31	USYZQG7	Chevron Corp.	85.48
1968-11-30	USYZQG7	Chevron Corp.	82.33
1968-12-31	USYZQG7	Chevron Corp.	78.35
1969-01-31	USYZQG7	Chevron Corp.	81.11
1969-02-28	USYZQG7	Chevron Corp.	82.39
1969-03-31	USYZQG7	Chevron Corp.	79.21
1969-04-30	USYZQG7	Chevron Corp.	78.58
1969-05-31	USYZQG7	Chevron Corp.	80.74
1969-06-30	USYZQG7	Chevron Corp.	81.15
1969-07-31	USYZQG7	Chevron Corp.	78.55
1969-08-31	USYZQG7	Chevron Corp.	75.43
1969-09-30	USYZQG7	Chevron Corp.	71.82
1969-10-31	USYZQG7	Chevron Corp.	73.36
1969-11-30	USYZQG7	Chevron Corp.	76.07
1969-12-31	USYZQG7	Chevron Corp.	71.79
1970-01-31	USYZQG7	Chevron Corp.	74.42
1970-02-28	USYZQG7	Chevron Corp.	78.54
1970-03-31	USYZQG7	Chevron Corp.	83.19
1970-04-30	USYZQG7	Chevron Corp.	80.87
1970-05-31	USYZQG7	Chevron Corp.	81.42
1970-06-30	USYZQG7	Chevron Corp.	79.66
1970-07-31	USYZQG7	Chevron Corp.	80.61
1970-08-31	USYZQG7	Chevron Corp.	86.83
1970-09-30	USYZQG7	Chevron Corp.	88.4
1970-10-31	USYZQG7	Chevron Corp.	89.68
1970-11-30	USYZQG7	Chevron Corp.	83.01
1970-12-31	USYZQG7	Chevron Corp.	80.05
1971-01-31	USYZQG7	Chevron Corp.	85.39
1971-02-28	USYZQG7	Chevron Corp.	84.37
1971-03-31	USYZQG7	Chevron Corp.	77.97
1971-04-30	USYZQG7	Chevron Corp.	70.55
1971-05-31	USYZQG7	Chevron Corp.	66.27
1971-06-30	USYZQG7	Chevron Corp.	64.32
1971-07-31	USYZQG7	Chevron Corp.	66.04
1971-08-31	USYZQG7	Chevron Corp.	68.02
1971-09-30	USYZQG7	Chevron Corp.	67.88
1971-10-31	USYZQG7	Chevron Corp.	72.11
1971-11-30	USYZQG7	Chevron Corp.	72.79
1971-12-31	USYZQG7	Chevron Corp.	69.07
1972-01-31	USYZQG7	Chevron Corp.	72.78
1972-02-29	USYZQG7	Chevron Corp.	68.7
1972-03-31	USYZQG7	Chevron Corp.	68.62
1972-04-30	USYZQG7	Chevron Corp.	67.95
1972-05-31	USYZQG7	Chevron Corp.	67.79
1972-06-30	USYZQG7	Chevron Corp.	76.11
1972-07-31	USYZQG7	Chevron Corp.	75.46
1972-08-31	USYZQG7	Chevron Corp.	73.93
1972-09-30	USYZQG7	Chevron Corp.	74.79
1972-10-31	USYZQG7	Chevron Corp.	72.43
1972-11-30	USYZQG7	Chevron Corp.	77.18
1972-12-31	USYZQG7	Chevron Corp.	77.79
1973-01-31	USYZQG7	Chevron Corp.	75.44
1973-02-28	USYZQG7	Chevron Corp.	78.73
1973-03-31	USYZQG7	Chevron Corp.	79.44
1973-04-30	USYZQG7	Chevron Corp.	87.29
1973-05-31	USYZQG7	Chevron Corp.	86.4
1973-06-30	USYZQG7	Chevron Corp.	83.25
1973-07-31	USYZQG7	Chevron Corp.	83.13
1973-08-31	USYZQG7	Chevron Corp.	81.21
1973-09-30	USYZQG7	Chevron Corp.	78.68
1973-10-31	USYZQG7	Chevron Corp.	78.16
1973-11-30	USYZQG7	Chevron Corp.	85.28
1973-12-31	USYZQG7	Chevron Corp.	90.37
1974-01-31	USYZQG7	Chevron Corp.	90.71
1974-02-28	USYZQG7	Chevron Corp.	88.12
1974-03-31	USYZQG7	Chevron Corp.	92.69
1974-04-30	USYZQG7	Chevron Corp.	93.84
1974-05-31	USYZQG7	Chevron Corp.	92.55
1974-06-30	USYZQG7	Chevron Corp.	85.99
1974-07-31	USYZQG7	Chevron Corp.	82.48
1974-08-31	USYZQG7	Chevron Corp.	88.63
1974-09-30	USYZQG7	Chevron Corp.	82.55
1974-10-31	USYZQG7	Chevron Corp.	77.15
1974-11-30	USYZQG7	Chevron Corp.	78.92
1974-12-31	USYZQG7	Chevron Corp.	72.24
1975-01-31	USYZQG7	Chevron Corp.	69.27
1975-02-28	USYZQG7	Chevron Corp.	64.78
1975-03-31	USYZQG7	Chevron Corp.	63.98
1975-04-30	USYZQG7	Chevron Corp.	64.15
1975-05-31	USYZQG7	Chevron Corp.	62.965321730155125
1975-06-30	USYZQG7	Chevron Corp.	64.98
1975-07-31	USYZQG7	Chevron Corp.	63.1
1975-08-31	USYZQG7	Chevron Corp.	63.79
1975-09-30	USYZQG7	Chevron Corp.	68.94
1975-10-31	USYZQG7	Chevron Corp.	74.27
1975-11-30	USYZQG7	Chevron Corp.	72.93
1975-12-31	USYZQG7	Chevron Corp.	78.1
1976-01-31	USYZQG7	Chevron Corp.	73.48
1976-02-29	USYZQG7	Chevron Corp.	74.39
1976-03-31	USYZQG7	Chevron Corp.	75.59
1976-04-30	USYZQG7	Chevron Corp.	70.43
1976-05-31	USYZQG7	Chevron Corp.	71.5
1976-06-30	USYZQG7	Chevron Corp.	73.58
1976-07-31	USYZQG7	Chevron Corp.	76.0
1976-08-31	USYZQG7	Chevron Corp.	75.45
1976-09-30	USYZQG7	Chevron Corp.	81.35
1976-10-31	USYZQG7	Chevron Corp.	77.32
1976-11-30	USYZQG7	Chevron Corp.	80.7
1976-12-31	USYZQG7	Chevron Corp.	72.67
1977-01-31	USYZQG7	Chevron Corp.	74.28
1977-02-28	USYZQG7	Chevron Corp.	78.13
1977-03-31	USYZQG7	Chevron Corp.	70.92
1977-04-30	USYZQG7	Chevron Corp.	79.35
1977-05-31	USYZQG7	Chevron Corp.	76.01
1977-06-30	USYZQG7	Chevron Corp.	79.59
1977-07-31	USYZQG7	Chevron Corp.	82.92
1977-08-31	USYZQG7	Chevron Corp.	83.55
1977-09-30	USYZQG7	Chevron Corp.	89.02
1977-10-31	USYZQG7	Chevron Corp.	91.39
1977-11-30	USYZQG7	Chevron Corp.	90.11
1977-12-31	USYZQG7	Chevron Corp.	87.95
1978-01-31	USYZQG7	Chevron Corp.	85.33
1978-02-28	USYZQG7	Chevron Corp.	86.81
1978-03-31	USYZQG7	Chevron Corp.	88.24
1978-04-30	USYZQG7	Chevron Corp.	86.23
1978-05-31	USYZQG7	Chevron Corp.	79.95
1978-06-30	USYZQG7	Chevron Corp.	78.12
1978-07-31	USYZQG7	Chevron Corp.	76.58
1978-08-31	USYZQG7	Chevron Corp.	73.1
1978-09-30	USYZQG7	Chevron Corp.	67.48
1978-10-31	USYZQG7	Chevron Corp.	69.97
1978-11-30	USYZQG7	Chevron Corp.	71.51
1978-12-31	USYZQG7	Chevron Corp.	70.85
1979-01-31	USYZQG7	Chevron Corp.	70.81
1979-02-28	USYZQG7	Chevron Corp.	71.21
1979-03-31	USYZQG7	Chevron Corp.	67.69
1979-04-30	USYZQG7	Chevron Corp.	65.65
1979-05-31	USYZQG7	Chevron Corp.	66.53
1979-06-30	USYZQG7	Chevron Corp.	67.38
1979-07-31	USYZQG7	Chevron Corp.	74.15
1979-08-31	USYZQG7	Chevron Corp.	74.2
1979-09-30	USYZQG7	Chevron Corp.	72.48
1979-10-31	USYZQG7	Chevron Corp.	77.13
