Date	Company Code	Company Name	Stock Price
1959-01-31	USJVEZ2	Christie’s	111.71
1959-02-28	USJVEZ2	Christie’s	108.42
1959-03-31	USJVEZ2	Christie’s	111.74
1959-04-30	USJVEZ2	Christie’s	111.55
1959-05-31	USJVEZ2	Christie’s	109.87
1959-06-30	USJVEZ2	Christie’s	111.82
1959-07-31	USJVEZ2	Christie’s	112.0
1959-08-31	USJVEZ2	Christie’s	113.94
1959-09-30	USJVEZ2	Christie’s	108.8
1959-10-31	USJVEZ2	Christie’s	116.38
1959-11-30	USJVEZ2	Christie’s	117.52
1959-12-31	USJVEZ2	Christie’s	117.24
1960-01-31	USJVEZ2	Christie’s	115.39
1960-02-29	USJVEZ2	Christie’s	119.13
1960-03-31	USJVEZ2	Christie’s	116.54
1960-04-30	USJVEZ2	Christie’s	118.46
1960-05-31	USJVEZ2	Christie’s	118.12
1960-06-30	USJVEZ2	Christie’s	113.82
1960-07-31	USJVEZ2	Christie’s	114.64
1960-08-31	USJVEZ2	Christie’s	117.21
1960-09-30	USJVEZ2	Christie’s	114.97
1960-10-31	USJVEZ2	Christie’s	119.01
1960-11-30	USJVEZ2	Christie’s	116.31
1960-12-31	USJVEZ2	Christie’s	116.16
1961-01-31	USJVEZ2	Christie’s	112.16
1961-02-28	USJVEZ2	Christie’s	110.75
1961-03-31	USJVEZ2	Christie’s	111.77
1961-04-30	USJVEZ2	Christie’s	111.55
1961-05-31	USJVEZ2	Christie’s	106.3
1961-06-30	USJVEZ2	Christie’s	110.2
1961-07-31	USJVEZ2	Christie’s	113.9
1961-08-31	USJVEZ2	Christie’s	115.33
1961-09-30	USJVEZ2	Christie’s	120.22
1961-10-31	USJVEZ2	Christie’s	117.14
1961-11-30	USJVEZ2	Christie’s	112.71
1961-12-31	USJVEZ2	Christie’s	107.05
1962-01-31	USJVEZ2	Christie’s	108.55
1962-02-28	USJVEZ2	Christie’s	109.91
1962-03-31	USJVEZ2	Christie’s	114.56
1962-04-30	USJVEZ2	Christie’s	111.22
1962-05-31	USJVEZ2	Christie’s	109.36
1962-06-30	USJVEZ2	Christie’s	113.15
1962-07-31	USJVEZ2	Christie’s	109.63
1962-08-31	USJVEZ2	Christie’s	109.99
1962-09-30	USJVEZ2	Christie’s	109.96
1962-10-31	USJVEZ2	Christie’s	105.58
1962-11-30	USJVEZ2	Christie’s	109.4
1962-12-31	USJVEZ2	Christie’s	111.08
1963-01-31	USJVEZ2	Christie’s	115.29
1963-02-28	USJVEZ2	Christie’s	114.22
1963-03-31	USJVEZ2	Christie’s	107.22
1963-04-30	USJVEZ2	Christie’s	106.91
1963-05-31	USJVEZ2	Christie’s	110.24
1963-06-30	USJVEZ2	Christie’s	104.9
1963-07-31	USJVEZ2	Christie’s	105.59
1963-08-31	USJVEZ2	Christie’s	106.02
1963-09-30	USJVEZ2	Christie’s	113.16
1963-10-31	USJVEZ2	Christie’s	107.64
1963-11-30	USJVEZ2	Christie’s	112.16
1963-12-31	USJVEZ2	Christie’s	113.09
1964-01-31	USJVEZ2	Christie’s	112.15
1964-02-29	USJVEZ2	Christie’s	119.1
1964-03-31	USJVEZ2	Christie’s	114.82
1964-04-30	USJVEZ2	Christie’s	113.58
1964-05-31	USJVEZ2	Christie’s	110.83
1964-06-30	USJVEZ2	Christie’s	114.19
1964-07-31	USJVEZ2	Christie’s	121.73
1964-08-31	USJVEZ2	Christie’s	123.14
1964-09-30	USJVEZ2	Christie’s	121.01
1964-10-31	USJVEZ2	Christie’s	120.91
1964-11-30	USJVEZ2	Christie’s	119.81
1964-12-31	USJVEZ2	Christie’s	120.44
1965-01-31	USJVEZ2	Christie’s	125.38
1965-02-28	USJVEZ2	Christie’s	121.79
1965-03-31	USJVEZ2	Christie’s	124.25
1965-04-30	USJVEZ2	Christie’s	123.95
1965-05-31	USJVEZ2	Christie’s	124.8
1965-06-30	USJVEZ2	Christie’s	127.12
1965-07-31	USJVEZ2	Christie’s	134.69
1965-08-31	USJVEZ2	Christie’s	137.77
1965-09-30	USJVEZ2	Christie’s	136.4
1965-10-31	USJVEZ2	Christie’s	130.33
1965-11-30	USJVEZ2	Christie’s	127.11
1965-12-31	USJVEZ2	Christie’s	125.46
1966-01-31	USJVEZ2	Christie’s	130.74
1966-02-28	USJVEZ2	Christie’s	128.75
1966-03-31	USJVEZ2	Christie’s	123.12
1966-04-30	USJVEZ2	Christie’s	127.63
1966-05-31	USJVEZ2	Christie’s	125.01
1966-06-30	USJVEZ2	Christie’s	130.52
1966-07-31	USJVEZ2	Christie’s	131.45
1966-08-31	USJVEZ2	Christie’s	128.42
1966-09-30	USJVEZ2	Christie’s	126.86
1966-10-31	USJVEZ2	Christie’s	131.6
1966-11-30	USJVEZ2	Christie’s	129.36
1966-12-31	USJVEZ2	Christie’s	125.91
1967-01-31	USJVEZ2	Christie’s	122.41
1967-02-28	USJVEZ2	Christie’s	125.59
1967-03-31	USJVEZ2	Christie’s	126.35
1967-04-30	USJVEZ2	Christie’s	130.69
1967-05-31	USJVEZ2	Christie’s	129.7
1967-06-30	USJVEZ2	Christie’s	137.27
1967-07-31	USJVEZ2	Christie’s	138.19
1967-08-31	USJVEZ2	Christie’s	137.31
1967-09-30	USJVEZ2	Christie’s	142.74
1967-10-31	USJVEZ2	Christie’s	135.34
1967-11-30	USJVEZ2	Christie’s	135.97
1967-12-31	USJVEZ2	Christie’s	130.81
1968-01-31	USJVEZ2	Christie’s	132.28
1968-02-29	USJVEZ2	Christie’s	132.06
1968-03-31	USJVEZ2	Christie’s	133.43
1968-04-30	USJVEZ2	Christie’s	136.54
1968-05-31	USJVEZ2	Christie’s	142.43
1968-06-30	USJVEZ2	Christie’s	140.04
1968-07-31	USJVEZ2	Christie’s	141.43
1968-08-31	USJVEZ2	Christie’s	146.41
1968-09-30	USJVEZ2	Christie’s	150.45
1968-10-31	USJVEZ2	Christie’s	152.92
1968-11-30	USJVEZ2	Christie’s	154.71
1968-12-31	USJVEZ2	Christie’s	150.0
1969-01-31	USJVEZ2	Christie’s	153.68
1969-02-28	USJVEZ2	Christie’s	157.04
1969-03-31	USJVEZ2	Christie’s	157.85
1969-04-30	USJVEZ2	Christie’s	159.41
1969-05-31	USJVEZ2	Christie’s	156.48
