Date	Company Code	Company Name	Stock Price
1959-01-31	USEVOO9	Christie’s Education	109.14
1959-02-28	USEVOO9	Christie’s Education	105.23
1959-03-31	USEVOO9	Christie’s Education	101.61
1959-04-30	USEVOO9	Christie’s Education	101.74
1959-05-31	USEVOO9	Christie’s Education	102.09
1959-06-30	USEVOO9	Christie’s Education	98.19
1959-07-31	USEVOO9	Christie’s Education	101.04
1959-08-31	USEVOO9	Christie’s Education	103.38
1959-09-30	USEVOO9	Christie’s Education	103.71
1959-10-31	USEVOO9	Christie’s Education	103.7
1959-11-30	USEVOO9	Christie’s Education	108.64
1959-12-31	USEVOO9	Christie’s Education	101.6
1960-01-31	USEVOO9	Christie’s Education	96.0
1960-02-29	USEVOO9	Christie’s Education	96.71
1960-03-31	USEVOO9	Christie’s Education	94.16
1960-04-30	USEVOO9	Christie’s Education	94.76
1960-05-31	USEVOO9	Christie’s Education	90.48
1960-06-30	USEVOO9	Christie’s Education	91.48
1960-07-31	USEVOO9	Christie’s Education	83.14
1960-08-31	USEVOO9	Christie’s Education	76.11
1960-09-30	USEVOO9	Christie’s Education	79.58
1960-10-31	USEVOO9	Christie’s Education	84.91
1960-11-30	USEVOO9	Christie’s Education	88.04
1960-12-31	USEVOO9	Christie’s Education	79.53
1961-01-31	USEVOO9	Christie’s Education	83.44
1961-02-28	USEVOO9	Christie’s Education	86.34
1961-03-31	USEVOO9	Christie’s Education	79.75
1961-04-30	USEVOO9	Christie’s Education	76.04
1961-05-31	USEVOO9	Christie’s Education	76.92
1961-06-30	USEVOO9	Christie’s Education	75.69
1961-07-31	USEVOO9	Christie’s Education	82.66
1961-08-31	USEVOO9	Christie’s Education	86.62
1961-09-30	USEVOO9	Christie’s Education	92.63
1961-10-31	USEVOO9	Christie’s Education	89.98
1961-11-30	USEVOO9	Christie’s Education	90.0
1961-12-31	USEVOO9	Christie’s Education	88.57
1962-01-31	USEVOO9	Christie’s Education	89.61
1962-02-28	USEVOO9	Christie’s Education	84.02
1962-03-31	USEVOO9	Christie’s Education	86.54
1962-04-30	USEVOO9	Christie’s Education	90.12
1962-05-31	USEVOO9	Christie’s Education	90.7
1962-06-30	USEVOO9	Christie’s Education	89.54
1962-07-31	USEVOO9	Christie’s Education	92.12
1962-08-31	USEVOO9	Christie’s Education	92.31
1962-09-30	USEVOO9	Christie’s Education	82.81
1962-10-31	USEVOO9	Christie’s Education	80.63
1962-11-30	USEVOO9	Christie’s Education	81.53
1962-12-31	USEVOO9	Christie’s Education	81.2
1963-01-31	USEVOO9	Christie’s Education	81.5
1963-02-28	USEVOO9	Christie’s Education	77.19
1963-03-31	USEVOO9	Christie’s Education	76.5
1963-04-30	USEVOO9	Christie’s Education	77.4
1963-05-31	USEVOO9	Christie’s Education	81.67
1963-06-30	USEVOO9	Christie’s Education	77.31
1963-07-31	USEVOO9	Christie’s Education	79.08
1963-08-31	USEVOO9	Christie’s Education	80.41
1963-09-30	USEVOO9	Christie’s Education	79.26
1963-10-31	USEVOO9	Christie’s Education	74.22
1963-11-30	USEVOO9	Christie’s Education	72.6
1963-12-31	USEVOO9	Christie’s Education	73.31
1964-01-31	USEVOO9	Christie’s Education	71.5
1964-02-29	USEVOO9	Christie’s Education	76.96
1964-03-31	USEVOO9	Christie’s Education	80.87
1964-04-30	USEVOO9	Christie’s Education	85.4
1964-05-31	USEVOO9	Christie’s Education	81.9
1964-06-30	USEVOO9	Christie’s Education	83.84
1964-07-31	USEVOO9	Christie’s Education	81.69
