Date	Company Code	Company Name	Stock Price
1959-01-31	US5OAZC	Cisco Systems Inc.	101.84
1959-02-28	US5OAZC	Cisco Systems Inc.	109.03
1959-03-31	US5OAZC	Cisco Systems Inc.	103.82
1959-04-30	US5OAZC	Cisco Systems Inc.	101.14
1959-05-31	US5OAZC	Cisco Systems Inc.	102.12
1959-06-30	US5OAZC	Cisco Systems Inc.	96.41
1959-07-31	US5OAZC	Cisco Systems Inc.	105.44
1959-08-31	US5OAZC	Cisco Systems Inc.	109.74
1959-09-30	US5OAZC	Cisco Systems Inc.	108.19
1959-10-31	US5OAZC	Cisco Systems Inc.	107.19
1959-11-30	US5OAZC	Cisco Systems Inc.	101.99
1959-12-31	US5OAZC	Cisco Systems Inc.	104.8
1960-01-31	US5OAZC	Cisco Systems Inc.	102.91
1960-02-29	US5OAZC	Cisco Systems Inc.	97.07
1960-03-31	US5OAZC	Cisco Systems Inc.	97.5
1960-04-30	US5OAZC	Cisco Systems Inc.	91.74
1960-05-31	US5OAZC	Cisco Systems Inc.	100.53
1960-06-30	US5OAZC	Cisco Systems Inc.	98.11
1960-07-31	US5OAZC	Cisco Systems Inc.	105.51
1960-08-31	US5OAZC	Cisco Systems Inc.	104.4
1960-09-30	US5OAZC	Cisco Systems Inc.	102.93
1960-10-31	US5OAZC	Cisco Systems Inc.	103.05
1960-11-30	US5OAZC	Cisco Systems Inc.	109.28
1960-12-31	US5OAZC	Cisco Systems Inc.	104.57
1961-01-31	US5OAZC	Cisco Systems Inc.	103.06
1961-02-28	US5OAZC	Cisco Systems Inc.	102.69
1961-03-31	US5OAZC	Cisco Systems Inc.	109.31
1961-04-30	US5OAZC	Cisco Systems Inc.	108.89
1961-05-31	US5OAZC	Cisco Systems Inc.	107.36
1961-06-30	US5OAZC	Cisco Systems Inc.	107.03
1961-07-31	US5OAZC	Cisco Systems Inc.	108.23
1961-08-31	US5OAZC	Cisco Systems Inc.	104.54
1961-09-30	US5OAZC	Cisco Systems Inc.	108.13
1961-10-31	US5OAZC	Cisco Systems Inc.	102.24
1961-11-30	US5OAZC	Cisco Systems Inc.	104.87
1961-12-31	US5OAZC	Cisco Systems Inc.	103.15
1962-01-31	US5OAZC	Cisco Systems Inc.	108.95
1962-02-28	US5OAZC	Cisco Systems Inc.	108.81
1962-03-31	US5OAZC	Cisco Systems Inc.	112.87
1962-04-30	US5OAZC	Cisco Systems Inc.	113.5
1962-05-31	US5OAZC	Cisco Systems Inc.	114.47
1962-06-30	US5OAZC	Cisco Systems Inc.	109.15
1962-07-31	US5OAZC	Cisco Systems Inc.	107.46
1962-08-31	US5OAZC	Cisco Systems Inc.	107.71
1962-09-30	US5OAZC	Cisco Systems Inc.	111.58
1962-10-31	US5OAZC	Cisco Systems Inc.	110.81
1962-11-30	US5OAZC	Cisco Systems Inc.	114.06
1962-12-31	US5OAZC	Cisco Systems Inc.	112.77
1963-01-31	US5OAZC	Cisco Systems Inc.	111.62
1963-02-28	US5OAZC	Cisco Systems Inc.	111.4
1963-03-31	US5OAZC	Cisco Systems Inc.	111.1
1963-04-30	US5OAZC	Cisco Systems Inc.	113.85
1963-05-31	US5OAZC	Cisco Systems Inc.	115.35
1963-06-30	US5OAZC	Cisco Systems Inc.	111.39
1963-07-31	US5OAZC	Cisco Systems Inc.	109.06
1963-08-31	US5OAZC	Cisco Systems Inc.	104.66
1963-09-30	US5OAZC	Cisco Systems Inc.	107.73
1963-10-31	US5OAZC	Cisco Systems Inc.	108.67
1963-11-30	US5OAZC	Cisco Systems Inc.	106.01
1963-12-31	US5OAZC	Cisco Systems Inc.	108.59
1964-01-31	US5OAZC	Cisco Systems Inc.	115.37
1964-02-29	US5OAZC	Cisco Systems Inc.	111.31
1964-03-31	US5OAZC	Cisco Systems Inc.	114.02
1964-04-30	US5OAZC	Cisco Systems Inc.	118.17
1964-05-31	US5OAZC	Cisco Systems Inc.	113.54
1964-06-30	US5OAZC	Cisco Systems Inc.	112.43
1964-07-31	US5OAZC	Cisco Systems Inc.	111.06
1964-08-31	US5OAZC	Cisco Systems Inc.	107.92
1964-09-30	US5OAZC	Cisco Systems Inc.	108.36
1964-10-31	US5OAZC	Cisco Systems Inc.	114.03
1964-11-30	US5OAZC	Cisco Systems Inc.	110.71
1964-12-31	US5OAZC	Cisco Systems Inc.	111.18
1965-01-31	US5OAZC	Cisco Systems Inc.	112.34
1965-02-28	US5OAZC	Cisco Systems Inc.	114.25
1965-03-31	US5OAZC	Cisco Systems Inc.	109.42
1965-04-30	US5OAZC	Cisco Systems Inc.	111.55
