Date	Company Code	Company Name	Stock Price
1959-01-31	USZ0A10	Cloudflare Inc.	114.82
1959-02-28	USZ0A10	Cloudflare Inc.	112.56
1959-03-31	USZ0A10	Cloudflare Inc.	108.34
1959-04-30	USZ0A10	Cloudflare Inc.	108.52
1959-05-31	USZ0A10	Cloudflare Inc.	110.91
1959-06-30	USZ0A10	Cloudflare Inc.	105.1
1959-07-31	USZ0A10	Cloudflare Inc.	100.42
1959-08-31	USZ0A10	Cloudflare Inc.	100.8
1959-09-30	USZ0A10	Cloudflare Inc.	98.36
1959-10-31	USZ0A10	Cloudflare Inc.	100.62
1959-11-30	USZ0A10	Cloudflare Inc.	100.95
1959-12-31	USZ0A10	Cloudflare Inc.	101.38
1960-01-31	USZ0A10	Cloudflare Inc.	96.87
1960-02-29	USZ0A10	Cloudflare Inc.	96.24
1960-03-31	USZ0A10	Cloudflare Inc.	99.44
1960-04-30	USZ0A10	Cloudflare Inc.	98.41
1960-05-31	USZ0A10	Cloudflare Inc.	98.14
1960-06-30	USZ0A10	Cloudflare Inc.	104.8
1960-07-31	USZ0A10	Cloudflare Inc.	98.21
1960-08-31	USZ0A10	Cloudflare Inc.	94.6
1960-09-30	USZ0A10	Cloudflare Inc.	103.11
1960-10-31	USZ0A10	Cloudflare Inc.	99.69
1960-11-30	USZ0A10	Cloudflare Inc.	99.78
1960-12-31	USZ0A10	Cloudflare Inc.	98.36
1961-01-31	USZ0A10	Cloudflare Inc.	94.77
1961-02-28	USZ0A10	Cloudflare Inc.	95.69
1961-03-31	USZ0A10	Cloudflare Inc.	103.61
1961-04-30	USZ0A10	Cloudflare Inc.	96.9
1961-05-31	USZ0A10	Cloudflare Inc.	96.93
1961-06-30	USZ0A10	Cloudflare Inc.	97.07
1961-07-31	USZ0A10	Cloudflare Inc.	95.05
1961-08-31	USZ0A10	Cloudflare Inc.	87.48
1961-09-30	USZ0A10	Cloudflare Inc.	89.19
1961-10-31	USZ0A10	Cloudflare Inc.	87.04
1961-11-30	USZ0A10	Cloudflare Inc.	91.02
1961-12-31	USZ0A10	Cloudflare Inc.	83.84
1962-01-31	USZ0A10	Cloudflare Inc.	79.06
1962-02-28	USZ0A10	Cloudflare Inc.	74.0
1962-03-31	USZ0A10	Cloudflare Inc.	78.26
1962-04-30	USZ0A10	Cloudflare Inc.	72.84
1962-05-31	USZ0A10	Cloudflare Inc.	72.17
1962-06-30	USZ0A10	Cloudflare Inc.	70.33
1962-07-31	USZ0A10	Cloudflare Inc.	69.62
1962-08-31	USZ0A10	Cloudflare Inc.	67.72
1962-09-30	USZ0A10	Cloudflare Inc.	75.8
1962-10-31	USZ0A10	Cloudflare Inc.	77.51
1962-11-30	USZ0A10	Cloudflare Inc.	75.93
1962-12-31	USZ0A10	Cloudflare Inc.	75.22
1963-01-31	USZ0A10	Cloudflare Inc.	73.3
1963-02-28	USZ0A10	Cloudflare Inc.	74.65
1963-03-31	USZ0A10	Cloudflare Inc.	78.21
1963-04-30	USZ0A10	Cloudflare Inc.	85.85
1963-05-31	USZ0A10	Cloudflare Inc.	87.54
1963-06-30	USZ0A10	Cloudflare Inc.	87.41
1963-07-31	USZ0A10	Cloudflare Inc.	82.38
1963-08-31	USZ0A10	Cloudflare Inc.	80.42
1963-09-30	USZ0A10	Cloudflare Inc.	78.78
1963-10-31	USZ0A10	Cloudflare Inc.	78.77
1963-11-30	USZ0A10	Cloudflare Inc.	76.44
1963-12-31	USZ0A10	Cloudflare Inc.	75.7
1964-01-31	USZ0A10	Cloudflare Inc.	84.05
1964-02-29	USZ0A10	Cloudflare Inc.	87.6
1964-03-31	USZ0A10	Cloudflare Inc.	94.99
1964-04-30	USZ0A10	Cloudflare Inc.	103.43
1964-05-31	USZ0A10	Cloudflare Inc.	102.11
1964-06-30	USZ0A10	Cloudflare Inc.	106.34
1964-07-31	USZ0A10	Cloudflare Inc.	108.93
1964-08-31	USZ0A10	Cloudflare Inc.	107.82
1964-09-30	USZ0A10	Cloudflare Inc.	106.29
1964-10-31	USZ0A10	Cloudflare Inc.	103.87
1964-11-30	USZ0A10	Cloudflare Inc.	104.64
1964-12-31	USZ0A10	Cloudflare Inc.	106.93
1965-01-31	USZ0A10	Cloudflare Inc.	104.59
1965-02-28	USZ0A10	Cloudflare Inc.	99.24
1965-03-31	USZ0A10	Cloudflare Inc.	96.54
1965-04-30	USZ0A10	Cloudflare Inc.	95.7
1965-05-31	USZ0A10	Cloudflare Inc.	102.93
1965-06-30	USZ0A10	Cloudflare Inc.	102.98
1965-07-31	USZ0A10	Cloudflare Inc.	101.54
1965-08-31	USZ0A10	Cloudflare Inc.	109.18
1965-09-30	USZ0A10	Cloudflare Inc.	107.28
1965-10-31	USZ0A10	Cloudflare Inc.	98.85
1965-11-30	USZ0A10	Cloudflare Inc.	101.83
1965-12-31	USZ0A10	Cloudflare Inc.	103.66
1966-01-31	USZ0A10	Cloudflare Inc.	108.87
1966-02-28	USZ0A10	Cloudflare Inc.	105.55
1966-03-31	USZ0A10	Cloudflare Inc.	104.62
1966-04-30	USZ0A10	Cloudflare Inc.	98.32
1966-05-31	USZ0A10	Cloudflare Inc.	103.83
1966-06-30	USZ0A10	Cloudflare Inc.	105.1
1966-07-31	USZ0A10	Cloudflare Inc.	103.72
1966-08-31	USZ0A10	Cloudflare Inc.	103.97
1966-09-30	USZ0A10	Cloudflare Inc.	109.54
1966-10-31	USZ0A10	Cloudflare Inc.	108.24
1966-11-30	USZ0A10	Cloudflare Inc.	102.33
1966-12-31	USZ0A10	Cloudflare Inc.	107.17
1967-01-31	USZ0A10	Cloudflare Inc.	100.31
1967-02-28	USZ0A10	Cloudflare Inc.	107.21
1967-03-31	USZ0A10	Cloudflare Inc.	113.5
1967-04-30	USZ0A10	Cloudflare Inc.	110.69
1967-05-31	USZ0A10	Cloudflare Inc.	111.04
1967-06-30	USZ0A10	Cloudflare Inc.	110.7
1967-07-31	USZ0A10	Cloudflare Inc.	108.43
1967-08-31	USZ0A10	Cloudflare Inc.	105.65
1967-09-30	USZ0A10	Cloudflare Inc.	109.67
1967-10-31	USZ0A10	Cloudflare Inc.	109.54
1967-11-30	USZ0A10	Cloudflare Inc.	115.73
1967-12-31	USZ0A10	Cloudflare Inc.	115.71
1968-01-31	USZ0A10	Cloudflare Inc.	112.18
1968-02-29	USZ0A10	Cloudflare Inc.	115.42
1968-03-31	USZ0A10	Cloudflare Inc.	111.98
1968-04-30	USZ0A10	Cloudflare Inc.	107.6
1968-05-31	USZ0A10	Cloudflare Inc.	106.03
1968-06-30	USZ0A10	Cloudflare Inc.	107.39
1968-07-31	USZ0A10	Cloudflare Inc.	114.03
1968-08-31	USZ0A10	Cloudflare Inc.	118.83
1968-09-30	USZ0A10	Cloudflare Inc.	117.14
1968-10-31	USZ0A10	Cloudflare Inc.	118.35
1968-11-30	USZ0A10	Cloudflare Inc.	113.98
1968-12-31	USZ0A10	Cloudflare Inc.	107.13
1969-01-31	USZ0A10	Cloudflare Inc.	105.78
1969-02-28	USZ0A10	Cloudflare Inc.	109.46
1969-03-31	USZ0A10	Cloudflare Inc.	108.99
1969-04-30	USZ0A10	Cloudflare Inc.	112.64
1969-05-31	USZ0A10	Cloudflare Inc.	113.09
1969-06-30	USZ0A10	Cloudflare Inc.	113.11
1969-07-31	USZ0A10	Cloudflare Inc.	115.14
1969-08-31	USZ0A10	Cloudflare Inc.	114.68
1969-09-30	USZ0A10	Cloudflare Inc.	116.31
1969-10-31	USZ0A10	Cloudflare Inc.	118.53
1969-11-30	USZ0A10	Cloudflare Inc.	117.84
1969-12-31	USZ0A10	Cloudflare Inc.	111.77
