Date	Company Code	Company Name	Stock Price
1959-01-31	US5MS67	Coca-Cola Co.	108.23
1959-02-28	US5MS67	Coca-Cola Co.	110.99
1959-03-31	US5MS67	Coca-Cola Co.	107.0
1959-04-30	US5MS67	Coca-Cola Co.	114.64
1959-05-31	US5MS67	Coca-Cola Co.	121.05
1959-06-30	US5MS67	Coca-Cola Co.	116.31
1959-07-31	US5MS67	Coca-Cola Co.	115.05
1959-08-31	US5MS67	Coca-Cola Co.	115.85
1959-09-30	US5MS67	Coca-Cola Co.	112.57
1959-10-31	US5MS67	Coca-Cola Co.	113.47
1959-11-30	US5MS67	Coca-Cola Co.	116.05
1959-12-31	US5MS67	Coca-Cola Co.	117.86
1960-01-31	US5MS67	Coca-Cola Co.	114.27
1960-02-29	US5MS67	Coca-Cola Co.	109.28
1960-03-31	US5MS67	Coca-Cola Co.	109.67
1960-04-30	US5MS67	Coca-Cola Co.	102.36
1960-05-31	US5MS67	Coca-Cola Co.	102.3
1960-06-30	US5MS67	Coca-Cola Co.	100.91
1960-07-31	US5MS67	Coca-Cola Co.	109.25
1960-08-31	US5MS67	Coca-Cola Co.	112.3
1960-09-30	US5MS67	Coca-Cola Co.	114.76
1960-10-31	US5MS67	Coca-Cola Co.	117.61
1960-11-30	US5MS67	Coca-Cola Co.	119.97
1960-12-31	US5MS67	Coca-Cola Co.	118.4
1961-01-31	US5MS67	Coca-Cola Co.	121.11
1961-02-28	US5MS67	Coca-Cola Co.	117.67
1961-03-31	US5MS67	Coca-Cola Co.	119.72
1961-04-30	US5MS67	Coca-Cola Co.	122.55
1961-05-31	US5MS67	Coca-Cola Co.	127.35
1961-06-30	US5MS67	Coca-Cola Co.	121.36
1961-07-31	US5MS67	Coca-Cola Co.	118.84
1961-08-31	US5MS67	Coca-Cola Co.	120.81
1961-09-30	US5MS67	Coca-Cola Co.	122.15
1961-10-31	US5MS67	Coca-Cola Co.	122.66
1961-11-30	US5MS67	Coca-Cola Co.	127.78
1961-12-31	US5MS67	Coca-Cola Co.	125.94
1962-01-31	US5MS67	Coca-Cola Co.	128.04
1962-02-28	US5MS67	Coca-Cola Co.	134.46
1962-03-31	US5MS67	Coca-Cola Co.	136.68
1962-04-30	US5MS67	Coca-Cola Co.	137.93
1962-05-31	US5MS67	Coca-Cola Co.	142.86
1962-06-30	US5MS67	Coca-Cola Co.	144.9
1962-07-31	US5MS67	Coca-Cola Co.	147.26
1962-08-31	US5MS67	Coca-Cola Co.	153.44
1962-09-30	US5MS67	Coca-Cola Co.	148.48
1962-10-31	US5MS67	Coca-Cola Co.	141.19
1962-11-30	US5MS67	Coca-Cola Co.	135.47
1962-12-31	US5MS67	Coca-Cola Co.	139.15
1963-01-31	US5MS67	Coca-Cola Co.	138.46
1963-02-28	US5MS67	Coca-Cola Co.	141.36
1963-03-31	US5MS67	Coca-Cola Co.	137.11
1963-04-30	US5MS67	Coca-Cola Co.	141.16
1963-05-31	US5MS67	Coca-Cola Co.	147.52
1963-06-30	US5MS67	Coca-Cola Co.	143.09
1963-07-31	US5MS67	Coca-Cola Co.	139.65
1963-08-31	US5MS67	Coca-Cola Co.	147.85
1963-09-30	US5MS67	Coca-Cola Co.	143.39
1963-10-31	US5MS67	Coca-Cola Co.	147.74
1963-11-30	US5MS67	Coca-Cola Co.	144.04
1963-12-31	US5MS67	Coca-Cola Co.	140.49
1964-01-31	US5MS67	Coca-Cola Co.	146.58
1964-02-29	US5MS67	Coca-Cola Co.	150.67
1964-03-31	US5MS67	Coca-Cola Co.	155.12
1964-04-30	US5MS67	Coca-Cola Co.	155.91
1964-05-31	US5MS67	Coca-Cola Co.	156.5
1964-06-30	US5MS67	Coca-Cola Co.	155.68
1964-07-31	US5MS67	Coca-Cola Co.	156.51
1964-08-31	US5MS67	Coca-Cola Co.	152.66
1964-09-30	US5MS67	Coca-Cola Co.	154.0
1964-10-31	US5MS67	Coca-Cola Co.	153.21
1964-11-30	US5MS67	Coca-Cola Co.	155.69
1964-12-31	US5MS67	Coca-Cola Co.	155.47
1965-01-31	US5MS67	Coca-Cola Co.	164.19
