Date	Company Code	Company Name	Stock Price
1959-01-31	UST9KD4	Costco Wholesale Corp.	95.83
1959-02-28	UST9KD4	Costco Wholesale Corp.	94.55
1959-03-31	UST9KD4	Costco Wholesale Corp.	95.64
1959-04-30	UST9KD4	Costco Wholesale Corp.	103.34
1959-05-31	UST9KD4	Costco Wholesale Corp.	110.82
1959-06-30	UST9KD4	Costco Wholesale Corp.	112.61
1959-07-31	UST9KD4	Costco Wholesale Corp.	114.29
1959-08-31	UST9KD4	Costco Wholesale Corp.	115.95
1959-09-30	UST9KD4	Costco Wholesale Corp.	117.68
1959-10-31	UST9KD4	Costco Wholesale Corp.	121.37
1959-11-30	UST9KD4	Costco Wholesale Corp.	120.15
1959-12-31	UST9KD4	Costco Wholesale Corp.	122.89
1960-01-31	UST9KD4	Costco Wholesale Corp.	121.33
1960-02-29	UST9KD4	Costco Wholesale Corp.	121.07
1960-03-31	UST9KD4	Costco Wholesale Corp.	122.75
1960-04-30	UST9KD4	Costco Wholesale Corp.	124.17
1960-05-31	UST9KD4	Costco Wholesale Corp.	119.33
1960-06-30	UST9KD4	Costco Wholesale Corp.	114.23
1960-07-31	UST9KD4	Costco Wholesale Corp.	114.81
1960-08-31	UST9KD4	Costco Wholesale Corp.	113.08
1960-09-30	UST9KD4	Costco Wholesale Corp.	112.87
1960-10-31	UST9KD4	Costco Wholesale Corp.	118.01
1960-11-30	UST9KD4	Costco Wholesale Corp.	118.81
1960-12-31	UST9KD4	Costco Wholesale Corp.	114.39
1961-01-31	UST9KD4	Costco Wholesale Corp.	114.49
1961-02-28	UST9KD4	Costco Wholesale Corp.	121.74
1961-03-31	UST9KD4	Costco Wholesale Corp.	115.59
1961-04-30	UST9KD4	Costco Wholesale Corp.	119.37
1961-05-31	UST9KD4	Costco Wholesale Corp.	118.69
1961-06-30	UST9KD4	Costco Wholesale Corp.	123.07
1961-07-31	UST9KD4	Costco Wholesale Corp.	122.49
1961-08-31	UST9KD4	Costco Wholesale Corp.	129.66
1961-09-30	UST9KD4	Costco Wholesale Corp.	133.58
1961-10-31	UST9KD4	Costco Wholesale Corp.	129.09
1961-11-30	UST9KD4	Costco Wholesale Corp.	126.47
1961-12-31	UST9KD4	Costco Wholesale Corp.	124.97
