Date	Company Code	Company Name	Stock Price
1959-01-31	USSJUJV	Craigslist	93.74
1959-02-28	USSJUJV	Craigslist	94.13
1959-03-31	USSJUJV	Craigslist	101.47
1959-04-30	USSJUJV	Craigslist	101.2
1959-05-31	USSJUJV	Craigslist	100.88
1959-06-30	USSJUJV	Craigslist	95.75
1959-07-31	USSJUJV	Craigslist	95.46
1959-08-31	USSJUJV	Craigslist	91.5
1959-09-30	USSJUJV	Craigslist	99.19
1959-10-31	USSJUJV	Craigslist	97.68
1959-11-30	USSJUJV	Craigslist	95.43
1959-12-31	USSJUJV	Craigslist	102.06
1960-01-31	USSJUJV	Craigslist	98.77
1960-02-29	USSJUJV	Craigslist	106.25
1960-03-31	USSJUJV	Craigslist	109.9
1960-04-30	USSJUJV	Craigslist	110.69
1960-05-31	USSJUJV	Craigslist	111.53
1960-06-30	USSJUJV	Craigslist	106.13
1960-07-31	USSJUJV	Craigslist	109.62
1960-08-31	USSJUJV	Craigslist	112.22
1960-09-30	USSJUJV	Craigslist	108.01
1960-10-31	USSJUJV	Craigslist	103.57
1960-11-30	USSJUJV	Craigslist	104.38
1960-12-31	USSJUJV	Craigslist	106.48
1961-01-31	USSJUJV	Craigslist	108.28
1961-02-28	USSJUJV	Craigslist	100.0
1961-03-31	USSJUJV	Craigslist	99.62
1961-04-30	USSJUJV	Craigslist	99.04
1961-05-31	USSJUJV	Craigslist	99.53
1961-06-30	USSJUJV	Craigslist	96.31
1961-07-31	USSJUJV	Craigslist	96.75
1961-08-31	USSJUJV	Craigslist	98.09
1961-09-30	USSJUJV	Craigslist	95.58
1961-10-31	USSJUJV	Craigslist	92.3
1961-11-30	USSJUJV	Craigslist	86.47
1961-12-31	USSJUJV	Craigslist	88.46
1962-01-31	USSJUJV	Craigslist	86.51
1962-02-28	USSJUJV	Craigslist	82.53
1962-03-31	USSJUJV	Craigslist	80.44
1962-04-30	USSJUJV	Craigslist	76.85
1962-05-31	USSJUJV	Craigslist	75.89
1962-06-30	USSJUJV	Craigslist	80.2
1962-07-31	USSJUJV	Craigslist	79.25
1962-08-31	USSJUJV	Craigslist	82.5
1962-09-30	USSJUJV	Craigslist	82.32
1962-10-31	USSJUJV	Craigslist	79.51
1962-11-30	USSJUJV	Craigslist	84.57
1962-12-31	USSJUJV	Craigslist	88.56
1963-01-31	USSJUJV	Craigslist	83.3
1963-02-28	USSJUJV	Craigslist	84.53
1963-03-31	USSJUJV	Craigslist	84.58
1963-04-30	USSJUJV	Craigslist	86.93
1963-05-31	USSJUJV	Craigslist	88.2
1963-06-30	USSJUJV	Craigslist	82.96
1963-07-31	USSJUJV	Craigslist	82.12
1963-08-31	USSJUJV	Craigslist	81.0
1963-09-30	USSJUJV	Craigslist	78.35
1963-10-31	USSJUJV	Craigslist	83.4
1963-11-30	USSJUJV	Craigslist	85.47
1963-12-31	USSJUJV	Craigslist	84.73
1964-01-31	USSJUJV	Craigslist	82.13
1964-02-29	USSJUJV	Craigslist	82.24
1964-03-31	USSJUJV	Craigslist	80.06
1964-04-30	USSJUJV	Craigslist	80.55
1964-05-31	USSJUJV	Craigslist	83.11
1964-06-30	USSJUJV	Craigslist	83.95
1964-07-31	USSJUJV	Craigslist	81.01
1964-08-31	USSJUJV	Craigslist	82.94
1964-09-30	USSJUJV	Craigslist	82.7
1964-10-31	USSJUJV	Craigslist	84.38
1964-11-30	USSJUJV	Craigslist	83.39
1964-12-31	USSJUJV	Craigslist	79.32
1965-01-31	USSJUJV	Craigslist	86.3
1965-02-28	USSJUJV	Craigslist	84.68
1965-03-31	USSJUJV	Craigslist	78.67
1965-04-30	USSJUJV	Craigslist	77.54
1965-05-31	USSJUJV	Craigslist	83.13
1965-06-30	USSJUJV	Craigslist	81.0
1965-07-31	USSJUJV	Craigslist	80.58
1965-08-31	USSJUJV	Craigslist	80.46
1965-09-30	USSJUJV	Craigslist	79.18
1965-10-31	USSJUJV	Craigslist	76.69
1965-11-30	USSJUJV	Craigslist	73.78
1965-12-31	USSJUJV	Craigslist	79.0
1966-01-31	USSJUJV	Craigslist	78.34
1966-02-28	USSJUJV	Craigslist	74.19
1966-03-31	USSJUJV	Craigslist	76.32
1966-04-30	USSJUJV	Craigslist	79.65
1966-05-31	USSJUJV	Craigslist	78.08
1966-06-30	USSJUJV	Craigslist	85.69
1966-07-31	USSJUJV	Craigslist	92.02
1966-08-31	USSJUJV	Craigslist	93.48
1966-09-30	USSJUJV	Craigslist	94.36
1966-10-31	USSJUJV	Craigslist	90.77
1966-11-30	USSJUJV	Craigslist	94.96
1966-12-31	USSJUJV	Craigslist	98.11
1967-01-31	USSJUJV	Craigslist	102.71
