Date	Company Code	Company Name	Stock Price
1959-01-31	US3A02A	CrowdStrike Holdings Inc.	113.17
1959-02-28	US3A02A	CrowdStrike Holdings Inc.	113.87
1959-03-31	US3A02A	CrowdStrike Holdings Inc.	107.87
1959-04-30	US3A02A	CrowdStrike Holdings Inc.	105.61
1959-05-31	US3A02A	CrowdStrike Holdings Inc.	98.44
1959-06-30	US3A02A	CrowdStrike Holdings Inc.	101.59
1959-07-31	US3A02A	CrowdStrike Holdings Inc.	103.39
1959-08-31	US3A02A	CrowdStrike Holdings Inc.	99.71
1959-09-30	US3A02A	CrowdStrike Holdings Inc.	105.52
1959-10-31	US3A02A	CrowdStrike Holdings Inc.	105.95
1959-11-30	US3A02A	CrowdStrike Holdings Inc.	101.81
1959-12-31	US3A02A	CrowdStrike Holdings Inc.	102.45
1960-01-31	US3A02A	CrowdStrike Holdings Inc.	103.28
1960-02-29	US3A02A	CrowdStrike Holdings Inc.	106.24
1960-03-31	US3A02A	CrowdStrike Holdings Inc.	102.69
1960-04-30	US3A02A	CrowdStrike Holdings Inc.	107.09
1960-05-31	US3A02A	CrowdStrike Holdings Inc.	110.31
1960-06-30	US3A02A	CrowdStrike Holdings Inc.	111.44
1960-07-31	US3A02A	CrowdStrike Holdings Inc.	111.74
1960-08-31	US3A02A	CrowdStrike Holdings Inc.	115.23
1960-09-30	US3A02A	CrowdStrike Holdings Inc.	115.48
1960-10-31	US3A02A	CrowdStrike Holdings Inc.	115.56
1960-11-30	US3A02A	CrowdStrike Holdings Inc.	112.67
1960-12-31	US3A02A	CrowdStrike Holdings Inc.	113.01
1961-01-31	US3A02A	CrowdStrike Holdings Inc.	111.47
1961-02-28	US3A02A	CrowdStrike Holdings Inc.	109.99
1961-03-31	US3A02A	CrowdStrike Holdings Inc.	110.68
1961-04-30	US3A02A	CrowdStrike Holdings Inc.	116.47
1961-05-31	US3A02A	CrowdStrike Holdings Inc.	115.57
1961-06-30	US3A02A	CrowdStrike Holdings Inc.	119.02
1961-07-31	US3A02A	CrowdStrike Holdings Inc.	119.91
1961-08-31	US3A02A	CrowdStrike Holdings Inc.	121.23
1961-09-30	US3A02A	CrowdStrike Holdings Inc.	127.75
1961-10-31	US3A02A	CrowdStrike Holdings Inc.	127.4
1961-11-30	US3A02A	CrowdStrike Holdings Inc.	125.81
1961-12-31	US3A02A	CrowdStrike Holdings Inc.	125.11
1962-01-31	US3A02A	CrowdStrike Holdings Inc.	117.49
1962-02-28	US3A02A	CrowdStrike Holdings Inc.	111.83
1962-03-31	US3A02A	CrowdStrike Holdings Inc.	111.87
1962-04-30	US3A02A	CrowdStrike Holdings Inc.	113.39
1962-05-31	US3A02A	CrowdStrike Holdings Inc.	123.1
1962-06-30	US3A02A	CrowdStrike Holdings Inc.	119.37
1962-07-31	US3A02A	CrowdStrike Holdings Inc.	121.45
1962-08-31	US3A02A	CrowdStrike Holdings Inc.	128.45
1962-09-30	US3A02A	CrowdStrike Holdings Inc.	124.22
1962-10-31	US3A02A	CrowdStrike Holdings Inc.	122.18
1962-11-30	US3A02A	CrowdStrike Holdings Inc.	119.75
1962-12-31	US3A02A	CrowdStrike Holdings Inc.	112.39
1963-01-31	US3A02A	CrowdStrike Holdings Inc.	108.35
1963-02-28	US3A02A	CrowdStrike Holdings Inc.	110.87
1963-03-31	US3A02A	CrowdStrike Holdings Inc.	112.95
1963-04-30	US3A02A	CrowdStrike Holdings Inc.	109.08
1963-05-31	US3A02A	CrowdStrike Holdings Inc.	112.59
1963-06-30	US3A02A	CrowdStrike Holdings Inc.	116.61
1963-07-31	US3A02A	CrowdStrike Holdings Inc.	119.21
1963-08-31	US3A02A	CrowdStrike Holdings Inc.	117.71
1963-09-30	US3A02A	CrowdStrike Holdings Inc.	113.97
1963-10-31	US3A02A	CrowdStrike Holdings Inc.	113.54
1963-11-30	US3A02A	CrowdStrike Holdings Inc.	111.3
1963-12-31	US3A02A	CrowdStrike Holdings Inc.	113.37
1964-01-31	US3A02A	CrowdStrike Holdings Inc.	110.94
1964-02-29	US3A02A	CrowdStrike Holdings Inc.	112.3
1964-03-31	US3A02A	CrowdStrike Holdings Inc.	109.19
1964-04-30	US3A02A	CrowdStrike Holdings Inc.	102.93
1964-05-31	US3A02A	CrowdStrike Holdings Inc.	97.21
1964-06-30	US3A02A	CrowdStrike Holdings Inc.	100.07
1964-07-31	US3A02A	CrowdStrike Holdings Inc.	98.1
1964-08-31	US3A02A	CrowdStrike Holdings Inc.	92.63
1964-09-30	US3A02A	CrowdStrike Holdings Inc.	92.25
1964-10-31	US3A02A	CrowdStrike Holdings Inc.	91.27
1964-11-30	US3A02A	CrowdStrike Holdings Inc.	93.19
1964-12-31	US3A02A	CrowdStrike Holdings Inc.	90.78
1965-01-31	US3A02A	CrowdStrike Holdings Inc.	89.68
1965-02-28	US3A02A	CrowdStrike Holdings Inc.	89.43
1965-03-31	US3A02A	CrowdStrike Holdings Inc.	94.47
1965-04-30	US3A02A	CrowdStrike Holdings Inc.	91.99
1965-05-31	US3A02A	CrowdStrike Holdings Inc.	93.02
1965-06-30	US3A02A	CrowdStrike Holdings Inc.	93.61
1965-07-31	US3A02A	CrowdStrike Holdings Inc.	90.72
1965-08-31	US3A02A	CrowdStrike Holdings Inc.	85.13
1965-09-30	US3A02A	CrowdStrike Holdings Inc.	89.55
1965-10-31	US3A02A	CrowdStrike Holdings Inc.	90.75
1965-11-30	US3A02A	CrowdStrike Holdings Inc.	92.99
1965-12-31	US3A02A	CrowdStrike Holdings Inc.	97.39
1966-01-31	US3A02A	CrowdStrike Holdings Inc.	96.07
1966-02-28	US3A02A	CrowdStrike Holdings Inc.	99.6
1966-03-31	US3A02A	CrowdStrike Holdings Inc.	97.94
1966-04-30	US3A02A	CrowdStrike Holdings Inc.	96.34
1966-05-31	US3A02A	CrowdStrike Holdings Inc.	93.73
1966-06-30	US3A02A	CrowdStrike Holdings Inc.	92.94
1966-07-31	US3A02A	CrowdStrike Holdings Inc.	87.23
1966-08-31	US3A02A	CrowdStrike Holdings Inc.	87.23
1966-09-30	US3A02A	CrowdStrike Holdings Inc.	86.22
1966-10-31	US3A02A	CrowdStrike Holdings Inc.	87.67
