Date	Company Code	Company Name	Stock Price
1959-01-31	USJYQMC	D.R. Horton Inc.	96.47
1959-02-28	USJYQMC	D.R. Horton Inc.	97.18
1959-03-31	USJYQMC	D.R. Horton Inc.	93.82
1959-04-30	USJYQMC	D.R. Horton Inc.	96.23
1959-05-31	USJYQMC	D.R. Horton Inc.	95.43
1959-06-30	USJYQMC	D.R. Horton Inc.	99.44
1959-07-31	USJYQMC	D.R. Horton Inc.	103.66
1959-08-31	USJYQMC	D.R. Horton Inc.	104.92
1959-09-30	USJYQMC	D.R. Horton Inc.	105.3
1959-10-31	USJYQMC	D.R. Horton Inc.	110.31
1959-11-30	USJYQMC	D.R. Horton Inc.	113.95
1959-12-31	USJYQMC	D.R. Horton Inc.	120.24
1960-01-31	USJYQMC	D.R. Horton Inc.	121.88
1960-02-29	USJYQMC	D.R. Horton Inc.	128.11
1960-03-31	USJYQMC	D.R. Horton Inc.	128.76
1960-04-30	USJYQMC	D.R. Horton Inc.	130.32
1960-05-31	USJYQMC	D.R. Horton Inc.	131.92
1960-06-30	USJYQMC	D.R. Horton Inc.	126.18
1960-07-31	USJYQMC	D.R. Horton Inc.	127.88
1960-08-31	USJYQMC	D.R. Horton Inc.	126.76
1960-09-30	USJYQMC	D.R. Horton Inc.	131.7
1960-10-31	USJYQMC	D.R. Horton Inc.	133.02
1960-11-30	USJYQMC	D.R. Horton Inc.	132.31
1960-12-31	USJYQMC	D.R. Horton Inc.	127.17
1961-01-31	USJYQMC	D.R. Horton Inc.	130.88
1961-02-28	USJYQMC	D.R. Horton Inc.	124.41
1961-03-31	USJYQMC	D.R. Horton Inc.	119.52
1961-04-30	USJYQMC	D.R. Horton Inc.	114.82
1961-05-31	USJYQMC	D.R. Horton Inc.	118.4
1961-06-30	USJYQMC	D.R. Horton Inc.	120.78
1961-07-31	USJYQMC	D.R. Horton Inc.	118.37
1961-08-31	USJYQMC	D.R. Horton Inc.	113.19
1961-09-30	USJYQMC	D.R. Horton Inc.	117.28
1961-10-31	USJYQMC	D.R. Horton Inc.	107.51
1961-11-30	USJYQMC	D.R. Horton Inc.	109.04
1961-12-31	USJYQMC	D.R. Horton Inc.	110.1
1962-01-31	USJYQMC	D.R. Horton Inc.	115.39
1962-02-28	USJYQMC	D.R. Horton Inc.	109.4
1962-03-31	USJYQMC	D.R. Horton Inc.	105.79
1962-04-30	USJYQMC	D.R. Horton Inc.	103.37
1962-05-31	USJYQMC	D.R. Horton Inc.	106.85
1962-06-30	USJYQMC	D.R. Horton Inc.	111.85
1962-07-31	USJYQMC	D.R. Horton Inc.	109.05
1962-08-31	USJYQMC	D.R. Horton Inc.	110.89
1962-09-30	USJYQMC	D.R. Horton Inc.	114.25
