Date	Company Code	Company Name	Stock Price
1959-01-31	US8H8LT	Datadog Inc.	113.07
1959-02-28	US8H8LT	Datadog Inc.	113.98
1959-03-31	US8H8LT	Datadog Inc.	108.66
1959-04-30	US8H8LT	Datadog Inc.	115.19
1959-05-31	US8H8LT	Datadog Inc.	115.74
1959-06-30	US8H8LT	Datadog Inc.	112.05
1959-07-31	US8H8LT	Datadog Inc.	117.22
1959-08-31	US8H8LT	Datadog Inc.	119.01
1959-09-30	US8H8LT	Datadog Inc.	118.25
1959-10-31	US8H8LT	Datadog Inc.	121.4
1959-11-30	US8H8LT	Datadog Inc.	115.25
1959-12-31	US8H8LT	Datadog Inc.	116.61
1960-01-31	US8H8LT	Datadog Inc.	121.29
1960-02-29	US8H8LT	Datadog Inc.	125.29
1960-03-31	US8H8LT	Datadog Inc.	124.62
1960-04-30	US8H8LT	Datadog Inc.	120.5
1960-05-31	US8H8LT	Datadog Inc.	119.91
1960-06-30	US8H8LT	Datadog Inc.	117.9
1960-07-31	US8H8LT	Datadog Inc.	117.84
1960-08-31	US8H8LT	Datadog Inc.	122.53
1960-09-30	US8H8LT	Datadog Inc.	123.87
1960-10-31	US8H8LT	Datadog Inc.	123.94
1960-11-30	US8H8LT	Datadog Inc.	132.2
1960-12-31	US8H8LT	Datadog Inc.	132.29
1961-01-31	US8H8LT	Datadog Inc.	129.51
1961-02-28	US8H8LT	Datadog Inc.	126.04
1961-03-31	US8H8LT	Datadog Inc.	125.85
1961-04-30	US8H8LT	Datadog Inc.	125.84
1961-05-31	US8H8LT	Datadog Inc.	127.3
1961-06-30	US8H8LT	Datadog Inc.	126.51
1961-07-31	US8H8LT	Datadog Inc.	127.95
1961-08-31	US8H8LT	Datadog Inc.	129.93
1961-09-30	US8H8LT	Datadog Inc.	130.17
1961-10-31	US8H8LT	Datadog Inc.	128.94
1961-11-30	US8H8LT	Datadog Inc.	126.39
1961-12-31	US8H8LT	Datadog Inc.	126.35
1962-01-31	US8H8LT	Datadog Inc.	121.74
1962-02-28	US8H8LT	Datadog Inc.	115.82
1962-03-31	US8H8LT	Datadog Inc.	108.96
1962-04-30	US8H8LT	Datadog Inc.	105.79
1962-05-31	US8H8LT	Datadog Inc.	104.64
1962-06-30	US8H8LT	Datadog Inc.	101.96
1962-07-31	US8H8LT	Datadog Inc.	101.47
1962-08-31	US8H8LT	Datadog Inc.	100.42
1962-09-30	US8H8LT	Datadog Inc.	99.32
1962-10-31	US8H8LT	Datadog Inc.	94.95
1962-11-30	US8H8LT	Datadog Inc.	100.8
1962-12-31	US8H8LT	Datadog Inc.	99.17
1963-01-31	US8H8LT	Datadog Inc.	102.53
1963-02-28	US8H8LT	Datadog Inc.	97.01
1963-03-31	US8H8LT	Datadog Inc.	95.8
1963-04-30	US8H8LT	Datadog Inc.	95.75
1963-05-31	US8H8LT	Datadog Inc.	101.55
1963-06-30	US8H8LT	Datadog Inc.	101.18
1963-07-31	US8H8LT	Datadog Inc.	106.89
1963-08-31	US8H8LT	Datadog Inc.	105.42
1963-09-30	US8H8LT	Datadog Inc.	106.99
1963-10-31	US8H8LT	Datadog Inc.	110.47
1963-11-30	US8H8LT	Datadog Inc.	106.05
1963-12-31	US8H8LT	Datadog Inc.	106.9
1964-01-31	US8H8LT	Datadog Inc.	101.57
1964-02-29	US8H8LT	Datadog Inc.	102.96
1964-03-31	US8H8LT	Datadog Inc.	105.4
1964-04-30	US8H8LT	Datadog Inc.	113.27
1964-05-31	US8H8LT	Datadog Inc.	115.73
1964-06-30	US8H8LT	Datadog Inc.	115.46
1964-07-31	US8H8LT	Datadog Inc.	117.97
1964-08-31	US8H8LT	Datadog Inc.	116.09
1964-09-30	US8H8LT	Datadog Inc.	112.21
1964-10-31	US8H8LT	Datadog Inc.	108.13
1964-11-30	US8H8LT	Datadog Inc.	109.21
1964-12-31	US8H8LT	Datadog Inc.	107.48
1965-01-31	US8H8LT	Datadog Inc.	104.48
1965-02-28	US8H8LT	Datadog Inc.	100.51
1965-03-31	US8H8LT	Datadog Inc.	92.85
1965-04-30	US8H8LT	Datadog Inc.	86.58
1965-05-31	US8H8LT	Datadog Inc.	84.74
1965-06-30	US8H8LT	Datadog Inc.	87.73
1965-07-31	US8H8LT	Datadog Inc.	87.17
1965-08-31	US8H8LT	Datadog Inc.	84.97
1965-09-30	US8H8LT	Datadog Inc.	82.62
1965-10-31	US8H8LT	Datadog Inc.	84.07
1965-11-30	US8H8LT	Datadog Inc.	82.05
1965-12-31	US8H8LT	Datadog Inc.	79.98
1966-01-31	US8H8LT	Datadog Inc.	75.15
1966-02-28	US8H8LT	Datadog Inc.	70.14
1966-03-31	US8H8LT	Datadog Inc.	72.17
1966-04-30	US8H8LT	Datadog Inc.	67.62
1966-05-31	US8H8LT	Datadog Inc.	64.81
1966-06-30	US8H8LT	Datadog Inc.	61.610576061119815
1966-07-31	US8H8LT	Datadog Inc.	61.217809918390856
1966-08-31	US8H8LT	Datadog Inc.	60.03
1966-09-30	US8H8LT	Datadog Inc.	65.23
1966-10-31	US8H8LT	Datadog Inc.	65.98
1966-11-30	US8H8LT	Datadog Inc.	62.74
1966-12-31	US8H8LT	Datadog Inc.	63.51
1967-01-31	US8H8LT	Datadog Inc.	61.7206880365696
1967-02-28	US8H8LT	Datadog Inc.	61.01936529344343
1967-03-31	US8H8LT	Datadog Inc.	63.14
1967-04-30	US8H8LT	Datadog Inc.	61.25
1967-05-31	US8H8LT	Datadog Inc.	63.26
1967-06-30	US8H8LT	Datadog Inc.	64.97
1967-07-31	US8H8LT	Datadog Inc.	69.1
1967-08-31	US8H8LT	Datadog Inc.	66.19
1967-09-30	US8H8LT	Datadog Inc.	75.05
1967-10-31	US8H8LT	Datadog Inc.	67.81
1967-11-30	US8H8LT	Datadog Inc.	67.12
1967-12-31	US8H8LT	Datadog Inc.	67.27
1968-01-31	US8H8LT	Datadog Inc.	61.039163057904716
1968-02-29	US8H8LT	Datadog Inc.	69.06
1968-03-31	US8H8LT	Datadog Inc.	66.36
1968-04-30	US8H8LT	Datadog Inc.	61.95
1968-05-31	US8H8LT	Datadog Inc.	66.53
1968-06-30	US8H8LT	Datadog Inc.	63.11
1968-07-31	US8H8LT	Datadog Inc.	63.0
1968-08-31	US8H8LT	Datadog Inc.	68.34
1968-09-30	US8H8LT	Datadog Inc.	70.6
1968-10-31	US8H8LT	Datadog Inc.	71.82
1968-11-30	US8H8LT	Datadog Inc.	71.59
1968-12-31	US8H8LT	Datadog Inc.	69.66
1969-01-31	US8H8LT	Datadog Inc.	65.99
1969-02-28	US8H8LT	Datadog Inc.	64.61
1969-03-31	US8H8LT	Datadog Inc.	64.38
1969-04-30	US8H8LT	Datadog Inc.	63.61
1969-05-31	US8H8LT	Datadog Inc.	62.64952614370432
1969-06-30	US8H8LT	Datadog Inc.	61.96
1969-07-31	US8H8LT	Datadog Inc.	62.71
1969-08-31	US8H8LT	Datadog Inc.	62.13365831136079
1969-09-30	US8H8LT	Datadog Inc.	62.59998054769595
1969-10-31	US8H8LT	Datadog Inc.	61.307997931762976
1969-11-30	US8H8LT	Datadog Inc.	62.00792395418552
1969-12-31	US8H8LT	Datadog Inc.	61.0830545914763
1970-01-31	US8H8LT	Datadog Inc.	62.11
