Date	Company Code	Company Name	Stock Price
1959-01-31	USID071	Depop	107.53
1959-02-28	USID071	Depop	105.9
1959-03-31	USID071	Depop	102.91
1959-04-30	USID071	Depop	98.65
1959-05-31	USID071	Depop	103.6
1959-06-30	USID071	Depop	99.78
1959-07-31	USID071	Depop	100.63
1959-08-31	USID071	Depop	92.23
1959-09-30	USID071	Depop	97.11
1959-10-31	USID071	Depop	96.82
1959-11-30	USID071	Depop	95.45
1959-12-31	USID071	Depop	90.71
1960-01-31	USID071	Depop	90.67
1960-02-29	USID071	Depop	90.51
1960-03-31	USID071	Depop	93.34
1960-04-30	USID071	Depop	92.42
1960-05-31	USID071	Depop	92.86
1960-06-30	USID071	Depop	96.02
1960-07-31	USID071	Depop	94.71
1960-08-31	USID071	Depop	88.67
1960-09-30	USID071	Depop	94.36
1960-10-31	USID071	Depop	94.78
1960-11-30	USID071	Depop	93.18
1960-12-31	USID071	Depop	90.79
1961-01-31	USID071	Depop	88.21
1961-02-28	USID071	Depop	97.09
1961-03-31	USID071	Depop	101.67
1961-04-30	USID071	Depop	103.38
1961-05-31	USID071	Depop	97.35
1961-06-30	USID071	Depop	96.74
1961-07-31	USID071	Depop	99.57
1961-08-31	USID071	Depop	96.15
1961-09-30	USID071	Depop	97.07
1961-10-31	USID071	Depop	95.91
1961-11-30	USID071	Depop	93.26
1961-12-31	USID071	Depop	92.43
1962-01-31	USID071	Depop	92.75
1962-02-28	USID071	Depop	93.76
1962-03-31	USID071	Depop	94.13
1962-04-30	USID071	Depop	97.32
1962-05-31	USID071	Depop	101.41
1962-06-30	USID071	Depop	97.4
1962-07-31	USID071	Depop	93.33
1962-08-31	USID071	Depop	89.7
1962-09-30	USID071	Depop	85.87
1962-10-31	USID071	Depop	93.21
1962-11-30	USID071	Depop	94.14
1962-12-31	USID071	Depop	97.17
1963-01-31	USID071	Depop	98.7
1963-02-28	USID071	Depop	99.56
1963-03-31	USID071	Depop	101.74
1963-04-30	USID071	Depop	102.34
1963-05-31	USID071	Depop	100.42
1963-06-30	USID071	Depop	98.39
1963-07-31	USID071	Depop	96.58
1963-08-31	USID071	Depop	93.23
1963-09-30	USID071	Depop	92.07
1963-10-31	USID071	Depop	90.54
1963-11-30	USID071	Depop	92.48
1963-12-31	USID071	Depop	93.25
1964-01-31	USID071	Depop	96.73
1964-02-29	USID071	Depop	96.21
1964-03-31	USID071	Depop	98.53
1964-04-30	USID071	Depop	105.2
1964-05-31	USID071	Depop	107.49
1964-06-30	USID071	Depop	114.97
1964-07-31	USID071	Depop	116.21
1964-08-31	USID071	Depop	116.67
1964-09-30	USID071	Depop	118.31
1964-10-31	USID071	Depop	127.8
1964-11-30	USID071	Depop	123.47
1964-12-31	USID071	Depop	118.7
1965-01-31	USID071	Depop	118.59
1965-02-28	USID071	Depop	110.91
1965-03-31	USID071	Depop	112.7
1965-04-30	USID071	Depop	104.4
1965-05-31	USID071	Depop	99.49
1965-06-30	USID071	Depop	99.3
1965-07-31	USID071	Depop	104.78
1965-08-31	USID071	Depop	109.86
1965-09-30	USID071	Depop	109.0
1965-10-31	USID071	Depop	107.85
1965-11-30	USID071	Depop	102.25
1965-12-31	USID071	Depop	94.96
1966-01-31	USID071	Depop	96.66
1966-02-28	USID071	Depop	95.91
1966-03-31	USID071	Depop	97.02
1966-04-30	USID071	Depop	94.02
1966-05-31	USID071	Depop	96.78
1966-06-30	USID071	Depop	97.21
1966-07-31	USID071	Depop	97.46
1966-08-31	USID071	Depop	104.81
1966-09-30	USID071	Depop	100.2
1966-10-31	USID071	Depop	94.69
1966-11-30	USID071	Depop	93.11
1966-12-31	USID071	Depop	95.73
1967-01-31	USID071	Depop	100.21
1967-02-28	USID071	Depop	100.12
1967-03-31	USID071	Depop	91.28
1967-04-30	USID071	Depop	92.73
1967-05-31	USID071	Depop	92.86
1967-06-30	USID071	Depop	86.24
1967-07-31	USID071	Depop	84.42
1967-08-31	USID071	Depop	80.86
1967-09-30	USID071	Depop	82.74
1967-10-31	USID071	Depop	84.32
1967-11-30	USID071	Depop	84.69
1967-12-31	USID071	Depop	90.1
1968-01-31	USID071	Depop	92.25
1968-02-29	USID071	Depop	88.2
1968-03-31	USID071	Depop	86.89
1968-04-30	USID071	Depop	85.07
1968-05-31	USID071	Depop	81.61
1968-06-30	USID071	Depop	79.54
1968-07-31	USID071	Depop	76.06
1968-08-31	USID071	Depop	76.47
1968-09-30	USID071	Depop	74.92
1968-10-31	USID071	Depop	70.18
1968-11-30	USID071	Depop	69.16
1968-12-31	USID071	Depop	72.14
1969-01-31	USID071	Depop	72.86
1969-02-28	USID071	Depop	72.64
1969-03-31	USID071	Depop	66.52
1969-04-30	USID071	Depop	65.4
1969-05-31	USID071	Depop	65.57
1969-06-30	USID071	Depop	66.5
1969-07-31	USID071	Depop	75.89
1969-08-31	USID071	Depop	66.94
1969-09-30	USID071	Depop	70.35
1969-10-31	USID071	Depop	66.93
1969-11-30	USID071	Depop	66.83
1969-12-31	USID071	Depop	67.89
1970-01-31	USID071	Depop	67.25
1970-02-28	USID071	Depop	66.44
1970-03-31	USID071	Depop	63.59
1970-04-30	USID071	Depop	64.36
1970-05-31	USID071	Depop	63.42
1970-06-30	USID071	Depop	62.97
1970-07-31	USID071	Depop	60.28
1970-08-31	USID071	Depop	61.69822743126647
1970-09-30	USID071	Depop	65.8
1970-10-31	USID071	Depop	64.02
1970-11-30	USID071	Depop	68.52
1970-12-31	USID071	Depop	65.67
1971-01-31	USID071	Depop	72.17
1971-02-28	USID071	Depop	68.62
1971-03-31	USID071	Depop	75.44
1971-04-30	USID071	Depop	71.27
1971-05-31	USID071	Depop	65.21
1971-06-30	USID071	Depop	67.61
1971-07-31	USID071	Depop	71.34
1971-08-31	USID071	Depop	72.49
1971-09-30	USID071	Depop	77.75
1971-10-31	USID071	Depop	77.64
1971-11-30	USID071	Depop	79.45
1971-12-31	USID071	Depop	79.41
1972-01-31	USID071	Depop	84.62
1972-02-29	USID071	Depop	85.92
1972-03-31	USID071	Depop	88.42
1972-04-30	USID071	Depop	83.15
1972-05-31	USID071	Depop	84.61
1972-06-30	USID071	Depop	79.2
1972-07-31	USID071	Depop	76.95
1972-08-31	USID071	Depop	83.15
1972-09-30	USID071	Depop	87.85
1972-10-31	USID071	Depop	88.56
1972-11-30	USID071	Depop	90.75
1972-12-31	USID071	Depop	83.72
1973-01-31	USID071	Depop	85.49
1973-02-28	USID071	Depop	90.76
1973-03-31	USID071	Depop	86.47
1973-04-30	USID071	Depop	81.91
1973-05-31	USID071	Depop	79.74
1973-06-30	USID071	Depop	75.08
1973-07-31	USID071	Depop	80.38
1973-08-31	USID071	Depop	83.14
1973-09-30	USID071	Depop	83.04
1973-10-31	USID071	Depop	81.94
1973-11-30	USID071	Depop	81.29
1973-12-31	USID071	Depop	78.99
1974-01-31	USID071	Depop	75.59
1974-02-28	USID071	Depop	82.55
1974-03-31	USID071	Depop	80.36
1974-04-30	USID071	Depop	79.47
1974-05-31	USID071	Depop	73.73
1974-06-30	USID071	Depop	68.48
1974-07-31	USID071	Depop	70.49
1974-08-31	USID071	Depop	70.27
1974-09-30	USID071	Depop	66.85
1974-10-31	USID071	Depop	71.12
1974-11-30	USID071	Depop	68.77
1974-12-31	USID071	Depop	75.31
1975-01-31	USID071	Depop	75.25
1975-02-28	USID071	Depop	71.31
1975-03-31	USID071	Depop	68.48
1975-04-30	USID071	Depop	70.4
1975-05-31	USID071	Depop	67.16
1975-06-30	USID071	Depop	61.68
1975-07-31	USID071	Depop	62.416020103639326
1975-08-31	USID071	Depop	68.78
1975-09-30	USID071	Depop	74.69
1975-10-31	USID071	Depop	72.45
1975-11-30	USID071	Depop	76.18
1975-12-31	USID071	Depop	77.25
1976-01-31	USID071	Depop	81.41
1976-02-29	USID071	Depop	81.31
1976-03-31	USID071	Depop	79.19
1976-04-30	USID071	Depop	74.91
1976-05-31	USID071	Depop	71.59
1976-06-30	USID071	Depop	71.6
1976-07-31	USID071	Depop	68.98
1976-08-31	USID071	Depop	60.93
1976-09-30	USID071	Depop	61.61
1976-10-31	USID071	Depop	64.04
1976-11-30	USID071	Depop	68.72
1976-12-31	USID071	Depop	71.24
1977-01-31	USID071	Depop	78.53
1977-02-28	USID071	Depop	75.16
1977-03-31	USID071	Depop	68.18
1977-04-30	USID071	Depop	70.36
1977-05-31	USID071	Depop	69.43
1977-06-30	USID071	Depop	78.32
1977-07-31	USID071	Depop	87.28
1977-08-31	USID071	Depop	88.41
1977-09-30	USID071	Depop	82.56
1977-10-31	USID071	Depop	75.84
1977-11-30	USID071	Depop	74.9
1977-12-31	USID071	Depop	80.7
1978-01-31	USID071	Depop	85.57
1978-02-28	USID071	Depop	78.49
1978-03-31	USID071	Depop	78.23
1978-04-30	USID071	Depop	81.63
1978-05-31	USID071	Depop	72.14
1978-06-30	USID071	Depop	72.98
1978-07-31	USID071	Depop	72.06
1978-08-31	USID071	Depop	71.0
1978-09-30	USID071	Depop	76.35
1978-10-31	USID071	Depop	77.15
1978-11-30	USID071	Depop	75.71
1978-12-31	USID071	Depop	79.58
1979-01-31	USID071	Depop	77.87
1979-02-28	USID071	Depop	78.67
1979-03-31	USID071	Depop	77.47
1979-04-30	USID071	Depop	78.1
1979-05-31	USID071	Depop	72.13
1979-06-30	USID071	Depop	67.15
1979-07-31	USID071	Depop	66.68
1979-08-31	USID071	Depop	63.26
1979-09-30	USID071	Depop	65.49
1979-10-31	USID071	Depop	65.64
1979-11-30	USID071	Depop	66.12
1979-12-31	USID071	Depop	64.92
1980-01-31	USID071	Depop	67.21
1980-02-29	USID071	Depop	69.42
1980-03-31	USID071	Depop	75.2
1980-04-30	USID071	Depop	71.07
1980-05-31	USID071	Depop	71.5
1980-06-30	USID071	Depop	70.72
1980-07-31	USID071	Depop	67.12
1980-08-31	USID071	Depop	64.9
1980-09-30	USID071	Depop	68.2
1980-10-31	USID071	Depop	71.06
1980-11-30	USID071	Depop	79.72
1980-12-31	USID071	Depop	76.17
1981-01-31	USID071	Depop	83.28
1981-02-28	USID071	Depop	90.87
1981-03-31	USID071	Depop	94.27
1981-04-30	USID071	Depop	95.88
1981-05-31	USID071	Depop	95.03
1981-06-30	USID071	Depop	93.8
1981-07-31	USID071	Depop	94.43
1981-08-31	USID071	Depop	94.26
1981-09-30	USID071	Depop	95.73
1981-10-31	USID071	Depop	94.36
1981-11-30	USID071	Depop	97.48
1981-12-31	USID071	Depop	94.05
1982-01-31	USID071	Depop	95.63
1982-02-28	USID071	Depop	86.29
1982-03-31	USID071	Depop	88.77
1982-04-30	USID071	Depop	89.81
1982-05-31	USID071	Depop	92.89
1982-06-30	USID071	Depop	92.28
1982-07-31	USID071	Depop	94.82
1982-08-31	USID071	Depop	91.47
1982-09-30	USID071	Depop	83.25
1982-10-31	USID071	Depop	81.31
1982-11-30	USID071	Depop	81.36
1982-12-31	USID071	Depop	85.17
1983-01-31	USID071	Depop	82.16
1983-02-28	USID071	Depop	77.68
1983-03-31	USID071	Depop	80.73
1983-04-30	USID071	Depop	82.48
1983-05-31	USID071	Depop	75.11
1983-06-30	USID071	Depop	79.21
1983-07-31	USID071	Depop	77.48
1983-08-31	USID071	Depop	78.97
1983-09-30	USID071	Depop	82.01
1983-10-31	USID071	Depop	77.63
1983-11-30	USID071	Depop	71.34
1983-12-31	USID071	Depop	71.6
1984-01-31	USID071	Depop	68.64
1984-02-29	USID071	Depop	69.19
1984-03-31	USID071	Depop	61.74
1984-04-30	USID071	Depop	62.31
1984-05-31	USID071	Depop	61.77
1984-06-30	USID071	Depop	66.23
1984-07-31	USID071	Depop	64.55
1984-08-31	USID071	Depop	65.67
1984-09-30	USID071	Depop	69.25
1984-10-31	USID071	Depop	72.89
1984-11-30	USID071	Depop	76.34
1984-12-31	USID071	Depop	79.76
1985-01-31	USID071	Depop	85.77
