Date	Company Code	Company Name	Stock Price
1959-01-31	US4T2A4	Dollar General Corp.	113.92
1959-02-28	US4T2A4	Dollar General Corp.	113.66
1959-03-31	US4T2A4	Dollar General Corp.	113.81
1959-04-30	US4T2A4	Dollar General Corp.	121.0
1959-05-31	US4T2A4	Dollar General Corp.	123.87
1959-06-30	US4T2A4	Dollar General Corp.	124.09
1959-07-31	US4T2A4	Dollar General Corp.	116.61
1959-08-31	US4T2A4	Dollar General Corp.	118.66
1959-09-30	US4T2A4	Dollar General Corp.	116.2
1959-10-31	US4T2A4	Dollar General Corp.	116.58
1959-11-30	US4T2A4	Dollar General Corp.	117.3
1959-12-31	US4T2A4	Dollar General Corp.	115.03
1960-01-31	US4T2A4	Dollar General Corp.	120.49
1960-02-29	US4T2A4	Dollar General Corp.	120.51
1960-03-31	US4T2A4	Dollar General Corp.	125.81
1960-04-30	US4T2A4	Dollar General Corp.	127.83
1960-05-31	US4T2A4	Dollar General Corp.	123.0
1960-06-30	US4T2A4	Dollar General Corp.	125.34
1960-07-31	US4T2A4	Dollar General Corp.	128.94
1960-08-31	US4T2A4	Dollar General Corp.	123.92
1960-09-30	US4T2A4	Dollar General Corp.	118.25
1960-10-31	US4T2A4	Dollar General Corp.	121.96
1960-11-30	US4T2A4	Dollar General Corp.	126.67
1960-12-31	US4T2A4	Dollar General Corp.	128.81
1961-01-31	US4T2A4	Dollar General Corp.	125.74
1961-02-28	US4T2A4	Dollar General Corp.	129.03
1961-03-31	US4T2A4	Dollar General Corp.	137.38
1961-04-30	US4T2A4	Dollar General Corp.	129.84
1961-05-31	US4T2A4	Dollar General Corp.	133.31
1961-06-30	US4T2A4	Dollar General Corp.	130.8
1961-07-31	US4T2A4	Dollar General Corp.	126.36
1961-08-31	US4T2A4	Dollar General Corp.	122.78
1961-09-30	US4T2A4	Dollar General Corp.	116.75
1961-10-31	US4T2A4	Dollar General Corp.	117.54
1961-11-30	US4T2A4	Dollar General Corp.	123.76
1961-12-31	US4T2A4	Dollar General Corp.	121.63
1962-01-31	US4T2A4	Dollar General Corp.	113.14
1962-02-28	US4T2A4	Dollar General Corp.	117.75
1962-03-31	US4T2A4	Dollar General Corp.	118.99
1962-04-30	US4T2A4	Dollar General Corp.	119.71
1962-05-31	US4T2A4	Dollar General Corp.	120.03
1962-06-30	US4T2A4	Dollar General Corp.	116.96
1962-07-31	US4T2A4	Dollar General Corp.	116.07
1962-08-31	US4T2A4	Dollar General Corp.	115.66
1962-09-30	US4T2A4	Dollar General Corp.	116.47
1962-10-31	US4T2A4	Dollar General Corp.	117.97
1962-11-30	US4T2A4	Dollar General Corp.	118.69
1962-12-31	US4T2A4	Dollar General Corp.	114.73
1963-01-31	US4T2A4	Dollar General Corp.	108.02
1963-02-28	US4T2A4	Dollar General Corp.	110.15
1963-03-31	US4T2A4	Dollar General Corp.	113.77
1963-04-30	US4T2A4	Dollar General Corp.	110.89
1963-05-31	US4T2A4	Dollar General Corp.	112.44
1963-06-30	US4T2A4	Dollar General Corp.	113.43
1963-07-31	US4T2A4	Dollar General Corp.	120.01
1963-08-31	US4T2A4	Dollar General Corp.	121.5
1963-09-30	US4T2A4	Dollar General Corp.	126.51
1963-10-31	US4T2A4	Dollar General Corp.	120.86
1963-11-30	US4T2A4	Dollar General Corp.	120.54
1963-12-31	US4T2A4	Dollar General Corp.	119.66
1964-01-31	US4T2A4	Dollar General Corp.	114.79
1964-02-29	US4T2A4	Dollar General Corp.	115.52
1964-03-31	US4T2A4	Dollar General Corp.	111.32
1964-04-30	US4T2A4	Dollar General Corp.	105.76
1964-05-31	US4T2A4	Dollar General Corp.	108.54
1964-06-30	US4T2A4	Dollar General Corp.	110.91
1964-07-31	US4T2A4	Dollar General Corp.	110.45
1964-08-31	US4T2A4	Dollar General Corp.	117.6
1964-09-30	US4T2A4	Dollar General Corp.	114.71
1964-10-31	US4T2A4	Dollar General Corp.	116.47
1964-11-30	US4T2A4	Dollar General Corp.	115.87
1964-12-31	US4T2A4	Dollar General Corp.	120.8
1965-01-31	US4T2A4	Dollar General Corp.	115.19
1965-02-28	US4T2A4	Dollar General Corp.	113.35
1965-03-31	US4T2A4	Dollar General Corp.	109.95
1965-04-30	US4T2A4	Dollar General Corp.	105.6
1965-05-31	US4T2A4	Dollar General Corp.	102.89
1965-06-30	US4T2A4	Dollar General Corp.	101.5
1965-07-31	US4T2A4	Dollar General Corp.	98.63
1965-08-31	US4T2A4	Dollar General Corp.	98.52
1965-09-30	US4T2A4	Dollar General Corp.	96.1
1965-10-31	US4T2A4	Dollar General Corp.	94.6
1965-11-30	US4T2A4	Dollar General Corp.	92.47
1965-12-31	US4T2A4	Dollar General Corp.	85.59
1966-01-31	US4T2A4	Dollar General Corp.	85.09
1966-02-28	US4T2A4	Dollar General Corp.	81.41
1966-03-31	US4T2A4	Dollar General Corp.	89.97
1966-04-30	US4T2A4	Dollar General Corp.	88.08
1966-05-31	US4T2A4	Dollar General Corp.	88.84
1966-06-30	US4T2A4	Dollar General Corp.	83.49
1966-07-31	US4T2A4	Dollar General Corp.	83.55
1966-08-31	US4T2A4	Dollar General Corp.	87.0
1966-09-30	US4T2A4	Dollar General Corp.	83.89
1966-10-31	US4T2A4	Dollar General Corp.	91.39
1966-11-30	US4T2A4	Dollar General Corp.	85.81
1966-12-31	US4T2A4	Dollar General Corp.	87.82
1967-01-31	US4T2A4	Dollar General Corp.	89.85
1967-02-28	US4T2A4	Dollar General Corp.	82.68
1967-03-31	US4T2A4	Dollar General Corp.	84.17
1967-04-30	US4T2A4	Dollar General Corp.	79.47
1967-05-31	US4T2A4	Dollar General Corp.	79.92
