Date	Company Code	Company Name	Stock Price
1959-01-31	USFG91I	Dollar Tree Inc.	113.55
1959-02-28	USFG91I	Dollar Tree Inc.	112.44
1959-03-31	USFG91I	Dollar Tree Inc.	106.87
1959-04-30	USFG91I	Dollar Tree Inc.	107.46
1959-05-31	USFG91I	Dollar Tree Inc.	106.51
1959-06-30	USFG91I	Dollar Tree Inc.	101.84
1959-07-31	USFG91I	Dollar Tree Inc.	95.85
1959-08-31	USFG91I	Dollar Tree Inc.	98.77
1959-09-30	USFG91I	Dollar Tree Inc.	90.22
1959-10-31	USFG91I	Dollar Tree Inc.	86.69
1959-11-30	USFG91I	Dollar Tree Inc.	83.04
1959-12-31	USFG91I	Dollar Tree Inc.	87.85
1960-01-31	USFG91I	Dollar Tree Inc.	86.22
1960-02-29	USFG91I	Dollar Tree Inc.	88.89
1960-03-31	USFG91I	Dollar Tree Inc.	81.25
1960-04-30	USFG91I	Dollar Tree Inc.	79.41
1960-05-31	USFG91I	Dollar Tree Inc.	79.19
1960-06-30	USFG91I	Dollar Tree Inc.	78.03
1960-07-31	USFG91I	Dollar Tree Inc.	74.7
1960-08-31	USFG91I	Dollar Tree Inc.	78.84
1960-09-30	USFG91I	Dollar Tree Inc.	75.88
1960-10-31	USFG91I	Dollar Tree Inc.	77.95
1960-11-30	USFG91I	Dollar Tree Inc.	85.33
1960-12-31	USFG91I	Dollar Tree Inc.	83.2
1961-01-31	USFG91I	Dollar Tree Inc.	85.28
1961-02-28	USFG91I	Dollar Tree Inc.	89.49
1961-03-31	USFG91I	Dollar Tree Inc.	87.27
1961-04-30	USFG91I	Dollar Tree Inc.	89.75
1961-05-31	USFG91I	Dollar Tree Inc.	85.9
1961-06-30	USFG91I	Dollar Tree Inc.	84.82
1961-07-31	USFG91I	Dollar Tree Inc.	84.8
1961-08-31	USFG91I	Dollar Tree Inc.	84.85
1961-09-30	USFG91I	Dollar Tree Inc.	89.73
1961-10-31	USFG91I	Dollar Tree Inc.	88.25
1961-11-30	USFG91I	Dollar Tree Inc.	92.6
1961-12-31	USFG91I	Dollar Tree Inc.	87.63
1962-01-31	USFG91I	Dollar Tree Inc.	91.69
1962-02-28	USFG91I	Dollar Tree Inc.	85.25
1962-03-31	USFG91I	Dollar Tree Inc.	84.93
1962-04-30	USFG91I	Dollar Tree Inc.	91.48
1962-05-31	USFG91I	Dollar Tree Inc.	90.18
1962-06-30	USFG91I	Dollar Tree Inc.	92.98
1962-07-31	USFG91I	Dollar Tree Inc.	95.12
1962-08-31	USFG91I	Dollar Tree Inc.	88.49
1962-09-30	USFG91I	Dollar Tree Inc.	86.39
1962-10-31	USFG91I	Dollar Tree Inc.	79.61
1962-11-30	USFG91I	Dollar Tree Inc.	77.4
1962-12-31	USFG91I	Dollar Tree Inc.	73.09
1963-01-31	USFG91I	Dollar Tree Inc.	74.43
1963-02-28	USFG91I	Dollar Tree Inc.	75.2
1963-03-31	USFG91I	Dollar Tree Inc.	72.86
1963-04-30	USFG91I	Dollar Tree Inc.	70.89
1963-05-31	USFG91I	Dollar Tree Inc.	74.58
1963-06-30	USFG91I	Dollar Tree Inc.	74.0
1963-07-31	USFG91I	Dollar Tree Inc.	70.93
1963-08-31	USFG91I	Dollar Tree Inc.	71.08
1963-09-30	USFG91I	Dollar Tree Inc.	71.64
1963-10-31	USFG91I	Dollar Tree Inc.	73.35
1963-11-30	USFG91I	Dollar Tree Inc.	74.59
1963-12-31	USFG91I	Dollar Tree Inc.	80.05
1964-01-31	USFG91I	Dollar Tree Inc.	72.23
1964-02-29	USFG91I	Dollar Tree Inc.	71.54
1964-03-31	USFG91I	Dollar Tree Inc.	76.69
1964-04-30	USFG91I	Dollar Tree Inc.	82.91
1964-05-31	USFG91I	Dollar Tree Inc.	85.58
1964-06-30	USFG91I	Dollar Tree Inc.	86.68
1964-07-31	USFG91I	Dollar Tree Inc.	91.28
1964-08-31	USFG91I	Dollar Tree Inc.	89.71
1964-09-30	USFG91I	Dollar Tree Inc.	89.83
1964-10-31	USFG91I	Dollar Tree Inc.	92.95
1964-11-30	USFG91I	Dollar Tree Inc.	98.05
1964-12-31	USFG91I	Dollar Tree Inc.	99.86
1965-01-31	USFG91I	Dollar Tree Inc.	98.69
1965-02-28	USFG91I	Dollar Tree Inc.	91.94
1965-03-31	USFG91I	Dollar Tree Inc.	98.86
1965-04-30	USFG91I	Dollar Tree Inc.	97.3
1965-05-31	USFG91I	Dollar Tree Inc.	96.75
1965-06-30	USFG91I	Dollar Tree Inc.	97.68
1965-07-31	USFG91I	Dollar Tree Inc.	99.81
1965-08-31	USFG91I	Dollar Tree Inc.	95.55
1965-09-30	USFG91I	Dollar Tree Inc.	93.14
1965-10-31	USFG91I	Dollar Tree Inc.	102.72
1965-11-30	USFG91I	Dollar Tree Inc.	107.35
1965-12-31	USFG91I	Dollar Tree Inc.	103.13
1966-01-31	USFG91I	Dollar Tree Inc.	99.89
1966-02-28	USFG91I	Dollar Tree Inc.	98.26
1966-03-31	USFG91I	Dollar Tree Inc.	96.86
1966-04-30	USFG91I	Dollar Tree Inc.	97.82
1966-05-31	USFG91I	Dollar Tree Inc.	100.95
1966-06-30	USFG91I	Dollar Tree Inc.	97.35
1966-07-31	USFG91I	Dollar Tree Inc.	97.15
1966-08-31	USFG91I	Dollar Tree Inc.	96.05
1966-09-30	USFG91I	Dollar Tree Inc.	93.5
1966-10-31	USFG91I	Dollar Tree Inc.	92.67
1966-11-30	USFG91I	Dollar Tree Inc.	95.9
1966-12-31	USFG91I	Dollar Tree Inc.	95.31
1967-01-31	USFG91I	Dollar Tree Inc.	90.24
1967-02-28	USFG91I	Dollar Tree Inc.	92.43
1967-03-31	USFG91I	Dollar Tree Inc.	97.3
1967-04-30	USFG91I	Dollar Tree Inc.	100.73
1967-05-31	USFG91I	Dollar Tree Inc.	95.66
1967-06-30	USFG91I	Dollar Tree Inc.	96.16
1967-07-31	USFG91I	Dollar Tree Inc.	103.29
1967-08-31	USFG91I	Dollar Tree Inc.	105.97
1967-09-30	USFG91I	Dollar Tree Inc.	112.86
1967-10-31	USFG91I	Dollar Tree Inc.	112.65
1967-11-30	USFG91I	Dollar Tree Inc.	118.62
1967-12-31	USFG91I	Dollar Tree Inc.	118.89
1968-01-31	USFG91I	Dollar Tree Inc.	119.37
1968-02-29	USFG91I	Dollar Tree Inc.	122.5
1968-03-31	USFG91I	Dollar Tree Inc.	123.13
1968-04-30	USFG91I	Dollar Tree Inc.	122.26
1968-05-31	USFG91I	Dollar Tree Inc.	124.55
1968-06-30	USFG91I	Dollar Tree Inc.	121.53
1968-07-31	USFG91I	Dollar Tree Inc.	121.65
1968-08-31	USFG91I	Dollar Tree Inc.	121.44
1968-09-30	USFG91I	Dollar Tree Inc.	119.89
1968-10-31	USFG91I	Dollar Tree Inc.	128.68
1968-11-30	USFG91I	Dollar Tree Inc.	128.44
1968-12-31	USFG91I	Dollar Tree Inc.	133.86
1969-01-31	USFG91I	Dollar Tree Inc.	136.52
1969-02-28	USFG91I	Dollar Tree Inc.	134.61
1969-03-31	USFG91I	Dollar Tree Inc.	138.83
1969-04-30	USFG91I	Dollar Tree Inc.	141.52
1969-05-31	USFG91I	Dollar Tree Inc.	143.71
1969-06-30	USFG91I	Dollar Tree Inc.	145.6
1969-07-31	USFG91I	Dollar Tree Inc.	142.12
1969-08-31	USFG91I	Dollar Tree Inc.	138.18
1969-09-30	USFG91I	Dollar Tree Inc.	141.08
1969-10-31	USFG91I	Dollar Tree Inc.	136.85
1969-11-30	USFG91I	Dollar Tree Inc.	139.47
1969-12-31	USFG91I	Dollar Tree Inc.	140.57
1970-01-31	USFG91I	Dollar Tree Inc.	138.75
