Date	Company Code	Company Name	Stock Price
1959-01-31	USC07A4	DoorDash Inc.	102.22
1959-02-28	USC07A4	DoorDash Inc.	109.16
1959-03-31	USC07A4	DoorDash Inc.	114.69
1959-04-30	USC07A4	DoorDash Inc.	120.3
1959-05-31	USC07A4	DoorDash Inc.	118.96
1959-06-30	USC07A4	DoorDash Inc.	115.5
1959-07-31	USC07A4	DoorDash Inc.	115.9
1959-08-31	USC07A4	DoorDash Inc.	117.22
1959-09-30	USC07A4	DoorDash Inc.	115.14
1959-10-31	USC07A4	DoorDash Inc.	112.1
1959-11-30	USC07A4	DoorDash Inc.	109.11
1959-12-31	USC07A4	DoorDash Inc.	114.55
1960-01-31	USC07A4	DoorDash Inc.	114.82
1960-02-29	USC07A4	DoorDash Inc.	117.05
1960-03-31	USC07A4	DoorDash Inc.	122.25
1960-04-30	USC07A4	DoorDash Inc.	123.31
1960-05-31	USC07A4	DoorDash Inc.	122.17
1960-06-30	USC07A4	DoorDash Inc.	117.86
1960-07-31	USC07A4	DoorDash Inc.	114.84
1960-08-31	USC07A4	DoorDash Inc.	106.36
1960-09-30	USC07A4	DoorDash Inc.	116.08
1960-10-31	USC07A4	DoorDash Inc.	114.63
1960-11-30	USC07A4	DoorDash Inc.	110.89
1960-12-31	USC07A4	DoorDash Inc.	110.93
1961-01-31	USC07A4	DoorDash Inc.	115.02
1961-02-28	USC07A4	DoorDash Inc.	109.52
1961-03-31	USC07A4	DoorDash Inc.	111.39
1961-04-30	USC07A4	DoorDash Inc.	105.33
1961-05-31	USC07A4	DoorDash Inc.	102.61
1961-06-30	USC07A4	DoorDash Inc.	93.76
1961-07-31	USC07A4	DoorDash Inc.	92.99
1961-08-31	USC07A4	DoorDash Inc.	84.02
1961-09-30	USC07A4	DoorDash Inc.	78.73
1961-10-31	USC07A4	DoorDash Inc.	88.23
1961-11-30	USC07A4	DoorDash Inc.	86.77
1961-12-31	USC07A4	DoorDash Inc.	91.77
1962-01-31	USC07A4	DoorDash Inc.	94.5
1962-02-28	USC07A4	DoorDash Inc.	87.75
1962-03-31	USC07A4	DoorDash Inc.	79.54
1962-04-30	USC07A4	DoorDash Inc.	79.23
1962-05-31	USC07A4	DoorDash Inc.	75.72
1962-06-30	USC07A4	DoorDash Inc.	75.65
1962-07-31	USC07A4	DoorDash Inc.	74.57
1962-08-31	USC07A4	DoorDash Inc.	77.71
1962-09-30	USC07A4	DoorDash Inc.	74.14
1962-10-31	USC07A4	DoorDash Inc.	77.39
1962-11-30	USC07A4	DoorDash Inc.	75.93
1962-12-31	USC07A4	DoorDash Inc.	76.22
1963-01-31	USC07A4	DoorDash Inc.	78.08
1963-02-28	USC07A4	DoorDash Inc.	73.48
1963-03-31	USC07A4	DoorDash Inc.	69.16
1963-04-30	USC07A4	DoorDash Inc.	68.83
1963-05-31	USC07A4	DoorDash Inc.	74.96
1963-06-30	USC07A4	DoorDash Inc.	75.96
1963-07-31	USC07A4	DoorDash Inc.	76.89
1963-08-31	USC07A4	DoorDash Inc.	81.85
1963-09-30	USC07A4	DoorDash Inc.	87.98
1963-10-31	USC07A4	DoorDash Inc.	90.77
1963-11-30	USC07A4	DoorDash Inc.	86.13
1963-12-31	USC07A4	DoorDash Inc.	91.18
1964-01-31	USC07A4	DoorDash Inc.	95.67
1964-02-29	USC07A4	DoorDash Inc.	98.55
1964-03-31	USC07A4	DoorDash Inc.	98.15
1964-04-30	USC07A4	DoorDash Inc.	91.42
1964-05-31	USC07A4	DoorDash Inc.	93.26
1964-06-30	USC07A4	DoorDash Inc.	84.53
1964-07-31	USC07A4	DoorDash Inc.	86.77
1964-08-31	USC07A4	DoorDash Inc.	87.37
1964-09-30	USC07A4	DoorDash Inc.	91.56
1964-10-31	USC07A4	DoorDash Inc.	92.8
1964-11-30	USC07A4	DoorDash Inc.	85.92
1964-12-31	USC07A4	DoorDash Inc.	90.62
1965-01-31	USC07A4	DoorDash Inc.	91.07
1965-02-28	USC07A4	DoorDash Inc.	84.17
1965-03-31	USC07A4	DoorDash Inc.	88.78
1965-04-30	USC07A4	DoorDash Inc.	89.1
1965-05-31	USC07A4	DoorDash Inc.	89.49
1965-06-30	USC07A4	DoorDash Inc.	92.88
1965-07-31	USC07A4	DoorDash Inc.	91.34
1965-08-31	USC07A4	DoorDash Inc.	89.12
1965-09-30	USC07A4	DoorDash Inc.	95.86
1965-10-31	USC07A4	DoorDash Inc.	93.79
1965-11-30	USC07A4	DoorDash Inc.	101.83
1965-12-31	USC07A4	DoorDash Inc.	105.22
1966-01-31	USC07A4	DoorDash Inc.	104.82
1966-02-28	USC07A4	DoorDash Inc.	106.5
1966-03-31	USC07A4	DoorDash Inc.	101.36
1966-04-30	USC07A4	DoorDash Inc.	102.23
1966-05-31	USC07A4	DoorDash Inc.	105.69
1966-06-30	USC07A4	DoorDash Inc.	102.91
1966-07-31	USC07A4	DoorDash Inc.	108.12
1966-08-31	USC07A4	DoorDash Inc.	103.43
1966-09-30	USC07A4	DoorDash Inc.	108.64
1966-10-31	USC07A4	DoorDash Inc.	113.89
1966-11-30	USC07A4	DoorDash Inc.	113.85
1966-12-31	USC07A4	DoorDash Inc.	112.71
1967-01-31	USC07A4	DoorDash Inc.	115.4
1967-02-28	USC07A4	DoorDash Inc.	117.28
1967-03-31	USC07A4	DoorDash Inc.	120.51
1967-04-30	USC07A4	DoorDash Inc.	111.74
1967-05-31	USC07A4	DoorDash Inc.	110.61
1967-06-30	USC07A4	DoorDash Inc.	108.38
1967-07-31	USC07A4	DoorDash Inc.	109.96
1967-08-31	USC07A4	DoorDash Inc.	110.57
1967-09-30	USC07A4	DoorDash Inc.	111.53
1967-10-31	USC07A4	DoorDash Inc.	111.29
1967-11-30	USC07A4	DoorDash Inc.	104.43
1967-12-31	USC07A4	DoorDash Inc.	107.8
1968-01-31	USC07A4	DoorDash Inc.	107.58
1968-02-29	USC07A4	DoorDash Inc.	108.88
1968-03-31	USC07A4	DoorDash Inc.	108.27
1968-04-30	USC07A4	DoorDash Inc.	104.75
1968-05-31	USC07A4	DoorDash Inc.	107.53
1968-06-30	USC07A4	DoorDash Inc.	105.08
1968-07-31	USC07A4	DoorDash Inc.	111.7
1968-08-31	USC07A4	DoorDash Inc.	111.05
1968-09-30	USC07A4	DoorDash Inc.	110.66
1968-10-31	USC07A4	DoorDash Inc.	111.21
1968-11-30	USC07A4	DoorDash Inc.	110.78
1968-12-31	USC07A4	DoorDash Inc.	108.1
1969-01-31	USC07A4	DoorDash Inc.	106.5
1969-02-28	USC07A4	DoorDash Inc.	113.04
1969-03-31	USC07A4	DoorDash Inc.	117.7
1969-04-30	USC07A4	DoorDash Inc.	115.76
1969-05-31	USC07A4	DoorDash Inc.	121.72
1969-06-30	USC07A4	DoorDash Inc.	118.11
1969-07-31	USC07A4	DoorDash Inc.	109.65
1969-08-31	USC07A4	DoorDash Inc.	113.9
1969-09-30	USC07A4	DoorDash Inc.	109.66
1969-10-31	USC07A4	DoorDash Inc.	109.49
1969-11-30	USC07A4	DoorDash Inc.	108.45
1969-12-31	USC07A4	DoorDash Inc.	105.87
1970-01-31	USC07A4	DoorDash Inc.	108.86
1970-02-28	USC07A4	DoorDash Inc.	104.63
1970-03-31	USC07A4	DoorDash Inc.	108.36
1970-04-30	USC07A4	DoorDash Inc.	107.78
1970-05-31	USC07A4	DoorDash Inc.	108.0
1970-06-30	USC07A4	DoorDash Inc.	110.9
1970-07-31	USC07A4	DoorDash Inc.	113.44
1970-08-31	USC07A4	DoorDash Inc.	108.37
1970-09-30	USC07A4	DoorDash Inc.	110.47
1970-10-31	USC07A4	DoorDash Inc.	113.06
1970-11-30	USC07A4	DoorDash Inc.	114.05
1970-12-31	USC07A4	DoorDash Inc.	112.21
1971-01-31	USC07A4	DoorDash Inc.	108.86
1971-02-28	USC07A4	DoorDash Inc.	110.43
1971-03-31	USC07A4	DoorDash Inc.	106.21
1971-04-30	USC07A4	DoorDash Inc.	102.01
1971-05-31	USC07A4	DoorDash Inc.	99.5
1971-06-30	USC07A4	DoorDash Inc.	100.86
1971-07-31	USC07A4	DoorDash Inc.	102.01
1971-08-31	USC07A4	DoorDash Inc.	99.5
1971-09-30	USC07A4	DoorDash Inc.	105.71
1971-10-31	USC07A4	DoorDash Inc.	105.98
1971-11-30	USC07A4	DoorDash Inc.	104.49
1971-12-31	USC07A4	DoorDash Inc.	103.73
1972-01-31	USC07A4	DoorDash Inc.	110.48
1972-02-29	USC07A4	DoorDash Inc.	112.43
1972-03-31	USC07A4	DoorDash Inc.	112.17
1972-04-30	USC07A4	DoorDash Inc.	114.42
1972-05-31	USC07A4	DoorDash Inc.	113.8
1972-06-30	USC07A4	DoorDash Inc.	109.5
1972-07-31	USC07A4	DoorDash Inc.	109.86
1972-08-31	USC07A4	DoorDash Inc.	112.37
1972-09-30	USC07A4	DoorDash Inc.	112.47
1972-10-31	USC07A4	DoorDash Inc.	111.54
1972-11-30	USC07A4	DoorDash Inc.	111.76
1972-12-31	USC07A4	DoorDash Inc.	109.91
1973-01-31	USC07A4	DoorDash Inc.	103.63
1973-02-28	USC07A4	DoorDash Inc.	103.79
1973-03-31	USC07A4	DoorDash Inc.	107.13
1973-04-30	USC07A4	DoorDash Inc.	110.44
1973-05-31	USC07A4	DoorDash Inc.	111.35
1973-06-30	USC07A4	DoorDash Inc.	116.58
1973-07-31	USC07A4	DoorDash Inc.	111.66
1973-08-31	USC07A4	DoorDash Inc.	112.82
