Date	Company Code	Company Name	Stock Price
1959-01-31	USPXJ5N	Eaton Corp.	119.32
1959-02-28	USPXJ5N	Eaton Corp.	122.2
1959-03-31	USPXJ5N	Eaton Corp.	119.48
1959-04-30	USPXJ5N	Eaton Corp.	125.3
1959-05-31	USPXJ5N	Eaton Corp.	126.75
1959-06-30	USPXJ5N	Eaton Corp.	123.52
1959-07-31	USPXJ5N	Eaton Corp.	123.16
1959-08-31	USPXJ5N	Eaton Corp.	126.07
1959-09-30	USPXJ5N	Eaton Corp.	124.84
1959-10-31	USPXJ5N	Eaton Corp.	124.76
1959-11-30	USPXJ5N	Eaton Corp.	117.08
1959-12-31	USPXJ5N	Eaton Corp.	119.28
1960-01-31	USPXJ5N	Eaton Corp.	113.49
1960-02-29	USPXJ5N	Eaton Corp.	111.09
1960-03-31	USPXJ5N	Eaton Corp.	107.58
1960-04-30	USPXJ5N	Eaton Corp.	107.67
1960-05-31	USPXJ5N	Eaton Corp.	115.83
1960-06-30	USPXJ5N	Eaton Corp.	112.66
1960-07-31	USPXJ5N	Eaton Corp.	112.73
1960-08-31	USPXJ5N	Eaton Corp.	112.44
1960-09-30	USPXJ5N	Eaton Corp.	113.92
1960-10-31	USPXJ5N	Eaton Corp.	114.79
1960-11-30	USPXJ5N	Eaton Corp.	105.09
1960-12-31	USPXJ5N	Eaton Corp.	105.86
1961-01-31	USPXJ5N	Eaton Corp.	108.77
1961-02-28	USPXJ5N	Eaton Corp.	105.58
1961-03-31	USPXJ5N	Eaton Corp.	102.4
1961-04-30	USPXJ5N	Eaton Corp.	103.09
1961-05-31	USPXJ5N	Eaton Corp.	103.2
1961-06-30	USPXJ5N	Eaton Corp.	106.38
1961-07-31	USPXJ5N	Eaton Corp.	109.17
1961-08-31	USPXJ5N	Eaton Corp.	112.16
1961-09-30	USPXJ5N	Eaton Corp.	106.52
1961-10-31	USPXJ5N	Eaton Corp.	106.99
1961-11-30	USPXJ5N	Eaton Corp.	108.22
1961-12-31	USPXJ5N	Eaton Corp.	109.91
1962-01-31	USPXJ5N	Eaton Corp.	104.97
1962-02-28	USPXJ5N	Eaton Corp.	110.02
1962-03-31	USPXJ5N	Eaton Corp.	112.62
1962-04-30	USPXJ5N	Eaton Corp.	117.37
1962-05-31	USPXJ5N	Eaton Corp.	115.86
1962-06-30	USPXJ5N	Eaton Corp.	113.23
1962-07-31	USPXJ5N	Eaton Corp.	113.3
1962-08-31	USPXJ5N	Eaton Corp.	107.31
1962-09-30	USPXJ5N	Eaton Corp.	103.89
1962-10-31	USPXJ5N	Eaton Corp.	105.22
1962-11-30	USPXJ5N	Eaton Corp.	104.76
1962-12-31	USPXJ5N	Eaton Corp.	100.22
1963-01-31	USPXJ5N	Eaton Corp.	99.09
1963-02-28	USPXJ5N	Eaton Corp.	96.6
1963-03-31	USPXJ5N	Eaton Corp.	96.49
1963-04-30	USPXJ5N	Eaton Corp.	92.86
1963-05-31	USPXJ5N	Eaton Corp.	100.46
1963-06-30	USPXJ5N	Eaton Corp.	102.17
1963-07-31	USPXJ5N	Eaton Corp.	106.89
1963-08-31	USPXJ5N	Eaton Corp.	98.8
1963-09-30	USPXJ5N	Eaton Corp.	102.12
1963-10-31	USPXJ5N	Eaton Corp.	98.3
1963-11-30	USPXJ5N	Eaton Corp.	99.72
1963-12-31	USPXJ5N	Eaton Corp.	100.74
1964-01-31	USPXJ5N	Eaton Corp.	100.96
1964-02-29	USPXJ5N	Eaton Corp.	101.73
1964-03-31	USPXJ5N	Eaton Corp.	101.62
1964-04-30	USPXJ5N	Eaton Corp.	104.77
1964-05-31	USPXJ5N	Eaton Corp.	108.08
1964-06-30	USPXJ5N	Eaton Corp.	106.35
1964-07-31	USPXJ5N	Eaton Corp.	106.84
1964-08-31	USPXJ5N	Eaton Corp.	103.17
1964-09-30	USPXJ5N	Eaton Corp.	102.4
1964-10-31	USPXJ5N	Eaton Corp.	104.82
1964-11-30	USPXJ5N	Eaton Corp.	106.96
1964-12-31	USPXJ5N	Eaton Corp.	104.28
1965-01-31	USPXJ5N	Eaton Corp.	100.31
1965-02-28	USPXJ5N	Eaton Corp.	95.08
1965-03-31	USPXJ5N	Eaton Corp.	96.3
1965-04-30	USPXJ5N	Eaton Corp.	91.81
1965-05-31	USPXJ5N	Eaton Corp.	91.41
1965-06-30	USPXJ5N	Eaton Corp.	90.71
1965-07-31	USPXJ5N	Eaton Corp.	83.78
1965-08-31	USPXJ5N	Eaton Corp.	76.0
1965-09-30	USPXJ5N	Eaton Corp.	67.92
1965-10-31	USPXJ5N	Eaton Corp.	66.89
1965-11-30	USPXJ5N	Eaton Corp.	62.64435563952962
1965-12-31	USPXJ5N	Eaton Corp.	62.59364170057909
1966-01-31	USPXJ5N	Eaton Corp.	70.33
1966-02-28	USPXJ5N	Eaton Corp.	67.51
1966-03-31	USPXJ5N	Eaton Corp.	69.97
1966-04-30	USPXJ5N	Eaton Corp.	72.25
1966-05-31	USPXJ5N	Eaton Corp.	77.15
1966-06-30	USPXJ5N	Eaton Corp.	77.88
1966-07-31	USPXJ5N	Eaton Corp.	80.99
1966-08-31	USPXJ5N	Eaton Corp.	84.83
1966-09-30	USPXJ5N	Eaton Corp.	90.8
