Date	Company Code	Company Name	Stock Price
1959-01-31	USM5KLV	Elastic N.V.	104.02
1959-02-28	USM5KLV	Elastic N.V.	104.72
1959-03-31	USM5KLV	Elastic N.V.	101.07
1959-04-30	USM5KLV	Elastic N.V.	102.62
1959-05-31	USM5KLV	Elastic N.V.	106.24
1959-06-30	USM5KLV	Elastic N.V.	106.26
1959-07-31	USM5KLV	Elastic N.V.	106.92
1959-08-31	USM5KLV	Elastic N.V.	99.55
1959-09-30	USM5KLV	Elastic N.V.	102.12
1959-10-31	USM5KLV	Elastic N.V.	103.2
1959-11-30	USM5KLV	Elastic N.V.	111.76
1959-12-31	USM5KLV	Elastic N.V.	109.47
1960-01-31	USM5KLV	Elastic N.V.	110.11
1960-02-29	USM5KLV	Elastic N.V.	108.85
1960-03-31	USM5KLV	Elastic N.V.	109.34
1960-04-30	USM5KLV	Elastic N.V.	107.91
1960-05-31	USM5KLV	Elastic N.V.	103.24
1960-06-30	USM5KLV	Elastic N.V.	101.12
1960-07-31	USM5KLV	Elastic N.V.	93.7
1960-08-31	USM5KLV	Elastic N.V.	90.15
1960-09-30	USM5KLV	Elastic N.V.	92.12
1960-10-31	USM5KLV	Elastic N.V.	91.66
1960-11-30	USM5KLV	Elastic N.V.	88.13
1960-12-31	USM5KLV	Elastic N.V.	83.52
1961-01-31	USM5KLV	Elastic N.V.	89.27
1961-02-28	USM5KLV	Elastic N.V.	87.04
1961-03-31	USM5KLV	Elastic N.V.	87.91
1961-04-30	USM5KLV	Elastic N.V.	83.22
1961-05-31	USM5KLV	Elastic N.V.	83.25
1961-06-30	USM5KLV	Elastic N.V.	89.87
1961-07-31	USM5KLV	Elastic N.V.	91.29
1961-08-31	USM5KLV	Elastic N.V.	86.72
1961-09-30	USM5KLV	Elastic N.V.	90.01
1961-10-31	USM5KLV	Elastic N.V.	87.58
1961-11-30	USM5KLV	Elastic N.V.	90.7
1961-12-31	USM5KLV	Elastic N.V.	94.3
1962-01-31	USM5KLV	Elastic N.V.	91.62
1962-02-28	USM5KLV	Elastic N.V.	97.59
1962-03-31	USM5KLV	Elastic N.V.	92.07
1962-04-30	USM5KLV	Elastic N.V.	92.83
