Date	Company Code	Company Name	Stock Price
1959-01-31	USYSM7G	Emerson Electric Co.	111.63
1959-02-28	USYSM7G	Emerson Electric Co.	116.86
1959-03-31	USYSM7G	Emerson Electric Co.	113.05
1959-04-30	USYSM7G	Emerson Electric Co.	116.62
1959-05-31	USYSM7G	Emerson Electric Co.	113.89
1959-06-30	USYSM7G	Emerson Electric Co.	112.0
1959-07-31	USYSM7G	Emerson Electric Co.	111.15
1959-08-31	USYSM7G	Emerson Electric Co.	109.08
1959-09-30	USYSM7G	Emerson Electric Co.	112.04
1959-10-31	USYSM7G	Emerson Electric Co.	117.94
1959-11-30	USYSM7G	Emerson Electric Co.	115.76
1959-12-31	USYSM7G	Emerson Electric Co.	116.29
1960-01-31	USYSM7G	Emerson Electric Co.	114.85
1960-02-29	USYSM7G	Emerson Electric Co.	113.15
1960-03-31	USYSM7G	Emerson Electric Co.	117.85
1960-04-30	USYSM7G	Emerson Electric Co.	118.33
1960-05-31	USYSM7G	Emerson Electric Co.	124.17
1960-06-30	USYSM7G	Emerson Electric Co.	115.92
1960-07-31	USYSM7G	Emerson Electric Co.	118.32
1960-08-31	USYSM7G	Emerson Electric Co.	114.58
1960-09-30	USYSM7G	Emerson Electric Co.	119.67
1960-10-31	USYSM7G	Emerson Electric Co.	120.63
1960-11-30	USYSM7G	Emerson Electric Co.	116.35
1960-12-31	USYSM7G	Emerson Electric Co.	113.27
1961-01-31	USYSM7G	Emerson Electric Co.	109.09
1961-02-28	USYSM7G	Emerson Electric Co.	110.88
1961-03-31	USYSM7G	Emerson Electric Co.	118.83
1961-04-30	USYSM7G	Emerson Electric Co.	116.67
1961-05-31	USYSM7G	Emerson Electric Co.	113.0
1961-06-30	USYSM7G	Emerson Electric Co.	111.48
1961-07-31	USYSM7G	Emerson Electric Co.	112.45
1961-08-31	USYSM7G	Emerson Electric Co.	107.91
1961-09-30	USYSM7G	Emerson Electric Co.	105.3
1961-10-31	USYSM7G	Emerson Electric Co.	101.31
1961-11-30	USYSM7G	Emerson Electric Co.	95.62
1961-12-31	USYSM7G	Emerson Electric Co.	104.99
1962-01-31	USYSM7G	Emerson Electric Co.	109.19
1962-02-28	USYSM7G	Emerson Electric Co.	105.22
1962-03-31	USYSM7G	Emerson Electric Co.	106.49
1962-04-30	USYSM7G	Emerson Electric Co.	105.24
1962-05-31	USYSM7G	Emerson Electric Co.	109.75
1962-06-30	USYSM7G	Emerson Electric Co.	106.82
1962-07-31	USYSM7G	Emerson Electric Co.	104.9
1962-08-31	USYSM7G	Emerson Electric Co.	107.82
1962-09-30	USYSM7G	Emerson Electric Co.	108.98
1962-10-31	USYSM7G	Emerson Electric Co.	107.45
1962-11-30	USYSM7G	Emerson Electric Co.	111.47
1962-12-31	USYSM7G	Emerson Electric Co.	110.58
