Date	Company Code	Company Name	Stock Price
1959-01-31	US9PDU8	Etsy Inc.	94.61
1959-02-28	US9PDU8	Etsy Inc.	88.66
1959-03-31	US9PDU8	Etsy Inc.	92.24
1959-04-30	US9PDU8	Etsy Inc.	89.71
1959-05-31	US9PDU8	Etsy Inc.	94.32
1959-06-30	US9PDU8	Etsy Inc.	94.13
1959-07-31	US9PDU8	Etsy Inc.	100.5
1959-08-31	US9PDU8	Etsy Inc.	98.03
1959-09-30	US9PDU8	Etsy Inc.	101.09
1959-10-31	US9PDU8	Etsy Inc.	95.25
1959-11-30	US9PDU8	Etsy Inc.	92.63
1959-12-31	US9PDU8	Etsy Inc.	93.41
1960-01-31	US9PDU8	Etsy Inc.	94.68
1960-02-29	US9PDU8	Etsy Inc.	95.01
1960-03-31	US9PDU8	Etsy Inc.	96.53
1960-04-30	US9PDU8	Etsy Inc.	91.7
1960-05-31	US9PDU8	Etsy Inc.	93.72
1960-06-30	US9PDU8	Etsy Inc.	90.21
1960-07-31	US9PDU8	Etsy Inc.	92.25
1960-08-31	US9PDU8	Etsy Inc.	89.92
1960-09-30	US9PDU8	Etsy Inc.	90.25
1960-10-31	US9PDU8	Etsy Inc.	84.05
1960-11-30	US9PDU8	Etsy Inc.	85.86
1960-12-31	US9PDU8	Etsy Inc.	83.19
1961-01-31	US9PDU8	Etsy Inc.	76.76
1961-02-28	US9PDU8	Etsy Inc.	76.4
1961-03-31	US9PDU8	Etsy Inc.	79.54
1961-04-30	US9PDU8	Etsy Inc.	84.24
1961-05-31	US9PDU8	Etsy Inc.	78.67
1961-06-30	US9PDU8	Etsy Inc.	70.3
1961-07-31	US9PDU8	Etsy Inc.	73.45
1961-08-31	US9PDU8	Etsy Inc.	71.03
1961-09-30	US9PDU8	Etsy Inc.	70.24
1961-10-31	US9PDU8	Etsy Inc.	73.51
1961-11-30	US9PDU8	Etsy Inc.	68.14
1961-12-31	US9PDU8	Etsy Inc.	66.24
1962-01-31	US9PDU8	Etsy Inc.	65.3
1962-02-28	US9PDU8	Etsy Inc.	66.82
1962-03-31	US9PDU8	Etsy Inc.	70.36
1962-04-30	US9PDU8	Etsy Inc.	70.91
1962-05-31	US9PDU8	Etsy Inc.	77.66
1962-06-30	US9PDU8	Etsy Inc.	74.26
1962-07-31	US9PDU8	Etsy Inc.	78.22
1962-08-31	US9PDU8	Etsy Inc.	78.71
1962-09-30	US9PDU8	Etsy Inc.	77.8
1962-10-31	US9PDU8	Etsy Inc.	86.63
1962-11-30	US9PDU8	Etsy Inc.	82.98
1962-12-31	US9PDU8	Etsy Inc.	84.53
1963-01-31	US9PDU8	Etsy Inc.	79.46
1963-02-28	US9PDU8	Etsy Inc.	87.99
1963-03-31	US9PDU8	Etsy Inc.	88.15
1963-04-30	US9PDU8	Etsy Inc.	89.38
1963-05-31	US9PDU8	Etsy Inc.	88.5
1963-06-30	US9PDU8	Etsy Inc.	82.59
1963-07-31	US9PDU8	Etsy Inc.	81.48
1963-08-31	US9PDU8	Etsy Inc.	72.56
1963-09-30	US9PDU8	Etsy Inc.	78.04
1963-10-31	US9PDU8	Etsy Inc.	78.07
1963-11-30	US9PDU8	Etsy Inc.	75.36
1963-12-31	US9PDU8	Etsy Inc.	75.13
1964-01-31	US9PDU8	Etsy Inc.	68.82
1964-02-29	US9PDU8	Etsy Inc.	64.32
1964-03-31	US9PDU8	Etsy Inc.	69.34
1964-04-30	US9PDU8	Etsy Inc.	73.42
1964-05-31	US9PDU8	Etsy Inc.	73.01
1964-06-30	US9PDU8	Etsy Inc.	79.07
1964-07-31	US9PDU8	Etsy Inc.	74.69
1964-08-31	US9PDU8	Etsy Inc.	76.69
1964-09-30	US9PDU8	Etsy Inc.	81.8
1964-10-31	US9PDU8	Etsy Inc.	82.22
1964-11-30	US9PDU8	Etsy Inc.	80.21
1964-12-31	US9PDU8	Etsy Inc.	84.07
1965-01-31	US9PDU8	Etsy Inc.	82.92
1965-02-28	US9PDU8	Etsy Inc.	79.73
1965-03-31	US9PDU8	Etsy Inc.	79.28
1965-04-30	US9PDU8	Etsy Inc.	78.93
1965-05-31	US9PDU8	Etsy Inc.	82.38
1965-06-30	US9PDU8	Etsy Inc.	79.13
1965-07-31	US9PDU8	Etsy Inc.	78.38
1965-08-31	US9PDU8	Etsy Inc.	76.75
1965-09-30	US9PDU8	Etsy Inc.	78.56
1965-10-31	US9PDU8	Etsy Inc.	73.6
1965-11-30	US9PDU8	Etsy Inc.	79.37
1965-12-31	US9PDU8	Etsy Inc.	78.03
1966-01-31	US9PDU8	Etsy Inc.	71.32
1966-02-28	US9PDU8	Etsy Inc.	78.53
1966-03-31	US9PDU8	Etsy Inc.	74.54
1966-04-30	US9PDU8	Etsy Inc.	80.55
1966-05-31	US9PDU8	Etsy Inc.	85.73
1966-06-30	US9PDU8	Etsy Inc.	90.47
1966-07-31	US9PDU8	Etsy Inc.	85.59
1966-08-31	US9PDU8	Etsy Inc.	83.66
1966-09-30	US9PDU8	Etsy Inc.	83.12
1966-10-31	US9PDU8	Etsy Inc.	76.9
1966-11-30	US9PDU8	Etsy Inc.	77.92
1966-12-31	US9PDU8	Etsy Inc.	76.56
1967-01-31	US9PDU8	Etsy Inc.	76.77
1967-02-28	US9PDU8	Etsy Inc.	75.95
1967-03-31	US9PDU8	Etsy Inc.	75.37
1967-04-30	US9PDU8	Etsy Inc.	74.15
1967-05-31	US9PDU8	Etsy Inc.	73.41
1967-06-30	US9PDU8	Etsy Inc.	65.49
1967-07-31	US9PDU8	Etsy Inc.	63.27
1967-08-31	US9PDU8	Etsy Inc.	62.14
1967-09-30	US9PDU8	Etsy Inc.	61.27
1967-10-31	US9PDU8	Etsy Inc.	63.87
1967-11-30	US9PDU8	Etsy Inc.	66.0
1967-12-31	US9PDU8	Etsy Inc.	64.44
1968-01-31	US9PDU8	Etsy Inc.	69.12
1968-02-29	US9PDU8	Etsy Inc.	68.88
1968-03-31	US9PDU8	Etsy Inc.	65.17
1968-04-30	US9PDU8	Etsy Inc.	64.29
1968-05-31	US9PDU8	Etsy Inc.	65.17
1968-06-30	US9PDU8	Etsy Inc.	71.85
1968-07-31	US9PDU8	Etsy Inc.	67.47
1968-08-31	US9PDU8	Etsy Inc.	68.63
1968-09-30	US9PDU8	Etsy Inc.	63.54
1968-10-31	US9PDU8	Etsy Inc.	71.08
1968-11-30	US9PDU8	Etsy Inc.	70.71
1968-12-31	US9PDU8	Etsy Inc.	73.56
1969-01-31	US9PDU8	Etsy Inc.	72.01
