Date	Company Code	Company Name	Stock Price
1959-01-31	USO2RVQ	Express Inc.	98.4
1959-02-28	USO2RVQ	Express Inc.	100.88
1959-03-31	USO2RVQ	Express Inc.	105.88
1959-04-30	USO2RVQ	Express Inc.	101.93
1959-05-31	USO2RVQ	Express Inc.	100.62
1959-06-30	USO2RVQ	Express Inc.	96.78
1959-07-31	USO2RVQ	Express Inc.	104.74
1959-08-31	USO2RVQ	Express Inc.	97.41
1959-09-30	USO2RVQ	Express Inc.	93.49
1959-10-31	USO2RVQ	Express Inc.	93.36
1959-11-30	USO2RVQ	Express Inc.	88.07
1959-12-31	USO2RVQ	Express Inc.	90.77
1960-01-31	USO2RVQ	Express Inc.	94.46
1960-02-29	USO2RVQ	Express Inc.	86.58
1960-03-31	USO2RVQ	Express Inc.	82.78
1960-04-30	USO2RVQ	Express Inc.	84.88
1960-05-31	USO2RVQ	Express Inc.	87.95
1960-06-30	USO2RVQ	Express Inc.	85.33
1960-07-31	USO2RVQ	Express Inc.	89.17
1960-08-31	USO2RVQ	Express Inc.	89.87
1960-09-30	USO2RVQ	Express Inc.	91.75
1960-10-31	USO2RVQ	Express Inc.	86.04
1960-11-30	USO2RVQ	Express Inc.	92.04
1960-12-31	USO2RVQ	Express Inc.	94.45
1961-01-31	USO2RVQ	Express Inc.	96.74
1961-02-28	USO2RVQ	Express Inc.	98.01
1961-03-31	USO2RVQ	Express Inc.	96.7
1961-04-30	USO2RVQ	Express Inc.	100.61
1961-05-31	USO2RVQ	Express Inc.	100.39
1961-06-30	USO2RVQ	Express Inc.	103.38
1961-07-31	USO2RVQ	Express Inc.	98.76
1961-08-31	USO2RVQ	Express Inc.	101.3
1961-09-30	USO2RVQ	Express Inc.	96.72
1961-10-31	USO2RVQ	Express Inc.	98.51
1961-11-30	USO2RVQ	Express Inc.	96.56
1961-12-31	USO2RVQ	Express Inc.	98.82
1962-01-31	USO2RVQ	Express Inc.	92.61
1962-02-28	USO2RVQ	Express Inc.	86.97
1962-03-31	USO2RVQ	Express Inc.	86.21
1962-04-30	USO2RVQ	Express Inc.	89.32
1962-05-31	USO2RVQ	Express Inc.	92.89
1962-06-30	USO2RVQ	Express Inc.	92.56
1962-07-31	USO2RVQ	Express Inc.	94.22
1962-08-31	USO2RVQ	Express Inc.	91.33
1962-09-30	USO2RVQ	Express Inc.	91.1
1962-10-31	USO2RVQ	Express Inc.	89.63
1962-11-30	USO2RVQ	Express Inc.	86.42
1962-12-31	USO2RVQ	Express Inc.	93.78
1963-01-31	USO2RVQ	Express Inc.	95.65
1963-02-28	USO2RVQ	Express Inc.	88.79
1963-03-31	USO2RVQ	Express Inc.	90.31
1963-04-30	USO2RVQ	Express Inc.	89.8
1963-05-31	USO2RVQ	Express Inc.	91.64
1963-06-30	USO2RVQ	Express Inc.	90.18
1963-07-31	USO2RVQ	Express Inc.	93.24
1963-08-31	USO2RVQ	Express Inc.	95.95
1963-09-30	USO2RVQ	Express Inc.	88.99
1963-10-31	USO2RVQ	Express Inc.	94.88
1963-11-30	USO2RVQ	Express Inc.	94.56
1963-12-31	USO2RVQ	Express Inc.	90.26
1964-01-31	USO2RVQ	Express Inc.	91.48
1964-02-29	USO2RVQ	Express Inc.	92.86
1964-03-31	USO2RVQ	Express Inc.	91.82
1964-04-30	USO2RVQ	Express Inc.	87.92
1964-05-31	USO2RVQ	Express Inc.	87.7
1964-06-30	USO2RVQ	Express Inc.	86.02
1964-07-31	USO2RVQ	Express Inc.	88.13
1964-08-31	USO2RVQ	Express Inc.	91.15
1964-09-30	USO2RVQ	Express Inc.	89.2
1964-10-31	USO2RVQ	Express Inc.	92.71
1964-11-30	USO2RVQ	Express Inc.	94.73
1964-12-31	USO2RVQ	Express Inc.	89.53
1965-01-31	USO2RVQ	Express Inc.	84.99
1965-02-28	USO2RVQ	Express Inc.	86.88
1965-03-31	USO2RVQ	Express Inc.	84.89
1965-04-30	USO2RVQ	Express Inc.	86.51
1965-05-31	USO2RVQ	Express Inc.	87.01
1965-06-30	USO2RVQ	Express Inc.	86.17
1965-07-31	USO2RVQ	Express Inc.	81.86
1965-08-31	USO2RVQ	Express Inc.	82.48
1965-09-30	USO2RVQ	Express Inc.	77.26
1965-10-31	USO2RVQ	Express Inc.	76.12
1965-11-30	USO2RVQ	Express Inc.	76.51
1965-12-31	USO2RVQ	Express Inc.	70.7
1966-01-31	USO2RVQ	Express Inc.	68.88
1966-02-28	USO2RVQ	Express Inc.	60.66
1966-03-31	USO2RVQ	Express Inc.	61.849957395973064
1966-04-30	USO2RVQ	Express Inc.	61.20815054617932
1966-05-31	USO2RVQ	Express Inc.	68.99
1966-06-30	USO2RVQ	Express Inc.	71.45
1966-07-31	USO2RVQ	Express Inc.	69.77
1966-08-31	USO2RVQ	Express Inc.	76.16
1966-09-30	USO2RVQ	Express Inc.	76.57
1966-10-31	USO2RVQ	Express Inc.	74.32
1966-11-30	USO2RVQ	Express Inc.	80.28
1966-12-31	USO2RVQ	Express Inc.	88.61
1967-01-31	USO2RVQ	Express Inc.	83.15
1967-02-28	USO2RVQ	Express Inc.	83.95
1967-03-31	USO2RVQ	Express Inc.	86.25
1967-04-30	USO2RVQ	Express Inc.	87.21
1967-05-31	USO2RVQ	Express Inc.	87.04
1967-06-30	USO2RVQ	Express Inc.	87.12
1967-07-31	USO2RVQ	Express Inc.	86.84
1967-08-31	USO2RVQ	Express Inc.	79.27
1967-09-30	USO2RVQ	Express Inc.	79.93
1967-10-31	USO2RVQ	Express Inc.	75.12
1967-11-30	USO2RVQ	Express Inc.	76.28
1967-12-31	USO2RVQ	Express Inc.	81.79
1968-01-31	USO2RVQ	Express Inc.	82.18
1968-02-29	USO2RVQ	Express Inc.	89.72
1968-03-31	USO2RVQ	Express Inc.	87.65
1968-04-30	USO2RVQ	Express Inc.	92.01
1968-05-31	USO2RVQ	Express Inc.	92.27
1968-06-30	USO2RVQ	Express Inc.	90.31
1968-07-31	USO2RVQ	Express Inc.	96.75
1968-08-31	USO2RVQ	Express Inc.	97.58
1968-09-30	USO2RVQ	Express Inc.	98.81
1968-10-31	USO2RVQ	Express Inc.	101.64
1968-11-30	USO2RVQ	Express Inc.	102.31
1968-12-31	USO2RVQ	Express Inc.	109.61
1969-01-31	USO2RVQ	Express Inc.	108.54
1969-02-28	USO2RVQ	Express Inc.	110.33
1969-03-31	USO2RVQ	Express Inc.	104.74
1969-04-30	USO2RVQ	Express Inc.	105.68
1969-05-31	USO2RVQ	Express Inc.	102.16
1969-06-30	USO2RVQ	Express Inc.	104.55
1969-07-31	USO2RVQ	Express Inc.	97.56
1969-08-31	USO2RVQ	Express Inc.	95.9
