Date	Company Code	Company Name	Stock Price
1959-01-31	US1I40U	Exxon Mobil Corp.	106.68
1959-02-28	US1I40U	Exxon Mobil Corp.	105.06
1959-03-31	US1I40U	Exxon Mobil Corp.	105.29
1959-04-30	US1I40U	Exxon Mobil Corp.	108.32
1959-05-31	US1I40U	Exxon Mobil Corp.	115.19
1959-06-30	US1I40U	Exxon Mobil Corp.	114.47
1959-07-31	US1I40U	Exxon Mobil Corp.	112.36
1959-08-31	US1I40U	Exxon Mobil Corp.	112.83
1959-09-30	US1I40U	Exxon Mobil Corp.	115.91
1959-10-31	US1I40U	Exxon Mobil Corp.	116.05
1959-11-30	US1I40U	Exxon Mobil Corp.	123.42
1959-12-31	US1I40U	Exxon Mobil Corp.	123.86
1960-01-31	US1I40U	Exxon Mobil Corp.	117.27
1960-02-29	US1I40U	Exxon Mobil Corp.	122.73
1960-03-31	US1I40U	Exxon Mobil Corp.	120.86
1960-04-30	US1I40U	Exxon Mobil Corp.	113.34
1960-05-31	US1I40U	Exxon Mobil Corp.	115.54
1960-06-30	US1I40U	Exxon Mobil Corp.	115.08
1960-07-31	US1I40U	Exxon Mobil Corp.	119.41
1960-08-31	US1I40U	Exxon Mobil Corp.	120.99
1960-09-30	US1I40U	Exxon Mobil Corp.	118.9
1960-10-31	US1I40U	Exxon Mobil Corp.	122.18
1960-11-30	US1I40U	Exxon Mobil Corp.	121.25
1960-12-31	US1I40U	Exxon Mobil Corp.	129.21
1961-01-31	US1I40U	Exxon Mobil Corp.	126.49
1961-02-28	US1I40U	Exxon Mobil Corp.	131.48
1961-03-31	US1I40U	Exxon Mobil Corp.	135.11
1961-04-30	US1I40U	Exxon Mobil Corp.	134.73
1961-05-31	US1I40U	Exxon Mobil Corp.	134.71
1961-06-30	US1I40U	Exxon Mobil Corp.	135.93
1961-07-31	US1I40U	Exxon Mobil Corp.	127.46
1961-08-31	US1I40U	Exxon Mobil Corp.	120.51
1961-09-30	US1I40U	Exxon Mobil Corp.	115.95
1961-10-31	US1I40U	Exxon Mobil Corp.	121.82
1961-11-30	US1I40U	Exxon Mobil Corp.	119.91
1961-12-31	US1I40U	Exxon Mobil Corp.	128.27
1962-01-31	US1I40U	Exxon Mobil Corp.	128.4
